,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,CU%,wFA/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFS,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,FS_ba,FS_slg,FS_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CH%,wFC/C,wCH/C,vFC,vCH,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,ST_ba,ST_slg,ST_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
20,2024-09-24,745441,Lineout,field_out,True,668804,668964,Bryan Reynolds,Tobias Myers,0,da66ab72-a39c-43fc-8374-453df0b6a957,668964.0,tobiasmyers,Myers,Right,Tobias Myers,MIL,3.0,4.11,138.0,102.0,92.0,97.0,0.81,8.28,2.35,8.22,1.17,0.93,0.262,0.416,0.13,0.314,0.432,73.0,99.0,104.0,87.0,105.0,100.0,71.0,92.0,74.0,92.0,106.0,103.0,,,,0.005,0.401,,0.21,0.041,0.58,,11.28,1.43,-3.19,92.9,,91.5,85.5,77.8,0.239,0.436,0.192,0.198,0.255,0.248,0.0,0.0,0.0,0.421,0.579,0.194,,,,109.0,86.0,90.0,96.0,100.0,91.0,0.23,0.114,-0.75,1.18,89.2,81.1,0.33,0.495,0.119,0.083,0.083,0.444,,,,,,,,,
21,2024-09-24,745441,Groundout,field_out,True,663368,663559,Blake Perkins,Bailey Falter,0,404faa61-7067-4b88-b894-eba887972441,663559.0,baileyfalter,Falter,Left,Bailey Falter,PIT,4.43,4.9,142.1,99.0,90.0,97.0,0.824,6.13,2.85,8.73,1.07,0.86,0.292,0.369,0.144,0.324,0.477,100.0,99.0,98.0,85.0,100.0,97.0,99.0,101.0,99.0,91.0,96.0,96.0,43.0,95.0,70.0,0.142,0.484,0.006,0.216,0.152,0.38,-7.04,1.23,0.27,-1.24,91.8,86.9,92.0,86.1,77.7,0.257,0.415,0.165,0.245,0.304,0.287,0.253,0.432,0.161,0.305,0.61,0.207,0.333,1.333,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2024-09-24,745441,Groundout,field_out,True,661388,663559,William Contreras,Bailey Falter,0,f6fd7082-792b-4577-9eeb-58e860af76d2,663559.0,baileyfalter,Falter,Left,Bailey Falter,PIT,4.43,4.9,142.1,99.0,90.0,97.0,0.824,6.13,2.85,8.73,1.07,0.86,0.292,0.369,0.144,0.324,0.477,100.0,99.0,98.0,85.0,100.0,97.0,99.0,101.0,99.0,91.0,96.0,96.0,43.0,95.0,70.0,0.142,0.484,0.006,0.216,0.152,0.38,-7.04,1.23,0.27,-1.24,91.8,86.9,92.0,86.1,77.7,0.257,0.415,0.165,0.245,0.304,0.287,0.253,0.432,0.161,0.305,0.61,0.207,0.333,1.333,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2024-09-24,745441,Strikeout,strikeout,True,596142,663559,Gary Sánchez,Bailey Falter,0,1f43d311-3e6d-46e8-9927-81069c90a1ec,663559.0,baileyfalter,Falter,Left,Bailey Falter,PIT,4.43,4.9,142.1,99.0,90.0,97.0,0.824,6.13,2.85,8.73,1.07,0.86,0.292,0.369,0.144,0.324,0.477,100.0,99.0,98.0,85.0,100.0,97.0,99.0,101.0,99.0,91.0,96.0,96.0,43.0,95.0,70.0,0.142,0.484,0.006,0.216,0.152,0.38,-7.04,1.23,0.27,-1.24,91.8,86.9,92.0,86.1,77.7,0.257,0.415,0.165,0.245,0.304,0.287,0.253,0.432,0.161,0.305,0.61,0.207,0.333,1.333,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2024-09-24,745441,Lineout,field_out,True,665833,668964,Oneil Cruz,Tobias Myers,0,3852cb67-989e-4bb6-9a0d-17284ceff5ce,668964.0,tobiasmyers,Myers,Right,Tobias Myers,MIL,3.0,4.11,138.0,102.0,92.0,97.0,0.81,8.28,2.35,8.22,1.17,0.93,0.262,0.416,0.13,0.314,0.432,73.0,99.0,104.0,87.0,105.0,100.0,71.0,92.0,74.0,92.0,106.0,103.0,,,,0.005,0.401,,0.21,0.041,0.58,,11.28,1.43,-3.19,92.9,,91.5,85.5,77.8,0.239,0.436,0.192,0.198,0.255,0.248,0.0,0.0,0.0,0.421,0.579,0.194,,,,109.0,86.0,90.0,96.0,100.0,91.0,0.23,0.114,-0.75,1.18,89.2,81.1,0.33,0.495,0.119,0.083,0.083,0.444,,,,,,,,,
25,2024-09-24,745441,Strikeout,strikeout,True,457705,668964,Andrew McCutchen,Tobias Myers,0,62ab340e-2f40-4eb1-b94d-52b0cdff8190,668964.0,tobiasmyers,Myers,Right,Tobias Myers,MIL,3.0,4.11,138.0,102.0,92.0,97.0,0.81,8.28,2.35,8.22,1.17,0.93,0.262,0.416,0.13,0.314,0.432,73.0,99.0,104.0,87.0,105.0,100.0,71.0,92.0,74.0,92.0,106.0,103.0,,,,0.005,0.401,,0.21,0.041,0.58,,11.28,1.43,-3.19,92.9,,91.5,85.5,77.8,0.239,0.436,0.192,0.198,0.255,0.248,0.0,0.0,0.0,0.421,0.579,0.194,,,,109.0,86.0,90.0,96.0,100.0,91.0,0.23,0.114,-0.75,1.18,89.2,81.1,0.33,0.495,0.119,0.083,0.083,0.444,,,,,,,,,
26,2024-09-24,745441,Double,double,False,663698,668964,Joey Bart,Tobias Myers,0,a745ae6a-28d6-4276-88b2-f91489b67c47,668964.0,tobiasmyers,Myers,Right,Tobias Myers,MIL,3.0,4.11,138.0,102.0,92.0,97.0,0.81,8.28,2.35,8.22,1.17,0.93,0.262,0.416,0.13,0.314,0.432,73.0,99.0,104.0,87.0,105.0,100.0,71.0,92.0,74.0,92.0,106.0,103.0,,,,0.005,0.401,,0.21,0.041,0.58,,11.28,1.43,-3.19,92.9,,91.5,85.5,77.8,0.239,0.436,0.192,0.198,0.255,0.248,0.0,0.0,0.0,0.421,0.579,0.194,,,,109.0,86.0,90.0,96.0,100.0,91.0,0.23,0.114,-0.75,1.18,89.2,81.1,0.33,0.495,0.119,0.083,0.083,0.444,,,,,,,,,
27,2024-09-24,745441,Groundout,field_out,True,650559,668964,Bryan De La Cruz,Tobias Myers,0,bc11453f-5186-408a-9437-8ad43666ab37,668964.0,tobiasmyers,Myers,Right,Tobias Myers,MIL,3.0,4.11,138.0,102.0,92.0,97.0,0.81,8.28,2.35,8.22,1.17,0.93,0.262,0.416,0.13,0.314,0.432,73.0,99.0,104.0,87.0,105.0,100.0,71.0,92.0,74.0,92.0,106.0,103.0,,,,0.005,0.401,,0.21,0.041,0.58,,11.28,1.43,-3.19,92.9,,91.5,85.5,77.8,0.239,0.436,0.192,0.198,0.255,0.248,0.0,0.0,0.0,0.421,0.579,0.194,,,,109.0,86.0,90.0,96.0,100.0,91.0,0.23,0.114,-0.75,1.18,89.2,81.1,0.33,0.495,0.119,0.083,0.083,0.444,,,,,,,,,
28,2024-09-24,745441,Double,double,False,642715,663559,Willy Adames,Bailey Falter,0,445464a0-d584-461f-840a-fccba20c9f9d,663559.0,baileyfalter,Falter,Left,Bailey Falter,PIT,4.43,4.9,142.1,99.0,90.0,97.0,0.824,6.13,2.85,8.73,1.07,0.86,0.292,0.369,0.144,0.324,0.477,100.0,99.0,98.0,85.0,100.0,97.0,99.0,101.0,99.0,91.0,96.0,96.0,43.0,95.0,70.0,0.142,0.484,0.006,0.216,0.152,0.38,-7.04,1.23,0.27,-1.24,91.8,86.9,92.0,86.1,77.7,0.257,0.415,0.165,0.245,0.304,0.287,0.253,0.432,0.161,0.305,0.61,0.207,0.333,1.333,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2024-09-24,745441,Catcher Interference,catcher_interf,False,656555,663559,Rhys Hoskins,Bailey Falter,0,4ef591f5-80ab-4d30-8a71-7e4a51e9db02,663559.0,baileyfalter,Falter,Left,Bailey Falter,PIT,4.43,4.9,142.1,99.0,90.0,97.0,0.824,6.13,2.85,8.73,1.07,0.86,0.292,0.369,0.144,0.324,0.477,100.0,99.0,98.0,85.0,100.0,97.0,99.0,101.0,99.0,91.0,96.0,96.0,43.0,95.0,70.0,0.142,0.484,0.006,0.216,0.152,0.38,-7.04,1.23,0.27,-1.24,91.8,86.9,92.0,86.1,77.7,0.257,0.415,0.165,0.245,0.304,0.287,0.253,0.432,0.161,0.305,0.61,0.207,0.333,1.333,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,
