,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,KC%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,wKC/C,vFA,vFC,vFS,vSI,vSL,vCU,vKC,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,CU_ba,CU_slg,CU_whiff,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff
43,2024-09-22,745358,Single,single,False,657757,670970,Gavin Sheets,Adrian Morejon,0,ee270199-8256-44fa-b7b3-b00c6d002464,670970.0,adrianmorejon,Morejon,Left,Adrian Morejon,SDP,2.9,3.06,62.0,106.0,120.0,111.0,0.742,10.16,2.9,8.56,0.58,1.71,0.298,0.386,0.216,0.31,0.474,,,,123.0,103.0,108.0,124.0,104.0,109.0,121.0,110.0,116.0,,,,,,,87.0,93.0,96.0,0.35,0.243,,0.075,0.332,,,-1.7,,2.01,1.05,0.42,,,96.9,,86.2,97.4,85.6,,,0.171,0.303,0.399,0.333,0.537,0.252,0.293,0.39,0.159,0.286,0.571,0.1,,,,0.111,0.111,0.515,,,,,,,,,,,,
44,2024-09-22,745358,Strikeout,strikeout,True,672820,670970,Lenyn Sosa,Adrian Morejon,1,8e513e74-73c1-489a-bae2-a2c7336b8bc9,670970.0,adrianmorejon,Morejon,Left,Adrian Morejon,SDP,2.9,3.06,62.0,106.0,120.0,111.0,0.742,10.16,2.9,8.56,0.58,1.71,0.298,0.386,0.216,0.31,0.474,,,,123.0,103.0,108.0,124.0,104.0,109.0,121.0,110.0,116.0,,,,,,,87.0,93.0,96.0,0.35,0.243,,0.075,0.332,,,-1.7,,2.01,1.05,0.42,,,96.9,,86.2,97.4,85.6,,,0.171,0.303,0.399,0.333,0.537,0.252,0.293,0.39,0.159,0.286,0.571,0.1,,,,0.111,0.111,0.515,,,,,,,,,,,,
45,2024-09-22,745358,Strikeout,strikeout,True,666150,670970,Dominic Fletcher,Adrian Morejon,0,15e18500-2e53-4487-bfb6-cb7fd69d3e4b,670970.0,adrianmorejon,Morejon,Left,Adrian Morejon,SDP,2.9,3.06,62.0,106.0,120.0,111.0,0.742,10.16,2.9,8.56,0.58,1.71,0.298,0.386,0.216,0.31,0.474,,,,123.0,103.0,108.0,124.0,104.0,109.0,121.0,110.0,116.0,,,,,,,87.0,93.0,96.0,0.35,0.243,,0.075,0.332,,,-1.7,,2.01,1.05,0.42,,,96.9,,86.2,97.4,85.6,,,0.171,0.303,0.399,0.333,0.537,0.252,0.293,0.39,0.159,0.286,0.571,0.1,,,,0.111,0.111,0.515,,,,,,,,,,,,
46,2024-09-22,745358,Walk,walk,False,592518,672860,Manny Machado,Prelander Berroa,0,8c3b8e77-b89c-4149-a531-896fcdddc13f,672860.0,prelanderberroa,Berroa,Right,Prelander Berroa,CHW,2.76,1.93,16.1,93.0,121.0,101.0,0.676,13.22,4.41,6.61,0.55,1.07,0.229,0.429,0.143,0.143,0.356,,,,104.0,85.0,85.0,105.0,92.0,82.0,134.0,98.0,113.0,,,,,,,,,,0.028,0.401,,,0.571,,,-0.67,,,-2.96,1.93,,,97.8,,,97.0,87.9,,,0.159,0.25,0.443,0.333,0.417,0.204,0.333,0.667,0.0,,,,,,,,,,,,,,,,,,,,,
47,2024-09-22,745358,Flyout,field_out,True,701538,672860,Jackson Merrill,Prelander Berroa,0,52d570b0-729f-4539-b627-a822607469a8,672860.0,prelanderberroa,Berroa,Right,Prelander Berroa,CHW,2.76,1.93,16.1,93.0,121.0,101.0,0.676,13.22,4.41,6.61,0.55,1.07,0.229,0.429,0.143,0.143,0.356,,,,104.0,85.0,85.0,105.0,92.0,82.0,134.0,98.0,113.0,,,,,,,,,,0.028,0.401,,,0.571,,,-0.67,,,-2.96,1.93,,,97.8,,,97.0,87.9,,,0.159,0.25,0.443,0.333,0.417,0.204,0.333,0.667,0.0,,,,,,,,,,,,,,,,,,,,,
48,2024-09-22,745358,Pop Out,field_out,True,593428,672860,Xander Bogaerts,Prelander Berroa,0,853a89bf-98e9-4fc2-b649-063a7e247ac0,672860.0,prelanderberroa,Berroa,Right,Prelander Berroa,CHW,2.76,1.93,16.1,93.0,121.0,101.0,0.676,13.22,4.41,6.61,0.55,1.07,0.229,0.429,0.143,0.143,0.356,,,,104.0,85.0,85.0,105.0,92.0,82.0,134.0,98.0,113.0,,,,,,,,,,0.028,0.401,,,0.571,,,-0.67,,,-2.96,1.93,,,97.8,,,97.0,87.9,,,0.159,0.25,0.443,0.333,0.417,0.204,0.333,0.667,0.0,,,,,,,,,,,,,,,,,,,,,
49,2024-09-22,745358,Groundout,field_out,True,444482,672860,David Peralta,Prelander Berroa,0,48efd55c-7f1d-4c6d-8496-857ec11c6ac9,672860.0,prelanderberroa,Berroa,Right,Prelander Berroa,CHW,2.76,1.93,16.1,93.0,121.0,101.0,0.676,13.22,4.41,6.61,0.55,1.07,0.229,0.429,0.143,0.143,0.356,,,,104.0,85.0,85.0,105.0,92.0,82.0,134.0,98.0,113.0,,,,,,,,,,0.028,0.401,,,0.571,,,-0.67,,,-2.96,1.93,,,97.8,,,97.0,87.9,,,0.159,0.25,0.443,0.333,0.417,0.204,0.333,0.667,0.0,,,,,,,,,,,,,,,,,,,,,
50,2024-09-22,745358,Flyout,field_out,True,686676,669093,Korey Lee,Jeremiah Estrada,0,e9b9202e-b313-4d96-a611-17f1958ba2cf,669093.0,jeremiahestrada,Estrada,Right,Jeremiah Estrada,SDP,2.88,2.54,59.1,101.0,143.0,109.0,0.651,13.96,3.19,6.22,0.61,0.79,0.24,0.38,0.186,0.295,0.453,,,,161.0,102.0,112.0,,,,115.0,100.0,104.0,,,,,,,121.0,98.0,105.0,,0.571,,0.198,0.231,,,1.56,,1.02,,0.84,,,97.2,,83.6,,89.8,,,0.25,0.292,0.339,0.186,0.301,0.333,,,,,,,,,,0.143,0.232,0.516,,,,,,,,,,,,
51,2024-09-22,745358,Strikeout,strikeout,True,676070,669093,Jacob Amaya,Jeremiah Estrada,0,5e08e92f-876f-43f0-aeae-9711c7034640,669093.0,jeremiahestrada,Estrada,Right,Jeremiah Estrada,SDP,2.88,2.54,59.1,101.0,143.0,109.0,0.651,13.96,3.19,6.22,0.61,0.79,0.24,0.38,0.186,0.295,0.453,,,,161.0,102.0,112.0,,,,115.0,100.0,104.0,,,,,,,121.0,98.0,105.0,,0.571,,0.198,0.231,,,1.56,,1.02,,0.84,,,97.2,,83.6,,89.8,,,0.25,0.292,0.339,0.186,0.301,0.333,,,,,,,,,,0.143,0.232,0.516,,,,,,,,,,,,
52,2024-09-22,745358,Strikeout,strikeout,True,678246,669093,Miguel Vargas,Jeremiah Estrada,0,03f4cf9b-ca2f-4022-8492-62d8591ed75a,669093.0,jeremiahestrada,Estrada,Right,Jeremiah Estrada,SDP,2.88,2.54,59.1,101.0,143.0,109.0,0.651,13.96,3.19,6.22,0.61,0.79,0.24,0.38,0.186,0.295,0.453,,,,161.0,102.0,112.0,,,,115.0,100.0,104.0,,,,,,,121.0,98.0,105.0,,0.571,,0.198,0.231,,,1.56,,1.02,,0.84,,,97.2,,83.6,,89.8,,,0.25,0.292,0.339,0.186,0.301,0.333,,,,,,,,,,0.143,0.232,0.516,,,,,,,,,,,,
53,2024-09-22,745358,Double,double,False,456781,672860,Donovan Solano,Prelander Berroa,0,f6f48d71-2bb0-4d22-9765-e3466745f42e,672860.0,prelanderberroa,Berroa,Right,Prelander Berroa,CHW,2.76,1.93,16.1,93.0,121.0,101.0,0.676,13.22,4.41,6.61,0.55,1.07,0.229,0.429,0.143,0.143,0.356,,,,104.0,85.0,85.0,105.0,92.0,82.0,134.0,98.0,113.0,,,,,,,,,,0.028,0.401,,,0.571,,,-0.67,,,-2.96,1.93,,,97.8,,,97.0,87.9,,,0.159,0.25,0.443,0.333,0.417,0.204,0.333,0.667,0.0,,,,,,,,,,,,,,,,,,,,,
54,2024-09-22,745358,Double,double,False,650333,686642,Luis Arraez,Fraser Ellard,1,c85096ef-7a8d-4194-9ed8-47055061fcf7,686642.0,fraserellard,Ellard,Left,Fraser Ellard,CHW,3.38,3.76,21.1,93.0,94.0,90.0,0.742,10.13,3.8,6.75,1.27,1.63,0.296,0.37,0.167,0.352,0.43,,,,96.0,94.0,91.0,73.0,101.0,97.0,115.0,87.0,89.0,,,,46.0,98.0,84.0,,,,0.086,0.567,0.096,,0.222,,,0.04,-0.61,,3.79,3.2,,,95.3,91.7,,93.2,86.0,,,0.083,0.083,0.472,0.2,0.533,0.25,0.273,0.273,0.143,,,,,,,,,,0.375,0.375,0.167,122.0,108.0,109.0,0.029,-10.36,90.5,,,
55,2024-09-22,745358,Sac Fly,sac_fly,True,595777,686642,Jurickson Profar,Fraser Ellard,1,c5cc8908-d674-4dd3-8bd4-2d49b9226fe7,686642.0,fraserellard,Ellard,Left,Fraser Ellard,CHW,3.38,3.76,21.1,93.0,94.0,90.0,0.742,10.13,3.8,6.75,1.27,1.63,0.296,0.37,0.167,0.352,0.43,,,,96.0,94.0,91.0,73.0,101.0,97.0,115.0,87.0,89.0,,,,46.0,98.0,84.0,,,,0.086,0.567,0.096,,0.222,,,0.04,-0.61,,3.79,3.2,,,95.3,91.7,,93.2,86.0,,,0.083,0.083,0.472,0.2,0.533,0.25,0.273,0.273,0.143,,,,,,,,,,0.375,0.375,0.167,122.0,108.0,109.0,0.029,-10.36,90.5,,,
56,2024-09-22,745358,Home Run,home_run,False,665487,686642,Fernando Tatis Jr.,Fraser Ellard,0,3826f80c-448e-4b6c-a2a9-52eab644bc1d,686642.0,fraserellard,Ellard,Left,Fraser Ellard,CHW,3.38,3.76,21.1,93.0,94.0,90.0,0.742,10.13,3.8,6.75,1.27,1.63,0.296,0.37,0.167,0.352,0.43,,,,96.0,94.0,91.0,73.0,101.0,97.0,115.0,87.0,89.0,,,,46.0,98.0,84.0,,,,0.086,0.567,0.096,,0.222,,,0.04,-0.61,,3.79,3.2,,,95.3,91.7,,93.2,86.0,,,0.083,0.083,0.472,0.2,0.533,0.25,0.273,0.273,0.143,,,,,,,,,,0.375,0.375,0.167,122.0,108.0,109.0,0.029,-10.36,90.5,,,
57,2024-09-22,745358,Groundout,field_out,True,630105,686642,Jake Cronenworth,Fraser Ellard,0,a86bcb68-99b8-4834-ae30-bb08e98566c0,686642.0,fraserellard,Ellard,Left,Fraser Ellard,CHW,3.38,3.76,21.1,93.0,94.0,90.0,0.742,10.13,3.8,6.75,1.27,1.63,0.296,0.37,0.167,0.352,0.43,,,,96.0,94.0,91.0,73.0,101.0,97.0,115.0,87.0,89.0,,,,46.0,98.0,84.0,,,,0.086,0.567,0.096,,0.222,,,0.04,-0.61,,3.79,3.2,,,95.3,91.7,,93.2,86.0,,,0.083,0.083,0.472,0.2,0.533,0.25,0.273,0.273,0.143,,,,,,,,,,0.375,0.375,0.167,122.0,108.0,109.0,0.029,-10.36,90.5,,,
58,2024-09-22,745358,Flyout,field_out,True,592518,681402,Manny Machado,Gus Varland,0,bfd4b7fe-d57f-47e9-9dce-e91495f73dd1,681402.0,gusvarland,Varland,Right,Gus Varland,- - -,3.57,3.73,22.2,105.0,116.0,111.0,0.764,9.93,2.78,11.12,0.79,1.13,0.25,0.441,0.088,0.235,0.474,,,,122.0,106.0,113.0,108.0,106.0,98.0,113.0,106.0,113.0,,,,,,,,,,0.03,0.531,,,0.39,,,1.13,,,7.0,-3.01,,,95.3,,,95.2,88.6,,,0.348,0.522,0.265,0.282,0.333,0.23,0.0,0.0,0.0,,,,,,,,,,,,,70.0,83.0,76.0,0.05,-1.12,89.7,0.2,0.2,0.2
59,2024-09-22,745358,Groundout,field_out,True,673357,663158,Luis Robert Jr.,Robert Suarez,0,ccaa1155-00bc-4ae1-a423-d365e6412eca,663158.0,robertsuarez,"Suarez, R",Right,Robert Suarez,SDP,2.71,2.93,63.0,102.0,137.0,108.0,0.776,8.29,2.14,7.0,1.0,0.97,0.345,0.333,0.181,0.311,0.461,,,,143.0,104.0,112.0,133.0,102.0,98.0,,,,,,,102.0,118.0,105.0,,,,0.147,0.731,0.004,,,,,1.55,-12.25,,3.14,,,,99.1,92.5,,98.7,,,,,,,0.218,0.339,0.247,0.15,0.175,0.079,,,,,,,,,,,,,109.0,92.0,97.0,0.118,-2.22,91.1,0.222,0.556,0.475
60,2024-09-22,745358,Strikeout,strikeout,True,643217,663158,Andrew Benintendi,Robert Suarez,0,0b95cd1b-dd26-4cfe-8efa-aca6147636bb,663158.0,robertsuarez,"Suarez, R",Right,Robert Suarez,SDP,2.71,2.93,63.0,102.0,137.0,108.0,0.776,8.29,2.14,7.0,1.0,0.97,0.345,0.333,0.181,0.311,0.461,,,,143.0,104.0,112.0,133.0,102.0,98.0,,,,,,,102.0,118.0,105.0,,,,0.147,0.731,0.004,,,,,1.55,-12.25,,3.14,,,,99.1,92.5,,98.7,,,,,,,0.218,0.339,0.247,0.15,0.175,0.079,,,,,,,,,,,,,109.0,92.0,97.0,0.118,-2.22,91.1,0.222,0.556,0.475
61,2024-09-22,745358,Single,single,False,683734,663158,Andrew Vaughn,Robert Suarez,0,91fb065d-5f74-4d5f-b8c2-98c6bdc02b7a,663158.0,robertsuarez,"Suarez, R",Right,Robert Suarez,SDP,2.71,2.93,63.0,102.0,137.0,108.0,0.776,8.29,2.14,7.0,1.0,0.97,0.345,0.333,0.181,0.311,0.461,,,,143.0,104.0,112.0,133.0,102.0,98.0,,,,,,,102.0,118.0,105.0,,,,0.147,0.731,0.004,,,,,1.55,-12.25,,3.14,,,,99.1,92.5,,98.7,,,,,,,0.218,0.339,0.247,0.15,0.175,0.079,,,,,,,,,,,,,109.0,92.0,97.0,0.118,-2.22,91.1,0.222,0.556,0.475
62,2024-09-22,745358,Strikeout,strikeout,True,657757,663158,Gavin Sheets,Robert Suarez,1,8b5a78d4-309f-41c2-b072-bec32852055f,663158.0,robertsuarez,"Suarez, R",Right,Robert Suarez,SDP,2.71,2.93,63.0,102.0,137.0,108.0,0.776,8.29,2.14,7.0,1.0,0.97,0.345,0.333,0.181,0.311,0.461,,,,143.0,104.0,112.0,133.0,102.0,98.0,,,,,,,102.0,118.0,105.0,,,,0.147,0.731,0.004,,,,,1.55,-12.25,,3.14,,,,99.1,92.5,,98.7,,,,,,,0.218,0.339,0.247,0.15,0.175,0.079,,,,,,,,,,,,,109.0,92.0,97.0,0.118,-2.22,91.1,0.222,0.556,0.475
