,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,SL%,KC%,CH%,wFC/C,wSI/C,wSL/C,wKC/C,wCH/C,vFC,vCH,vSI,vSL,vKC,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FS%,wFA/C,wFS/C,vFA,vFS,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU
0,2024-04-06,745766,Double,double,False,543807,657376,George Springer,Clarke Schmidt,0,a42058f2-3e14-4948-ba86-7d797639116c,657376.0,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,2.52,3.72,60.2,99.0,114.0,101.0,0.719,9.94,2.97,7.27,0.89,1.0,0.312,0.364,0.234,0.24,0.412,36.0,89.0,96.0,81.0,97.0,87.0,135.0,93.0,102.0,152.0,100.0,112.0,106.0,106.0,103.0,0.215,0.356,0.239,0.181,0.009,0.6,-0.42,1.58,0.69,-13.06,92.4,87.1,94.2,85.3,83.9,0.256,0.372,0.325,0.196,0.283,0.319,0.233,0.488,0.212,0.146,0.22,0.346,0.667,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-04-06,745766,Groundout,field_out,True,665489,657376,Vladimir Guerrero Jr.,Clarke Schmidt,1,89fedec5-9fe8-425c-ae61-7292336b205b,657376.0,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,2.52,3.72,60.2,99.0,114.0,101.0,0.719,9.94,2.97,7.27,0.89,1.0,0.312,0.364,0.234,0.24,0.412,36.0,89.0,96.0,81.0,97.0,87.0,135.0,93.0,102.0,152.0,100.0,112.0,106.0,106.0,103.0,0.215,0.356,0.239,0.181,0.009,0.6,-0.42,1.58,0.69,-13.06,92.4,87.1,94.2,85.3,83.9,0.256,0.372,0.325,0.196,0.283,0.319,0.233,0.488,0.212,0.146,0.22,0.346,0.667,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-04-06,745766,Strikeout,strikeout,True,666182,657376,Bo Bichette,Clarke Schmidt,0,d0d228a4-6751-4ec7-bbe4-eda3b2cbf29e,657376.0,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,2.52,3.72,60.2,99.0,114.0,101.0,0.719,9.94,2.97,7.27,0.89,1.0,0.312,0.364,0.234,0.24,0.412,36.0,89.0,96.0,81.0,97.0,87.0,135.0,93.0,102.0,152.0,100.0,112.0,106.0,106.0,103.0,0.215,0.356,0.239,0.181,0.009,0.6,-0.42,1.58,0.69,-13.06,92.4,87.1,94.2,85.3,83.9,0.256,0.372,0.325,0.196,0.283,0.319,0.233,0.488,0.212,0.146,0.22,0.346,0.667,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-04-06,745766,Groundout,field_out,True,457759,657376,Justin Turner,Clarke Schmidt,0,ad232285-d948-4d66-bc3c-e7997c3bcb2a,657376.0,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,2.52,3.72,60.2,99.0,114.0,101.0,0.719,9.94,2.97,7.27,0.89,1.0,0.312,0.364,0.234,0.24,0.412,36.0,89.0,96.0,81.0,97.0,87.0,135.0,93.0,102.0,152.0,100.0,112.0,106.0,106.0,103.0,0.215,0.356,0.239,0.181,0.009,0.6,-0.42,1.58,0.69,-13.06,92.4,87.1,94.2,85.3,83.9,0.256,0.372,0.325,0.196,0.283,0.319,0.233,0.488,0.212,0.146,0.22,0.346,0.667,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-04-06,745766,Flyout,field_out,True,650402,592332,Gleyber Torres,Kevin Gausman,0,6e2f270f-0514-4b31-8b29-10655c92d331,592332.0,kevingausman,Gausman,Right,Kevin Gausman,TOR,4.5,5.19,104.0,105.0,97.0,106.0,0.783,9.0,2.34,9.43,1.3,1.01,0.226,0.462,0.124,0.379,0.42,,,,93.0,99.0,90.0,93.0,88.0,94.0,,,,,,,0.048,,0.082,,,,-1.31,-2.39,,,,,93.5,83.1,,,,,0.32,0.56,0.298,0.278,0.444,0.087,,,,,,,101.0,106.0,107.0,93.0,109.0,110.0,0.543,0.327,-0.1,-0.61,93.9,85.7,0.298,0.521,0.198,0.207,0.343,0.33,,,,,,
5,2024-04-06,745766,Walk,walk,False,665742,592332,Juan Soto,Kevin Gausman,0,0ced2eac-cb61-429f-9ea6-9577a805ce10,592332.0,kevingausman,Gausman,Right,Kevin Gausman,TOR,4.5,5.19,104.0,105.0,97.0,106.0,0.783,9.0,2.34,9.43,1.3,1.01,0.226,0.462,0.124,0.379,0.42,,,,93.0,99.0,90.0,93.0,88.0,94.0,,,,,,,0.048,,0.082,,,,-1.31,-2.39,,,,,93.5,83.1,,,,,0.32,0.56,0.298,0.278,0.444,0.087,,,,,,,101.0,106.0,107.0,93.0,109.0,110.0,0.543,0.327,-0.1,-0.61,93.9,85.7,0.298,0.521,0.198,0.207,0.343,0.33,,,,,,
6,2024-04-06,745766,Home Run,home_run,False,592450,592332,Aaron Judge,Kevin Gausman,1,08c7e01c-dec1-483d-bacd-3c6c5c78555b,592332.0,kevingausman,Gausman,Right,Kevin Gausman,TOR,4.5,5.19,104.0,105.0,97.0,106.0,0.783,9.0,2.34,9.43,1.3,1.01,0.226,0.462,0.124,0.379,0.42,,,,93.0,99.0,90.0,93.0,88.0,94.0,,,,,,,0.048,,0.082,,,,-1.31,-2.39,,,,,93.5,83.1,,,,,0.32,0.56,0.298,0.278,0.444,0.087,,,,,,,101.0,106.0,107.0,93.0,109.0,110.0,0.543,0.327,-0.1,-0.61,93.9,85.7,0.298,0.521,0.198,0.207,0.343,0.33,,,,,,
7,2024-04-06,745766,Pop Out,field_out,True,519203,592332,Anthony Rizzo,Kevin Gausman,0,c9287b9c-099a-48b4-b740-841f93cc6b5a,592332.0,kevingausman,Gausman,Right,Kevin Gausman,TOR,4.5,5.19,104.0,105.0,97.0,106.0,0.783,9.0,2.34,9.43,1.3,1.01,0.226,0.462,0.124,0.379,0.42,,,,93.0,99.0,90.0,93.0,88.0,94.0,,,,,,,0.048,,0.082,,,,-1.31,-2.39,,,,,93.5,83.1,,,,,0.32,0.56,0.298,0.278,0.444,0.087,,,,,,,101.0,106.0,107.0,93.0,109.0,110.0,0.543,0.327,-0.1,-0.61,93.9,85.7,0.298,0.521,0.198,0.207,0.343,0.33,,,,,,
8,2024-04-06,745766,Home Run,home_run,False,519317,592332,Giancarlo Stanton,Kevin Gausman,0,b576eba1-fe52-435b-b150-efd5eb1a1a2f,592332.0,kevingausman,Gausman,Right,Kevin Gausman,TOR,4.5,5.19,104.0,105.0,97.0,106.0,0.783,9.0,2.34,9.43,1.3,1.01,0.226,0.462,0.124,0.379,0.42,,,,93.0,99.0,90.0,93.0,88.0,94.0,,,,,,,0.048,,0.082,,,,-1.31,-2.39,,,,,93.5,83.1,,,,,0.32,0.56,0.298,0.278,0.444,0.087,,,,,,,101.0,106.0,107.0,93.0,109.0,110.0,0.543,0.327,-0.1,-0.61,93.9,85.7,0.298,0.521,0.198,0.207,0.343,0.33,,,,,,
9,2024-04-06,745766,Groundout,field_out,True,657077,592332,Alex Verdugo,Kevin Gausman,0,01c32ea6-4a38-4cef-b20d-6793309f812f,592332.0,kevingausman,Gausman,Right,Kevin Gausman,TOR,4.5,5.19,104.0,105.0,97.0,106.0,0.783,9.0,2.34,9.43,1.3,1.01,0.226,0.462,0.124,0.379,0.42,,,,93.0,99.0,90.0,93.0,88.0,94.0,,,,,,,0.048,,0.082,,,,-1.31,-2.39,,,,,93.5,83.1,,,,,0.32,0.56,0.298,0.278,0.444,0.087,,,,,,,101.0,106.0,107.0,93.0,109.0,110.0,0.543,0.327,-0.1,-0.61,93.9,85.7,0.298,0.521,0.198,0.207,0.343,0.33,,,,,,
