,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
42,2024-09-13,745855,Triple,triple,False,668715,641927,Spencer Steer,Bailey Ober,0,363ced1d-05b2-454b-b683-b89747fc3ec7,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,3.9,3.21,161.2,105.0,91.0,101.0,0.731,9.35,2.28,6.62,1.28,0.65,0.214,0.44,0.191,0.301,0.415,117.0,110.0,110.0,96.0,97.0,101.0,81.0,104.0,96.0,74.0,102.0,102.0,84.0,104.0,100.0,0.391,0.206,0.111,0.012,0.279,-0.04,-0.6,1.7,4.12,2.47,91.8,86.2,83.4,80.4,76.0,0.256,0.498,0.216,0.137,0.258,0.405,0.264,0.488,0.234,0.097,0.177,0.302,0.0,0.0,0.286,,,,,,,,,,,,,,,,,,,,,
43,2024-09-13,745855,Single,single,False,670770,641927,TJ Friedl,Bailey Ober,1,398bbe22-e8e1-4cfb-b92c-5ffaa6059c89,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,3.9,3.21,161.2,105.0,91.0,101.0,0.731,9.35,2.28,6.62,1.28,0.65,0.214,0.44,0.191,0.301,0.415,117.0,110.0,110.0,96.0,97.0,101.0,81.0,104.0,96.0,74.0,102.0,102.0,84.0,104.0,100.0,0.391,0.206,0.111,0.012,0.279,-0.04,-0.6,1.7,4.12,2.47,91.8,86.2,83.4,80.4,76.0,0.256,0.498,0.216,0.137,0.258,0.405,0.264,0.488,0.234,0.097,0.177,0.302,0.0,0.0,0.286,,,,,,,,,,,,,,,,,,,,,
44,2024-09-13,745855,Double,double,False,664034,641927,Ty France,Bailey Ober,1,4a13ece1-5b35-4aa8-9d70-489566867e6d,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,3.9,3.21,161.2,105.0,91.0,101.0,0.731,9.35,2.28,6.62,1.28,0.65,0.214,0.44,0.191,0.301,0.415,117.0,110.0,110.0,96.0,97.0,101.0,81.0,104.0,96.0,74.0,102.0,102.0,84.0,104.0,100.0,0.391,0.206,0.111,0.012,0.279,-0.04,-0.6,1.7,4.12,2.47,91.8,86.2,83.4,80.4,76.0,0.256,0.498,0.216,0.137,0.258,0.405,0.264,0.488,0.234,0.097,0.177,0.302,0.0,0.0,0.286,,,,,,,,,,,,,,,,,,,,,
45,2024-09-13,745855,Walk,walk,False,669289,641927,Santiago Espinal,Bailey Ober,0,82d7e1f3-70dd-4906-933f-df96d456ddd1,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,3.9,3.21,161.2,105.0,91.0,101.0,0.731,9.35,2.28,6.62,1.28,0.65,0.214,0.44,0.191,0.301,0.415,117.0,110.0,110.0,96.0,97.0,101.0,81.0,104.0,96.0,74.0,102.0,102.0,84.0,104.0,100.0,0.391,0.206,0.111,0.012,0.279,-0.04,-0.6,1.7,4.12,2.47,91.8,86.2,83.4,80.4,76.0,0.256,0.498,0.216,0.137,0.258,0.405,0.264,0.488,0.234,0.097,0.177,0.302,0.0,0.0,0.286,,,,,,,,,,,,,,,,,,,,,
46,2024-09-13,745855,Strikeout,strikeout,True,641584,641927,Jake Fraley,Bailey Ober,0,abc3172a-efda-4053-b413-02b46a679e75,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,3.9,3.21,161.2,105.0,91.0,101.0,0.731,9.35,2.28,6.62,1.28,0.65,0.214,0.44,0.191,0.301,0.415,117.0,110.0,110.0,96.0,97.0,101.0,81.0,104.0,96.0,74.0,102.0,102.0,84.0,104.0,100.0,0.391,0.206,0.111,0.012,0.279,-0.04,-0.6,1.7,4.12,2.47,91.8,86.2,83.4,80.4,76.0,0.256,0.498,0.216,0.137,0.258,0.405,0.264,0.488,0.234,0.097,0.177,0.302,0.0,0.0,0.286,,,,,,,,,,,,,,,,,,,,,
47,2024-09-13,745855,Strikeout,strikeout,True,682622,641927,Noelvi Marte,Bailey Ober,0,d8e65758-d55f-4696-ba6f-7808650c29f7,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,3.9,3.21,161.2,105.0,91.0,101.0,0.731,9.35,2.28,6.62,1.28,0.65,0.214,0.44,0.191,0.301,0.415,117.0,110.0,110.0,96.0,97.0,101.0,81.0,104.0,96.0,74.0,102.0,102.0,84.0,104.0,100.0,0.391,0.206,0.111,0.012,0.279,-0.04,-0.6,1.7,4.12,2.47,91.8,86.2,83.4,80.4,76.0,0.256,0.498,0.216,0.137,0.258,0.405,0.264,0.488,0.234,0.097,0.177,0.302,0.0,0.0,0.286,,,,,,,,,,,,,,,,,,,,,
48,2024-09-13,745855,Walk,walk,False,663697,660896,Jonathan India,Jorge Alcala,1,ad93ec03-ca01-42d7-b689-334c9a0db3a2,660896.0,jorgealcala,Alcala,Right,Jorge Alcala,MIN,3.46,3.28,54.2,98.0,125.0,101.0,0.752,8.56,3.13,6.59,1.32,0.67,0.196,0.439,0.223,0.304,0.426,115.0,88.0,84.0,,,,118.0,94.0,96.0,139.0,104.0,111.0,,,,0.443,,0.394,,0.094,-0.86,,0.22,,4.32,98.0,,90.9,89.8,,0.233,0.534,0.287,0.08,0.12,0.111,,,,0.221,0.349,0.309,,,,117.0,95.0,98.0,0.07,3.24,97.3,0.133,0.133,0.152,,,,,,,,,,,,
49,2024-09-13,745855,Home Run,home_run,False,682829,660896,Elly De La Cruz,Jorge Alcala,1,293f7417-40c2-4dfb-8940-35555785a9d1,660896.0,jorgealcala,Alcala,Right,Jorge Alcala,MIN,3.46,3.28,54.2,98.0,125.0,101.0,0.752,8.56,3.13,6.59,1.32,0.67,0.196,0.439,0.223,0.304,0.426,115.0,88.0,84.0,,,,118.0,94.0,96.0,139.0,104.0,111.0,,,,0.443,,0.394,,0.094,-0.86,,0.22,,4.32,98.0,,90.9,89.8,,0.233,0.534,0.287,0.08,0.12,0.111,,,,0.221,0.349,0.309,,,,117.0,95.0,98.0,0.07,3.24,97.3,0.133,0.133,0.152,,,,,,,,,,,,
50,2024-09-13,745855,Groundout,field_out,True,663886,660896,Tyler Stephenson,Jorge Alcala,0,fbfded7a-be2d-47cc-a1f3-1de43c4f5ed3,660896.0,jorgealcala,Alcala,Right,Jorge Alcala,MIN,3.46,3.28,54.2,98.0,125.0,101.0,0.752,8.56,3.13,6.59,1.32,0.67,0.196,0.439,0.223,0.304,0.426,115.0,88.0,84.0,,,,118.0,94.0,96.0,139.0,104.0,111.0,,,,0.443,,0.394,,0.094,-0.86,,0.22,,4.32,98.0,,90.9,89.8,,0.233,0.534,0.287,0.08,0.12,0.111,,,,0.221,0.349,0.309,,,,117.0,95.0,98.0,0.07,3.24,97.3,0.133,0.133,0.152,,,,,,,,,,,,
51,2024-09-13,745855,Walk,walk,False,663616,687924,Trevor Larnach,Julian Aguiar,0,6797cb57-46cf-430c-acb2-6cedb9eeb675,687924.0,julianaguiar,Aguiar,Right,Julian Aguiar,CIN,4.88,4.76,27.2,97.0,86.0,98.0,0.83,4.88,3.25,7.81,1.95,0.77,0.209,0.44,0.209,0.231,0.453,97.0,90.0,94.0,94.0,92.0,100.0,,,,93.0,100.0,105.0,,,,,,0.18,0.095,0.198,,,0.86,-3.04,-1.7,,,84.0,80.2,78.1,,,,0.217,0.391,0.277,,,,0.143,0.357,0.229,0.2,0.5,0.176,79.0,101.0,97.0,0.527,0.5,94.2,0.254,0.475,0.151,,,,,,,,,,,,
