,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,wFA/C,wFS/C,wSI/C,wSL/C,vFA,vFS,vSI,vSL,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CH%,wFC/C,wCH/C,vFC,vCH,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff
0,2024-05-05,745913,Pop Out,field_out,True,680776,657746,Jarren Duran,Joe Ryan,0,b2aee60b-2671-4f3c-9ea1-b8c683570ed3,657746.0,joeryan,Ryan,Right,Joe Ryan,MIN,3.53,3.08,114.2,107.0,100.0,105.0,0.757,9.73,1.49,7.53,1.26,0.74,0.244,0.431,0.203,0.283,0.481,96.0,110.0,106.0,114.0,106.0,104.0,105.0,104.0,113.0,103.0,104.0,95.0,0.051,0.485,0.229,0.235,1.28,0.01,-1.2,0.03,94.1,88.6,93.2,83.6,0.198,0.381,0.275,0.211,0.413,0.26,0.333,0.606,0.222,0.348,0.478,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-05-05,745913,Strikeout,strikeout,True,646240,657746,Rafael Devers,Joe Ryan,0,5970bfb4-4312-49f5-9096-9a1370bddbf9,657746.0,joeryan,Ryan,Right,Joe Ryan,MIN,3.53,3.08,114.2,107.0,100.0,105.0,0.757,9.73,1.49,7.53,1.26,0.74,0.244,0.431,0.203,0.283,0.481,96.0,110.0,106.0,114.0,106.0,104.0,105.0,104.0,113.0,103.0,104.0,95.0,0.051,0.485,0.229,0.235,1.28,0.01,-1.2,0.03,94.1,88.6,93.2,83.6,0.198,0.381,0.275,0.211,0.413,0.26,0.333,0.606,0.222,0.348,0.478,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-05-05,745913,Pop Out,field_out,True,608701,657746,Rob Refsnyder,Joe Ryan,0,3c913d1d-09cd-41f5-8164-91756260b65e,657746.0,joeryan,Ryan,Right,Joe Ryan,MIN,3.53,3.08,114.2,107.0,100.0,105.0,0.757,9.73,1.49,7.53,1.26,0.74,0.244,0.431,0.203,0.283,0.481,96.0,110.0,106.0,114.0,106.0,104.0,105.0,104.0,113.0,103.0,104.0,95.0,0.051,0.485,0.229,0.235,1.28,0.01,-1.2,0.03,94.1,88.6,93.2,83.6,0.198,0.381,0.275,0.211,0.413,0.26,0.333,0.606,0.222,0.348,0.478,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-05-05,745913,Lineout,field_out,True,666135,681867,Alex Kirilloff,Cooper Criswell,0,f8b4bbea-db9e-4747-b6df-c685fa2021ae,681867.0,coopercriswell,Criswell,Right,Cooper Criswell,BOS,4.03,3.69,58.0,103.0,106.0,99.0,0.832,7.76,2.33,9.0,1.09,1.4,0.197,0.506,0.208,0.309,0.406,,,,110.0,113.0,104.0,114.0,97.0,99.0,,,,0.266,,,0.3,,,1.17,-2.03,,,89.3,76.9,,,,,,,0.305,0.508,0.195,0.286,0.452,0.059,108.0,101.0,99.0,81.0,104.0,92.0,0.146,0.287,0.21,0.42,86.1,84.6,0.263,0.368,0.189,0.148,0.37,0.379,,,,,,,,,
4,2024-05-05,745913,Strikeout,strikeout,True,666397,681867,Edouard Julien,Cooper Criswell,0,4be48f2a-7e41-4f98-936a-fc29efd05cf1,681867.0,coopercriswell,Criswell,Right,Cooper Criswell,BOS,4.03,3.69,58.0,103.0,106.0,99.0,0.832,7.76,2.33,9.0,1.09,1.4,0.197,0.506,0.208,0.309,0.406,,,,110.0,113.0,104.0,114.0,97.0,99.0,,,,0.266,,,0.3,,,1.17,-2.03,,,89.3,76.9,,,,,,,0.305,0.508,0.195,0.286,0.452,0.059,108.0,101.0,99.0,81.0,104.0,92.0,0.146,0.287,0.21,0.42,86.1,84.6,0.263,0.368,0.189,0.148,0.37,0.379,,,,,,,,,
5,2024-05-05,745913,Lineout,field_out,True,680777,681867,Ryan Jeffers,Cooper Criswell,0,c5e54bd8-cb98-4fb6-888b-3942dab89449,681867.0,coopercriswell,Criswell,Right,Cooper Criswell,BOS,4.03,3.69,58.0,103.0,106.0,99.0,0.832,7.76,2.33,9.0,1.09,1.4,0.197,0.506,0.208,0.309,0.406,,,,110.0,113.0,104.0,114.0,97.0,99.0,,,,0.266,,,0.3,,,1.17,-2.03,,,89.3,76.9,,,,,,,0.305,0.508,0.195,0.286,0.452,0.059,108.0,101.0,99.0,81.0,104.0,92.0,0.146,0.287,0.21,0.42,86.1,84.6,0.263,0.368,0.189,0.148,0.37,0.379,,,,,,,,,
6,2024-05-05,745913,Strikeout,strikeout,True,677800,657746,Wilyer Abreu,Joe Ryan,0,7f52c2e9-57f4-44ff-8c19-7cfa3a8846fb,657746.0,joeryan,Ryan,Right,Joe Ryan,MIN,3.53,3.08,114.2,107.0,100.0,105.0,0.757,9.73,1.49,7.53,1.26,0.74,0.244,0.431,0.203,0.283,0.481,96.0,110.0,106.0,114.0,106.0,104.0,105.0,104.0,113.0,103.0,104.0,95.0,0.051,0.485,0.229,0.235,1.28,0.01,-1.2,0.03,94.1,88.6,93.2,83.6,0.198,0.381,0.275,0.211,0.413,0.26,0.333,0.606,0.222,0.348,0.478,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-05-05,745913,Lineout,field_out,True,687093,657746,Vaughn Grissom,Joe Ryan,0,6c062193-2714-440b-af36-a0a61463f90c,657746.0,joeryan,Ryan,Right,Joe Ryan,MIN,3.53,3.08,114.2,107.0,100.0,105.0,0.757,9.73,1.49,7.53,1.26,0.74,0.244,0.431,0.203,0.283,0.481,96.0,110.0,106.0,114.0,106.0,104.0,105.0,104.0,113.0,103.0,104.0,95.0,0.051,0.485,0.229,0.235,1.28,0.01,-1.2,0.03,94.1,88.6,93.2,83.6,0.198,0.381,0.275,0.211,0.413,0.26,0.333,0.606,0.222,0.348,0.478,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-05-05,745913,Flyout,field_out,True,642086,657746,Dominic Smith,Joe Ryan,0,83a88ac6-aae5-4ade-9fab-cd419c8a8425,657746.0,joeryan,Ryan,Right,Joe Ryan,MIN,3.53,3.08,114.2,107.0,100.0,105.0,0.757,9.73,1.49,7.53,1.26,0.74,0.244,0.431,0.203,0.283,0.481,96.0,110.0,106.0,114.0,106.0,104.0,105.0,104.0,113.0,103.0,104.0,95.0,0.051,0.485,0.229,0.235,1.28,0.01,-1.2,0.03,94.1,88.6,93.2,83.6,0.198,0.381,0.275,0.211,0.413,0.26,0.333,0.606,0.222,0.348,0.478,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-05-05,745913,Single,single,False,596146,681867,Max Kepler,Cooper Criswell,0,10ddf3dd-c28c-48d6-b1a6-11a5b6fe96f6,681867.0,coopercriswell,Criswell,Right,Cooper Criswell,BOS,4.03,3.69,58.0,103.0,106.0,99.0,0.832,7.76,2.33,9.0,1.09,1.4,0.197,0.506,0.208,0.309,0.406,,,,110.0,113.0,104.0,114.0,97.0,99.0,,,,0.266,,,0.3,,,1.17,-2.03,,,89.3,76.9,,,,,,,0.305,0.508,0.195,0.286,0.452,0.059,108.0,101.0,99.0,81.0,104.0,92.0,0.146,0.287,0.21,0.42,86.1,84.6,0.263,0.368,0.189,0.148,0.37,0.379,,,,,,,,,
