,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,SI%,FA%,SL%,KC%,wFA/C,wSI/C,wSL/C,wKC/C,vFA,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,CU%,CH%,wCU/C,wCH/C,vCH,vCU,CH_ba,CH_slg,CH_whiff,FS_ba,FS_slg,FS_whiff
0,2024-07-10,745155,Flyout,field_out,True,672580,669467,Maikel Garcia,Andre Pallante,0,b60c0c75-e105-41fc-9654-8b9dfae3460f,669467.0,andrepallante,Pallante,Right,Andre Pallante,STL,4.21,3.64,51.1,95.0,92.0,96.0,0.83,7.19,3.33,9.12,0.88,2.27,0.256,0.365,0.212,0.231,0.425,86.0,90.0,94.0,87.0,98.0,85.0,120.0,101.0,109.0,93.0,101.0,108.0,0.215,0.502,0.149,0.134,0.91,0.26,-2.57,1.18,94.8,95.1,88.1,79.8,0.272,0.37,0.16,0.225,0.325,0.151,0.103,0.207,0.354,0.44,0.64,0.302,,,,,,,,,,,,,,,,,,
1,2024-07-10,745155,Groundout,field_out,True,677951,669467,Bobby Witt Jr.,Andre Pallante,0,503124da-f470-4e92-ad80-9da8b63873af,669467.0,andrepallante,Pallante,Right,Andre Pallante,STL,4.21,3.64,51.1,95.0,92.0,96.0,0.83,7.19,3.33,9.12,0.88,2.27,0.256,0.365,0.212,0.231,0.425,86.0,90.0,94.0,87.0,98.0,85.0,120.0,101.0,109.0,93.0,101.0,108.0,0.215,0.502,0.149,0.134,0.91,0.26,-2.57,1.18,94.8,95.1,88.1,79.8,0.272,0.37,0.16,0.225,0.325,0.151,0.103,0.207,0.354,0.44,0.64,0.302,,,,,,,,,,,,,,,,,,
2,2024-07-10,745155,Groundout,field_out,True,686469,669467,Vinnie Pasquantino,Andre Pallante,0,99fb70cc-6afc-4ab8-8edb-7a13f305f3df,669467.0,andrepallante,Pallante,Right,Andre Pallante,STL,4.21,3.64,51.1,95.0,92.0,96.0,0.83,7.19,3.33,9.12,0.88,2.27,0.256,0.365,0.212,0.231,0.425,86.0,90.0,94.0,87.0,98.0,85.0,120.0,101.0,109.0,93.0,101.0,108.0,0.215,0.502,0.149,0.134,0.91,0.26,-2.57,1.18,94.8,95.1,88.1,79.8,0.272,0.37,0.16,0.225,0.325,0.151,0.103,0.207,0.354,0.44,0.64,0.302,,,,,,,,,,,,,,,,,,
3,2024-07-10,745155,Groundout,field_out,True,691026,679525,Masyn Winn,Alec Marsh,0,181b97da-8573-4868-ad35-612b8a75105a,679525.0,alecmarsh,Marsh,Right,Alec Marsh,KCR,4.52,4.96,91.2,100.0,100.0,100.0,0.797,8.25,2.85,8.25,1.28,0.84,0.248,0.391,0.169,0.353,0.438,91.0,100.0,96.0,99.0,98.0,95.0,121.0,98.0,106.0,,,,0.139,0.376,0.221,,0.97,-2.75,0.02,,94.2,93.5,86.4,,0.191,0.327,0.231,0.35,0.617,0.096,0.268,0.482,0.275,0.118,0.118,0.355,93.0,96.0,97.0,98.0,106.0,104.0,0.156,0.108,-1.25,1.03,86.5,82.9,0.189,0.216,0.163,,,
4,2024-07-10,745155,Groundout,field_out,True,676475,679525,Alec Burleson,Alec Marsh,0,6837e342-60f2-43bb-b2a9-f4d1e40c4e98,679525.0,alecmarsh,Marsh,Right,Alec Marsh,KCR,4.52,4.96,91.2,100.0,100.0,100.0,0.797,8.25,2.85,8.25,1.28,0.84,0.248,0.391,0.169,0.353,0.438,91.0,100.0,96.0,99.0,98.0,95.0,121.0,98.0,106.0,,,,0.139,0.376,0.221,,0.97,-2.75,0.02,,94.2,93.5,86.4,,0.191,0.327,0.231,0.35,0.617,0.096,0.268,0.482,0.275,0.118,0.118,0.355,93.0,96.0,97.0,98.0,106.0,104.0,0.156,0.108,-1.25,1.03,86.5,82.9,0.189,0.216,0.163,,,
5,2024-07-10,745155,Single,single,False,575929,679525,Willson Contreras,Alec Marsh,0,fc54f4e2-45ee-4ce8-972a-2256f349c866,679525.0,alecmarsh,Marsh,Right,Alec Marsh,KCR,4.52,4.96,91.2,100.0,100.0,100.0,0.797,8.25,2.85,8.25,1.28,0.84,0.248,0.391,0.169,0.353,0.438,91.0,100.0,96.0,99.0,98.0,95.0,121.0,98.0,106.0,,,,0.139,0.376,0.221,,0.97,-2.75,0.02,,94.2,93.5,86.4,,0.191,0.327,0.231,0.35,0.617,0.096,0.268,0.482,0.275,0.118,0.118,0.355,93.0,96.0,97.0,98.0,106.0,104.0,0.156,0.108,-1.25,1.03,86.5,82.9,0.189,0.216,0.163,,,
6,2024-07-10,745155,Strikeout,strikeout,True,502671,679525,Paul Goldschmidt,Alec Marsh,0,a969b02e-1743-4b95-aa36-de158df612a2,679525.0,alecmarsh,Marsh,Right,Alec Marsh,KCR,4.52,4.96,91.2,100.0,100.0,100.0,0.797,8.25,2.85,8.25,1.28,0.84,0.248,0.391,0.169,0.353,0.438,91.0,100.0,96.0,99.0,98.0,95.0,121.0,98.0,106.0,,,,0.139,0.376,0.221,,0.97,-2.75,0.02,,94.2,93.5,86.4,,0.191,0.327,0.231,0.35,0.617,0.096,0.268,0.482,0.275,0.118,0.118,0.355,93.0,96.0,97.0,98.0,106.0,104.0,0.156,0.108,-1.25,1.03,86.5,82.9,0.189,0.216,0.163,,,
7,2024-07-10,745155,Flyout,field_out,True,521692,669467,Salvador Perez,Andre Pallante,0,07e13ba4-d06c-48d8-957f-290bab7cb568,669467.0,andrepallante,Pallante,Right,Andre Pallante,STL,4.21,3.64,51.1,95.0,92.0,96.0,0.83,7.19,3.33,9.12,0.88,2.27,0.256,0.365,0.212,0.231,0.425,86.0,90.0,94.0,87.0,98.0,85.0,120.0,101.0,109.0,93.0,101.0,108.0,0.215,0.502,0.149,0.134,0.91,0.26,-2.57,1.18,94.8,95.1,88.1,79.8,0.272,0.37,0.16,0.225,0.325,0.151,0.103,0.207,0.354,0.44,0.64,0.302,,,,,,,,,,,,,,,,,,
8,2024-07-10,745155,Single,single,False,592669,669467,Hunter Renfroe,Andre Pallante,0,e27be3d4-ca75-4a61-8194-b1bbb2249593,669467.0,andrepallante,Pallante,Right,Andre Pallante,STL,4.21,3.64,51.1,95.0,92.0,96.0,0.83,7.19,3.33,9.12,0.88,2.27,0.256,0.365,0.212,0.231,0.425,86.0,90.0,94.0,87.0,98.0,85.0,120.0,101.0,109.0,93.0,101.0,108.0,0.215,0.502,0.149,0.134,0.91,0.26,-2.57,1.18,94.8,95.1,88.1,79.8,0.272,0.37,0.16,0.225,0.325,0.151,0.103,0.207,0.354,0.44,0.64,0.302,,,,,,,,,,,,,,,,,,
9,2024-07-10,745155,Groundout,field_out,True,666023,669467,Freddy Fermin,Andre Pallante,1,9d8f823e-a0ae-47a6-89f7-787427cc130d,669467.0,andrepallante,Pallante,Right,Andre Pallante,STL,4.21,3.64,51.1,95.0,92.0,96.0,0.83,7.19,3.33,9.12,0.88,2.27,0.256,0.365,0.212,0.231,0.425,86.0,90.0,94.0,87.0,98.0,85.0,120.0,101.0,109.0,93.0,101.0,108.0,0.215,0.502,0.149,0.134,0.91,0.26,-2.57,1.18,94.8,95.1,88.1,79.8,0.272,0.37,0.16,0.225,0.325,0.151,0.103,0.207,0.354,0.44,0.64,0.302,,,,,,,,,,,,,,,,,,
