,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,SL%,CH%,wFC/C,wSI/C,wSL/C,wCH/C,vFC,vCH,vSI,vSL,CH_ba,CH_slg,CH_whiff,ST_ba,ST_slg,ST_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,Stf+ FA,Loc+ FA,Pit+ FA,FA%,wFA/C,vFA,FF_ba,FF_slg,FF_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff
0,2024-09-07,746911,Groundout,field_out,True,670032,681867,Nicky Lopez,Cooper Criswell,0,900ab098-bf66-4f26-b8a0-f546b47293a4,681867.0,coopercriswell,Criswell,Right,Cooper Criswell,BOS,4.11,4.19,92.0,102.0,101.0,99.0,0.851,6.46,2.64,9.39,0.88,1.57,0.205,0.486,0.154,0.332,0.408,101.0,102.0,100.0,104.0,109.0,101.0,110.0,95.0,99.0,79.0,102.0,93.0,0.296,0.156,0.291,0.258,0.48,1.05,-2.33,0.51,86.3,84.4,89.1,77.1,0.258,0.347,0.173,0.303,0.506,0.196,0.307,0.466,0.068,0.159,0.318,0.284,0.6,1.2,0.091,,,,,,,,,,,,,,,,,,
1,2024-09-07,746911,Lineout,field_out,True,673357,681867,Luis Robert Jr.,Cooper Criswell,0,329b87f3-c1ba-4f31-a102-def6193ab760,681867.0,coopercriswell,Criswell,Right,Cooper Criswell,BOS,4.11,4.19,92.0,102.0,101.0,99.0,0.851,6.46,2.64,9.39,0.88,1.57,0.205,0.486,0.154,0.332,0.408,101.0,102.0,100.0,104.0,109.0,101.0,110.0,95.0,99.0,79.0,102.0,93.0,0.296,0.156,0.291,0.258,0.48,1.05,-2.33,0.51,86.3,84.4,89.1,77.1,0.258,0.347,0.173,0.303,0.506,0.196,0.307,0.466,0.068,0.159,0.318,0.284,0.6,1.2,0.091,,,,,,,,,,,,,,,,,,
2,2024-09-07,746911,Single,single,False,643217,681867,Andrew Benintendi,Cooper Criswell,0,e2510e4e-4cc1-4c1d-8a55-a23b0a214a0e,681867.0,coopercriswell,Criswell,Right,Cooper Criswell,BOS,4.11,4.19,92.0,102.0,101.0,99.0,0.851,6.46,2.64,9.39,0.88,1.57,0.205,0.486,0.154,0.332,0.408,101.0,102.0,100.0,104.0,109.0,101.0,110.0,95.0,99.0,79.0,102.0,93.0,0.296,0.156,0.291,0.258,0.48,1.05,-2.33,0.51,86.3,84.4,89.1,77.1,0.258,0.347,0.173,0.303,0.506,0.196,0.307,0.466,0.068,0.159,0.318,0.284,0.6,1.2,0.091,,,,,,,,,,,,,,,,,,
3,2024-09-07,746911,Home Run,home_run,False,683734,681867,Andrew Vaughn,Cooper Criswell,1,78934529-93c5-4ac4-85f8-98e4d11d1801,681867.0,coopercriswell,Criswell,Right,Cooper Criswell,BOS,4.11,4.19,92.0,102.0,101.0,99.0,0.851,6.46,2.64,9.39,0.88,1.57,0.205,0.486,0.154,0.332,0.408,101.0,102.0,100.0,104.0,109.0,101.0,110.0,95.0,99.0,79.0,102.0,93.0,0.296,0.156,0.291,0.258,0.48,1.05,-2.33,0.51,86.3,84.4,89.1,77.1,0.258,0.347,0.173,0.303,0.506,0.196,0.307,0.466,0.068,0.159,0.318,0.284,0.6,1.2,0.091,,,,,,,,,,,,,,,,,,
4,2024-09-07,746911,Lineout,field_out,True,657757,681867,Gavin Sheets,Cooper Criswell,0,35993010-a088-42c3-84b3-75b7a4934397,681867.0,coopercriswell,Criswell,Right,Cooper Criswell,BOS,4.11,4.19,92.0,102.0,101.0,99.0,0.851,6.46,2.64,9.39,0.88,1.57,0.205,0.486,0.154,0.332,0.408,101.0,102.0,100.0,104.0,109.0,101.0,110.0,95.0,99.0,79.0,102.0,93.0,0.296,0.156,0.291,0.258,0.48,1.05,-2.33,0.51,86.3,84.4,89.1,77.1,0.258,0.347,0.173,0.303,0.506,0.196,0.307,0.466,0.068,0.159,0.318,0.284,0.6,1.2,0.091,,,,,,,,,,,,,,,,,,
5,2024-09-07,746911,Single,single,False,680776,676979,Jarren Duran,Garrett Crochet,0,b5f8f08d-7765-48a4-8057-d1d7f1d8e240,676979.0,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.83,2.94,134.0,103.0,102.0,103.0,0.699,12.83,2.15,7.72,1.21,1.28,0.251,0.402,0.173,0.337,0.46,67.0,101.0,102.0,120.0,59.0,59.0,138.0,100.0,104.0,94.0,104.0,103.0,0.006,0.288,0.097,0.059,-0.29,0.48,-2.59,-0.1,91.5,90.9,96.8,84.2,0.171,0.286,0.308,0.22,0.58,0.4,0.25,0.25,0.125,0.272,0.467,0.322,,,,104.0,103.0,103.0,0.55,1.6,97.1,0.201,0.299,0.317,,,,,,,,,
6,2024-09-07,746911,Double,double,False,646240,676979,Rafael Devers,Garrett Crochet,1,7069407f-1f59-48a7-ab7d-287246766971,676979.0,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.83,2.94,134.0,103.0,102.0,103.0,0.699,12.83,2.15,7.72,1.21,1.28,0.251,0.402,0.173,0.337,0.46,67.0,101.0,102.0,120.0,59.0,59.0,138.0,100.0,104.0,94.0,104.0,103.0,0.006,0.288,0.097,0.059,-0.29,0.48,-2.59,-0.1,91.5,90.9,96.8,84.2,0.171,0.286,0.308,0.22,0.58,0.4,0.25,0.25,0.125,0.272,0.467,0.322,,,,104.0,103.0,103.0,0.55,1.6,97.1,0.201,0.299,0.317,,,,,,,,,
7,2024-09-07,746911,Groundout,field_out,True,608701,676979,Rob Refsnyder,Garrett Crochet,1,be48c603-bee8-4b41-9445-2feb1270ad7f,676979.0,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.83,2.94,134.0,103.0,102.0,103.0,0.699,12.83,2.15,7.72,1.21,1.28,0.251,0.402,0.173,0.337,0.46,67.0,101.0,102.0,120.0,59.0,59.0,138.0,100.0,104.0,94.0,104.0,103.0,0.006,0.288,0.097,0.059,-0.29,0.48,-2.59,-0.1,91.5,90.9,96.8,84.2,0.171,0.286,0.308,0.22,0.58,0.4,0.25,0.25,0.125,0.272,0.467,0.322,,,,104.0,103.0,103.0,0.55,1.6,97.1,0.201,0.299,0.317,,,,,,,,,
8,2024-09-07,746911,Home Run,home_run,False,641933,676979,Tyler O'Neill,Garrett Crochet,1,9587dd3f-b3e0-4136-bee8-4f1ec5d92a36,676979.0,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.83,2.94,134.0,103.0,102.0,103.0,0.699,12.83,2.15,7.72,1.21,1.28,0.251,0.402,0.173,0.337,0.46,67.0,101.0,102.0,120.0,59.0,59.0,138.0,100.0,104.0,94.0,104.0,103.0,0.006,0.288,0.097,0.059,-0.29,0.48,-2.59,-0.1,91.5,90.9,96.8,84.2,0.171,0.286,0.308,0.22,0.58,0.4,0.25,0.25,0.125,0.272,0.467,0.322,,,,104.0,103.0,103.0,0.55,1.6,97.1,0.201,0.299,0.317,,,,,,,,,
9,2024-09-07,746911,Single,single,False,663853,676979,Romy Gonzalez,Garrett Crochet,0,7796cf03-4cc9-4e2a-9980-f94b3e36bcf9,676979.0,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.83,2.94,134.0,103.0,102.0,103.0,0.699,12.83,2.15,7.72,1.21,1.28,0.251,0.402,0.173,0.337,0.46,67.0,101.0,102.0,120.0,59.0,59.0,138.0,100.0,104.0,94.0,104.0,103.0,0.006,0.288,0.097,0.059,-0.29,0.48,-2.59,-0.1,91.5,90.9,96.8,84.2,0.171,0.286,0.308,0.22,0.58,0.4,0.25,0.25,0.125,0.272,0.467,0.322,,,,104.0,103.0,103.0,0.55,1.6,97.1,0.201,0.299,0.317,,,,,,,,,
