,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
10,2024-09-25,745442,Flyout,field_out,True,686217,682847,Sal Frelick,Luis L. Ortiz,0,4712e0c6-1a3c-468c-81c2-5199bac317b9,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,PIT,3.32,4.28,135.2,100.0,104.0,99.0,0.816,7.1,2.79,7.23,1.06,0.94,0.246,0.425,0.166,0.291,0.443,66.0,87.0,88.0,97.0,104.0,97.0,105.0,97.0,95.0,121.0,102.0,109.0,90.0,100.0,94.0,0.258,0.268,0.197,0.268,0.009,1.02,0.71,1.13,-0.41,0.21,95.9,91.0,90.6,94.9,85.8,0.237,0.374,0.129,0.187,0.331,0.208,0.203,0.392,0.307,0.273,0.416,0.168,,,,,,,,,,,,,,,,,,,,,
11,2024-09-25,745442,Strikeout,strikeout,True,457705,642547,Andrew McCutchen,Freddy Peralta,0,69101ecf-9b14-4bbd-a33b-cf5ebd5fe3a7,642547.0,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.68,3.88,173.2,98.0,103.0,100.0,0.719,10.36,3.52,7.41,1.35,0.82,0.262,0.376,0.201,0.318,0.373,84.0,92.0,88.0,112.0,99.0,101.0,,,,98.0,99.0,105.0,,,,,0.539,,0.217,0.175,0.05,,,-0.09,0.84,94.3,,87.7,,81.4,,,,0.239,0.424,0.25,0.201,0.381,0.407,,,,104.0,106.0,110.0,0.07,0.36,78.1,0.218,0.291,0.369,0.186,0.349,0.381,,,,,,,,,
12,2024-09-25,745442,Strikeout,strikeout,True,693304,642547,Nick Gonzales,Freddy Peralta,0,a0c89773-dc68-4826-af9d-42f04934f97a,642547.0,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.68,3.88,173.2,98.0,103.0,100.0,0.719,10.36,3.52,7.41,1.35,0.82,0.262,0.376,0.201,0.318,0.373,84.0,92.0,88.0,112.0,99.0,101.0,,,,98.0,99.0,105.0,,,,,0.539,,0.217,0.175,0.05,,,-0.09,0.84,94.3,,87.7,,81.4,,,,0.239,0.424,0.25,0.201,0.381,0.407,,,,104.0,106.0,110.0,0.07,0.36,78.1,0.218,0.291,0.369,0.186,0.349,0.381,,,,,,,,,
13,2024-09-25,745442,Strikeout,strikeout,True,669707,642547,Jared Triolo,Freddy Peralta,0,7c5bb3b4-187c-4735-9ccc-853c29b22453,642547.0,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.68,3.88,173.2,98.0,103.0,100.0,0.719,10.36,3.52,7.41,1.35,0.82,0.262,0.376,0.201,0.318,0.373,84.0,92.0,88.0,112.0,99.0,101.0,,,,98.0,99.0,105.0,,,,,0.539,,0.217,0.175,0.05,,,-0.09,0.84,94.3,,87.7,,81.4,,,,0.239,0.424,0.25,0.201,0.381,0.407,,,,104.0,106.0,110.0,0.07,0.36,78.1,0.218,0.291,0.369,0.186,0.349,0.381,,,,,,,,,
14,2024-09-25,745442,Groundout,field_out,True,687401,682847,Joey Ortiz,Luis L. Ortiz,0,22f8e5b5-e688-4ef0-981c-b7227c57b10f,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,PIT,3.32,4.28,135.2,100.0,104.0,99.0,0.816,7.1,2.79,7.23,1.06,0.94,0.246,0.425,0.166,0.291,0.443,66.0,87.0,88.0,97.0,104.0,97.0,105.0,97.0,95.0,121.0,102.0,109.0,90.0,100.0,94.0,0.258,0.268,0.197,0.268,0.009,1.02,0.71,1.13,-0.41,0.21,95.9,91.0,90.6,94.9,85.8,0.237,0.374,0.129,0.187,0.331,0.208,0.203,0.392,0.307,0.273,0.416,0.168,,,,,,,,,,,,,,,,,,,,,
15,2024-09-25,745442,Flyout,field_out,True,668930,682847,Brice Turang,Luis L. Ortiz,0,3a3775fb-0ec8-4dc4-9693-de9155400df1,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,PIT,3.32,4.28,135.2,100.0,104.0,99.0,0.816,7.1,2.79,7.23,1.06,0.94,0.246,0.425,0.166,0.291,0.443,66.0,87.0,88.0,97.0,104.0,97.0,105.0,97.0,95.0,121.0,102.0,109.0,90.0,100.0,94.0,0.258,0.268,0.197,0.268,0.009,1.02,0.71,1.13,-0.41,0.21,95.9,91.0,90.6,94.9,85.8,0.237,0.374,0.129,0.187,0.331,0.208,0.203,0.392,0.307,0.273,0.416,0.168,,,,,,,,,,,,,,,,,,,,,
16,2024-09-25,745442,Flyout,field_out,True,694192,682847,Jackson Chourio,Luis L. Ortiz,0,5b1b8492-1f56-4929-ab56-91d3e6e6eb66,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,PIT,3.32,4.28,135.2,100.0,104.0,99.0,0.816,7.1,2.79,7.23,1.06,0.94,0.246,0.425,0.166,0.291,0.443,66.0,87.0,88.0,97.0,104.0,97.0,105.0,97.0,95.0,121.0,102.0,109.0,90.0,100.0,94.0,0.258,0.268,0.197,0.268,0.009,1.02,0.71,1.13,-0.41,0.21,95.9,91.0,90.6,94.9,85.8,0.237,0.374,0.129,0.187,0.331,0.208,0.203,0.392,0.307,0.273,0.416,0.168,,,,,,,,,,,,,,,,,,,,,
17,2024-09-25,745442,Groundout,field_out,True,518735,642547,Yasmani Grandal,Freddy Peralta,0,e1abd063-ab98-40d2-9e77-1c57263c42f4,642547.0,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.68,3.88,173.2,98.0,103.0,100.0,0.719,10.36,3.52,7.41,1.35,0.82,0.262,0.376,0.201,0.318,0.373,84.0,92.0,88.0,112.0,99.0,101.0,,,,98.0,99.0,105.0,,,,,0.539,,0.217,0.175,0.05,,,-0.09,0.84,94.3,,87.7,,81.4,,,,0.239,0.424,0.25,0.201,0.381,0.407,,,,104.0,106.0,110.0,0.07,0.36,78.1,0.218,0.291,0.369,0.186,0.349,0.381,,,,,,,,,
18,2024-09-25,745442,Strikeout,strikeout,True,694377,642547,Nick Yorke,Freddy Peralta,0,170d9f6e-3042-4130-b0ad-db04e6e4ae2e,642547.0,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.68,3.88,173.2,98.0,103.0,100.0,0.719,10.36,3.52,7.41,1.35,0.82,0.262,0.376,0.201,0.318,0.373,84.0,92.0,88.0,112.0,99.0,101.0,,,,98.0,99.0,105.0,,,,,0.539,,0.217,0.175,0.05,,,-0.09,0.84,94.3,,87.7,,81.4,,,,0.239,0.424,0.25,0.201,0.381,0.407,,,,104.0,106.0,110.0,0.07,0.36,78.1,0.218,0.291,0.369,0.186,0.349,0.381,,,,,,,,,
19,2024-09-25,745442,Lineout,field_out,True,678894,642547,Liover Peguero,Freddy Peralta,0,6ef15682-f36c-4c10-85d0-a1e9161c0e99,642547.0,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.68,3.88,173.2,98.0,103.0,100.0,0.719,10.36,3.52,7.41,1.35,0.82,0.262,0.376,0.201,0.318,0.373,84.0,92.0,88.0,112.0,99.0,101.0,,,,98.0,99.0,105.0,,,,,0.539,,0.217,0.175,0.05,,,-0.09,0.84,94.3,,87.7,,81.4,,,,0.239,0.424,0.25,0.201,0.381,0.407,,,,104.0,106.0,110.0,0.07,0.36,78.1,0.218,0.291,0.369,0.186,0.349,0.381,,,,,,,,,
20,2024-09-25,745442,Single,single,False,661388,682847,William Contreras,Luis L. Ortiz,0,16e30494-a48f-46d7-a056-8d26bb9d872e,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,PIT,3.32,4.28,135.2,100.0,104.0,99.0,0.816,7.1,2.79,7.23,1.06,0.94,0.246,0.425,0.166,0.291,0.443,66.0,87.0,88.0,97.0,104.0,97.0,105.0,97.0,95.0,121.0,102.0,109.0,90.0,100.0,94.0,0.258,0.268,0.197,0.268,0.009,1.02,0.71,1.13,-0.41,0.21,95.9,91.0,90.6,94.9,85.8,0.237,0.374,0.129,0.187,0.331,0.208,0.203,0.392,0.307,0.273,0.416,0.168,,,,,,,,,,,,,,,,,,,,,
21,2024-09-25,745442,Strikeout,strikeout,True,669003,682847,Garrett Mitchell,Luis L. Ortiz,0,0ef84bd2-4b80-4448-a703-7b60a6092523,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,PIT,3.32,4.28,135.2,100.0,104.0,99.0,0.816,7.1,2.79,7.23,1.06,0.94,0.246,0.425,0.166,0.291,0.443,66.0,87.0,88.0,97.0,104.0,97.0,105.0,97.0,95.0,121.0,102.0,109.0,90.0,100.0,94.0,0.258,0.268,0.197,0.268,0.009,1.02,0.71,1.13,-0.41,0.21,95.9,91.0,90.6,94.9,85.8,0.237,0.374,0.129,0.187,0.331,0.208,0.203,0.392,0.307,0.273,0.416,0.168,,,,,,,,,,,,,,,,,,,,,
