,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,FA%,SL%,KC%,wFA/C,wSL/C,wKC/C,vFA,vSL,vKC,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CH%,wSI/C,wCH/C,vCH,vSI,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff
0,2024-07-30,745309,Flyout,field_out,True,671732,592662,Lawrence Butler,Robbie Ray,0,f9e8c420-5dc7-4a76-9dd4-359d8541801a,592662.0,robbieray,Ray,Left,Robbie Ray,SFG,4.7,3.78,30.2,95.0,103.0,95.0,0.667,12.62,4.4,5.87,1.76,0.53,0.344,0.391,0.281,0.219,0.377,96.0,98.0,97.0,100.0,91.0,91.0,133.0,95.0,100.0,0.528,0.322,0.15,0.48,0.19,-2.63,94.1,88.4,83.5,0.167,0.367,0.264,0.148,0.222,0.458,0.316,0.684,0.489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-07-30,745309,Single,single,False,609280,592662,Miguel Andujar,Robbie Ray,0,0860d64a-2a9b-4d07-9afa-ac5f7245a8ec,592662.0,robbieray,Ray,Left,Robbie Ray,SFG,4.7,3.78,30.2,95.0,103.0,95.0,0.667,12.62,4.4,5.87,1.76,0.53,0.344,0.391,0.281,0.219,0.377,96.0,98.0,97.0,100.0,91.0,91.0,133.0,95.0,100.0,0.528,0.322,0.15,0.48,0.19,-2.63,94.1,88.4,83.5,0.167,0.367,0.264,0.148,0.222,0.458,0.316,0.684,0.489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-07-30,745309,Walk,walk,False,667670,592662,Brent Rooker,Robbie Ray,1,78867b52-ecc9-4de7-bda4-161b52645a53,592662.0,robbieray,Ray,Left,Robbie Ray,SFG,4.7,3.78,30.2,95.0,103.0,95.0,0.667,12.62,4.4,5.87,1.76,0.53,0.344,0.391,0.281,0.219,0.377,96.0,98.0,97.0,100.0,91.0,91.0,133.0,95.0,100.0,0.528,0.322,0.15,0.48,0.19,-2.63,94.1,88.4,83.5,0.167,0.367,0.264,0.148,0.222,0.458,0.316,0.684,0.489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-07-30,745309,Strikeout,strikeout,True,669127,592662,Shea Langeliers,Robbie Ray,0,92d98b9a-8f45-4b8e-b170-53624cafb7f2,592662.0,robbieray,Ray,Left,Robbie Ray,SFG,4.7,3.78,30.2,95.0,103.0,95.0,0.667,12.62,4.4,5.87,1.76,0.53,0.344,0.391,0.281,0.219,0.377,96.0,98.0,97.0,100.0,91.0,91.0,133.0,95.0,100.0,0.528,0.322,0.15,0.48,0.19,-2.63,94.1,88.4,83.5,0.167,0.367,0.264,0.148,0.222,0.458,0.316,0.684,0.489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-07-30,745309,Groundout,field_out,True,666149,676664,Tyler Fitzgerald,JP Sears,0,693821de-cf4f-4cc5-afd4-f5f32e1ce120,676664.0,jpsears,Sears,Left,JP Sears,OAK,4.35,4.35,144.2,100.0,93.0,95.0,0.791,7.03,2.36,8.59,1.31,0.85,0.239,0.423,0.166,0.341,0.444,74.0,102.0,94.0,119.0,99.0,105.0,,,,0.354,0.351,,-0.39,-0.46,,92.0,78.9,,0.213,0.431,0.274,0.273,0.659,0.234,,,,87.0,95.0,84.0,90.0,101.0,88.0,0.109,0.187,1.05,0.0,84.2,90.1,0.246,0.403,0.215,0.306,0.417,0.209,0.295,0.41,0.116,,,,,,,,,
5,2024-07-30,745309,Pop Out,field_out,True,669477,676664,Casey Schmitt,JP Sears,0,c538dd13-0b4c-47f0-a4da-d63294775462,676664.0,jpsears,Sears,Left,JP Sears,OAK,4.35,4.35,144.2,100.0,93.0,95.0,0.791,7.03,2.36,8.59,1.31,0.85,0.239,0.423,0.166,0.341,0.444,74.0,102.0,94.0,119.0,99.0,105.0,,,,0.354,0.351,,-0.39,-0.46,,92.0,78.9,,0.213,0.431,0.274,0.273,0.659,0.234,,,,87.0,95.0,84.0,90.0,101.0,88.0,0.109,0.187,1.05,0.0,84.2,90.1,0.246,0.403,0.215,0.306,0.417,0.209,0.295,0.41,0.116,,,,,,,,,
6,2024-07-30,745309,Single,single,False,671218,676664,Heliot Ramos,JP Sears,0,1432e4b2-e79b-48b3-bbda-732f5d2235ce,676664.0,jpsears,Sears,Left,JP Sears,OAK,4.35,4.35,144.2,100.0,93.0,95.0,0.791,7.03,2.36,8.59,1.31,0.85,0.239,0.423,0.166,0.341,0.444,74.0,102.0,94.0,119.0,99.0,105.0,,,,0.354,0.351,,-0.39,-0.46,,92.0,78.9,,0.213,0.431,0.274,0.273,0.659,0.234,,,,87.0,95.0,84.0,90.0,101.0,88.0,0.109,0.187,1.05,0.0,84.2,90.1,0.246,0.403,0.215,0.306,0.417,0.209,0.295,0.41,0.116,,,,,,,,,
7,2024-07-30,745309,Caught Stealing 2B,caught_stealing_2b,True,656305,676664,Matt Chapman,JP Sears,0,3efb9282-d878-417d-93ff-6ddee5e8e5bc,676664.0,jpsears,Sears,Left,JP Sears,OAK,4.35,4.35,144.2,100.0,93.0,95.0,0.791,7.03,2.36,8.59,1.31,0.85,0.239,0.423,0.166,0.341,0.444,74.0,102.0,94.0,119.0,99.0,105.0,,,,0.354,0.351,,-0.39,-0.46,,92.0,78.9,,0.213,0.431,0.274,0.273,0.659,0.234,,,,87.0,95.0,84.0,90.0,101.0,88.0,0.109,0.187,1.05,0.0,84.2,90.1,0.246,0.403,0.215,0.306,0.417,0.209,0.295,0.41,0.116,,,,,,,,,
8,2024-07-30,745309,Home Run,home_run,False,663662,592662,Daz Cameron,Robbie Ray,0,6438164e-a1b1-4321-857a-846d2fb54fa7,592662.0,robbieray,Ray,Left,Robbie Ray,SFG,4.7,3.78,30.2,95.0,103.0,95.0,0.667,12.62,4.4,5.87,1.76,0.53,0.344,0.391,0.281,0.219,0.377,96.0,98.0,97.0,100.0,91.0,91.0,133.0,95.0,100.0,0.528,0.322,0.15,0.48,0.19,-2.63,94.1,88.4,83.5,0.167,0.367,0.264,0.148,0.222,0.458,0.316,0.684,0.489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-07-30,745309,Strikeout,strikeout,True,663527,592662,Tyler Nevin,Robbie Ray,0,73ea953c-9930-49e6-8fc9-cd3bdde8760b,592662.0,robbieray,Ray,Left,Robbie Ray,SFG,4.7,3.78,30.2,95.0,103.0,95.0,0.667,12.62,4.4,5.87,1.76,0.53,0.344,0.391,0.281,0.219,0.377,96.0,98.0,97.0,100.0,91.0,91.0,133.0,95.0,100.0,0.528,0.322,0.15,0.48,0.19,-2.63,94.1,88.4,83.5,0.167,0.367,0.264,0.148,0.222,0.458,0.316,0.684,0.489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
