,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,KC%,wFC/C,wKC/C,vFC,vKC,FC_ba,FC_slg,FC_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-05-28,745903,Lineout,field_out,True,672580,680573,Maikel Garcia,Simeon Woods Richardson,0,88298644-b4ff-4b16-ba30-6f4d5204e2e7,680573.0,simeonwoodsrichardson,Woods Richardson,Right,Simeon Woods Richardson,MIN,3.51,3.82,82.0,106.0,87.0,101.0,0.81,7.79,2.63,7.68,0.88,0.88,0.31,0.401,0.145,0.293,0.439,101.0,107.0,112.0,96.0,102.0,101.0,72.0,101.0,89.0,95.0,112.0,109.0,0.4,0.309,0.078,0.213,1.41,1.55,0.19,-2.69,93.1,82.9,86.7,75.4,0.248,0.291,0.201,0.181,0.284,0.257,0.268,0.571,0.18,0.278,0.556,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-05-28,745903,Flyout,field_out,True,677951,680573,Bobby Witt Jr.,Simeon Woods Richardson,0,8afcde78-ae41-4abc-885c-682e0b9b8bbf,680573.0,simeonwoodsrichardson,Woods Richardson,Right,Simeon Woods Richardson,MIN,3.51,3.82,82.0,106.0,87.0,101.0,0.81,7.79,2.63,7.68,0.88,0.88,0.31,0.401,0.145,0.293,0.439,101.0,107.0,112.0,96.0,102.0,101.0,72.0,101.0,89.0,95.0,112.0,109.0,0.4,0.309,0.078,0.213,1.41,1.55,0.19,-2.69,93.1,82.9,86.7,75.4,0.248,0.291,0.201,0.181,0.284,0.257,0.268,0.571,0.18,0.278,0.556,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-05-28,745903,Groundout,field_out,True,521692,680573,Salvador Perez,Simeon Woods Richardson,0,ecf3686d-436f-4e38-af03-b440fe1dc800,680573.0,simeonwoodsrichardson,Woods Richardson,Right,Simeon Woods Richardson,MIN,3.51,3.82,82.0,106.0,87.0,101.0,0.81,7.79,2.63,7.68,0.88,0.88,0.31,0.401,0.145,0.293,0.439,101.0,107.0,112.0,96.0,102.0,101.0,72.0,101.0,89.0,95.0,112.0,109.0,0.4,0.309,0.078,0.213,1.41,1.55,0.19,-2.69,93.1,82.9,86.7,75.4,0.248,0.291,0.201,0.181,0.284,0.257,0.268,0.571,0.18,0.278,0.556,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-05-28,745903,Single,single,False,622534,666142,Manuel Margot,Cole Ragans,0,fb68ba90-8fe7-42e3-8a55-51f41d67f4f2,666142.0,coleragans,Ragans,Left,Cole Ragans,KCR,3.16,3.27,116.2,99.0,109.0,104.0,0.692,10.88,2.93,7.33,0.62,1.07,0.254,0.39,0.159,0.295,0.409,110.0,99.0,102.0,,,,109.0,101.0,107.0,134.0,103.0,112.0,0.406,0.12,,0.247,1.1,-1.6,,1.11,95.8,85.3,86.7,,0.206,0.351,0.239,0.242,0.387,0.368,0.205,0.286,0.493,0.158,0.158,0.354,99.0,94.0,100.0,89.0,98.0,93.0,0.128,0.099,1.57,1.27,91.3,81.1,0.304,0.326,0.224,,,,,,,,,,,,,,,,,,
4,2024-05-28,745903,Double,double,False,621043,666142,Carlos Correa,Cole Ragans,1,6e5e75dc-1790-4c00-a5e6-897b0c46e529,666142.0,coleragans,Ragans,Left,Cole Ragans,KCR,3.16,3.27,116.2,99.0,109.0,104.0,0.692,10.88,2.93,7.33,0.62,1.07,0.254,0.39,0.159,0.295,0.409,110.0,99.0,102.0,,,,109.0,101.0,107.0,134.0,103.0,112.0,0.406,0.12,,0.247,1.1,-1.6,,1.11,95.8,85.3,86.7,,0.206,0.351,0.239,0.242,0.387,0.368,0.205,0.286,0.493,0.158,0.158,0.354,99.0,94.0,100.0,89.0,98.0,93.0,0.128,0.099,1.57,1.27,91.3,81.1,0.304,0.326,0.224,,,,,,,,,,,,,,,,,,
5,2024-05-28,745903,Strikeout,strikeout,True,680777,666142,Ryan Jeffers,Cole Ragans,0,40fe1f90-97e4-4b5f-914b-10f04cfe5b03,666142.0,coleragans,Ragans,Left,Cole Ragans,KCR,3.16,3.27,116.2,99.0,109.0,104.0,0.692,10.88,2.93,7.33,0.62,1.07,0.254,0.39,0.159,0.295,0.409,110.0,99.0,102.0,,,,109.0,101.0,107.0,134.0,103.0,112.0,0.406,0.12,,0.247,1.1,-1.6,,1.11,95.8,85.3,86.7,,0.206,0.351,0.239,0.242,0.387,0.368,0.205,0.286,0.493,0.158,0.158,0.354,99.0,94.0,100.0,89.0,98.0,93.0,0.128,0.099,1.57,1.27,91.3,81.1,0.304,0.326,0.224,,,,,,,,,,,,,,,,,,
6,2024-05-28,745903,Single,single,False,669304,666142,Jose Miranda,Cole Ragans,1,c278dccb-9f52-43ba-a015-4107a5bc291b,666142.0,coleragans,Ragans,Left,Cole Ragans,KCR,3.16,3.27,116.2,99.0,109.0,104.0,0.692,10.88,2.93,7.33,0.62,1.07,0.254,0.39,0.159,0.295,0.409,110.0,99.0,102.0,,,,109.0,101.0,107.0,134.0,103.0,112.0,0.406,0.12,,0.247,1.1,-1.6,,1.11,95.8,85.3,86.7,,0.206,0.351,0.239,0.242,0.387,0.368,0.205,0.286,0.493,0.158,0.158,0.354,99.0,94.0,100.0,89.0,98.0,93.0,0.128,0.099,1.57,1.27,91.3,81.1,0.304,0.326,0.224,,,,,,,,,,,,,,,,,,
7,2024-05-28,745903,Walk,walk,False,621439,666142,Byron Buxton,Cole Ragans,1,a2bb0c68-0297-4f71-bd46-e868ac30a8dd,666142.0,coleragans,Ragans,Left,Cole Ragans,KCR,3.16,3.27,116.2,99.0,109.0,104.0,0.692,10.88,2.93,7.33,0.62,1.07,0.254,0.39,0.159,0.295,0.409,110.0,99.0,102.0,,,,109.0,101.0,107.0,134.0,103.0,112.0,0.406,0.12,,0.247,1.1,-1.6,,1.11,95.8,85.3,86.7,,0.206,0.351,0.239,0.242,0.387,0.368,0.205,0.286,0.493,0.158,0.158,0.354,99.0,94.0,100.0,89.0,98.0,93.0,0.128,0.099,1.57,1.27,91.3,81.1,0.304,0.326,0.224,,,,,,,,,,,,,,,,,,
8,2024-05-28,745903,Strikeout,strikeout,True,650489,666142,Willi Castro,Cole Ragans,0,d373d5e8-3600-4b08-8b69-d19d00eb3976,666142.0,coleragans,Ragans,Left,Cole Ragans,KCR,3.16,3.27,116.2,99.0,109.0,104.0,0.692,10.88,2.93,7.33,0.62,1.07,0.254,0.39,0.159,0.295,0.409,110.0,99.0,102.0,,,,109.0,101.0,107.0,134.0,103.0,112.0,0.406,0.12,,0.247,1.1,-1.6,,1.11,95.8,85.3,86.7,,0.206,0.351,0.239,0.242,0.387,0.368,0.205,0.286,0.493,0.158,0.158,0.354,99.0,94.0,100.0,89.0,98.0,93.0,0.128,0.099,1.57,1.27,91.3,81.1,0.304,0.326,0.224,,,,,,,,,,,,,,,,,,
9,2024-05-28,745903,Flyout,field_out,True,571657,666142,Kyle Farmer,Cole Ragans,0,085ab63a-a581-4ee3-9763-e3039762aff8,666142.0,coleragans,Ragans,Left,Cole Ragans,KCR,3.16,3.27,116.2,99.0,109.0,104.0,0.692,10.88,2.93,7.33,0.62,1.07,0.254,0.39,0.159,0.295,0.409,110.0,99.0,102.0,,,,109.0,101.0,107.0,134.0,103.0,112.0,0.406,0.12,,0.247,1.1,-1.6,,1.11,95.8,85.3,86.7,,0.206,0.351,0.239,0.242,0.387,0.368,0.205,0.286,0.493,0.158,0.158,0.354,99.0,94.0,100.0,89.0,98.0,93.0,0.128,0.099,1.57,1.27,91.3,81.1,0.304,0.326,0.224,,,,,,,,,,,,,,,,,,
