,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-07-30,746763,Groundout,field_out,True,686681,686563,Michael Massey,Jonathan Cannon,0,36df487b-9493-4852-8347-6262383ac52d,686563.0,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.57,4.72,90.2,101.0,92.0,99.0,0.808,6.25,2.78,9.73,1.29,1.03,0.224,0.38,0.153,0.292,0.394,93.0,106.0,107.0,74.0,102.0,95.0,86.0,100.0,93.0,117.0,100.0,107.0,79.0,103.0,95.0,0.3,0.099,0.204,0.22,0.177,-3.29,0.52,-0.33,-0.8,-0.28,94.5,90.1,85.7,93.3,81.9,0.315,0.5,0.117,0.247,0.435,0.279,0.243,0.414,0.288,0.246,0.431,0.196,0.357,0.571,0.254,,,,,,,,,,,,,,,,,,,,,
1,2024-07-30,746763,Pop Out,field_out,True,677951,686563,Bobby Witt Jr.,Jonathan Cannon,0,3a42b267-1343-471f-bdad-0ea8f113a969,686563.0,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.57,4.72,90.2,101.0,92.0,99.0,0.808,6.25,2.78,9.73,1.29,1.03,0.224,0.38,0.153,0.292,0.394,93.0,106.0,107.0,74.0,102.0,95.0,86.0,100.0,93.0,117.0,100.0,107.0,79.0,103.0,95.0,0.3,0.099,0.204,0.22,0.177,-3.29,0.52,-0.33,-0.8,-0.28,94.5,90.1,85.7,93.3,81.9,0.315,0.5,0.117,0.247,0.435,0.279,0.243,0.414,0.288,0.246,0.431,0.196,0.357,0.571,0.254,,,,,,,,,,,,,,,,,,,,,
2,2024-07-30,746763,Flyout,field_out,True,686469,686563,Vinnie Pasquantino,Jonathan Cannon,0,e8123a7f-c974-49f1-a692-6c2955f5084e,686563.0,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.57,4.72,90.2,101.0,92.0,99.0,0.808,6.25,2.78,9.73,1.29,1.03,0.224,0.38,0.153,0.292,0.394,93.0,106.0,107.0,74.0,102.0,95.0,86.0,100.0,93.0,117.0,100.0,107.0,79.0,103.0,95.0,0.3,0.099,0.204,0.22,0.177,-3.29,0.52,-0.33,-0.8,-0.28,94.5,90.1,85.7,93.3,81.9,0.315,0.5,0.117,0.247,0.435,0.279,0.243,0.414,0.288,0.246,0.431,0.196,0.357,0.571,0.254,,,,,,,,,,,,,,,,,,,,,
3,2024-07-30,746763,Triple,triple,False,670032,608379,Nicky Lopez,Michael Wacha,0,8e3fa983-048c-4e7d-ab48-105d6e7228e3,608379.0,michaelwacha,Wacha,Right,Michael Wacha,KCR,3.5,4.32,139.0,101.0,91.0,99.0,0.794,7.77,2.46,8.42,0.97,1.02,0.248,0.453,0.204,0.277,0.427,112.0,109.0,113.0,83.0,101.0,97.0,78.0,101.0,87.0,98.0,90.0,90.0,79.0,99.0,94.0,0.15,0.235,0.11,0.102,0.318,0.37,-0.94,0.38,-1.98,1.86,93.6,88.8,81.3,93.6,84.2,0.243,0.301,0.087,0.184,0.337,0.334,,,,0.328,0.443,0.114,0.284,0.468,0.16,73.0,89.0,92.0,0.084,-1.39,75.1,0.355,0.548,0.403,0.304,0.652,0.175,,,,,,,,,
4,2024-07-30,746763,Strikeout,strikeout,True,678246,608379,Miguel Vargas,Michael Wacha,0,8635aed6-55a1-41ad-ac8b-b1ae53e03340,608379.0,michaelwacha,Wacha,Right,Michael Wacha,KCR,3.5,4.32,139.0,101.0,91.0,99.0,0.794,7.77,2.46,8.42,0.97,1.02,0.248,0.453,0.204,0.277,0.427,112.0,109.0,113.0,83.0,101.0,97.0,78.0,101.0,87.0,98.0,90.0,90.0,79.0,99.0,94.0,0.15,0.235,0.11,0.102,0.318,0.37,-0.94,0.38,-1.98,1.86,93.6,88.8,81.3,93.6,84.2,0.243,0.301,0.087,0.184,0.337,0.334,,,,0.328,0.443,0.114,0.284,0.468,0.16,73.0,89.0,92.0,0.084,-1.39,75.1,0.355,0.548,0.403,0.304,0.652,0.175,,,,,,,,,
5,2024-07-30,746763,Walk,walk,False,673357,608379,Luis Robert Jr.,Michael Wacha,1,c11c899c-7f08-499d-808d-8502c793fc6a,608379.0,michaelwacha,Wacha,Right,Michael Wacha,KCR,3.5,4.32,139.0,101.0,91.0,99.0,0.794,7.77,2.46,8.42,0.97,1.02,0.248,0.453,0.204,0.277,0.427,112.0,109.0,113.0,83.0,101.0,97.0,78.0,101.0,87.0,98.0,90.0,90.0,79.0,99.0,94.0,0.15,0.235,0.11,0.102,0.318,0.37,-0.94,0.38,-1.98,1.86,93.6,88.8,81.3,93.6,84.2,0.243,0.301,0.087,0.184,0.337,0.334,,,,0.328,0.443,0.114,0.284,0.468,0.16,73.0,89.0,92.0,0.084,-1.39,75.1,0.355,0.548,0.403,0.304,0.652,0.175,,,,,,,,,
6,2024-07-30,746763,Strikeout,strikeout,True,683734,608379,Andrew Vaughn,Michael Wacha,1,df314596-7f9f-4935-933a-946c6fe5e92b,608379.0,michaelwacha,Wacha,Right,Michael Wacha,KCR,3.5,4.32,139.0,101.0,91.0,99.0,0.794,7.77,2.46,8.42,0.97,1.02,0.248,0.453,0.204,0.277,0.427,112.0,109.0,113.0,83.0,101.0,97.0,78.0,101.0,87.0,98.0,90.0,90.0,79.0,99.0,94.0,0.15,0.235,0.11,0.102,0.318,0.37,-0.94,0.38,-1.98,1.86,93.6,88.8,81.3,93.6,84.2,0.243,0.301,0.087,0.184,0.337,0.334,,,,0.328,0.443,0.114,0.284,0.468,0.16,73.0,89.0,92.0,0.084,-1.39,75.1,0.355,0.548,0.403,0.304,0.652,0.175,,,,,,,,,
7,2024-07-30,746763,Pop Out,field_out,True,521692,686563,Salvador Perez,Jonathan Cannon,0,d7b10625-0b5a-4b5a-a809-0a021eda049e,686563.0,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.57,4.72,90.2,101.0,92.0,99.0,0.808,6.25,2.78,9.73,1.29,1.03,0.224,0.38,0.153,0.292,0.394,93.0,106.0,107.0,74.0,102.0,95.0,86.0,100.0,93.0,117.0,100.0,107.0,79.0,103.0,95.0,0.3,0.099,0.204,0.22,0.177,-3.29,0.52,-0.33,-0.8,-0.28,94.5,90.1,85.7,93.3,81.9,0.315,0.5,0.117,0.247,0.435,0.279,0.243,0.414,0.288,0.246,0.431,0.196,0.357,0.571,0.254,,,,,,,,,,,,,,,,,,,,,
8,2024-07-30,746763,Pop Out,field_out,True,669004,686563,MJ Melendez,Jonathan Cannon,0,ead0a347-12ed-4134-9f64-4bead21a93c8,686563.0,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.57,4.72,90.2,101.0,92.0,99.0,0.808,6.25,2.78,9.73,1.29,1.03,0.224,0.38,0.153,0.292,0.394,93.0,106.0,107.0,74.0,102.0,95.0,86.0,100.0,93.0,117.0,100.0,107.0,79.0,103.0,95.0,0.3,0.099,0.204,0.22,0.177,-3.29,0.52,-0.33,-0.8,-0.28,94.5,90.1,85.7,93.3,81.9,0.315,0.5,0.117,0.247,0.435,0.279,0.243,0.414,0.288,0.246,0.431,0.196,0.357,0.571,0.254,,,,,,,,,,,,,,,,,,,,,
9,2024-07-30,746763,Walk,walk,False,592669,686563,Hunter Renfroe,Jonathan Cannon,0,664ba923-16ba-4b0f-9e85-7c249bb8f14f,686563.0,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.57,4.72,90.2,101.0,92.0,99.0,0.808,6.25,2.78,9.73,1.29,1.03,0.224,0.38,0.153,0.292,0.394,93.0,106.0,107.0,74.0,102.0,95.0,86.0,100.0,93.0,117.0,100.0,107.0,79.0,103.0,95.0,0.3,0.099,0.204,0.22,0.177,-3.29,0.52,-0.33,-0.8,-0.28,94.5,90.1,85.7,93.3,81.9,0.315,0.5,0.117,0.247,0.435,0.279,0.243,0.414,0.288,0.246,0.431,0.196,0.357,0.571,0.254,,,,,,,,,,,,,,,,,,,,,
