,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,KC%,wFA/C,wFS/C,wSI/C,wSL/C,wKC/C,vFA,vFS,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CH%,wFC/C,wCH/C,vFC,vCH,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff
0,2024-06-15,747187,Walk,walk,False,502054,543518,Tommy Pham,Scott McGough,0,4dca863f-b47f-42cb-bb63-4cc4bad2ab53,543518.0,scottmcgough,McGough,Right,Scott McGough,ARI,7.33,5.61,27.0,95.0,89.0,93.0,0.749,6.67,6.0,9.33,1.67,0.97,0.282,0.271,0.129,0.341,0.418,99.0,94.0,93.0,82.0,112.0,99.0,117.0,102.0,108.0,63.0,93.0,87.0,0.041,0.49,0.33,0.137,0.002,-3.54,-0.4,6.02,1.24,4.87,93.1,85.0,93.4,87.3,78.6,0.37,0.741,0.192,0.133,0.267,0.405,0.267,0.4,0.2,0.0,0.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-06-15,747187,Grounded Into DP,grounded_into_double_play,True,683734,543518,Andrew Vaughn,Scott McGough,1,2b94fcd2-d5b7-480e-842f-d4a543268718,543518.0,scottmcgough,McGough,Right,Scott McGough,ARI,7.33,5.61,27.0,95.0,89.0,93.0,0.749,6.67,6.0,9.33,1.67,0.97,0.282,0.271,0.129,0.341,0.418,99.0,94.0,93.0,82.0,112.0,99.0,117.0,102.0,108.0,63.0,93.0,87.0,0.041,0.49,0.33,0.137,0.002,-3.54,-0.4,6.02,1.24,4.87,93.1,85.0,93.4,87.3,78.6,0.37,0.741,0.192,0.133,0.267,0.405,0.267,0.4,0.2,0.0,0.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-06-15,747187,Strikeout,strikeout,True,673357,543518,Luis Robert Jr.,Scott McGough,0,6ec659e1-b59f-4978-b091-e3c0c9009b1d,543518.0,scottmcgough,McGough,Right,Scott McGough,ARI,7.33,5.61,27.0,95.0,89.0,93.0,0.749,6.67,6.0,9.33,1.67,0.97,0.282,0.271,0.129,0.341,0.418,99.0,94.0,93.0,82.0,112.0,99.0,117.0,102.0,108.0,63.0,93.0,87.0,0.041,0.49,0.33,0.137,0.002,-3.54,-0.4,6.02,1.24,4.87,93.1,85.0,93.4,87.3,78.6,0.37,0.741,0.192,0.133,0.267,0.405,0.267,0.4,0.2,0.0,0.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-06-15,747187,Double,double,False,682998,607200,Corbin Carroll,Erick Fedde,0,c13d6b51-6cb2-4706-a86d-b21cd49eab8b,607200.0,erickfedde,Fedde,Right,Erick Fedde,CHW,2.99,3.59,111.1,105.0,92.0,100.0,0.805,8.0,2.43,7.76,0.89,1.26,0.269,0.358,0.183,0.294,0.393,59.0,103.0,102.0,80.0,107.0,94.0,127.0,101.0,105.0,,,,0.306,0.001,,0.198,,-1.85,,0.74,0.47,,94.1,,93.2,83.7,,,,,,,,0.184,0.382,0.26,0.246,0.358,0.203,85.0,111.0,108.0,78.0,104.0,97.0,0.299,0.196,1.18,0.17,90.1,87.9,0.242,0.387,0.258,0.216,0.295,0.142,,,,,,,,,
4,2024-06-15,747187,Single,single,False,606466,607200,Ketel Marte,Erick Fedde,1,4f947327-c99e-453a-895b-3109a1754fea,607200.0,erickfedde,Fedde,Right,Erick Fedde,CHW,2.99,3.59,111.1,105.0,92.0,100.0,0.805,8.0,2.43,7.76,0.89,1.26,0.269,0.358,0.183,0.294,0.393,59.0,103.0,102.0,80.0,107.0,94.0,127.0,101.0,105.0,,,,0.306,0.001,,0.198,,-1.85,,0.74,0.47,,94.1,,93.2,83.7,,,,,,,,0.184,0.382,0.26,0.246,0.358,0.203,85.0,111.0,108.0,78.0,104.0,97.0,0.299,0.196,1.18,0.17,90.1,87.9,0.242,0.387,0.258,0.216,0.295,0.142,,,,,,,,,
5,2024-06-15,747187,Forceout,force_out,True,592626,607200,Joc Pederson,Erick Fedde,1,ee8e5701-c7df-420d-9f17-5d35b0842dfb,607200.0,erickfedde,Fedde,Right,Erick Fedde,CHW,2.99,3.59,111.1,105.0,92.0,100.0,0.805,8.0,2.43,7.76,0.89,1.26,0.269,0.358,0.183,0.294,0.393,59.0,103.0,102.0,80.0,107.0,94.0,127.0,101.0,105.0,,,,0.306,0.001,,0.198,,-1.85,,0.74,0.47,,94.1,,93.2,83.7,,,,,,,,0.184,0.382,0.26,0.246,0.358,0.203,85.0,111.0,108.0,78.0,104.0,97.0,0.299,0.196,1.18,0.17,90.1,87.9,0.242,0.387,0.258,0.216,0.295,0.142,,,,,,,,,
6,2024-06-15,747187,Strikeout,strikeout,True,572233,607200,Christian Walker,Erick Fedde,0,4143023a-5f36-4e94-ba27-ade5ad688f32,607200.0,erickfedde,Fedde,Right,Erick Fedde,CHW,2.99,3.59,111.1,105.0,92.0,100.0,0.805,8.0,2.43,7.76,0.89,1.26,0.269,0.358,0.183,0.294,0.393,59.0,103.0,102.0,80.0,107.0,94.0,127.0,101.0,105.0,,,,0.306,0.001,,0.198,,-1.85,,0.74,0.47,,94.1,,93.2,83.7,,,,,,,,0.184,0.382,0.26,0.246,0.358,0.203,85.0,111.0,108.0,78.0,104.0,97.0,0.299,0.196,1.18,0.17,90.1,87.9,0.242,0.387,0.258,0.216,0.295,0.142,,,,,,,,,
7,2024-06-15,747187,Strikeout,strikeout,True,666971,607200,Lourdes Gurriel Jr.,Erick Fedde,0,5ae46c4f-ded5-41f4-a60c-78823ea7714e,607200.0,erickfedde,Fedde,Right,Erick Fedde,CHW,2.99,3.59,111.1,105.0,92.0,100.0,0.805,8.0,2.43,7.76,0.89,1.26,0.269,0.358,0.183,0.294,0.393,59.0,103.0,102.0,80.0,107.0,94.0,127.0,101.0,105.0,,,,0.306,0.001,,0.198,,-1.85,,0.74,0.47,,94.1,,93.2,83.7,,,,,,,,0.184,0.382,0.26,0.246,0.358,0.203,85.0,111.0,108.0,78.0,104.0,97.0,0.299,0.196,1.18,0.17,90.1,87.9,0.242,0.387,0.258,0.216,0.295,0.142,,,,,,,,,
8,2024-06-15,747187,Groundout,field_out,True,657557,543518,Paul DeJong,Scott McGough,0,7d0c929b-2390-4c58-8671-5a8e6604864a,543518.0,scottmcgough,McGough,Right,Scott McGough,ARI,7.33,5.61,27.0,95.0,89.0,93.0,0.749,6.67,6.0,9.33,1.67,0.97,0.282,0.271,0.129,0.341,0.418,99.0,94.0,93.0,82.0,112.0,99.0,117.0,102.0,108.0,63.0,93.0,87.0,0.041,0.49,0.33,0.137,0.002,-3.54,-0.4,6.02,1.24,4.87,93.1,85.0,93.4,87.3,78.6,0.37,0.741,0.192,0.133,0.267,0.405,0.267,0.4,0.2,0.0,0.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-06-15,747187,Strikeout,strikeout,True,667452,543518,Corey Julks,Scott McGough,0,79c35c4f-17cc-4fdf-b328-37070699c9ae,543518.0,scottmcgough,McGough,Right,Scott McGough,ARI,7.33,5.61,27.0,95.0,89.0,93.0,0.749,6.67,6.0,9.33,1.67,0.97,0.282,0.271,0.129,0.341,0.418,99.0,94.0,93.0,82.0,112.0,99.0,117.0,102.0,108.0,63.0,93.0,87.0,0.041,0.49,0.33,0.137,0.002,-3.54,-0.4,6.02,1.24,4.87,93.1,85.0,93.4,87.3,78.6,0.37,0.741,0.192,0.133,0.267,0.405,0.267,0.4,0.2,0.0,0.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,
