,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff
0,2024-06-23,745165,Strikeout,strikeout,True,689172,543243,Brett Wisely,Sonny Gray,0,6eb8dda2-6830-41cb-b51f-a445b687fb79,543243.0,sonnygray,"Gray, S",Right,Sonny Gray,STL,3.34,3.34,99.2,102.0,108.0,106.0,0.75,10.93,2.17,7.31,0.72,1.31,0.215,0.402,0.151,0.327,0.443,69.0,88.0,83.0,115.0,95.0,95.0,107.0,95.0,101.0,92.0,116.0,114.0,150.0,117.0,131.0,88.0,99.0,99.0,0.173,0.239,0.182,0.187,0.159,0.06,0.68,1.7,1.47,0.67,1.37,-2.47,92.6,87.7,88.5,93.1,85.0,80.1,0.162,0.216,0.422,0.197,0.316,0.181,0.31,0.479,0.147,0.237,0.407,0.303,0.184,0.342,0.299,0.385,0.769,0.345
1,2024-06-23,745165,Strikeout,strikeout,True,671218,543243,Heliot Ramos,Sonny Gray,0,6b787754-97fa-42d0-8c5d-ce2bc490269a,543243.0,sonnygray,"Gray, S",Right,Sonny Gray,STL,3.34,3.34,99.2,102.0,108.0,106.0,0.75,10.93,2.17,7.31,0.72,1.31,0.215,0.402,0.151,0.327,0.443,69.0,88.0,83.0,115.0,95.0,95.0,107.0,95.0,101.0,92.0,116.0,114.0,150.0,117.0,131.0,88.0,99.0,99.0,0.173,0.239,0.182,0.187,0.159,0.06,0.68,1.7,1.47,0.67,1.37,-2.47,92.6,87.7,88.5,93.1,85.0,80.1,0.162,0.216,0.422,0.197,0.316,0.181,0.31,0.479,0.147,0.237,0.407,0.303,0.184,0.342,0.299,0.385,0.769,0.345
2,2024-06-23,745165,Flyout,field_out,True,672275,543243,Patrick Bailey,Sonny Gray,0,aa02bf8d-0f2f-4e4a-ba14-bffa2e7bcb45,543243.0,sonnygray,"Gray, S",Right,Sonny Gray,STL,3.34,3.34,99.2,102.0,108.0,106.0,0.75,10.93,2.17,7.31,0.72,1.31,0.215,0.402,0.151,0.327,0.443,69.0,88.0,83.0,115.0,95.0,95.0,107.0,95.0,101.0,92.0,116.0,114.0,150.0,117.0,131.0,88.0,99.0,99.0,0.173,0.239,0.182,0.187,0.159,0.06,0.68,1.7,1.47,0.67,1.37,-2.47,92.6,87.7,88.5,93.1,85.0,80.1,0.162,0.216,0.422,0.197,0.316,0.181,0.31,0.479,0.147,0.237,0.407,0.303,0.184,0.342,0.299,0.385,0.769,0.345
3,2024-06-23,745165,Double,double,False,691026,657277,Masyn Winn,Logan Webb,0,c619f977-c03c-4bcb-98b5-699f99e6bfac,657277.0,loganwebb,Webb,Right,Logan Webb,SFG,3.47,4.24,124.1,104.0,112.0,107.0,0.826,7.75,2.03,9.12,0.43,2.59,0.236,0.389,0.153,0.311,0.402,132.0,105.0,115.0,,,,56.0,109.0,91.0,98.0,103.0,101.0,119.0,102.0,112.0,59.0,115.0,105.0,0.388,0.048,0.011,0.223,,0.329,1.24,5.55,1.02,0.18,,0.28,92.3,90.3,87.4,92.2,83.5,,0.247,0.323,0.227,0.276,0.346,0.15,0.1,0.15,0.39,,,,,,,0.283,0.405,0.197
4,2024-06-23,745165,Single,single,False,676475,657277,Alec Burleson,Logan Webb,1,1ec96709-e8e5-439d-87c9-a8313f2f068c,657277.0,loganwebb,Webb,Right,Logan Webb,SFG,3.47,4.24,124.1,104.0,112.0,107.0,0.826,7.75,2.03,9.12,0.43,2.59,0.236,0.389,0.153,0.311,0.402,132.0,105.0,115.0,,,,56.0,109.0,91.0,98.0,103.0,101.0,119.0,102.0,112.0,59.0,115.0,105.0,0.388,0.048,0.011,0.223,,0.329,1.24,5.55,1.02,0.18,,0.28,92.3,90.3,87.4,92.2,83.5,,0.247,0.323,0.227,0.276,0.346,0.15,0.1,0.15,0.39,,,,,,,0.283,0.405,0.197
5,2024-06-23,745165,Strikeout,strikeout,True,502671,657277,Paul Goldschmidt,Logan Webb,1,df675c9a-77d8-4d38-aae1-6772ca4ec0a5,657277.0,loganwebb,Webb,Right,Logan Webb,SFG,3.47,4.24,124.1,104.0,112.0,107.0,0.826,7.75,2.03,9.12,0.43,2.59,0.236,0.389,0.153,0.311,0.402,132.0,105.0,115.0,,,,56.0,109.0,91.0,98.0,103.0,101.0,119.0,102.0,112.0,59.0,115.0,105.0,0.388,0.048,0.011,0.223,,0.329,1.24,5.55,1.02,0.18,,0.28,92.3,90.3,87.4,92.2,83.5,,0.247,0.323,0.227,0.276,0.346,0.15,0.1,0.15,0.39,,,,,,,0.283,0.405,0.197
6,2024-06-23,745165,Flyout,field_out,True,669357,657277,Nolan Gorman,Logan Webb,1,3a5fb7e9-e401-4ebb-8841-2d5f69c6f429,657277.0,loganwebb,Webb,Right,Logan Webb,SFG,3.47,4.24,124.1,104.0,112.0,107.0,0.826,7.75,2.03,9.12,0.43,2.59,0.236,0.389,0.153,0.311,0.402,132.0,105.0,115.0,,,,56.0,109.0,91.0,98.0,103.0,101.0,119.0,102.0,112.0,59.0,115.0,105.0,0.388,0.048,0.011,0.223,,0.329,1.24,5.55,1.02,0.18,,0.28,92.3,90.3,87.4,92.2,83.5,,0.247,0.323,0.227,0.276,0.346,0.15,0.1,0.15,0.39,,,,,,,0.283,0.405,0.197
7,2024-06-23,745165,Double,double,False,680977,657277,Brendan Donovan,Logan Webb,1,3e051473-6cc0-4e94-b0a3-5e8112fe04ad,657277.0,loganwebb,Webb,Right,Logan Webb,SFG,3.47,4.24,124.1,104.0,112.0,107.0,0.826,7.75,2.03,9.12,0.43,2.59,0.236,0.389,0.153,0.311,0.402,132.0,105.0,115.0,,,,56.0,109.0,91.0,98.0,103.0,101.0,119.0,102.0,112.0,59.0,115.0,105.0,0.388,0.048,0.011,0.223,,0.329,1.24,5.55,1.02,0.18,,0.28,92.3,90.3,87.4,92.2,83.5,,0.247,0.323,0.227,0.276,0.346,0.15,0.1,0.15,0.39,,,,,,,0.283,0.405,0.197
8,2024-06-23,745165,Single,single,False,572761,657277,Matt Carpenter,Logan Webb,1,dfec9b6d-d799-49fc-afdb-a8fa355d4d96,657277.0,loganwebb,Webb,Right,Logan Webb,SFG,3.47,4.24,124.1,104.0,112.0,107.0,0.826,7.75,2.03,9.12,0.43,2.59,0.236,0.389,0.153,0.311,0.402,132.0,105.0,115.0,,,,56.0,109.0,91.0,98.0,103.0,101.0,119.0,102.0,112.0,59.0,115.0,105.0,0.388,0.048,0.011,0.223,,0.329,1.24,5.55,1.02,0.18,,0.28,92.3,90.3,87.4,92.2,83.5,,0.247,0.323,0.227,0.276,0.346,0.15,0.1,0.15,0.39,,,,,,,0.283,0.405,0.197
9,2024-06-23,745165,Groundout,field_out,True,666185,657277,Dylan Carlson,Logan Webb,0,54f84b2c-9dbc-4bba-8c42-6e9ac7bb6bb0,657277.0,loganwebb,Webb,Right,Logan Webb,SFG,3.47,4.24,124.1,104.0,112.0,107.0,0.826,7.75,2.03,9.12,0.43,2.59,0.236,0.389,0.153,0.311,0.402,132.0,105.0,115.0,,,,56.0,109.0,91.0,98.0,103.0,101.0,119.0,102.0,112.0,59.0,115.0,105.0,0.388,0.048,0.011,0.223,,0.329,1.24,5.55,1.02,0.18,,0.28,92.3,90.3,87.4,92.2,83.5,,0.247,0.323,0.227,0.276,0.346,0.15,0.1,0.15,0.39,,,,,,,0.283,0.405,0.197
