,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
0,2024-09-03,746991,Strikeout,strikeout,True,667452,700249,Corey Julks,Cade Povich,0,502975af-2027-4e4e-a304-68bb8743d067,700249.0,cadepovich,Povich,Left,Cade Povich,BAL,5.91,4.37,64.0,98.0,86.0,96.0,0.791,7.31,3.94,10.41,1.55,0.85,0.214,0.448,0.19,0.281,0.448,60.0,98.0,93.0,93.0,101.0,104.0,79.0,96.0,92.0,78.0,97.0,89.0,113.0,99.0,102.0,97.0,94.0,94.0,0.08,0.393,0.092,0.125,0.207,0.104,0.3,-3.12,0.34,-1.7,-3.33,-1.61,92.3,88.3,86.1,91.3,82.7,76.1,0.244,0.384,0.158,0.392,0.608,0.293,0.279,0.488,0.27,0.237,0.5,0.238,0.333,0.81,0.288,0.238,0.286,0.065,,,,,,,,,
1,2024-09-03,746991,Groundout,field_out,True,673357,700249,Luis Robert Jr.,Cade Povich,0,f789e1dd-93e4-43a2-afd3-45708ffe8516,700249.0,cadepovich,Povich,Left,Cade Povich,BAL,5.91,4.37,64.0,98.0,86.0,96.0,0.791,7.31,3.94,10.41,1.55,0.85,0.214,0.448,0.19,0.281,0.448,60.0,98.0,93.0,93.0,101.0,104.0,79.0,96.0,92.0,78.0,97.0,89.0,113.0,99.0,102.0,97.0,94.0,94.0,0.08,0.393,0.092,0.125,0.207,0.104,0.3,-3.12,0.34,-1.7,-3.33,-1.61,92.3,88.3,86.1,91.3,82.7,76.1,0.244,0.384,0.158,0.392,0.608,0.293,0.279,0.488,0.27,0.237,0.5,0.238,0.333,0.81,0.288,0.238,0.286,0.065,,,,,,,,,
2,2024-09-03,746991,Double,double,False,643217,700249,Andrew Benintendi,Cade Povich,0,fbe940dd-8830-48e4-a513-45b7c915f15c,700249.0,cadepovich,Povich,Left,Cade Povich,BAL,5.91,4.37,64.0,98.0,86.0,96.0,0.791,7.31,3.94,10.41,1.55,0.85,0.214,0.448,0.19,0.281,0.448,60.0,98.0,93.0,93.0,101.0,104.0,79.0,96.0,92.0,78.0,97.0,89.0,113.0,99.0,102.0,97.0,94.0,94.0,0.08,0.393,0.092,0.125,0.207,0.104,0.3,-3.12,0.34,-1.7,-3.33,-1.61,92.3,88.3,86.1,91.3,82.7,76.1,0.244,0.384,0.158,0.392,0.608,0.293,0.279,0.488,0.27,0.237,0.5,0.238,0.333,0.81,0.288,0.238,0.286,0.065,,,,,,,,,
3,2024-09-03,746991,Groundout,field_out,True,683734,700249,Andrew Vaughn,Cade Povich,0,5eb4fe64-84a4-44b8-b233-e1da7049f231,700249.0,cadepovich,Povich,Left,Cade Povich,BAL,5.91,4.37,64.0,98.0,86.0,96.0,0.791,7.31,3.94,10.41,1.55,0.85,0.214,0.448,0.19,0.281,0.448,60.0,98.0,93.0,93.0,101.0,104.0,79.0,96.0,92.0,78.0,97.0,89.0,113.0,99.0,102.0,97.0,94.0,94.0,0.08,0.393,0.092,0.125,0.207,0.104,0.3,-3.12,0.34,-1.7,-3.33,-1.61,92.3,88.3,86.1,91.3,82.7,76.1,0.244,0.384,0.158,0.392,0.608,0.293,0.279,0.488,0.27,0.237,0.5,0.238,0.333,0.81,0.288,0.238,0.286,0.065,,,,,,,,,
4,2024-09-03,746991,Double,double,False,683002,680897,Gunnar Henderson,Nick Nastrini,0,58700a34-c169-469a-bb21-e688a4fd02d1,680897.0,nicknastrini,Nastrini,Right,Nick Nastrini,CHW,7.07,6.48,35.2,84.0,100.0,86.0,0.736,6.56,9.08,8.07,1.77,0.58,0.216,0.477,0.234,0.288,0.361,85.0,74.0,75.0,93.0,85.0,89.0,101.0,78.0,77.0,,,,105.0,97.0,101.0,,,,,0.454,,0.362,0.086,0.098,-1.35,,,0.1,-1.7,-4.57,93.7,,85.8,,84.5,79.2,0.189,0.415,0.204,0.364,0.455,0.333,,,,0.4,0.6,0.32,,,,,,,0.222,0.444,0.346,,,,,,
5,2024-09-03,746991,Flyout,field_out,True,668939,680897,Adley Rutschman,Nick Nastrini,0,73dfe448-4e73-4601-a701-34f834ff4865,680897.0,nicknastrini,Nastrini,Right,Nick Nastrini,CHW,7.07,6.48,35.2,84.0,100.0,86.0,0.736,6.56,9.08,8.07,1.77,0.58,0.216,0.477,0.234,0.288,0.361,85.0,74.0,75.0,93.0,85.0,89.0,101.0,78.0,77.0,,,,105.0,97.0,101.0,,,,,0.454,,0.362,0.086,0.098,-1.35,,,0.1,-1.7,-4.57,93.7,,85.8,,84.5,79.2,0.189,0.415,0.204,0.364,0.455,0.333,,,,0.4,0.6,0.32,,,,,,,0.222,0.444,0.346,,,,,,
6,2024-09-03,746991,Double,double,False,656811,680897,Ryan O'Hearn,Nick Nastrini,1,7074cf84-7cae-4e54-8c13-96b0bf0e5f8a,680897.0,nicknastrini,Nastrini,Right,Nick Nastrini,CHW,7.07,6.48,35.2,84.0,100.0,86.0,0.736,6.56,9.08,8.07,1.77,0.58,0.216,0.477,0.234,0.288,0.361,85.0,74.0,75.0,93.0,85.0,89.0,101.0,78.0,77.0,,,,105.0,97.0,101.0,,,,,0.454,,0.362,0.086,0.098,-1.35,,,0.1,-1.7,-4.57,93.7,,85.8,,84.5,79.2,0.189,0.415,0.204,0.364,0.455,0.333,,,,0.4,0.6,0.32,,,,,,,0.222,0.444,0.346,,,,,,
7,2024-09-03,746991,Double,double,False,623993,680897,Anthony Santander,Nick Nastrini,1,4122e975-3b71-4850-8c68-d606699315ce,680897.0,nicknastrini,Nastrini,Right,Nick Nastrini,CHW,7.07,6.48,35.2,84.0,100.0,86.0,0.736,6.56,9.08,8.07,1.77,0.58,0.216,0.477,0.234,0.288,0.361,85.0,74.0,75.0,93.0,85.0,89.0,101.0,78.0,77.0,,,,105.0,97.0,101.0,,,,,0.454,,0.362,0.086,0.098,-1.35,,,0.1,-1.7,-4.57,93.7,,85.8,,84.5,79.2,0.189,0.415,0.204,0.364,0.455,0.333,,,,0.4,0.6,0.32,,,,,,,0.222,0.444,0.346,,,,,,
8,2024-09-03,746991,Single,single,False,681297,680897,Colton Cowser,Nick Nastrini,1,d00ee5ff-0b7e-488d-985c-b8ab46c2c8d6,680897.0,nicknastrini,Nastrini,Right,Nick Nastrini,CHW,7.07,6.48,35.2,84.0,100.0,86.0,0.736,6.56,9.08,8.07,1.77,0.58,0.216,0.477,0.234,0.288,0.361,85.0,74.0,75.0,93.0,85.0,89.0,101.0,78.0,77.0,,,,105.0,97.0,101.0,,,,,0.454,,0.362,0.086,0.098,-1.35,,,0.1,-1.7,-4.57,93.7,,85.8,,84.5,79.2,0.189,0.415,0.204,0.364,0.455,0.333,,,,0.4,0.6,0.32,,,,,,,0.222,0.444,0.346,,,,,,
9,2024-09-03,746991,Walk,walk,False,650391,680897,Eloy Jiménez,Nick Nastrini,1,a14826ff-d603-4926-b560-bca796a906a4,680897.0,nicknastrini,Nastrini,Right,Nick Nastrini,CHW,7.07,6.48,35.2,84.0,100.0,86.0,0.736,6.56,9.08,8.07,1.77,0.58,0.216,0.477,0.234,0.288,0.361,85.0,74.0,75.0,93.0,85.0,89.0,101.0,78.0,77.0,,,,105.0,97.0,101.0,,,,,0.454,,0.362,0.086,0.098,-1.35,,,0.1,-1.7,-4.57,93.7,,85.8,,84.5,79.2,0.189,0.415,0.204,0.364,0.455,0.333,,,,0.4,0.6,0.32,,,,,,,0.222,0.444,0.346,,,,,,
