,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,SL%,CU%,CH%,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFC,vCH,vSI,vSL,vCU,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FS%,KC%,wFA/C,wFS/C,wKC/C,vFA,vFS,vKC,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff
0,2024-07-02,745647,Strikeout,strikeout,True,694384,687765,Nolan Schanuel,Mitch Spence,0,0f17ce03-ef86-4671-812e-f38e7d9031bd,687765.0,mitchspence,Spence,Right,Mitch Spence,OAK,4.75,3.99,83.1,102.0,100.0,101.0,0.79,7.78,2.48,9.4,1.3,1.25,0.154,0.453,0.138,0.323,0.424,75.0,88.0,85.0,102.0,115.0,114.0,39.0,98.0,87.0,123.0,105.0,109.0,96.0,97.0,94.0,0.121,0.39,0.362,0.107,0.019,-0.32,-0.1,0.7,-2.9,-10.0,91.0,88.6,92.2,84.2,79.5,0.248,0.442,0.277,0.255,0.491,0.186,0.256,0.419,0.315,0.308,0.308,0.132,0.625,0.875,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-07-02,745647,Flyout,field_out,True,650859,687765,Luis Rengifo,Mitch Spence,0,f9d6f875-0656-4090-bcf8-9a4b215fd4d6,687765.0,mitchspence,Spence,Right,Mitch Spence,OAK,4.75,3.99,83.1,102.0,100.0,101.0,0.79,7.78,2.48,9.4,1.3,1.25,0.154,0.453,0.138,0.323,0.424,75.0,88.0,85.0,102.0,115.0,114.0,39.0,98.0,87.0,123.0,105.0,109.0,96.0,97.0,94.0,0.121,0.39,0.362,0.107,0.019,-0.32,-0.1,0.7,-2.9,-10.0,91.0,88.6,92.2,84.2,79.5,0.248,0.442,0.277,0.255,0.491,0.186,0.256,0.419,0.315,0.308,0.308,0.132,0.625,0.875,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-07-02,745647,Strikeout,strikeout,True,621493,687765,Taylor Ward,Mitch Spence,0,d544926e-2139-425f-83ed-fe0a19fa6bbb,687765.0,mitchspence,Spence,Right,Mitch Spence,OAK,4.75,3.99,83.1,102.0,100.0,101.0,0.79,7.78,2.48,9.4,1.3,1.25,0.154,0.453,0.138,0.323,0.424,75.0,88.0,85.0,102.0,115.0,114.0,39.0,98.0,87.0,123.0,105.0,109.0,96.0,97.0,94.0,0.121,0.39,0.362,0.107,0.019,-0.32,-0.1,0.7,-2.9,-10.0,91.0,88.6,92.2,84.2,79.5,0.248,0.442,0.277,0.255,0.491,0.186,0.256,0.419,0.315,0.308,0.308,0.132,0.625,0.875,0.0,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-07-02,745647,Groundout,field_out,True,668709,667755,JJ Bleday,José Soriano,0,3c3bfda5-2c21-48fc-a28b-b8018966a6b3,667755.0,josesoriano,"Soriano, J",Right,José Soriano,LAA,3.71,4.1,87.1,95.0,101.0,99.0,0.772,7.42,3.5,7.32,0.82,2.51,0.227,0.385,0.15,0.308,0.421,,,,,,,95.0,95.0,97.0,114.0,88.0,95.0,,,,0.426,,0.054,,,,1.84,0.95,,,,,97.8,91.6,,0.091,0.182,0.484,,,,0.205,0.397,0.403,0.237,0.288,0.148,,,,98.0,91.0,86.0,99.0,97.0,108.0,121.0,101.0,112.0,0.165,0.09,0.265,-1.88,0.64,-0.32,98.9,93.0,86.3,0.342,0.605,0.122,0.143,0.314,0.323
4,2024-07-02,745647,Groundout,field_out,True,609280,667755,Miguel Andujar,José Soriano,0,5f622f02-a45f-4a20-be35-3b0f485eb40f,667755.0,josesoriano,"Soriano, J",Right,José Soriano,LAA,3.71,4.1,87.1,95.0,101.0,99.0,0.772,7.42,3.5,7.32,0.82,2.51,0.227,0.385,0.15,0.308,0.421,,,,,,,95.0,95.0,97.0,114.0,88.0,95.0,,,,0.426,,0.054,,,,1.84,0.95,,,,,97.8,91.6,,0.091,0.182,0.484,,,,0.205,0.397,0.403,0.237,0.288,0.148,,,,98.0,91.0,86.0,99.0,97.0,108.0,121.0,101.0,112.0,0.165,0.09,0.265,-1.88,0.64,-0.32,98.9,93.0,86.3,0.342,0.605,0.122,0.143,0.314,0.323
5,2024-07-02,745647,Flyout,field_out,True,667670,667755,Brent Rooker,José Soriano,0,7d5af23f-6606-40c4-9e35-33bac144b31c,667755.0,josesoriano,"Soriano, J",Right,José Soriano,LAA,3.71,4.1,87.1,95.0,101.0,99.0,0.772,7.42,3.5,7.32,0.82,2.51,0.227,0.385,0.15,0.308,0.421,,,,,,,95.0,95.0,97.0,114.0,88.0,95.0,,,,0.426,,0.054,,,,1.84,0.95,,,,,97.8,91.6,,0.091,0.182,0.484,,,,0.205,0.397,0.403,0.237,0.288,0.148,,,,98.0,91.0,86.0,99.0,97.0,108.0,121.0,101.0,112.0,0.165,0.09,0.265,-1.88,0.64,-0.32,98.9,93.0,86.3,0.342,0.605,0.122,0.143,0.314,0.323
6,2024-07-02,745647,Groundout,field_out,True,641432,687765,Willie Calhoun,Mitch Spence,0,75edd15a-410c-4a0c-8714-079e0229e315,687765.0,mitchspence,Spence,Right,Mitch Spence,OAK,4.75,3.99,83.1,102.0,100.0,101.0,0.79,7.78,2.48,9.4,1.3,1.25,0.154,0.453,0.138,0.323,0.424,75.0,88.0,85.0,102.0,115.0,114.0,39.0,98.0,87.0,123.0,105.0,109.0,96.0,97.0,94.0,0.121,0.39,0.362,0.107,0.019,-0.32,-0.1,0.7,-2.9,-10.0,91.0,88.6,92.2,84.2,79.5,0.248,0.442,0.277,0.255,0.491,0.186,0.256,0.419,0.315,0.308,0.308,0.132,0.625,0.875,0.0,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-07-02,745647,Walk,walk,False,681351,687765,Logan O'Hoppe,Mitch Spence,0,e1c46d77-df9c-4924-a0df-4bd628388380,687765.0,mitchspence,Spence,Right,Mitch Spence,OAK,4.75,3.99,83.1,102.0,100.0,101.0,0.79,7.78,2.48,9.4,1.3,1.25,0.154,0.453,0.138,0.323,0.424,75.0,88.0,85.0,102.0,115.0,114.0,39.0,98.0,87.0,123.0,105.0,109.0,96.0,97.0,94.0,0.121,0.39,0.362,0.107,0.019,-0.32,-0.1,0.7,-2.9,-10.0,91.0,88.6,92.2,84.2,79.5,0.248,0.442,0.277,0.255,0.491,0.186,0.256,0.419,0.315,0.308,0.308,0.132,0.625,0.875,0.0,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-07-02,745647,Single,single,False,687263,687765,Zach Neto,Mitch Spence,1,a0249a29-8338-472b-914a-c09c53ed1158,687765.0,mitchspence,Spence,Right,Mitch Spence,OAK,4.75,3.99,83.1,102.0,100.0,101.0,0.79,7.78,2.48,9.4,1.3,1.25,0.154,0.453,0.138,0.323,0.424,75.0,88.0,85.0,102.0,115.0,114.0,39.0,98.0,87.0,123.0,105.0,109.0,96.0,97.0,94.0,0.121,0.39,0.362,0.107,0.019,-0.32,-0.1,0.7,-2.9,-10.0,91.0,88.6,92.2,84.2,79.5,0.248,0.442,0.277,0.255,0.491,0.186,0.256,0.419,0.315,0.308,0.308,0.132,0.625,0.875,0.0,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-07-02,745647,Pop Out,field_out,True,592273,687765,Brandon Drury,Mitch Spence,0,d5802d06-e4d8-43a2-9728-155635a6e6c3,687765.0,mitchspence,Spence,Right,Mitch Spence,OAK,4.75,3.99,83.1,102.0,100.0,101.0,0.79,7.78,2.48,9.4,1.3,1.25,0.154,0.453,0.138,0.323,0.424,75.0,88.0,85.0,102.0,115.0,114.0,39.0,98.0,87.0,123.0,105.0,109.0,96.0,97.0,94.0,0.121,0.39,0.362,0.107,0.019,-0.32,-0.1,0.7,-2.9,-10.0,91.0,88.6,92.2,84.2,79.5,0.248,0.442,0.277,0.255,0.491,0.186,0.256,0.419,0.315,0.308,0.308,0.132,0.625,0.875,0.0,,,,,,,,,,,,,,,,,,,,,,,,
