,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,ST_ba,ST_slg,ST_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,wFC/C,wSI/C,vFC,vSI,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff
61,2024-09-10,744807,Strikeout,strikeout,True,671117,605154,Darren Baker,John Brebbia,0,f687ca6e-1f6a-45ac-9ee6-933313a1fb41,605154.0,johnbrebbia,Brebbia,Right,John Brebbia,- - -,6.0,5.02,54.0,103.0,101.0,104.0,0.783,10.67,3.17,9.17,1.83,0.65,0.252,0.364,0.139,0.371,0.421,78.0,77.0,71.0,,,,101.0,106.0,106.0,102.0,100.0,102.0,0.472,0.525,,0.003,1.33,-2.21,,2.85,93.9,91.6,83.1,,0.177,0.302,0.258,,,,0.319,0.588,0.257,,,,,,,,,,,,,,,,,,,,,,,,
62,2024-09-10,744807,Strikeout,strikeout,True,686611,605154,Dylan Crews,John Brebbia,0,aa567ec2-805e-4322-8594-c8a2ce63c8a2,605154.0,johnbrebbia,Brebbia,Right,John Brebbia,- - -,6.0,5.02,54.0,103.0,101.0,104.0,0.783,10.67,3.17,9.17,1.83,0.65,0.252,0.364,0.139,0.371,0.421,78.0,77.0,71.0,,,,101.0,106.0,106.0,102.0,100.0,102.0,0.472,0.525,,0.003,1.33,-2.21,,2.85,93.9,91.6,83.1,,0.177,0.302,0.258,,,,0.319,0.588,0.257,,,,,,,,,,,,,,,,,,,,,,,,
63,2024-09-10,744807,Flyout,field_out,True,608336,605154,Joey Gallo,John Brebbia,0,1a1d0eea-4f3c-4f21-8ab9-8bc859e14f28,605154.0,johnbrebbia,Brebbia,Right,John Brebbia,- - -,6.0,5.02,54.0,103.0,101.0,104.0,0.783,10.67,3.17,9.17,1.83,0.65,0.252,0.364,0.139,0.371,0.421,78.0,77.0,71.0,,,,101.0,106.0,106.0,102.0,100.0,102.0,0.472,0.525,,0.003,1.33,-2.21,,2.85,93.9,91.6,83.1,,0.177,0.302,0.258,,,,0.319,0.588,0.257,,,,,,,,,,,,,,,,,,,,,,,,
64,2024-09-10,744807,Walk,walk,False,594807,663432,Adam Duvall,Tanner Rainey,0,54477062-9f85-42f0-917c-c290130a47ca,663432.0,tannerrainey,Rainey,Right,Tanner Rainey,WSN,5.09,6.06,46.0,96.0,109.0,99.0,0.759,7.24,5.48,8.8,1.37,0.51,0.25,0.375,0.153,0.319,0.411,87.0,76.0,73.0,,,,111.0,99.0,101.0,103.0,89.0,92.0,0.712,0.272,,0.015,-0.49,-0.74,,-6.89,94.0,85.6,86.5,,0.261,0.486,0.194,,,,0.195,0.195,0.495,,,,,,,,,,,,,,,,,,,,,,,,
65,2024-09-10,744807,Single,single,False,621566,663432,Matt Olson,Tanner Rainey,1,b528e72b-9bff-4cdc-be84-9208c58003a8,663432.0,tannerrainey,Rainey,Right,Tanner Rainey,WSN,5.09,6.06,46.0,96.0,109.0,99.0,0.759,7.24,5.48,8.8,1.37,0.51,0.25,0.375,0.153,0.319,0.411,87.0,76.0,73.0,,,,111.0,99.0,101.0,103.0,89.0,92.0,0.712,0.272,,0.015,-0.49,-0.74,,-6.89,94.0,85.6,86.5,,0.261,0.486,0.194,,,,0.195,0.195,0.495,,,,,,,,,,,,,,,,,,,,,,,,
66,2024-09-10,744807,Single,single,False,657656,663432,Ramón Laureano,Tanner Rainey,1,7deb5a79-2a7d-4059-b87e-391afb98290c,663432.0,tannerrainey,Rainey,Right,Tanner Rainey,WSN,5.09,6.06,46.0,96.0,109.0,99.0,0.759,7.24,5.48,8.8,1.37,0.51,0.25,0.375,0.153,0.319,0.411,87.0,76.0,73.0,,,,111.0,99.0,101.0,103.0,89.0,92.0,0.712,0.272,,0.015,-0.49,-0.74,,-6.89,94.0,85.6,86.5,,0.261,0.486,0.194,,,,0.195,0.195,0.495,,,,,,,,,,,,,,,,,,,,,,,,
67,2024-09-10,744807,Single,single,False,669221,663432,Sean Murphy,Tanner Rainey,1,9d50c178-64f2-48b0-98c2-12518c921df3,663432.0,tannerrainey,Rainey,Right,Tanner Rainey,WSN,5.09,6.06,46.0,96.0,109.0,99.0,0.759,7.24,5.48,8.8,1.37,0.51,0.25,0.375,0.153,0.319,0.411,87.0,76.0,73.0,,,,111.0,99.0,101.0,103.0,89.0,92.0,0.712,0.272,,0.015,-0.49,-0.74,,-6.89,94.0,85.6,86.5,,0.261,0.486,0.194,,,,0.195,0.195,0.495,,,,,,,,,,,,,,,,,,,,,,,,
68,2024-09-10,744807,Lineout,field_out,True,570482,663432,Gio Urshela,Tanner Rainey,0,dfe4a810-9f1a-4d24-9ddb-1c1fb763c0dc,663432.0,tannerrainey,Rainey,Right,Tanner Rainey,WSN,5.09,6.06,46.0,96.0,109.0,99.0,0.759,7.24,5.48,8.8,1.37,0.51,0.25,0.375,0.153,0.319,0.411,87.0,76.0,73.0,,,,111.0,99.0,101.0,103.0,89.0,92.0,0.712,0.272,,0.015,-0.49,-0.74,,-6.89,94.0,85.6,86.5,,0.261,0.486,0.194,,,,0.195,0.195,0.495,,,,,,,,,,,,,,,,,,,,,,,,
69,2024-09-10,744807,Strikeout,strikeout,True,606115,663432,Orlando Arcia,Tanner Rainey,0,f9527b3a-90ef-4bf5-8c2e-6fa8a2a65680,663432.0,tannerrainey,Rainey,Right,Tanner Rainey,WSN,5.09,6.06,46.0,96.0,109.0,99.0,0.759,7.24,5.48,8.8,1.37,0.51,0.25,0.375,0.153,0.319,0.411,87.0,76.0,73.0,,,,111.0,99.0,101.0,103.0,89.0,92.0,0.712,0.272,,0.015,-0.49,-0.74,,-6.89,94.0,85.6,86.5,,0.261,0.486,0.194,,,,0.195,0.195,0.495,,,,,,,,,,,,,,,,,,,,,,,,
70,2024-09-10,744807,Pop Out,field_out,True,663897,663432,Luke Williams,Tanner Rainey,0,5e834661-e87c-482c-a22a-6e1d7393cd41,663432.0,tannerrainey,Rainey,Right,Tanner Rainey,WSN,5.09,6.06,46.0,96.0,109.0,99.0,0.759,7.24,5.48,8.8,1.37,0.51,0.25,0.375,0.153,0.319,0.411,87.0,76.0,73.0,,,,111.0,99.0,101.0,103.0,89.0,92.0,0.712,0.272,,0.015,-0.49,-0.74,,-6.89,94.0,85.6,86.5,,0.261,0.486,0.194,,,,0.195,0.195,0.495,,,,,,,,,,,,,,,,,,,,,,,,
