,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FC%,FS%,CU%,CH%,wFC/C,wFS/C,wSI/C,wCU/C,wCH/C,vFC,vFS,vCH,vSI,vCU,FS_ba,FS_slg,FS_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,wFA/C,wSL/C,vFA,vSL,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,KC%,wKC/C,vKC
0,2024-07-04,746532,Groundout,field_out,True,668930,615698,Brice Turang,Cal Quantrill,0,1498d7e4-5bc9-4dbb-a628-e68591b797b9,615698.0,calquantrill,Quantrill,Right,Cal Quantrill,COL,4.15,4.48,108.1,97.0,93.0,95.0,0.8,6.9,3.41,8.64,1.16,1.47,0.223,0.427,0.134,0.357,0.414,88.0,97.0,103.0,96.0,101.0,104.0,79.0,97.0,90.0,80.0,99.0,95.0,115.0,95.0,98.0,0.397,0.134,0.336,0.107,0.025,-1.43,1.52,-1.66,0.34,1.78,87.7,86.1,84.9,93.8,79.9,0.178,0.253,0.253,0.322,0.573,0.2,0.347,0.571,0.173,0.242,0.424,0.267,0.222,0.222,0.167,,,,,,,,,,,,,,,,,,,,,
1,2024-07-04,746532,Single,single,False,661388,615698,William Contreras,Cal Quantrill,0,4285f949-2d5f-492d-9f1e-4832cf19a4c9,615698.0,calquantrill,Quantrill,Right,Cal Quantrill,COL,4.15,4.48,108.1,97.0,93.0,95.0,0.8,6.9,3.41,8.64,1.16,1.47,0.223,0.427,0.134,0.357,0.414,88.0,97.0,103.0,96.0,101.0,104.0,79.0,97.0,90.0,80.0,99.0,95.0,115.0,95.0,98.0,0.397,0.134,0.336,0.107,0.025,-1.43,1.52,-1.66,0.34,1.78,87.7,86.1,84.9,93.8,79.9,0.178,0.253,0.253,0.322,0.573,0.2,0.347,0.571,0.173,0.242,0.424,0.267,0.222,0.222,0.167,,,,,,,,,,,,,,,,,,,,,
2,2024-07-04,746532,Strikeout,strikeout,True,592885,615698,Christian Yelich,Cal Quantrill,1,3bf44a8a-db21-41b2-a3d1-779c0ff655f3,615698.0,calquantrill,Quantrill,Right,Cal Quantrill,COL,4.15,4.48,108.1,97.0,93.0,95.0,0.8,6.9,3.41,8.64,1.16,1.47,0.223,0.427,0.134,0.357,0.414,88.0,97.0,103.0,96.0,101.0,104.0,79.0,97.0,90.0,80.0,99.0,95.0,115.0,95.0,98.0,0.397,0.134,0.336,0.107,0.025,-1.43,1.52,-1.66,0.34,1.78,87.7,86.1,84.9,93.8,79.9,0.178,0.253,0.253,0.322,0.573,0.2,0.347,0.571,0.173,0.242,0.424,0.267,0.222,0.222,0.167,,,,,,,,,,,,,,,,,,,,,
3,2024-07-04,746532,Lineout,field_out,True,642715,615698,Willy Adames,Cal Quantrill,0,0c60316c-ad62-4817-910d-e91351bc4180,615698.0,calquantrill,Quantrill,Right,Cal Quantrill,COL,4.15,4.48,108.1,97.0,93.0,95.0,0.8,6.9,3.41,8.64,1.16,1.47,0.223,0.427,0.134,0.357,0.414,88.0,97.0,103.0,96.0,101.0,104.0,79.0,97.0,90.0,80.0,99.0,95.0,115.0,95.0,98.0,0.397,0.134,0.336,0.107,0.025,-1.43,1.52,-1.66,0.34,1.78,87.7,86.1,84.9,93.8,79.9,0.178,0.253,0.253,0.322,0.573,0.2,0.347,0.571,0.173,0.242,0.424,0.267,0.222,0.222,0.167,,,,,,,,,,,,,,,,,,,,,
4,2024-07-04,746532,Single,single,False,453568,668964,Charlie Blackmon,Tobias Myers,0,0fa65183-1f78-45e2-b19a-b39d8ca89e12,668964.0,tobiasmyers,Myers,Right,Tobias Myers,MIL,3.13,3.99,72.0,101.0,91.0,98.0,0.8,7.75,2.5,7.63,1.25,0.95,0.288,0.39,0.127,0.273,0.428,108.0,81.0,87.0,72.0,100.0,102.0,75.0,91.0,71.0,96.0,101.0,91.0,,,,0.007,0.229,,0.051,0.12,-1.06,,13.69,-3.98,0.93,89.4,,81.2,91.2,77.7,,,,0.0,0.0,0.0,0.333,0.509,0.152,0.5,0.7,0.1,0.091,0.091,0.431,85.0,106.0,102.0,93.0,106.0,104.0,0.4,0.192,1.01,2.07,92.7,85.4,0.207,0.413,0.174,0.18,0.2,0.324,,,
5,2024-07-04,746532,Sac Bunt,sac_bunt,True,678662,668964,Ezequiel Tovar,Tobias Myers,1,44dcc888-32a9-49c7-98c6-40c289d79af6,668964.0,tobiasmyers,Myers,Right,Tobias Myers,MIL,3.13,3.99,72.0,101.0,91.0,98.0,0.8,7.75,2.5,7.63,1.25,0.95,0.288,0.39,0.127,0.273,0.428,108.0,81.0,87.0,72.0,100.0,102.0,75.0,91.0,71.0,96.0,101.0,91.0,,,,0.007,0.229,,0.051,0.12,-1.06,,13.69,-3.98,0.93,89.4,,81.2,91.2,77.7,,,,0.0,0.0,0.0,0.333,0.509,0.152,0.5,0.7,0.1,0.091,0.091,0.431,85.0,106.0,102.0,93.0,106.0,104.0,0.4,0.192,1.01,2.07,92.7,85.4,0.207,0.413,0.174,0.18,0.2,0.324,,,
6,2024-07-04,746532,Double,double,False,641857,668964,Ryan McMahon,Tobias Myers,1,915fb917-556b-484a-a92a-e2ec1f61789d,668964.0,tobiasmyers,Myers,Right,Tobias Myers,MIL,3.13,3.99,72.0,101.0,91.0,98.0,0.8,7.75,2.5,7.63,1.25,0.95,0.288,0.39,0.127,0.273,0.428,108.0,81.0,87.0,72.0,100.0,102.0,75.0,91.0,71.0,96.0,101.0,91.0,,,,0.007,0.229,,0.051,0.12,-1.06,,13.69,-3.98,0.93,89.4,,81.2,91.2,77.7,,,,0.0,0.0,0.0,0.333,0.509,0.152,0.5,0.7,0.1,0.091,0.091,0.431,85.0,106.0,102.0,93.0,106.0,104.0,0.4,0.192,1.01,2.07,92.7,85.4,0.207,0.413,0.174,0.18,0.2,0.324,,,
7,2024-07-04,746532,Groundout,field_out,True,553869,668964,Elias Díaz,Tobias Myers,0,a4cb6164-0786-4daa-90ba-4a6e98c6b6ae,668964.0,tobiasmyers,Myers,Right,Tobias Myers,MIL,3.13,3.99,72.0,101.0,91.0,98.0,0.8,7.75,2.5,7.63,1.25,0.95,0.288,0.39,0.127,0.273,0.428,108.0,81.0,87.0,72.0,100.0,102.0,75.0,91.0,71.0,96.0,101.0,91.0,,,,0.007,0.229,,0.051,0.12,-1.06,,13.69,-3.98,0.93,89.4,,81.2,91.2,77.7,,,,0.0,0.0,0.0,0.333,0.509,0.152,0.5,0.7,0.1,0.091,0.091,0.431,85.0,106.0,102.0,93.0,106.0,104.0,0.4,0.192,1.01,2.07,92.7,85.4,0.207,0.413,0.174,0.18,0.2,0.324,,,
8,2024-07-04,746532,Groundout,field_out,True,663898,668964,Brendan Rodgers,Tobias Myers,0,62f988fa-51da-4d0e-8edd-8370b3641cde,668964.0,tobiasmyers,Myers,Right,Tobias Myers,MIL,3.13,3.99,72.0,101.0,91.0,98.0,0.8,7.75,2.5,7.63,1.25,0.95,0.288,0.39,0.127,0.273,0.428,108.0,81.0,87.0,72.0,100.0,102.0,75.0,91.0,71.0,96.0,101.0,91.0,,,,0.007,0.229,,0.051,0.12,-1.06,,13.69,-3.98,0.93,89.4,,81.2,91.2,77.7,,,,0.0,0.0,0.0,0.333,0.509,0.152,0.5,0.7,0.1,0.091,0.091,0.431,85.0,106.0,102.0,93.0,106.0,104.0,0.4,0.192,1.01,2.07,92.7,85.4,0.207,0.413,0.174,0.18,0.2,0.324,,,
9,2024-07-04,746532,Single,single,False,686217,615698,Sal Frelick,Cal Quantrill,0,81176281-b5af-4ba9-b8ce-60892b91851f,615698.0,calquantrill,Quantrill,Right,Cal Quantrill,COL,4.15,4.48,108.1,97.0,93.0,95.0,0.8,6.9,3.41,8.64,1.16,1.47,0.223,0.427,0.134,0.357,0.414,88.0,97.0,103.0,96.0,101.0,104.0,79.0,97.0,90.0,80.0,99.0,95.0,115.0,95.0,98.0,0.397,0.134,0.336,0.107,0.025,-1.43,1.52,-1.66,0.34,1.78,87.7,86.1,84.9,93.8,79.9,0.178,0.253,0.253,0.322,0.573,0.2,0.347,0.571,0.173,0.242,0.424,0.267,0.222,0.222,0.167,,,,,,,,,,,,,,,,,,,,,
