,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,SI%,FA%,CU%,CH%,wFA/C,wSI/C,wCU/C,wCH/C,vFA,vCH,vSI,vCU,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,SL%,wFC/C,wFS/C,wSL/C,vFC,vFS,vSL,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,ST_ba,ST_slg,ST_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
0,2024-09-29,746174,Single,single,False,543760,686799,Marcus Semien,Jack Kochanowicz,0,0f3a4741-50f3-4acc-a379-6022e024c11b,686799.0,jackkochanowicz,Kochanowicz,Right,Jack Kochanowicz,LAA,3.99,4.97,65.1,101.0,100.0,102.0,0.867,3.44,1.38,9.37,0.96,2.33,0.202,0.39,0.152,0.35,0.513,74.0,103.0,98.0,111.0,95.0,106.0,87.0,95.0,90.0,99.0,103.0,102.0,0.724,0.062,0.184,0.03,-1.87,0.89,-1.06,-3.35,96.3,88.3,95.8,85.0,0.286,0.411,0.121,0.235,0.412,0.25,0.167,0.5,0.364,0.333,0.444,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-09-29,746174,Groundout,field_out,True,669701,686799,Josh Smith,Jack Kochanowicz,1,d0e629a9-aaaf-4919-93b4-7c34f6f90a5b,686799.0,jackkochanowicz,Kochanowicz,Right,Jack Kochanowicz,LAA,3.99,4.97,65.1,101.0,100.0,102.0,0.867,3.44,1.38,9.37,0.96,2.33,0.202,0.39,0.152,0.35,0.513,74.0,103.0,98.0,111.0,95.0,106.0,87.0,95.0,90.0,99.0,103.0,102.0,0.724,0.062,0.184,0.03,-1.87,0.89,-1.06,-3.35,96.3,88.3,95.8,85.0,0.286,0.411,0.121,0.235,0.412,0.25,0.167,0.5,0.364,0.333,0.444,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-09-29,746174,Groundout,field_out,True,694671,686799,Wyatt Langford,Jack Kochanowicz,0,951ce3e0-aa75-4458-8eee-bf6c29c2d4b6,686799.0,jackkochanowicz,Kochanowicz,Right,Jack Kochanowicz,LAA,3.99,4.97,65.1,101.0,100.0,102.0,0.867,3.44,1.38,9.37,0.96,2.33,0.202,0.39,0.152,0.35,0.513,74.0,103.0,98.0,111.0,95.0,106.0,87.0,95.0,90.0,99.0,103.0,102.0,0.724,0.062,0.184,0.03,-1.87,0.89,-1.06,-3.35,96.3,88.3,95.8,85.0,0.286,0.411,0.121,0.235,0.412,0.25,0.167,0.5,0.364,0.333,0.444,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-09-29,746174,Groundout,field_out,True,663993,686799,Nathaniel Lowe,Jack Kochanowicz,0,71d41793-e3cb-4b5c-9049-677c3189851c,686799.0,jackkochanowicz,Kochanowicz,Right,Jack Kochanowicz,LAA,3.99,4.97,65.1,101.0,100.0,102.0,0.867,3.44,1.38,9.37,0.96,2.33,0.202,0.39,0.152,0.35,0.513,74.0,103.0,98.0,111.0,95.0,106.0,87.0,95.0,90.0,99.0,103.0,102.0,0.724,0.062,0.184,0.03,-1.87,0.89,-1.06,-3.35,96.3,88.3,95.8,85.0,0.286,0.411,0.121,0.235,0.412,0.25,0.167,0.5,0.364,0.333,0.444,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-09-29,746174,Flyout,field_out,True,621493,543135,Taylor Ward,Nathan Eovaldi,0,30a45c7b-9f03-4ffc-9efe-c010945f7e26,543135.0,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.8,3.86,170.2,104.0,98.0,103.0,0.751,8.75,2.21,7.75,1.21,1.47,0.227,0.399,0.119,0.341,0.458,,,,99.0,104.0,104.0,75.0,105.0,98.0,,,,,0.374,0.137,,0.83,,-0.79,,95.4,,,76.7,,,,0.214,0.471,0.355,0.212,0.335,0.178,,,,114.0,102.0,102.0,91.0,108.0,99.0,127.0,101.0,110.0,0.148,0.308,0.033,-1.41,1.55,-0.69,91.4,88.4,86.3,0.2,0.286,0.366,0.327,0.624,0.2,0.269,0.462,0.25,,,,,,,,,
5,2024-09-29,746174,Field Error,field_error,False,605346,543135,Jack López,Nathan Eovaldi,0,14b2710e-a036-4ad1-9822-6bd78839824a,543135.0,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.8,3.86,170.2,104.0,98.0,103.0,0.751,8.75,2.21,7.75,1.21,1.47,0.227,0.399,0.119,0.341,0.458,,,,99.0,104.0,104.0,75.0,105.0,98.0,,,,,0.374,0.137,,0.83,,-0.79,,95.4,,,76.7,,,,0.214,0.471,0.355,0.212,0.335,0.178,,,,114.0,102.0,102.0,91.0,108.0,99.0,127.0,101.0,110.0,0.148,0.308,0.033,-1.41,1.55,-0.69,91.4,88.4,86.3,0.2,0.286,0.366,0.327,0.624,0.2,0.269,0.462,0.25,,,,,,,,,
6,2024-09-29,746174,Single,single,False,676572,543135,Eric Wagaman,Nathan Eovaldi,1,4ad4f3d8-84c4-4bb9-b8f0-e801d539911b,543135.0,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.8,3.86,170.2,104.0,98.0,103.0,0.751,8.75,2.21,7.75,1.21,1.47,0.227,0.399,0.119,0.341,0.458,,,,99.0,104.0,104.0,75.0,105.0,98.0,,,,,0.374,0.137,,0.83,,-0.79,,95.4,,,76.7,,,,0.214,0.471,0.355,0.212,0.335,0.178,,,,114.0,102.0,102.0,91.0,108.0,99.0,127.0,101.0,110.0,0.148,0.308,0.033,-1.41,1.55,-0.69,91.4,88.4,86.3,0.2,0.286,0.366,0.327,0.624,0.2,0.269,0.462,0.25,,,,,,,,,
7,2024-09-29,746174,Hit By Pitch,hit_by_pitch,False,607680,543135,Kevin Pillar,Nathan Eovaldi,1,a46b6e9f-ab1d-4439-92c8-16a1beb3635d,543135.0,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.8,3.86,170.2,104.0,98.0,103.0,0.751,8.75,2.21,7.75,1.21,1.47,0.227,0.399,0.119,0.341,0.458,,,,99.0,104.0,104.0,75.0,105.0,98.0,,,,,0.374,0.137,,0.83,,-0.79,,95.4,,,76.7,,,,0.214,0.471,0.355,0.212,0.335,0.178,,,,114.0,102.0,102.0,91.0,108.0,99.0,127.0,101.0,110.0,0.148,0.308,0.033,-1.41,1.55,-0.69,91.4,88.4,86.3,0.2,0.286,0.366,0.327,0.624,0.2,0.269,0.462,0.25,,,,,,,,,
8,2024-09-29,746174,Strikeout,strikeout,True,592273,543135,Brandon Drury,Nathan Eovaldi,0,b2d522bf-9445-4d79-b5c1-fc5bff2493bc,543135.0,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.8,3.86,170.2,104.0,98.0,103.0,0.751,8.75,2.21,7.75,1.21,1.47,0.227,0.399,0.119,0.341,0.458,,,,99.0,104.0,104.0,75.0,105.0,98.0,,,,,0.374,0.137,,0.83,,-0.79,,95.4,,,76.7,,,,0.214,0.471,0.355,0.212,0.335,0.178,,,,114.0,102.0,102.0,91.0,108.0,99.0,127.0,101.0,110.0,0.148,0.308,0.033,-1.41,1.55,-0.69,91.4,88.4,86.3,0.2,0.286,0.366,0.327,0.624,0.2,0.269,0.462,0.25,,,,,,,,,
9,2024-09-29,746174,Groundout,field_out,True,642136,543135,Matt Thaiss,Nathan Eovaldi,0,067d6409-da43-4445-8d7d-5715447bfffd,543135.0,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.8,3.86,170.2,104.0,98.0,103.0,0.751,8.75,2.21,7.75,1.21,1.47,0.227,0.399,0.119,0.341,0.458,,,,99.0,104.0,104.0,75.0,105.0,98.0,,,,,0.374,0.137,,0.83,,-0.79,,95.4,,,76.7,,,,0.214,0.471,0.355,0.212,0.335,0.178,,,,114.0,102.0,102.0,91.0,108.0,99.0,127.0,101.0,110.0,0.148,0.308,0.033,-1.41,1.55,-0.69,91.4,88.4,86.3,0.2,0.286,0.366,0.327,0.624,0.2,0.269,0.462,0.25,,,,,,,,,
