,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,FA%,SL%,KC%,CH%,wFA/C,wSL/C,wKC/C,wCH/C,vFA,vCH,vSL,vKC,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,CU%,wCU/C,vCU,SI_ba,SI_slg,SI_whiff
0,2024-08-20,744814,Groundout,field_out,True,453568,687792,Charlie Blackmon,DJ Herz,0,fe8ae3b7-4106-41c5-a651-911f50955bda,687792.0,djherz,Herz,Left,DJ Herz,WSN,3.84,3.35,65.2,98.0,96.0,97.0,0.728,11.38,3.29,8.22,1.37,0.84,0.264,0.448,0.138,0.351,0.435,106.0,100.0,99.0,91.0,99.0,97.0,106.0,93.0,98.0,98.0,66.0,79.0,0.543,0.177,0.035,0.244,0.36,-2.29,0.97,0.85,93.5,83.5,86.2,81.0,0.254,0.377,0.322,0.181,0.347,0.261,0.26,0.54,0.268,0.25,0.25,0.615,,,,,,,,,,,,
1,2024-08-20,744814,Double,double,False,678662,687792,Ezequiel Tovar,DJ Herz,0,369875a9-3d3b-480d-bf10-2ff3b5e84fb2,687792.0,djherz,Herz,Left,DJ Herz,WSN,3.84,3.35,65.2,98.0,96.0,97.0,0.728,11.38,3.29,8.22,1.37,0.84,0.264,0.448,0.138,0.351,0.435,106.0,100.0,99.0,91.0,99.0,97.0,106.0,93.0,98.0,98.0,66.0,79.0,0.543,0.177,0.035,0.244,0.36,-2.29,0.97,0.85,93.5,83.5,86.2,81.0,0.254,0.377,0.322,0.181,0.347,0.261,0.26,0.54,0.268,0.25,0.25,0.615,,,,,,,,,,,,
2,2024-08-20,744814,Single,single,False,686668,687792,Brenton Doyle,DJ Herz,1,7fb1318f-9abd-4980-a192-61df38b4b612,687792.0,djherz,Herz,Left,DJ Herz,WSN,3.84,3.35,65.2,98.0,96.0,97.0,0.728,11.38,3.29,8.22,1.37,0.84,0.264,0.448,0.138,0.351,0.435,106.0,100.0,99.0,91.0,99.0,97.0,106.0,93.0,98.0,98.0,66.0,79.0,0.543,0.177,0.035,0.244,0.36,-2.29,0.97,0.85,93.5,83.5,86.2,81.0,0.254,0.377,0.322,0.181,0.347,0.261,0.26,0.54,0.268,0.25,0.25,0.615,,,,,,,,,,,,
3,2024-08-20,744814,Single,single,False,641857,687792,Ryan McMahon,DJ Herz,1,7c701f00-687a-4ef1-a37b-3dd328e5c81a,687792.0,djherz,Herz,Left,DJ Herz,WSN,3.84,3.35,65.2,98.0,96.0,97.0,0.728,11.38,3.29,8.22,1.37,0.84,0.264,0.448,0.138,0.351,0.435,106.0,100.0,99.0,91.0,99.0,97.0,106.0,93.0,98.0,98.0,66.0,79.0,0.543,0.177,0.035,0.244,0.36,-2.29,0.97,0.85,93.5,83.5,86.2,81.0,0.254,0.377,0.322,0.181,0.347,0.261,0.26,0.54,0.268,0.25,0.25,0.615,,,,,,,,,,,,
4,2024-08-20,744814,Strikeout,strikeout,True,663898,687792,Brendan Rodgers,DJ Herz,1,0f21f52d-2fd7-419d-94f3-779b08d89e9b,687792.0,djherz,Herz,Left,DJ Herz,WSN,3.84,3.35,65.2,98.0,96.0,97.0,0.728,11.38,3.29,8.22,1.37,0.84,0.264,0.448,0.138,0.351,0.435,106.0,100.0,99.0,91.0,99.0,97.0,106.0,93.0,98.0,98.0,66.0,79.0,0.543,0.177,0.035,0.244,0.36,-2.29,0.97,0.85,93.5,83.5,86.2,81.0,0.254,0.377,0.322,0.181,0.347,0.261,0.26,0.54,0.268,0.25,0.25,0.615,,,,,,,,,,,,
5,2024-08-20,744814,Walk,walk,False,669911,687792,Michael Toglia,DJ Herz,0,8594537e-b4c0-4698-821b-6c5bc7cd3a51,687792.0,djherz,Herz,Left,DJ Herz,WSN,3.84,3.35,65.2,98.0,96.0,97.0,0.728,11.38,3.29,8.22,1.37,0.84,0.264,0.448,0.138,0.351,0.435,106.0,100.0,99.0,91.0,99.0,97.0,106.0,93.0,98.0,98.0,66.0,79.0,0.543,0.177,0.035,0.244,0.36,-2.29,0.97,0.85,93.5,83.5,86.2,81.0,0.254,0.377,0.322,0.181,0.347,0.261,0.26,0.54,0.268,0.25,0.25,0.615,,,,,,,,,,,,
6,2024-08-20,744814,Groundout,field_out,True,666134,687792,Nolan Jones,DJ Herz,0,bc30d41a-411d-4594-aef6-8d07764c57bf,687792.0,djherz,Herz,Left,DJ Herz,WSN,3.84,3.35,65.2,98.0,96.0,97.0,0.728,11.38,3.29,8.22,1.37,0.84,0.264,0.448,0.138,0.351,0.435,106.0,100.0,99.0,91.0,99.0,97.0,106.0,93.0,98.0,98.0,66.0,79.0,0.543,0.177,0.035,0.244,0.36,-2.29,0.97,0.85,93.5,83.5,86.2,81.0,0.254,0.377,0.322,0.181,0.347,0.261,0.26,0.54,0.268,0.25,0.25,0.615,,,,,,,,,,,,
7,2024-08-20,744814,Pop Out,field_out,True,669743,596295,Alex Call,Austin Gomber,0,e72615ea-58ab-49c8-9164-ded7fece9c01,596295.0,austingomber,Gomber,Left,Austin Gomber,COL,4.7,5.18,138.0,102.0,81.0,97.0,0.826,6.39,2.28,9.33,1.7,1.01,0.217,0.435,0.128,0.368,0.437,84.0,104.0,100.0,73.0,98.0,90.0,87.0,102.0,101.0,90.0,110.0,107.0,0.412,0.155,0.223,0.209,-1.03,0.05,-0.11,-0.1,90.5,81.1,83.9,77.6,0.298,0.574,0.096,0.261,0.414,0.285,0.266,0.489,0.18,0.211,0.381,0.263,51.0,110.0,96.0,0.001,-42.81,90.1,,,,,,
8,2024-08-20,744814,Strikeout,strikeout,True,682928,596295,CJ Abrams,Austin Gomber,0,fc6d9ef9-6687-4826-bed1-bef7e86dea42,596295.0,austingomber,Gomber,Left,Austin Gomber,COL,4.7,5.18,138.0,102.0,81.0,97.0,0.826,6.39,2.28,9.33,1.7,1.01,0.217,0.435,0.128,0.368,0.437,84.0,104.0,100.0,73.0,98.0,90.0,87.0,102.0,101.0,90.0,110.0,107.0,0.412,0.155,0.223,0.209,-1.03,0.05,-0.11,-0.1,90.5,81.1,83.9,77.6,0.298,0.574,0.096,0.261,0.414,0.285,0.266,0.489,0.18,0.211,0.381,0.263,51.0,110.0,96.0,0.001,-42.81,90.1,,,,,,
9,2024-08-20,744814,Flyout,field_out,True,665953,596295,Andrés Chaparro,Austin Gomber,0,aaeaa2b3-e9fa-48db-88e8-3a499bc614c1,596295.0,austingomber,Gomber,Left,Austin Gomber,COL,4.7,5.18,138.0,102.0,81.0,97.0,0.826,6.39,2.28,9.33,1.7,1.01,0.217,0.435,0.128,0.368,0.437,84.0,104.0,100.0,73.0,98.0,90.0,87.0,102.0,101.0,90.0,110.0,107.0,0.412,0.155,0.223,0.209,-1.03,0.05,-0.11,-0.1,90.5,81.1,83.9,77.6,0.298,0.574,0.096,0.261,0.414,0.285,0.266,0.489,0.18,0.211,0.381,0.263,51.0,110.0,96.0,0.001,-42.81,90.1,,,,,,
