,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,wFC/C,wSI/C,vFC,vSI,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff
0,2024-04-22,745916,Strikeout,strikeout,True,670032,663978,Nicky Lopez,Chris Paddack,0,9dfa58ee-6f6e-4298-8e6a-41daec145ccc,663978.0,chrispaddack,Paddack,Right,Chris Paddack,MIN,4.99,4.73,88.1,106.0,89.0,104.0,0.781,8.05,2.14,10.39,1.43,0.9,0.233,0.35,0.141,0.311,0.425,108.0,107.0,112.0,106.0,102.0,103.0,79.0,111.0,103.0,71.0,97.0,96.0,0.429,0.177,0.136,0.259,0.61,-0.22,-1.7,-1.54,93.3,82.9,85.9,78.2,0.277,0.4,0.243,0.283,0.519,0.248,0.264,0.434,0.254,0.326,0.435,0.19,,,,,,,,,,,,,,,,,,
1,2024-04-22,745916,Groundout,field_out,True,543257,663978,Robbie Grossman,Chris Paddack,0,5ef28a09-6dd0-431b-8a53-913e1fe14d9a,663978.0,chrispaddack,Paddack,Right,Chris Paddack,MIN,4.99,4.73,88.1,106.0,89.0,104.0,0.781,8.05,2.14,10.39,1.43,0.9,0.233,0.35,0.141,0.311,0.425,108.0,107.0,112.0,106.0,102.0,103.0,79.0,111.0,103.0,71.0,97.0,96.0,0.429,0.177,0.136,0.259,0.61,-0.22,-1.7,-1.54,93.3,82.9,85.9,78.2,0.277,0.4,0.243,0.283,0.519,0.248,0.264,0.434,0.254,0.326,0.435,0.19,,,,,,,,,,,,,,,,,,
2,2024-04-22,745916,Strikeout,strikeout,True,650391,663978,Eloy Jiménez,Chris Paddack,0,bec178e5-f5f5-485c-b992-4a14c624a7ed,663978.0,chrispaddack,Paddack,Right,Chris Paddack,MIN,4.99,4.73,88.1,106.0,89.0,104.0,0.781,8.05,2.14,10.39,1.43,0.9,0.233,0.35,0.141,0.311,0.425,108.0,107.0,112.0,106.0,102.0,103.0,79.0,111.0,103.0,71.0,97.0,96.0,0.429,0.177,0.136,0.259,0.61,-0.22,-1.7,-1.54,93.3,82.9,85.9,78.2,0.277,0.4,0.243,0.283,0.519,0.248,0.264,0.434,0.254,0.326,0.435,0.19,,,,,,,,,,,,,,,,,,
3,2024-04-22,745916,Groundout,field_out,True,666135,686563,Alex Kirilloff,Jonathan Cannon,0,c88fc0b5-e679-4794-b8b1-5f256a7bba75,686563.0,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.41,3.88,51.0,102.0,96.0,99.0,0.803,6.88,2.29,9.53,1.24,1.26,0.218,0.412,0.133,0.297,0.389,101.0,114.0,116.0,,,,79.0,99.0,91.0,121.0,98.0,106.0,0.084,0.237,,0.142,-3.2,0.89,,-4.35,94.7,85.8,82.0,,0.444,0.778,0.281,0.325,0.625,0.284,0.2,0.225,0.274,,,,86.0,102.0,94.0,83.0,104.0,96.0,0.345,0.192,-0.13,0.63,89.9,93.2,0.26,0.425,0.143,0.244,0.463,0.221
4,2024-04-22,745916,Strikeout,strikeout,True,666397,686563,Edouard Julien,Jonathan Cannon,0,1b36d488-de8e-496e-9f65-c6ed9365919f,686563.0,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.41,3.88,51.0,102.0,96.0,99.0,0.803,6.88,2.29,9.53,1.24,1.26,0.218,0.412,0.133,0.297,0.389,101.0,114.0,116.0,,,,79.0,99.0,91.0,121.0,98.0,106.0,0.084,0.237,,0.142,-3.2,0.89,,-4.35,94.7,85.8,82.0,,0.444,0.778,0.281,0.325,0.625,0.284,0.2,0.225,0.274,,,,86.0,102.0,94.0,83.0,104.0,96.0,0.345,0.192,-0.13,0.63,89.9,93.2,0.26,0.425,0.143,0.244,0.463,0.221
5,2024-04-22,745916,Walk,walk,False,663616,686563,Trevor Larnach,Jonathan Cannon,0,9aa2d41e-ed25-4c01-8430-961c65b939d7,686563.0,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.41,3.88,51.0,102.0,96.0,99.0,0.803,6.88,2.29,9.53,1.24,1.26,0.218,0.412,0.133,0.297,0.389,101.0,114.0,116.0,,,,79.0,99.0,91.0,121.0,98.0,106.0,0.084,0.237,,0.142,-3.2,0.89,,-4.35,94.7,85.8,82.0,,0.444,0.778,0.281,0.325,0.625,0.284,0.2,0.225,0.274,,,,86.0,102.0,94.0,83.0,104.0,96.0,0.345,0.192,-0.13,0.63,89.9,93.2,0.26,0.425,0.143,0.244,0.463,0.221
6,2024-04-22,745916,Single,single,False,680777,686563,Ryan Jeffers,Jonathan Cannon,1,c46c8aae-1598-4e2b-b900-714727b5a7bf,686563.0,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.41,3.88,51.0,102.0,96.0,99.0,0.803,6.88,2.29,9.53,1.24,1.26,0.218,0.412,0.133,0.297,0.389,101.0,114.0,116.0,,,,79.0,99.0,91.0,121.0,98.0,106.0,0.084,0.237,,0.142,-3.2,0.89,,-4.35,94.7,85.8,82.0,,0.444,0.778,0.281,0.325,0.625,0.284,0.2,0.225,0.274,,,,86.0,102.0,94.0,83.0,104.0,96.0,0.345,0.192,-0.13,0.63,89.9,93.2,0.26,0.425,0.143,0.244,0.463,0.221
7,2024-04-22,745916,Double,double,False,596146,686563,Max Kepler,Jonathan Cannon,1,c496f2cb-8902-4d63-8c43-d8f9624c69c1,686563.0,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.41,3.88,51.0,102.0,96.0,99.0,0.803,6.88,2.29,9.53,1.24,1.26,0.218,0.412,0.133,0.297,0.389,101.0,114.0,116.0,,,,79.0,99.0,91.0,121.0,98.0,106.0,0.084,0.237,,0.142,-3.2,0.89,,-4.35,94.7,85.8,82.0,,0.444,0.778,0.281,0.325,0.625,0.284,0.2,0.225,0.274,,,,86.0,102.0,94.0,83.0,104.0,96.0,0.345,0.192,-0.13,0.63,89.9,93.2,0.26,0.425,0.143,0.244,0.463,0.221
8,2024-04-22,745916,Strikeout,strikeout,True,650489,686563,Willi Castro,Jonathan Cannon,0,eb2aa5cf-27e9-4ca4-92bf-db6d4fa5f6c0,686563.0,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.41,3.88,51.0,102.0,96.0,99.0,0.803,6.88,2.29,9.53,1.24,1.26,0.218,0.412,0.133,0.297,0.389,101.0,114.0,116.0,,,,79.0,99.0,91.0,121.0,98.0,106.0,0.084,0.237,,0.142,-3.2,0.89,,-4.35,94.7,85.8,82.0,,0.444,0.778,0.281,0.325,0.625,0.284,0.2,0.225,0.274,,,,86.0,102.0,94.0,83.0,104.0,96.0,0.345,0.192,-0.13,0.63,89.9,93.2,0.26,0.425,0.143,0.244,0.463,0.221
9,2024-04-22,745916,Flyout,field_out,True,657757,663978,Gavin Sheets,Chris Paddack,0,03b1058d-f3c5-4006-8323-b18da3aecbf8,663978.0,chrispaddack,Paddack,Right,Chris Paddack,MIN,4.99,4.73,88.1,106.0,89.0,104.0,0.781,8.05,2.14,10.39,1.43,0.9,0.233,0.35,0.141,0.311,0.425,108.0,107.0,112.0,106.0,102.0,103.0,79.0,111.0,103.0,71.0,97.0,96.0,0.429,0.177,0.136,0.259,0.61,-0.22,-1.7,-1.54,93.3,82.9,85.9,78.2,0.277,0.4,0.243,0.283,0.519,0.248,0.264,0.434,0.254,0.326,0.435,0.19,,,,,,,,,,,,,,,,,,
