,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,KC%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wKC/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,vKC,ST_ba,ST_slg,ST_whiff,SI_ba,SI_slg,SI_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff
0,2024-09-12,745129,Lineout,field_out,True,663697,543243,Jonathan India,Sonny Gray,0,d96751ee-228e-42a2-9e2d-e9d840013d32,543243.0,sonnygray,"Gray, S",Right,Sonny Gray,STL,3.75,3.71,160.2,103.0,111.0,105.0,0.726,10.92,2.18,7.45,1.18,1.23,0.211,0.429,0.152,0.346,0.43,70.0,91.0,85.0,120.0,96.0,97.0,107.0,97.0,101.0,95.0,115.0,113.0,154.0,114.0,126.0,93.0,98.0,96.0,0.172,0.242,0.179,0.2,0.141,0.0,0.066,0.33,0.3,1.31,1.09,0.74,-2.43,-2.29,92.4,87.7,88.3,92.8,84.8,80.0,75.4,0.142,0.208,0.438,0.198,0.389,0.202,0.31,0.54,0.18,0.279,0.488,0.295,0.21,0.452,0.329,0.357,0.714,0.317,,,
1,2024-09-12,745129,Strikeout,strikeout,True,682829,543243,Elly De La Cruz,Sonny Gray,0,b0f3c579-01c1-4804-86ca-85b92d942b3e,543243.0,sonnygray,"Gray, S",Right,Sonny Gray,STL,3.75,3.71,160.2,103.0,111.0,105.0,0.726,10.92,2.18,7.45,1.18,1.23,0.211,0.429,0.152,0.346,0.43,70.0,91.0,85.0,120.0,96.0,97.0,107.0,97.0,101.0,95.0,115.0,113.0,154.0,114.0,126.0,93.0,98.0,96.0,0.172,0.242,0.179,0.2,0.141,0.0,0.066,0.33,0.3,1.31,1.09,0.74,-2.43,-2.29,92.4,87.7,88.3,92.8,84.8,80.0,75.4,0.142,0.208,0.438,0.198,0.389,0.202,0.31,0.54,0.18,0.279,0.488,0.295,0.21,0.452,0.329,0.357,0.714,0.317,,,
2,2024-09-12,745129,Strikeout,strikeout,True,663886,543243,Tyler Stephenson,Sonny Gray,0,5e86bc91-4632-43a2-854b-f81bc88b352d,543243.0,sonnygray,"Gray, S",Right,Sonny Gray,STL,3.75,3.71,160.2,103.0,111.0,105.0,0.726,10.92,2.18,7.45,1.18,1.23,0.211,0.429,0.152,0.346,0.43,70.0,91.0,85.0,120.0,96.0,97.0,107.0,97.0,101.0,95.0,115.0,113.0,154.0,114.0,126.0,93.0,98.0,96.0,0.172,0.242,0.179,0.2,0.141,0.0,0.066,0.33,0.3,1.31,1.09,0.74,-2.43,-2.29,92.4,87.7,88.3,92.8,84.8,80.0,75.4,0.142,0.208,0.438,0.198,0.389,0.202,0.31,0.54,0.18,0.279,0.488,0.295,0.21,0.452,0.329,0.357,0.714,0.317,,,
3,2024-09-12,745129,Flyout,field_out,True,691026,596001,Masyn Winn,Jakob Junis,0,19acf662-1c37-40df-95a8-0a87d937e720,596001.0,jakobjunis,Junis,Right,Jakob Junis,- - -,2.73,4.15,56.0,108.0,99.0,109.0,0.762,6.75,1.13,6.91,1.13,0.95,0.276,0.374,0.11,0.282,0.501,87.0,101.0,104.0,,,,75.0,112.0,102.0,79.0,110.0,103.0,120.0,107.0,116.0,97.0,119.0,106.0,0.361,0.085,0.002,0.467,,,0.085,2.99,-12.88,1.47,1.67,,,-2.95,92.7,88.2,86.5,92.0,83.0,,,,,,0.268,0.38,0.193,0.143,0.143,0.263,,,,,,,0.25,0.75,0.281,0.167,0.322,0.31
4,2024-09-12,745129,Groundout,field_out,True,676475,596001,Alec Burleson,Jakob Junis,0,849f1329-5327-498f-a9e5-68f76468ac70,596001.0,jakobjunis,Junis,Right,Jakob Junis,- - -,2.73,4.15,56.0,108.0,99.0,109.0,0.762,6.75,1.13,6.91,1.13,0.95,0.276,0.374,0.11,0.282,0.501,87.0,101.0,104.0,,,,75.0,112.0,102.0,79.0,110.0,103.0,120.0,107.0,116.0,97.0,119.0,106.0,0.361,0.085,0.002,0.467,,,0.085,2.99,-12.88,1.47,1.67,,,-2.95,92.7,88.2,86.5,92.0,83.0,,,,,,0.268,0.38,0.193,0.143,0.143,0.263,,,,,,,0.25,0.75,0.281,0.167,0.322,0.31
5,2024-09-12,745129,Groundout,field_out,True,502671,596001,Paul Goldschmidt,Jakob Junis,0,d10d54a7-82e5-4730-ae21-21964b05cfb2,596001.0,jakobjunis,Junis,Right,Jakob Junis,- - -,2.73,4.15,56.0,108.0,99.0,109.0,0.762,6.75,1.13,6.91,1.13,0.95,0.276,0.374,0.11,0.282,0.501,87.0,101.0,104.0,,,,75.0,112.0,102.0,79.0,110.0,103.0,120.0,107.0,116.0,97.0,119.0,106.0,0.361,0.085,0.002,0.467,,,0.085,2.99,-12.88,1.47,1.67,,,-2.95,92.7,88.2,86.5,92.0,83.0,,,,,,0.268,0.38,0.193,0.143,0.143,0.263,,,,,,,0.25,0.75,0.281,0.167,0.322,0.31
6,2024-09-12,745129,Flyout,field_out,True,670770,543243,TJ Friedl,Sonny Gray,0,260d93b4-100a-411c-94be-97918c82e9af,543243.0,sonnygray,"Gray, S",Right,Sonny Gray,STL,3.75,3.71,160.2,103.0,111.0,105.0,0.726,10.92,2.18,7.45,1.18,1.23,0.211,0.429,0.152,0.346,0.43,70.0,91.0,85.0,120.0,96.0,97.0,107.0,97.0,101.0,95.0,115.0,113.0,154.0,114.0,126.0,93.0,98.0,96.0,0.172,0.242,0.179,0.2,0.141,0.0,0.066,0.33,0.3,1.31,1.09,0.74,-2.43,-2.29,92.4,87.7,88.3,92.8,84.8,80.0,75.4,0.142,0.208,0.438,0.198,0.389,0.202,0.31,0.54,0.18,0.279,0.488,0.295,0.21,0.452,0.329,0.357,0.714,0.317,,,
7,2024-09-12,745129,Strikeout,strikeout,True,668715,543243,Spencer Steer,Sonny Gray,0,e05b9a32-2005-42ef-af31-6b1cbba3d7c8,543243.0,sonnygray,"Gray, S",Right,Sonny Gray,STL,3.75,3.71,160.2,103.0,111.0,105.0,0.726,10.92,2.18,7.45,1.18,1.23,0.211,0.429,0.152,0.346,0.43,70.0,91.0,85.0,120.0,96.0,97.0,107.0,97.0,101.0,95.0,115.0,113.0,154.0,114.0,126.0,93.0,98.0,96.0,0.172,0.242,0.179,0.2,0.141,0.0,0.066,0.33,0.3,1.31,1.09,0.74,-2.43,-2.29,92.4,87.7,88.3,92.8,84.8,80.0,75.4,0.142,0.208,0.438,0.198,0.389,0.202,0.31,0.54,0.18,0.279,0.488,0.295,0.21,0.452,0.329,0.357,0.714,0.317,,,
8,2024-09-12,745129,Groundout,field_out,True,664034,543243,Ty France,Sonny Gray,0,b217f432-4383-4413-816e-cc432a825aba,543243.0,sonnygray,"Gray, S",Right,Sonny Gray,STL,3.75,3.71,160.2,103.0,111.0,105.0,0.726,10.92,2.18,7.45,1.18,1.23,0.211,0.429,0.152,0.346,0.43,70.0,91.0,85.0,120.0,96.0,97.0,107.0,97.0,101.0,95.0,115.0,113.0,154.0,114.0,126.0,93.0,98.0,96.0,0.172,0.242,0.179,0.2,0.141,0.0,0.066,0.33,0.3,1.31,1.09,0.74,-2.43,-2.29,92.4,87.7,88.3,92.8,84.8,80.0,75.4,0.142,0.208,0.438,0.198,0.389,0.202,0.31,0.54,0.18,0.279,0.488,0.295,0.21,0.452,0.329,0.357,0.714,0.317,,,
9,2024-09-12,745129,Pop Out,field_out,True,571448,596001,Nolan Arenado,Jakob Junis,0,673a9ae7-bb4f-4df6-a3db-7da537017292,596001.0,jakobjunis,Junis,Right,Jakob Junis,- - -,2.73,4.15,56.0,108.0,99.0,109.0,0.762,6.75,1.13,6.91,1.13,0.95,0.276,0.374,0.11,0.282,0.501,87.0,101.0,104.0,,,,75.0,112.0,102.0,79.0,110.0,103.0,120.0,107.0,116.0,97.0,119.0,106.0,0.361,0.085,0.002,0.467,,,0.085,2.99,-12.88,1.47,1.67,,,-2.95,92.7,88.2,86.5,92.0,83.0,,,,,,0.268,0.38,0.193,0.143,0.143,0.263,,,,,,,0.25,0.75,0.281,0.167,0.322,0.31
10,2024-09-12,745129,Single,single,False,663457,596001,Lars Nootbaar,Jakob Junis,0,9d63c810-420a-4279-89a2-7e19d643f8c4,596001.0,jakobjunis,Junis,Right,Jakob Junis,- - -,2.73,4.15,56.0,108.0,99.0,109.0,0.762,6.75,1.13,6.91,1.13,0.95,0.276,0.374,0.11,0.282,0.501,87.0,101.0,104.0,,,,75.0,112.0,102.0,79.0,110.0,103.0,120.0,107.0,116.0,97.0,119.0,106.0,0.361,0.085,0.002,0.467,,,0.085,2.99,-12.88,1.47,1.67,,,-2.95,92.7,88.2,86.5,92.0,83.0,,,,,,0.268,0.38,0.193,0.143,0.143,0.263,,,,,,,0.25,0.75,0.281,0.167,0.322,0.31
11,2024-09-12,745129,Strikeout,strikeout,True,671056,596001,Iván Herrera,Jakob Junis,0,48300f1e-b4d9-42d3-a977-88fc36f83370,596001.0,jakobjunis,Junis,Right,Jakob Junis,- - -,2.73,4.15,56.0,108.0,99.0,109.0,0.762,6.75,1.13,6.91,1.13,0.95,0.276,0.374,0.11,0.282,0.501,87.0,101.0,104.0,,,,75.0,112.0,102.0,79.0,110.0,103.0,120.0,107.0,116.0,97.0,119.0,106.0,0.361,0.085,0.002,0.467,,,0.085,2.99,-12.88,1.47,1.67,,,-2.95,92.7,88.2,86.5,92.0,83.0,,,,,,0.268,0.38,0.193,0.143,0.143,0.263,,,,,,,0.25,0.75,0.281,0.167,0.322,0.31
12,2024-09-12,745129,Flyout,field_out,True,695336,596001,Thomas Saggese,Jakob Junis,0,a398d453-56bd-40f3-8917-a6113df98e15,596001.0,jakobjunis,Junis,Right,Jakob Junis,- - -,2.73,4.15,56.0,108.0,99.0,109.0,0.762,6.75,1.13,6.91,1.13,0.95,0.276,0.374,0.11,0.282,0.501,87.0,101.0,104.0,,,,75.0,112.0,102.0,79.0,110.0,103.0,120.0,107.0,116.0,97.0,119.0,106.0,0.361,0.085,0.002,0.467,,,0.085,2.99,-12.88,1.47,1.67,,,-2.95,92.7,88.2,86.5,92.0,83.0,,,,,,0.268,0.38,0.193,0.143,0.143,0.263,,,,,,,0.25,0.75,0.281,0.167,0.322,0.31
13,2024-09-12,745129,Groundout,field_out,True,641584,543243,Jake Fraley,Sonny Gray,0,81420551-4f77-4441-a227-9c3e4bd9b7c7,543243.0,sonnygray,"Gray, S",Right,Sonny Gray,STL,3.75,3.71,160.2,103.0,111.0,105.0,0.726,10.92,2.18,7.45,1.18,1.23,0.211,0.429,0.152,0.346,0.43,70.0,91.0,85.0,120.0,96.0,97.0,107.0,97.0,101.0,95.0,115.0,113.0,154.0,114.0,126.0,93.0,98.0,96.0,0.172,0.242,0.179,0.2,0.141,0.0,0.066,0.33,0.3,1.31,1.09,0.74,-2.43,-2.29,92.4,87.7,88.3,92.8,84.8,80.0,75.4,0.142,0.208,0.438,0.198,0.389,0.202,0.31,0.54,0.18,0.279,0.488,0.295,0.21,0.452,0.329,0.357,0.714,0.317,,,
