,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FS%,KC%,wFS/C,wSI/C,wKC/C,vFS,vSI,vKC,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff
29,2024-06-26,745073,Groundout,field_out,True,641598,686752,Mitch Garver,Ryan Pepiot,0,1065ddf1-6f4b-4c53-84d3-e37efb9d4b01,686752.0,ryanpepiot,Pepiot,Right,Ryan Pepiot,TBR,3.92,3.82,87.1,98.0,117.0,104.0,0.737,9.69,3.19,6.49,1.13,0.82,0.26,0.417,0.175,0.323,0.415,122.0,105.0,116.0,137.0,79.0,87.0,114.0,97.0,101.0,120.0,95.0,106.0,99.0,97.0,93.0,0.512,0.024,0.214,0.03,0.219,1.55,-0.22,1.01,-0.01,-1.34,94.9,91.9,86.1,89.0,80.4,0.149,0.264,0.313,0.253,0.471,0.287,0.239,0.394,0.286,0.167,0.167,0.5,0.333,0.333,0.063,,,,,,,,,,,,,,,,,,,,,,,,
30,2024-06-26,745073,Strikeout,strikeout,True,686527,686752,Dominic Canzone,Ryan Pepiot,0,590751b3-dfad-412e-8d6a-640faa471fbc,686752.0,ryanpepiot,Pepiot,Right,Ryan Pepiot,TBR,3.92,3.82,87.1,98.0,117.0,104.0,0.737,9.69,3.19,6.49,1.13,0.82,0.26,0.417,0.175,0.323,0.415,122.0,105.0,116.0,137.0,79.0,87.0,114.0,97.0,101.0,120.0,95.0,106.0,99.0,97.0,93.0,0.512,0.024,0.214,0.03,0.219,1.55,-0.22,1.01,-0.01,-1.34,94.9,91.9,86.1,89.0,80.4,0.149,0.264,0.313,0.253,0.471,0.287,0.239,0.394,0.286,0.167,0.167,0.5,0.333,0.333,0.063,,,,,,,,,,,,,,,,,,,,,,,,
31,2024-06-26,745073,Strikeout,strikeout,True,664238,686752,Dylan Moore,Ryan Pepiot,0,4fa2ad9d-1bd8-47ba-8d73-d970106c3c31,686752.0,ryanpepiot,Pepiot,Right,Ryan Pepiot,TBR,3.92,3.82,87.1,98.0,117.0,104.0,0.737,9.69,3.19,6.49,1.13,0.82,0.26,0.417,0.175,0.323,0.415,122.0,105.0,116.0,137.0,79.0,87.0,114.0,97.0,101.0,120.0,95.0,106.0,99.0,97.0,93.0,0.512,0.024,0.214,0.03,0.219,1.55,-0.22,1.01,-0.01,-1.34,94.9,91.9,86.1,89.0,80.4,0.149,0.264,0.313,0.253,0.471,0.287,0.239,0.394,0.286,0.167,0.167,0.5,0.333,0.333,0.063,,,,,,,,,,,,,,,,,,,,,,,,
32,2024-06-26,745073,Strikeout,strikeout,True,642350,669923,Jose Siri,George Kirby,0,16affc65-6bb8-42ad-9752-4195c7d49238,669923.0,georgekirby,Kirby,Right,George Kirby,SEA,3.29,3.29,117.2,106.0,107.0,106.0,0.781,8.87,0.99,7.95,0.84,1.0,0.282,0.35,0.208,0.258,0.434,,,,,,,103.0,107.0,102.0,112.0,102.0,109.0,97.0,99.0,93.0,0.36,0.006,0.228,,,1.58,0.82,0.55,,,95.8,92.3,,87.1,,0.196,0.35,0.304,,,,0.253,0.391,0.28,0.333,0.5,0.323,,,,105.0,110.0,108.0,121.0,111.0,115.0,112.0,99.0,109.0,0.225,0.106,0.075,-0.43,1.79,-2.88,85.7,95.8,83.1,0.256,0.35,0.097,0.2,0.32,0.288
33,2024-06-26,745073,Single,single,False,676609,669923,José Caballero,George Kirby,0,0a1227d0-4577-4da9-8830-b87054edc0c5,669923.0,georgekirby,Kirby,Right,George Kirby,SEA,3.29,3.29,117.2,106.0,107.0,106.0,0.781,8.87,0.99,7.95,0.84,1.0,0.282,0.35,0.208,0.258,0.434,,,,,,,103.0,107.0,102.0,112.0,102.0,109.0,97.0,99.0,93.0,0.36,0.006,0.228,,,1.58,0.82,0.55,,,95.8,92.3,,87.1,,0.196,0.35,0.304,,,,0.253,0.391,0.28,0.333,0.5,0.323,,,,105.0,110.0,108.0,121.0,111.0,115.0,112.0,99.0,109.0,0.225,0.106,0.075,-0.43,1.79,-2.88,85.7,95.8,83.1,0.256,0.35,0.097,0.2,0.32,0.288
34,2024-06-26,745073,Strikeout Double Play,strikeout_double_play,True,656577,669923,Alex Jackson,George Kirby,1,3cab64dc-8c5d-4452-8e06-bb6b97d4c2b8,669923.0,georgekirby,Kirby,Right,George Kirby,SEA,3.29,3.29,117.2,106.0,107.0,106.0,0.781,8.87,0.99,7.95,0.84,1.0,0.282,0.35,0.208,0.258,0.434,,,,,,,103.0,107.0,102.0,112.0,102.0,109.0,97.0,99.0,93.0,0.36,0.006,0.228,,,1.58,0.82,0.55,,,95.8,92.3,,87.1,,0.196,0.35,0.304,,,,0.253,0.391,0.28,0.333,0.5,0.323,,,,105.0,110.0,108.0,121.0,111.0,115.0,112.0,99.0,109.0,0.225,0.106,0.075,-0.43,1.79,-2.88,85.7,95.8,83.1,0.256,0.35,0.097,0.2,0.32,0.288
35,2024-06-26,745073,Strikeout,strikeout,True,669208,686752,Ryan Bliss,Ryan Pepiot,0,e9935e1e-e9e5-4061-8779-88f777ea726e,686752.0,ryanpepiot,Pepiot,Right,Ryan Pepiot,TBR,3.92,3.82,87.1,98.0,117.0,104.0,0.737,9.69,3.19,6.49,1.13,0.82,0.26,0.417,0.175,0.323,0.415,122.0,105.0,116.0,137.0,79.0,87.0,114.0,97.0,101.0,120.0,95.0,106.0,99.0,97.0,93.0,0.512,0.024,0.214,0.03,0.219,1.55,-0.22,1.01,-0.01,-1.34,94.9,91.9,86.1,89.0,80.4,0.149,0.264,0.313,0.253,0.471,0.287,0.239,0.394,0.286,0.167,0.167,0.5,0.333,0.333,0.063,,,,,,,,,,,,,,,,,,,,,,,,
36,2024-06-26,745073,Walk,walk,False,641487,686752,J.P. Crawford,Ryan Pepiot,0,8245132c-fccc-45af-b87e-aa56d58d7206,686752.0,ryanpepiot,Pepiot,Right,Ryan Pepiot,TBR,3.92,3.82,87.1,98.0,117.0,104.0,0.737,9.69,3.19,6.49,1.13,0.82,0.26,0.417,0.175,0.323,0.415,122.0,105.0,116.0,137.0,79.0,87.0,114.0,97.0,101.0,120.0,95.0,106.0,99.0,97.0,93.0,0.512,0.024,0.214,0.03,0.219,1.55,-0.22,1.01,-0.01,-1.34,94.9,91.9,86.1,89.0,80.4,0.149,0.264,0.313,0.253,0.471,0.287,0.239,0.394,0.286,0.167,0.167,0.5,0.333,0.333,0.063,,,,,,,,,,,,,,,,,,,,,,,,
37,2024-06-26,745073,Forceout,force_out,True,668942,542888,Josh Rojas,Shawn Armstrong,1,fa052a08-ac25-40db-948c-cedc4e998658,542888.0,shawnarmstrong,Armstrong,Right,Shawn Armstrong,TBR,6.05,5.72,41.2,106.0,96.0,102.0,0.819,9.29,3.89,11.02,1.08,0.82,0.308,0.331,0.185,0.369,0.463,,,,,,,87.0,112.0,107.0,112.0,113.0,111.0,105.0,104.0,102.0,0.358,0.308,0.051,,,0.53,-0.4,-4.27,,,93.2,90.1,,83.3,,0.21,0.387,0.336,,,,0.286,0.571,0.25,,,,0.25,0.5,0.212,96.0,98.0,95.0,,,,,,,0.283,,,,-2.52,,,93.6,,0.424,0.492,0.09,,,
38,2024-06-26,745073,Walk,walk,False,677594,542888,Julio Rodríguez,Shawn Armstrong,1,557cc705-f4f6-4981-9603-bd08b2922a6b,542888.0,shawnarmstrong,Armstrong,Right,Shawn Armstrong,TBR,6.05,5.72,41.2,106.0,96.0,102.0,0.819,9.29,3.89,11.02,1.08,0.82,0.308,0.331,0.185,0.369,0.463,,,,,,,87.0,112.0,107.0,112.0,113.0,111.0,105.0,104.0,102.0,0.358,0.308,0.051,,,0.53,-0.4,-4.27,,,93.2,90.1,,83.3,,0.21,0.387,0.336,,,,0.286,0.571,0.25,,,,0.25,0.5,0.212,96.0,98.0,95.0,,,,,,,0.283,,,,-2.52,,,93.6,,0.424,0.492,0.09,,,
