,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SI_ba,SI_slg,SI_whiff,SV_ba,SV_slg,SV_whiff,SL_ba,SL_slg,SL_whiff
0,2024-08-16,746357,Strikeout,strikeout,True,670032,681293,Nicky Lopez,Spencer Arrighetti,0,d8d68393-c391-4023-bed4-879b576ae957,681293.0,spencerarrighetti,Arrighetti,Right,Spencer Arrighetti,HOU,4.63,3.81,124.1,99.0,93.0,99.0,0.731,10.93,4.13,8.25,1.23,0.8,0.255,0.425,0.16,0.305,0.446,88.0,98.0,89.0,113.0,100.0,105.0,89.0,100.0,99.0,116.0,92.0,100.0,63.0,100.0,98.0,0.412,0.194,0.113,0.195,0.086,-0.95,0.98,1.47,0.92,-2.98,94.1,88.2,85.4,81.0,78.4,0.29,0.489,0.209,0.245,0.439,0.239,0.152,0.263,0.419,0.107,0.214,0.413,0.429,0.571,0.38,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-08-16,746357,Single,single,True,673357,681293,Luis Robert Jr.,Spencer Arrighetti,1,a9544a61-18f9-4d22-8f6e-dc027c835383,681293.0,spencerarrighetti,Arrighetti,Right,Spencer Arrighetti,HOU,4.63,3.81,124.1,99.0,93.0,99.0,0.731,10.93,4.13,8.25,1.23,0.8,0.255,0.425,0.16,0.305,0.446,88.0,98.0,89.0,113.0,100.0,105.0,89.0,100.0,99.0,116.0,92.0,100.0,63.0,100.0,98.0,0.412,0.194,0.113,0.195,0.086,-0.95,0.98,1.47,0.92,-2.98,94.1,88.2,85.4,81.0,78.4,0.29,0.489,0.209,0.245,0.439,0.239,0.152,0.263,0.419,0.107,0.214,0.413,0.429,0.571,0.38,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-08-16,746357,Groundout,field_out,True,643217,681293,Andrew Benintendi,Spencer Arrighetti,0,1dd5fe0f-6042-4668-b14e-69b36bf70d48,681293.0,spencerarrighetti,Arrighetti,Right,Spencer Arrighetti,HOU,4.63,3.81,124.1,99.0,93.0,99.0,0.731,10.93,4.13,8.25,1.23,0.8,0.255,0.425,0.16,0.305,0.446,88.0,98.0,89.0,113.0,100.0,105.0,89.0,100.0,99.0,116.0,92.0,100.0,63.0,100.0,98.0,0.412,0.194,0.113,0.195,0.086,-0.95,0.98,1.47,0.92,-2.98,94.1,88.2,85.4,81.0,78.4,0.29,0.489,0.209,0.245,0.439,0.239,0.152,0.263,0.419,0.107,0.214,0.413,0.429,0.571,0.38,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-08-16,746357,Flyout,field_out,True,514888,676979,Jose Altuve,Garrett Crochet,0,d8cb74e4-8c39-4d26-a298-e547c5035dd6,676979.0,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.64,2.81,128.2,103.0,102.0,103.0,0.696,12.59,2.17,7.48,1.12,1.25,0.252,0.397,0.174,0.335,0.462,67.0,103.0,103.0,,,,104.0,103.0,104.0,138.0,99.0,104.0,93.0,105.0,103.0,0.553,0.287,0.097,,0.059,1.66,0.26,-2.54,,-0.41,97.1,91.5,90.9,84.1,,0.196,0.298,0.326,0.259,0.42,0.328,,,,0.217,0.587,0.384,0.182,0.303,0.286,163.0,31.0,22.0,0.004,-5.89,96.8,,,,,,,,,,,,,,,,,,
4,2024-08-16,746357,Groundout,field_out,True,670541,676979,Yordan Alvarez,Garrett Crochet,0,2f2ecf36-a737-4d26-b3a7-7012aae77bd9,676979.0,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.64,2.81,128.2,103.0,102.0,103.0,0.696,12.59,2.17,7.48,1.12,1.25,0.252,0.397,0.174,0.335,0.462,67.0,103.0,103.0,,,,104.0,103.0,104.0,138.0,99.0,104.0,93.0,105.0,103.0,0.553,0.287,0.097,,0.059,1.66,0.26,-2.54,,-0.41,97.1,91.5,90.9,84.1,,0.196,0.298,0.326,0.259,0.42,0.328,,,,0.217,0.587,0.384,0.182,0.303,0.286,163.0,31.0,22.0,0.004,-5.89,96.8,,,,,,,,,,,,,,,,,,
5,2024-08-16,746357,Strikeout,strikeout,True,673237,676979,Yainer Diaz,Garrett Crochet,0,4c6f9564-28e9-411f-98d5-5ab636159e4e,676979.0,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.64,2.81,128.2,103.0,102.0,103.0,0.696,12.59,2.17,7.48,1.12,1.25,0.252,0.397,0.174,0.335,0.462,67.0,103.0,103.0,,,,104.0,103.0,104.0,138.0,99.0,104.0,93.0,105.0,103.0,0.553,0.287,0.097,,0.059,1.66,0.26,-2.54,,-0.41,97.1,91.5,90.9,84.1,,0.196,0.298,0.326,0.259,0.42,0.328,,,,0.217,0.587,0.384,0.182,0.303,0.286,163.0,31.0,22.0,0.004,-5.89,96.8,,,,,,,,,,,,,,,,,,
6,2024-08-16,746357,Single,single,False,683734,681293,Andrew Vaughn,Spencer Arrighetti,0,42cf3145-1dcd-4c37-9792-f0d009fc8699,681293.0,spencerarrighetti,Arrighetti,Right,Spencer Arrighetti,HOU,4.63,3.81,124.1,99.0,93.0,99.0,0.731,10.93,4.13,8.25,1.23,0.8,0.255,0.425,0.16,0.305,0.446,88.0,98.0,89.0,113.0,100.0,105.0,89.0,100.0,99.0,116.0,92.0,100.0,63.0,100.0,98.0,0.412,0.194,0.113,0.195,0.086,-0.95,0.98,1.47,0.92,-2.98,94.1,88.2,85.4,81.0,78.4,0.29,0.489,0.209,0.245,0.439,0.239,0.152,0.263,0.419,0.107,0.214,0.413,0.429,0.571,0.38,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-08-16,746357,Strikeout,strikeout,True,657757,681293,Gavin Sheets,Spencer Arrighetti,0,09805487-41dd-42bd-8a9c-339dab997ffd,681293.0,spencerarrighetti,Arrighetti,Right,Spencer Arrighetti,HOU,4.63,3.81,124.1,99.0,93.0,99.0,0.731,10.93,4.13,8.25,1.23,0.8,0.255,0.425,0.16,0.305,0.446,88.0,98.0,89.0,113.0,100.0,105.0,89.0,100.0,99.0,116.0,92.0,100.0,63.0,100.0,98.0,0.412,0.194,0.113,0.195,0.086,-0.95,0.98,1.47,0.92,-2.98,94.1,88.2,85.4,81.0,78.4,0.29,0.489,0.209,0.245,0.439,0.239,0.152,0.263,0.419,0.107,0.214,0.413,0.429,0.571,0.38,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-08-16,746357,Double,double,False,686676,681293,Korey Lee,Spencer Arrighetti,1,2c7c34fc-155a-4bca-9c46-9838af5120a8,681293.0,spencerarrighetti,Arrighetti,Right,Spencer Arrighetti,HOU,4.63,3.81,124.1,99.0,93.0,99.0,0.731,10.93,4.13,8.25,1.23,0.8,0.255,0.425,0.16,0.305,0.446,88.0,98.0,89.0,113.0,100.0,105.0,89.0,100.0,99.0,116.0,92.0,100.0,63.0,100.0,98.0,0.412,0.194,0.113,0.195,0.086,-0.95,0.98,1.47,0.92,-2.98,94.1,88.2,85.4,81.0,78.4,0.29,0.489,0.209,0.245,0.439,0.239,0.152,0.263,0.419,0.107,0.214,0.413,0.429,0.571,0.38,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-08-16,746357,Walk,walk,False,678246,681293,Miguel Vargas,Spencer Arrighetti,0,8de68152-779b-4fe4-aec8-0f1f28db0526,681293.0,spencerarrighetti,Arrighetti,Right,Spencer Arrighetti,HOU,4.63,3.81,124.1,99.0,93.0,99.0,0.731,10.93,4.13,8.25,1.23,0.8,0.255,0.425,0.16,0.305,0.446,88.0,98.0,89.0,113.0,100.0,105.0,89.0,100.0,99.0,116.0,92.0,100.0,63.0,100.0,98.0,0.412,0.194,0.113,0.195,0.086,-0.95,0.98,1.47,0.92,-2.98,94.1,88.2,85.4,81.0,78.4,0.29,0.489,0.209,0.245,0.439,0.239,0.152,0.263,0.419,0.107,0.214,0.413,0.429,0.571,0.38,,,,,,,,,,,,,,,,,,,,,,,,
