,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
60,2024-06-12,745978,Lineout,field_out,True,457759,571948,Justin Turner,Hoby Milner,0,def26c0c-a60c-4dfa-a749-7a9021cc5c2b,571948.0,hobymilner,Milner,Left,Hoby Milner,MIL,4.91,3.17,44.0,107.0,102.0,104.0,0.842,8.59,2.05,9.2,1.02,1.78,0.26,0.412,0.214,0.252,0.437,86.0,106.0,95.0,,,,100.0,119.0,111.0,86.0,105.0,99.0,122.0,103.0,109.0,,,,0.346,0.178,,0.346,,0.131,1.4,,-2.37,1.03,,1.39,88.7,,81.2,88.4,79.4,,0.1,0.233,0.242,,,,0.22,0.36,0.271,0.158,0.368,0.3,,,,0.418,0.597,0.044,,,,,,,,,,,,,,,
61,2024-06-12,745978,Strikeout,strikeout,True,643396,571948,Isiah Kiner-Falefa,Hoby Milner,0,fe1c1e03-2d5f-4138-ad40-1c2fe59b1d14,571948.0,hobymilner,Milner,Left,Hoby Milner,MIL,4.91,3.17,44.0,107.0,102.0,104.0,0.842,8.59,2.05,9.2,1.02,1.78,0.26,0.412,0.214,0.252,0.437,86.0,106.0,95.0,,,,100.0,119.0,111.0,86.0,105.0,99.0,122.0,103.0,109.0,,,,0.346,0.178,,0.346,,0.131,1.4,,-2.37,1.03,,1.39,88.7,,81.2,88.4,79.4,,0.1,0.233,0.242,,,,0.22,0.36,0.271,0.158,0.368,0.3,,,,0.418,0.597,0.044,,,,,,,,,,,,,,,
62,2024-06-12,745978,Pop Out,field_out,True,668930,663893,Brice Turang,Brendon Little,0,1738af21-3722-4309-96bc-073bf142f699,663893.0,brendonlittle,Little,Left,Brendon Little,TOR,4.5,3.46,20.0,96.0,90.0,93.0,0.743,7.65,2.7,8.55,1.35,4.89,0.098,0.492,0.262,0.311,0.408,,,,,,,,,,87.0,95.0,92.0,,,,89.0,86.0,87.0,0.582,,0.092,,,,,-2.98,-0.79,,,,,93.7,,94.6,,,,,,0.286,0.857,0.375,,,,,,,0.125,0.125,0.415,0.342,0.526,0.13,,,,,,,,,,95.0,100.0,97.0,0.326,3.15,86.7
63,2024-06-12,745978,Groundout,field_out,True,661388,663893,William Contreras,Brendon Little,0,11cb3306-7b66-497a-ab35-d1aee5630e4a,663893.0,brendonlittle,Little,Left,Brendon Little,TOR,4.5,3.46,20.0,96.0,90.0,93.0,0.743,7.65,2.7,8.55,1.35,4.89,0.098,0.492,0.262,0.311,0.408,,,,,,,,,,87.0,95.0,92.0,,,,89.0,86.0,87.0,0.582,,0.092,,,,,-2.98,-0.79,,,,,93.7,,94.6,,,,,,0.286,0.857,0.375,,,,,,,0.125,0.125,0.415,0.342,0.526,0.13,,,,,,,,,,95.0,100.0,97.0,0.326,3.15,86.7
64,2024-06-12,745978,Single,single,False,592885,663893,Christian Yelich,Brendon Little,0,3aedfadc-0005-4a37-acdc-8caf78cf4385,663893.0,brendonlittle,Little,Left,Brendon Little,TOR,4.5,3.46,20.0,96.0,90.0,93.0,0.743,7.65,2.7,8.55,1.35,4.89,0.098,0.492,0.262,0.311,0.408,,,,,,,,,,87.0,95.0,92.0,,,,89.0,86.0,87.0,0.582,,0.092,,,,,-2.98,-0.79,,,,,93.7,,94.6,,,,,,0.286,0.857,0.375,,,,,,,0.125,0.125,0.415,0.342,0.526,0.13,,,,,,,,,,95.0,100.0,97.0,0.326,3.15,86.7
65,2024-06-12,745978,Flyout,field_out,True,642715,663893,Willy Adames,Brendon Little,0,c07eb6d3-e996-4a3b-91cf-77f63497b180,663893.0,brendonlittle,Little,Left,Brendon Little,TOR,4.5,3.46,20.0,96.0,90.0,93.0,0.743,7.65,2.7,8.55,1.35,4.89,0.098,0.492,0.262,0.311,0.408,,,,,,,,,,87.0,95.0,92.0,,,,89.0,86.0,87.0,0.582,,0.092,,,,,-2.98,-0.79,,,,,93.7,,94.6,,,,,,0.286,0.857,0.375,,,,,,,0.125,0.125,0.415,0.342,0.526,0.13,,,,,,,,,,95.0,100.0,97.0,0.326,3.15,86.7
66,2024-06-12,745978,Double,double,False,676391,571948,Ernie Clement,Hoby Milner,0,b914c182-e4ed-4c36-aced-9b7add06d8f3,571948.0,hobymilner,Milner,Left,Hoby Milner,MIL,4.91,3.17,44.0,107.0,102.0,104.0,0.842,8.59,2.05,9.2,1.02,1.78,0.26,0.412,0.214,0.252,0.437,86.0,106.0,95.0,,,,100.0,119.0,111.0,86.0,105.0,99.0,122.0,103.0,109.0,,,,0.346,0.178,,0.346,,0.131,1.4,,-2.37,1.03,,1.39,88.7,,81.2,88.4,79.4,,0.1,0.233,0.242,,,,0.22,0.36,0.271,0.158,0.368,0.3,,,,0.418,0.597,0.044,,,,,,,,,,,,,,,
67,2024-06-12,745978,Single,single,False,687462,571948,Spencer Horwitz,Hoby Milner,1,ab084356-6035-469b-bc1d-8f24384ba26b,571948.0,hobymilner,Milner,Left,Hoby Milner,MIL,4.91,3.17,44.0,107.0,102.0,104.0,0.842,8.59,2.05,9.2,1.02,1.78,0.26,0.412,0.214,0.252,0.437,86.0,106.0,95.0,,,,100.0,119.0,111.0,86.0,105.0,99.0,122.0,103.0,109.0,,,,0.346,0.178,,0.346,,0.131,1.4,,-2.37,1.03,,1.39,88.7,,81.2,88.4,79.4,,0.1,0.233,0.242,,,,0.22,0.36,0.271,0.158,0.368,0.3,,,,0.418,0.597,0.044,,,,,,,,,,,,,,,
68,2024-06-12,745978,Single,single,False,676914,571948,Davis Schneider,Hoby Milner,1,46d52476-0d5d-442e-b7e9-5cf5016363bc,571948.0,hobymilner,Milner,Left,Hoby Milner,MIL,4.91,3.17,44.0,107.0,102.0,104.0,0.842,8.59,2.05,9.2,1.02,1.78,0.26,0.412,0.214,0.252,0.437,86.0,106.0,95.0,,,,100.0,119.0,111.0,86.0,105.0,99.0,122.0,103.0,109.0,,,,0.346,0.178,,0.346,,0.131,1.4,,-2.37,1.03,,1.39,88.7,,81.2,88.4,79.4,,0.1,0.233,0.242,,,,0.22,0.36,0.271,0.158,0.368,0.3,,,,0.418,0.597,0.044,,,,,,,,,,,,,,,
69,2024-06-12,745978,Single,single,False,666182,656730,Bo Bichette,Trevor Megill,1,d654115b-d7a8-4c72-ae76-a7ea06e8f387,656730.0,trevormegill,Megill,Right,Trevor Megill,MIL,2.05,3.05,30.2,100.0,144.0,114.0,0.693,10.86,2.05,7.04,0.59,0.59,0.269,0.346,0.115,0.359,0.449,,,,,,,126.0,102.0,109.0,257.0,48.0,53.0,,,,,,,0.004,0.703,,,,,1.24,,-4.1,,,,98.8,,,98.6,,,0.236,0.315,0.234,,,,,,,,,,0.125,0.125,0.649,,,,,,,,,,,,,173.0,95.0,126.0,0.293,2.01,87.7
70,2024-06-12,745978,Walk,walk,False,643376,656730,Danny Jansen,Trevor Megill,1,3e57dd1f-9bd1-4e3f-8ee0-fa7e0a9109bc,656730.0,trevormegill,Megill,Right,Trevor Megill,MIL,2.05,3.05,30.2,100.0,144.0,114.0,0.693,10.86,2.05,7.04,0.59,0.59,0.269,0.346,0.115,0.359,0.449,,,,,,,126.0,102.0,109.0,257.0,48.0,53.0,,,,,,,0.004,0.703,,,,,1.24,,-4.1,,,,98.8,,,98.6,,,0.236,0.315,0.234,,,,,,,,,,0.125,0.125,0.649,,,,,,,,,,,,,173.0,95.0,126.0,0.293,2.01,87.7
71,2024-06-12,745978,Strikeout,strikeout,True,543807,656730,George Springer,Trevor Megill,0,843d3a86-91f8-4e30-8898-032bdc57701f,656730.0,trevormegill,Megill,Right,Trevor Megill,MIL,2.05,3.05,30.2,100.0,144.0,114.0,0.693,10.86,2.05,7.04,0.59,0.59,0.269,0.346,0.115,0.359,0.449,,,,,,,126.0,102.0,109.0,257.0,48.0,53.0,,,,,,,0.004,0.703,,,,,1.24,,-4.1,,,,98.8,,,98.6,,,0.236,0.315,0.234,,,,,,,,,,0.125,0.125,0.649,,,,,,,,,,,,,173.0,95.0,126.0,0.293,2.01,87.7
72,2024-06-12,745978,Sac Fly,sac_fly,True,672386,656730,Alejandro Kirk,Trevor Megill,1,b12bdf19-2ca1-4bda-af32-ce80f463f86c,656730.0,trevormegill,Megill,Right,Trevor Megill,MIL,2.05,3.05,30.2,100.0,144.0,114.0,0.693,10.86,2.05,7.04,0.59,0.59,0.269,0.346,0.115,0.359,0.449,,,,,,,126.0,102.0,109.0,257.0,48.0,53.0,,,,,,,0.004,0.703,,,,,1.24,,-4.1,,,,98.8,,,98.6,,,0.236,0.315,0.234,,,,,,,,,,0.125,0.125,0.649,,,,,,,,,,,,,173.0,95.0,126.0,0.293,2.01,87.7
73,2024-06-12,745978,Lineout,field_out,True,665489,656730,Vladimir Guerrero Jr.,Trevor Megill,0,611b802b-a825-4c39-95d2-47a7a53f8e79,656730.0,trevormegill,Megill,Right,Trevor Megill,MIL,2.05,3.05,30.2,100.0,144.0,114.0,0.693,10.86,2.05,7.04,0.59,0.59,0.269,0.346,0.115,0.359,0.449,,,,,,,126.0,102.0,109.0,257.0,48.0,53.0,,,,,,,0.004,0.703,,,,,1.24,,-4.1,,,,98.8,,,98.6,,,0.236,0.315,0.234,,,,,,,,,,0.125,0.125,0.649,,,,,,,,,,,,,173.0,95.0,126.0,0.293,2.01,87.7
