,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,SI%,FA%,SL%,KC%,CH%,wFA/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vCH,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff
0,2024-09-08,746098,Flyout,field_out,True,686823,656427,Will Brennan,Jack Flaherty,0,a1a1cfe2-a5ab-4451-9ddc-fd4a556efed8,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,2.86,3.24,148.0,104.0,95.0,103.0,0.713,10.95,1.76,7.36,1.28,1.07,0.226,0.425,0.167,0.29,0.382,87.0,82.0,81.0,93.0,106.0,104.0,74.0,84.0,69.0,95.0,103.0,104.0,102.0,103.0,107.0,0.021,0.441,0.297,0.212,0.03,0.91,-6.09,0.17,2.27,-0.52,93.5,85.7,90.6,84.8,77.5,0.238,0.373,0.248,0.217,0.452,0.356,0.167,0.194,0.442,0.111,0.333,0.111,0.6,1.2,0.385,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-09-08,746098,Flyout,field_out,True,665926,656427,Andrés Giménez,Jack Flaherty,0,4d77c765-3178-4c39-ad38-d196d26e3a3d,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,2.86,3.24,148.0,104.0,95.0,103.0,0.713,10.95,1.76,7.36,1.28,1.07,0.226,0.425,0.167,0.29,0.382,87.0,82.0,81.0,93.0,106.0,104.0,74.0,84.0,69.0,95.0,103.0,104.0,102.0,103.0,107.0,0.021,0.441,0.297,0.212,0.03,0.91,-6.09,0.17,2.27,-0.52,93.5,85.7,90.6,84.8,77.5,0.238,0.373,0.248,0.217,0.452,0.356,0.167,0.194,0.442,0.111,0.333,0.111,0.6,1.2,0.385,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-09-08,746098,Flyout,field_out,True,608070,656427,José Ramírez,Jack Flaherty,0,a96541ac-b910-4407-8ae0-5b74cb6c6d5c,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,2.86,3.24,148.0,104.0,95.0,103.0,0.713,10.95,1.76,7.36,1.28,1.07,0.226,0.425,0.167,0.29,0.382,87.0,82.0,81.0,93.0,106.0,104.0,74.0,84.0,69.0,95.0,103.0,104.0,102.0,103.0,107.0,0.021,0.441,0.297,0.212,0.03,0.91,-6.09,0.17,2.27,-0.52,93.5,85.7,90.6,84.8,77.5,0.238,0.373,0.248,0.217,0.452,0.356,0.167,0.194,0.442,0.111,0.333,0.111,0.6,1.2,0.385,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-09-08,746098,Flyout,field_out,True,660271,676440,Shohei Ohtani,Tanner Bibee,0,f0f97e09-e171-485b-b2e4-96f3a55bf7ef,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.56,3.88,154.0,103.0,100.0,105.0,0.769,9.7,2.4,7.77,1.17,0.77,0.282,0.415,0.141,0.301,0.451,83.0,100.0,109.0,93.0,103.0,99.0,,,,114.0,103.0,111.0,,,,0.0,0.441,0.27,,0.181,-0.72,-3.47,1.59,,0.13,94.6,82.5,92.5,86.1,,0.279,0.48,0.212,0.156,0.255,0.347,0.197,0.434,0.232,0.239,0.419,0.27,,,,121.0,110.0,113.0,0.107,-0.82,81.4,,,,,,,,,,,,,,,,,,,,,
4,2024-09-08,746098,Groundout,field_out,True,605141,676440,Mookie Betts,Tanner Bibee,0,d1cb89ac-45b0-4dfb-99ba-86cfda93b9bc,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.56,3.88,154.0,103.0,100.0,105.0,0.769,9.7,2.4,7.77,1.17,0.77,0.282,0.415,0.141,0.301,0.451,83.0,100.0,109.0,93.0,103.0,99.0,,,,114.0,103.0,111.0,,,,0.0,0.441,0.27,,0.181,-0.72,-3.47,1.59,,0.13,94.6,82.5,92.5,86.1,,0.279,0.48,0.212,0.156,0.255,0.347,0.197,0.434,0.232,0.239,0.419,0.27,,,,121.0,110.0,113.0,0.107,-0.82,81.4,,,,,,,,,,,,,,,,,,,,,
5,2024-09-08,746098,Lineout,field_out,True,518692,676440,Freddie Freeman,Tanner Bibee,0,5ae7ba95-e56c-4d43-a577-299aa8251d3d,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.56,3.88,154.0,103.0,100.0,105.0,0.769,9.7,2.4,7.77,1.17,0.77,0.282,0.415,0.141,0.301,0.451,83.0,100.0,109.0,93.0,103.0,99.0,,,,114.0,103.0,111.0,,,,0.0,0.441,0.27,,0.181,-0.72,-3.47,1.59,,0.13,94.6,82.5,92.5,86.1,,0.279,0.48,0.212,0.156,0.255,0.347,0.197,0.434,0.232,0.239,0.419,0.27,,,,121.0,110.0,113.0,0.107,-0.82,81.4,,,,,,,,,,,,,,,,,,,,,
6,2024-09-08,746098,Groundout,field_out,True,647304,656427,Josh Naylor,Jack Flaherty,0,40944976-fd1b-4eab-8eca-ce6a5cb6bd66,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,2.86,3.24,148.0,104.0,95.0,103.0,0.713,10.95,1.76,7.36,1.28,1.07,0.226,0.425,0.167,0.29,0.382,87.0,82.0,81.0,93.0,106.0,104.0,74.0,84.0,69.0,95.0,103.0,104.0,102.0,103.0,107.0,0.021,0.441,0.297,0.212,0.03,0.91,-6.09,0.17,2.27,-0.52,93.5,85.7,90.6,84.8,77.5,0.238,0.373,0.248,0.217,0.452,0.356,0.167,0.194,0.442,0.111,0.333,0.111,0.6,1.2,0.385,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-09-08,746098,Single,single,False,657041,656427,Lane Thomas,Jack Flaherty,1,22671abc-5b47-4096-83f7-5d0a32bc3ab4,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,2.86,3.24,148.0,104.0,95.0,103.0,0.713,10.95,1.76,7.36,1.28,1.07,0.226,0.425,0.167,0.29,0.382,87.0,82.0,81.0,93.0,106.0,104.0,74.0,84.0,69.0,95.0,103.0,104.0,102.0,103.0,107.0,0.021,0.441,0.297,0.212,0.03,0.91,-6.09,0.17,2.27,-0.52,93.5,85.7,90.6,84.8,77.5,0.238,0.373,0.248,0.217,0.452,0.356,0.167,0.194,0.442,0.111,0.333,0.111,0.6,1.2,0.385,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-09-08,746098,Groundout,field_out,True,682177,656427,Daniel Schneemann,Jack Flaherty,0,20c47965-1684-41fb-b40a-b00aeb0b0f54,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,2.86,3.24,148.0,104.0,95.0,103.0,0.713,10.95,1.76,7.36,1.28,1.07,0.226,0.425,0.167,0.29,0.382,87.0,82.0,81.0,93.0,106.0,104.0,74.0,84.0,69.0,95.0,103.0,104.0,102.0,103.0,107.0,0.021,0.441,0.297,0.212,0.03,0.91,-6.09,0.17,2.27,-0.52,93.5,85.7,90.6,84.8,77.5,0.238,0.373,0.248,0.217,0.452,0.356,0.167,0.194,0.442,0.111,0.333,0.111,0.6,1.2,0.385,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-09-08,746098,Pop Out,field_out,True,671289,656427,Tyler Freeman,Jack Flaherty,0,eae8325c-5cb2-44c1-821a-a17cd5de08a7,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,2.86,3.24,148.0,104.0,95.0,103.0,0.713,10.95,1.76,7.36,1.28,1.07,0.226,0.425,0.167,0.29,0.382,87.0,82.0,81.0,93.0,106.0,104.0,74.0,84.0,69.0,95.0,103.0,104.0,102.0,103.0,107.0,0.021,0.441,0.297,0.212,0.03,0.91,-6.09,0.17,2.27,-0.52,93.5,85.7,90.6,84.8,77.5,0.238,0.373,0.248,0.217,0.452,0.356,0.167,0.194,0.442,0.111,0.333,0.111,0.6,1.2,0.385,,,,,,,,,,,,,,,,,,,,,,,,,,,
