,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,wFS/C,wKC/C,vFS,vKC
13,2024-06-18,745650,Pop Out,field_out,True,669127,679525,Shea Langeliers,Alec Marsh,0,b4aa1812-fa34-4841-8bdd-fb7e22225ca8,679525.0,alecmarsh,Marsh,Right,Alec Marsh,KCR,4.52,4.96,91.2,100.0,100.0,100.0,0.797,8.25,2.85,8.25,1.28,0.84,0.248,0.391,0.169,0.353,0.438,93.0,96.0,97.0,98.0,106.0,104.0,91.0,100.0,96.0,121.0,98.0,106.0,0.376,0.221,0.156,0.108,0.97,0.02,-1.25,1.03,94.2,86.5,86.4,82.9,0.191,0.327,0.231,0.118,0.118,0.355,0.268,0.482,0.275,0.189,0.216,0.163,99.0,98.0,95.0,0.139,-2.75,93.5,0.35,0.617,0.096,,,,,,,,,,,,,,,,,,,,,,,,
14,2024-06-18,745650,Lineout,field_out,True,663527,679525,Tyler Nevin,Alec Marsh,0,89a4dd13-235b-4322-8955-9fe80c1fabdd,679525.0,alecmarsh,Marsh,Right,Alec Marsh,KCR,4.52,4.96,91.2,100.0,100.0,100.0,0.797,8.25,2.85,8.25,1.28,0.84,0.248,0.391,0.169,0.353,0.438,93.0,96.0,97.0,98.0,106.0,104.0,91.0,100.0,96.0,121.0,98.0,106.0,0.376,0.221,0.156,0.108,0.97,0.02,-1.25,1.03,94.2,86.5,86.4,82.9,0.191,0.327,0.231,0.118,0.118,0.355,0.268,0.482,0.275,0.189,0.216,0.163,99.0,98.0,95.0,0.139,-2.75,93.5,0.35,0.617,0.096,,,,,,,,,,,,,,,,,,,,,,,,
15,2024-06-18,745650,Flyout,field_out,True,671732,679525,Lawrence Butler,Alec Marsh,0,7ed66e33-7fbf-4029-a7d0-24b61024a8a8,679525.0,alecmarsh,Marsh,Right,Alec Marsh,KCR,4.52,4.96,91.2,100.0,100.0,100.0,0.797,8.25,2.85,8.25,1.28,0.84,0.248,0.391,0.169,0.353,0.438,93.0,96.0,97.0,98.0,106.0,104.0,91.0,100.0,96.0,121.0,98.0,106.0,0.376,0.221,0.156,0.108,0.97,0.02,-1.25,1.03,94.2,86.5,86.4,82.9,0.191,0.327,0.231,0.118,0.118,0.355,0.268,0.482,0.275,0.189,0.216,0.163,99.0,98.0,95.0,0.139,-2.75,93.5,0.35,0.617,0.096,,,,,,,,,,,,,,,,,,,,,,,,
16,2024-06-18,745650,Groundout,field_out,True,664728,663687,Kyle Isbel,Hogan Harris,0,2d275a90-d3b8-48f5-82c1-9d75b6fd1adc,663687.0,hoganharris,"Harris, H",Left,Hogan Harris,OAK,3.4,5.8,47.2,96.0,86.0,94.0,0.817,6.61,4.34,8.69,1.13,0.83,0.24,0.397,0.123,0.356,0.458,118.0,93.0,99.0,57.0,98.0,101.0,85.0,97.0,91.0,90.0,98.0,100.0,0.583,0.116,0.146,0.156,-0.49,-2.85,-0.4,0.81,93.2,81.0,79.3,72.7,0.283,0.485,0.173,0.25,0.536,0.222,0.259,0.296,0.304,0.154,0.192,0.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2024-06-18,745650,Flyout,field_out,True,672580,663687,Maikel Garcia,Hogan Harris,0,666d1ba2-33cc-48cf-93e3-eddd8d9a70d6,663687.0,hoganharris,"Harris, H",Left,Hogan Harris,OAK,3.4,5.8,47.2,96.0,86.0,94.0,0.817,6.61,4.34,8.69,1.13,0.83,0.24,0.397,0.123,0.356,0.458,118.0,93.0,99.0,57.0,98.0,101.0,85.0,97.0,91.0,90.0,98.0,100.0,0.583,0.116,0.146,0.156,-0.49,-2.85,-0.4,0.81,93.2,81.0,79.3,72.7,0.283,0.485,0.173,0.25,0.536,0.222,0.259,0.296,0.304,0.154,0.192,0.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2024-06-18,745650,Lineout,field_out,True,677951,663687,Bobby Witt Jr.,Hogan Harris,0,d75ac571-5445-4c57-badc-aa42b9812e29,663687.0,hoganharris,"Harris, H",Left,Hogan Harris,OAK,3.4,5.8,47.2,96.0,86.0,94.0,0.817,6.61,4.34,8.69,1.13,0.83,0.24,0.397,0.123,0.356,0.458,118.0,93.0,99.0,57.0,98.0,101.0,85.0,97.0,91.0,90.0,98.0,100.0,0.583,0.116,0.146,0.156,-0.49,-2.85,-0.4,0.81,93.2,81.0,79.3,72.7,0.283,0.485,0.173,0.25,0.536,0.222,0.259,0.296,0.304,0.154,0.192,0.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2024-06-18,745650,Single,single,False,680869,679525,Zack Gelof,Alec Marsh,0,36fb8ffa-7fa5-4e60-a514-2a8504f064fc,679525.0,alecmarsh,Marsh,Right,Alec Marsh,KCR,4.52,4.96,91.2,100.0,100.0,100.0,0.797,8.25,2.85,8.25,1.28,0.84,0.248,0.391,0.169,0.353,0.438,93.0,96.0,97.0,98.0,106.0,104.0,91.0,100.0,96.0,121.0,98.0,106.0,0.376,0.221,0.156,0.108,0.97,0.02,-1.25,1.03,94.2,86.5,86.4,82.9,0.191,0.327,0.231,0.118,0.118,0.355,0.268,0.482,0.275,0.189,0.216,0.163,99.0,98.0,95.0,0.139,-2.75,93.5,0.35,0.617,0.096,,,,,,,,,,,,,,,,,,,,,,,,
20,2024-06-18,745650,Single,single,False,680474,679525,Max Schuemann,Alec Marsh,1,da23f78d-6b57-4d34-97c5-be365792a6fb,679525.0,alecmarsh,Marsh,Right,Alec Marsh,KCR,4.52,4.96,91.2,100.0,100.0,100.0,0.797,8.25,2.85,8.25,1.28,0.84,0.248,0.391,0.169,0.353,0.438,93.0,96.0,97.0,98.0,106.0,104.0,91.0,100.0,96.0,121.0,98.0,106.0,0.376,0.221,0.156,0.108,0.97,0.02,-1.25,1.03,94.2,86.5,86.4,82.9,0.191,0.327,0.231,0.118,0.118,0.355,0.268,0.482,0.275,0.189,0.216,0.163,99.0,98.0,95.0,0.139,-2.75,93.5,0.35,0.617,0.096,,,,,,,,,,,,,,,,,,,,,,,,
21,2024-06-18,745650,Double,double,False,668709,679525,JJ Bleday,Alec Marsh,1,60b0b72e-f1c0-407a-bc6e-bfdd910fe342,679525.0,alecmarsh,Marsh,Right,Alec Marsh,KCR,4.52,4.96,91.2,100.0,100.0,100.0,0.797,8.25,2.85,8.25,1.28,0.84,0.248,0.391,0.169,0.353,0.438,93.0,96.0,97.0,98.0,106.0,104.0,91.0,100.0,96.0,121.0,98.0,106.0,0.376,0.221,0.156,0.108,0.97,0.02,-1.25,1.03,94.2,86.5,86.4,82.9,0.191,0.327,0.231,0.118,0.118,0.355,0.268,0.482,0.275,0.189,0.216,0.163,99.0,98.0,95.0,0.139,-2.75,93.5,0.35,0.617,0.096,,,,,,,,,,,,,,,,,,,,,,,,
22,2024-06-18,745650,Single,single,False,609280,679525,Miguel Andujar,Alec Marsh,1,896f2d07-c81f-4c40-ab26-a2a02dbbb189,679525.0,alecmarsh,Marsh,Right,Alec Marsh,KCR,4.52,4.96,91.2,100.0,100.0,100.0,0.797,8.25,2.85,8.25,1.28,0.84,0.248,0.391,0.169,0.353,0.438,93.0,96.0,97.0,98.0,106.0,104.0,91.0,100.0,96.0,121.0,98.0,106.0,0.376,0.221,0.156,0.108,0.97,0.02,-1.25,1.03,94.2,86.5,86.4,82.9,0.191,0.327,0.231,0.118,0.118,0.355,0.268,0.482,0.275,0.189,0.216,0.163,99.0,98.0,95.0,0.139,-2.75,93.5,0.35,0.617,0.096,,,,,,,,,,,,,,,,,,,,,,,,
