,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,wFA/C,wFS/C,wSI/C,wSL/C,vFA,vFS,vSI,vSL,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CH%,wFC/C,wCH/C,vFC,vCH,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,CU_ba,CU_slg,CU_whiff
0,2024-09-25,744877,Pop Out,field_out,True,680776,592332,Jarren Duran,Kevin Gausman,0,72ddc9db-6e6b-43db-9818-78fb5f3b2261,592332.0,kevingausman,Gausman,Right,Kevin Gausman,TOR,3.83,4.77,181.0,105.0,94.0,104.0,0.791,8.06,2.78,8.2,0.99,0.91,0.262,0.417,0.136,0.363,0.417,99.0,105.0,105.0,90.0,102.0,94.0,88.0,90.0,95.0,88.0,108.0,106.0,0.054,0.528,0.334,0.084,0.43,0.51,-3.21,-1.21,93.9,86.0,93.3,82.7,0.277,0.466,0.175,0.169,0.262,0.335,0.268,0.439,0.266,0.316,0.579,0.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-09-25,744877,Groundout,field_out,True,677800,592332,Wilyer Abreu,Kevin Gausman,0,bbc4c36f-e882-4d2d-9d62-047c90bf1477,592332.0,kevingausman,Gausman,Right,Kevin Gausman,TOR,3.83,4.77,181.0,105.0,94.0,104.0,0.791,8.06,2.78,8.2,0.99,0.91,0.262,0.417,0.136,0.363,0.417,99.0,105.0,105.0,90.0,102.0,94.0,88.0,90.0,95.0,88.0,108.0,106.0,0.054,0.528,0.334,0.084,0.43,0.51,-3.21,-1.21,93.9,86.0,93.3,82.7,0.277,0.466,0.175,0.169,0.262,0.335,0.268,0.439,0.266,0.316,0.579,0.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-09-25,744877,Strikeout,strikeout,True,671213,592332,Triston Casas,Kevin Gausman,0,55de63d0-0ecd-45b3-bec5-1cd9e23915be,592332.0,kevingausman,Gausman,Right,Kevin Gausman,TOR,3.83,4.77,181.0,105.0,94.0,104.0,0.791,8.06,2.78,8.2,0.99,0.91,0.262,0.417,0.136,0.363,0.417,99.0,105.0,105.0,90.0,102.0,94.0,88.0,90.0,95.0,88.0,108.0,106.0,0.054,0.528,0.334,0.084,0.43,0.51,-3.21,-1.21,93.9,86.0,93.3,82.7,0.277,0.466,0.175,0.169,0.262,0.335,0.268,0.439,0.266,0.316,0.579,0.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-09-25,744877,Single,single,False,682729,690916,Jonatan Clase,Richard Fitts,0,da91cb7c-b85f-4357-b1bc-ae5cdb9896df,690916.0,richardfitts,Fitts,Right,Richard Fitts,BOS,1.74,3.99,20.2,104.0,112.0,106.0,0.872,3.92,3.05,8.27,0.0,0.83,0.406,0.319,0.145,0.261,0.443,102.0,98.0,97.0,,,,126.0,113.0,114.0,107.0,103.0,116.0,,0.446,0.108,0.446,1.1,-3.33,,1.91,94.5,88.7,,85.2,0.2,0.267,0.162,0.5,0.5,0.143,0.259,0.296,0.149,,,,0.231,0.231,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-09-25,744877,Sac Bunt,sac_bunt,True,664770,690916,Nathan Lukes,Richard Fitts,1,5c161919-5d13-462d-b105-018b225ebed2,690916.0,richardfitts,Fitts,Right,Richard Fitts,BOS,1.74,3.99,20.2,104.0,112.0,106.0,0.872,3.92,3.05,8.27,0.0,0.83,0.406,0.319,0.145,0.261,0.443,102.0,98.0,97.0,,,,126.0,113.0,114.0,107.0,103.0,116.0,,0.446,0.108,0.446,1.1,-3.33,,1.91,94.5,88.7,,85.2,0.2,0.267,0.162,0.5,0.5,0.143,0.259,0.296,0.149,,,,0.231,0.231,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-09-25,744877,Groundout,field_out,True,665489,690916,Vladimir Guerrero Jr.,Richard Fitts,1,50908b9b-0c57-44b2-9fa1-5da072fafe52,690916.0,richardfitts,Fitts,Right,Richard Fitts,BOS,1.74,3.99,20.2,104.0,112.0,106.0,0.872,3.92,3.05,8.27,0.0,0.83,0.406,0.319,0.145,0.261,0.443,102.0,98.0,97.0,,,,126.0,113.0,114.0,107.0,103.0,116.0,,0.446,0.108,0.446,1.1,-3.33,,1.91,94.5,88.7,,85.2,0.2,0.267,0.162,0.5,0.5,0.143,0.259,0.296,0.149,,,,0.231,0.231,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2024-09-25,744877,Lineout,field_out,True,672386,690916,Alejandro Kirk,Richard Fitts,0,ecd72520-15a2-4765-b096-c81edbef883e,690916.0,richardfitts,Fitts,Right,Richard Fitts,BOS,1.74,3.99,20.2,104.0,112.0,106.0,0.872,3.92,3.05,8.27,0.0,0.83,0.406,0.319,0.145,0.261,0.443,102.0,98.0,97.0,,,,126.0,113.0,114.0,107.0,103.0,116.0,,0.446,0.108,0.446,1.1,-3.33,,1.91,94.5,88.7,,85.2,0.2,0.267,0.162,0.5,0.5,0.143,0.259,0.296,0.149,,,,0.231,0.231,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-09-25,744877,Strikeout,strikeout,True,641933,592332,Tyler O'Neill,Kevin Gausman,0,15b53911-653d-4182-9973-38581cedf60a,592332.0,kevingausman,Gausman,Right,Kevin Gausman,TOR,3.83,4.77,181.0,105.0,94.0,104.0,0.791,8.06,2.78,8.2,0.99,0.91,0.262,0.417,0.136,0.363,0.417,99.0,105.0,105.0,90.0,102.0,94.0,88.0,90.0,95.0,88.0,108.0,106.0,0.054,0.528,0.334,0.084,0.43,0.51,-3.21,-1.21,93.9,86.0,93.3,82.7,0.277,0.466,0.175,0.169,0.262,0.335,0.268,0.439,0.266,0.316,0.579,0.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-09-25,744877,Groundout,field_out,True,807799,592332,Masataka Yoshida,Kevin Gausman,0,6db68e84-f612-42ce-8797-67b9abc8587b,592332.0,kevingausman,Gausman,Right,Kevin Gausman,TOR,3.83,4.77,181.0,105.0,94.0,104.0,0.791,8.06,2.78,8.2,0.99,0.91,0.262,0.417,0.136,0.363,0.417,99.0,105.0,105.0,90.0,102.0,94.0,88.0,90.0,95.0,88.0,108.0,106.0,0.054,0.528,0.334,0.084,0.43,0.51,-3.21,-1.21,93.9,86.0,93.3,82.7,0.277,0.466,0.175,0.169,0.262,0.335,0.268,0.439,0.266,0.316,0.579,0.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-09-25,744877,Walk,walk,False,596115,592332,Trevor Story,Kevin Gausman,0,138ac9d2-d74f-4dd8-8f16-c30b95fe4d11,592332.0,kevingausman,Gausman,Right,Kevin Gausman,TOR,3.83,4.77,181.0,105.0,94.0,104.0,0.791,8.06,2.78,8.2,0.99,0.91,0.262,0.417,0.136,0.363,0.417,99.0,105.0,105.0,90.0,102.0,94.0,88.0,90.0,95.0,88.0,108.0,106.0,0.054,0.528,0.334,0.084,0.43,0.51,-3.21,-1.21,93.9,86.0,93.3,82.7,0.277,0.466,0.175,0.169,0.262,0.335,0.268,0.439,0.266,0.316,0.579,0.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2024-09-25,744877,Single,single,False,686765,592332,Nick Sogard,Kevin Gausman,1,6c3a8656-37f4-421b-a6e4-273a297282bc,592332.0,kevingausman,Gausman,Right,Kevin Gausman,TOR,3.83,4.77,181.0,105.0,94.0,104.0,0.791,8.06,2.78,8.2,0.99,0.91,0.262,0.417,0.136,0.363,0.417,99.0,105.0,105.0,90.0,102.0,94.0,88.0,90.0,95.0,88.0,108.0,106.0,0.054,0.528,0.334,0.084,0.43,0.51,-3.21,-1.21,93.9,86.0,93.3,82.7,0.277,0.466,0.175,0.169,0.262,0.335,0.268,0.439,0.266,0.316,0.579,0.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2024-09-25,744877,Strikeout,strikeout,True,657136,592332,Connor Wong,Kevin Gausman,0,0eb4eb00-2fff-4572-bbab-6bac7c10a422,592332.0,kevingausman,Gausman,Right,Kevin Gausman,TOR,3.83,4.77,181.0,105.0,94.0,104.0,0.791,8.06,2.78,8.2,0.99,0.91,0.262,0.417,0.136,0.363,0.417,99.0,105.0,105.0,90.0,102.0,94.0,88.0,90.0,95.0,88.0,108.0,106.0,0.054,0.528,0.334,0.084,0.43,0.51,-3.21,-1.21,93.9,86.0,93.3,82.7,0.277,0.466,0.175,0.169,0.262,0.335,0.268,0.439,0.266,0.316,0.579,0.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
