,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff
0,2024-07-29,747172,Strikeout,strikeout,True,682928,656756,CJ Abrams,Jordan Montgomery,0,8711b28d-a20f-4381-a49f-eab00994bedb,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,ARI,6.16,5.28,99.1,98.0,93.0,95.0,0.756,6.25,3.35,11.6,1.09,1.29,0.172,0.448,0.125,0.366,0.379,99.0,100.0,92.0,107.0,101.0,106.0,68.0,97.0,88.0,89.0,95.0,92.0,102.0,90.0,85.0,0.316,0.166,0.014,0.295,0.209,-0.59,-2.04,4.12,-0.68,-1.83,92.0,83.1,91.7,83.4,79.2,0.38,0.563,0.14,0.256,0.444,0.314,0.315,0.616,0.384,0.3,0.4,0.203,0.0,0.0,0.7,,,,,,,,,,,,,,,,,,
1,2024-07-29,747172,Single,single,False,660766,656756,Juan Yepez,Jordan Montgomery,0,8c6a0559-4a34-41ce-a3b1-560a746c09c4,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,ARI,6.16,5.28,99.1,98.0,93.0,95.0,0.756,6.25,3.35,11.6,1.09,1.29,0.172,0.448,0.125,0.366,0.379,99.0,100.0,92.0,107.0,101.0,106.0,68.0,97.0,88.0,89.0,95.0,92.0,102.0,90.0,85.0,0.316,0.166,0.014,0.295,0.209,-0.59,-2.04,4.12,-0.68,-1.83,92.0,83.1,91.7,83.4,79.2,0.38,0.563,0.14,0.256,0.444,0.314,0.315,0.616,0.384,0.3,0.4,0.203,0.0,0.0,0.7,,,,,,,,,,,,,,,,,,
2,2024-07-29,747172,Walk,walk,False,623912,656756,Harold Ramírez,Jordan Montgomery,1,2094941b-62af-4189-b06c-5108848f37da,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,ARI,6.16,5.28,99.1,98.0,93.0,95.0,0.756,6.25,3.35,11.6,1.09,1.29,0.172,0.448,0.125,0.366,0.379,99.0,100.0,92.0,107.0,101.0,106.0,68.0,97.0,88.0,89.0,95.0,92.0,102.0,90.0,85.0,0.316,0.166,0.014,0.295,0.209,-0.59,-2.04,4.12,-0.68,-1.83,92.0,83.1,91.7,83.4,79.2,0.38,0.563,0.14,0.256,0.444,0.314,0.315,0.616,0.384,0.3,0.4,0.203,0.0,0.0,0.7,,,,,,,,,,,,,,,,,,
3,2024-07-29,747172,Single,single,False,695578,656756,James Wood,Jordan Montgomery,1,92e5e6f5-f6a4-4dbe-b737-6309c8311a63,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,ARI,6.16,5.28,99.1,98.0,93.0,95.0,0.756,6.25,3.35,11.6,1.09,1.29,0.172,0.448,0.125,0.366,0.379,99.0,100.0,92.0,107.0,101.0,106.0,68.0,97.0,88.0,89.0,95.0,92.0,102.0,90.0,85.0,0.316,0.166,0.014,0.295,0.209,-0.59,-2.04,4.12,-0.68,-1.83,92.0,83.1,91.7,83.4,79.2,0.38,0.563,0.14,0.256,0.444,0.314,0.315,0.616,0.384,0.3,0.4,0.203,0.0,0.0,0.7,,,,,,,,,,,,,,,,,,
4,2024-07-29,747172,Double,double,False,660688,656756,Keibert Ruiz,Jordan Montgomery,1,bdf3fafb-e791-45fc-8ef2-8e09c6d80b53,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,ARI,6.16,5.28,99.1,98.0,93.0,95.0,0.756,6.25,3.35,11.6,1.09,1.29,0.172,0.448,0.125,0.366,0.379,99.0,100.0,92.0,107.0,101.0,106.0,68.0,97.0,88.0,89.0,95.0,92.0,102.0,90.0,85.0,0.316,0.166,0.014,0.295,0.209,-0.59,-2.04,4.12,-0.68,-1.83,92.0,83.1,91.7,83.4,79.2,0.38,0.563,0.14,0.256,0.444,0.314,0.315,0.616,0.384,0.3,0.4,0.203,0.0,0.0,0.7,,,,,,,,,,,,,,,,,,
5,2024-07-29,747172,Home Run,home_run,False,669743,656756,Alex Call,Jordan Montgomery,1,8f7460f6-64c7-4050-93cb-48b596f8f4d6,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,ARI,6.16,5.28,99.1,98.0,93.0,95.0,0.756,6.25,3.35,11.6,1.09,1.29,0.172,0.448,0.125,0.366,0.379,99.0,100.0,92.0,107.0,101.0,106.0,68.0,97.0,88.0,89.0,95.0,92.0,102.0,90.0,85.0,0.316,0.166,0.014,0.295,0.209,-0.59,-2.04,4.12,-0.68,-1.83,92.0,83.1,91.7,83.4,79.2,0.38,0.563,0.14,0.256,0.444,0.314,0.315,0.616,0.384,0.3,0.4,0.203,0.0,0.0,0.7,,,,,,,,,,,,,,,,,,
6,2024-07-29,747172,Single,single,False,545121,656756,Ildemaro Vargas,Jordan Montgomery,0,649a8ad8-89e6-4f13-b65e-da5a4d7a9200,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,ARI,6.16,5.28,99.1,98.0,93.0,95.0,0.756,6.25,3.35,11.6,1.09,1.29,0.172,0.448,0.125,0.366,0.379,99.0,100.0,92.0,107.0,101.0,106.0,68.0,97.0,88.0,89.0,95.0,92.0,102.0,90.0,85.0,0.316,0.166,0.014,0.295,0.209,-0.59,-2.04,4.12,-0.68,-1.83,92.0,83.1,91.7,83.4,79.2,0.38,0.563,0.14,0.256,0.444,0.314,0.315,0.616,0.384,0.3,0.4,0.203,0.0,0.0,0.7,,,,,,,,,,,,,,,,,,
7,2024-07-29,747172,Forceout,force_out,True,696285,656756,Jacob Young,Jordan Montgomery,1,7a2126e6-7e5c-456a-b2c4-895b5e59714b,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,ARI,6.16,5.28,99.1,98.0,93.0,95.0,0.756,6.25,3.35,11.6,1.09,1.29,0.172,0.448,0.125,0.366,0.379,99.0,100.0,92.0,107.0,101.0,106.0,68.0,97.0,88.0,89.0,95.0,92.0,102.0,90.0,85.0,0.316,0.166,0.014,0.295,0.209,-0.59,-2.04,4.12,-0.68,-1.83,92.0,83.1,91.7,83.4,79.2,0.38,0.563,0.14,0.256,0.444,0.314,0.315,0.616,0.384,0.3,0.4,0.203,0.0,0.0,0.7,,,,,,,,,,,,,,,,,,
8,2024-07-29,747172,Pickoff Caught Stealing 2B,pickoff_caught_stealing_2b,True,702358,656756,Trey Lipscomb,Jordan Montgomery,0,b50bdf98-95e0-4615-a252-b58fc5cda572,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,ARI,6.16,5.28,99.1,98.0,93.0,95.0,0.756,6.25,3.35,11.6,1.09,1.29,0.172,0.448,0.125,0.366,0.379,99.0,100.0,92.0,107.0,101.0,106.0,68.0,97.0,88.0,89.0,95.0,92.0,102.0,90.0,85.0,0.316,0.166,0.014,0.295,0.209,-0.59,-2.04,4.12,-0.68,-1.83,92.0,83.1,91.7,83.4,79.2,0.38,0.563,0.14,0.256,0.444,0.314,0.315,0.616,0.384,0.3,0.4,0.203,0.0,0.0,0.7,,,,,,,,,,,,,,,,,,
9,2024-07-29,747172,Lineout,field_out,True,606466,680730,Ketel Marte,Mitchell Parker,0,622e20ce-7432-4479-8cf7-9e03a43330bd,680730.0,mitchellparker,Parker,Left,Mitchell Parker,WSN,4.26,4.41,126.2,101.0,88.0,98.0,0.808,7.74,2.42,8.95,1.21,0.89,0.246,0.454,0.133,0.328,0.448,,,,99.0,97.0,97.0,79.0,103.0,98.0,,,,106.0,106.0,108.0,,0.492,0.103,0.223,,0.19,,-0.44,0.39,,92.5,,,84.3,80.4,,,,0.271,0.396,0.258,,,,0.276,0.445,0.115,0.218,0.4,0.325,88.0,96.0,96.0,0.182,-0.23,85.7,0.2,0.367,0.376,,,,,,,,,
