,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wSI/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vCU,SI_ba,SI_slg,SI_whiff,SV_ba,SV_slg,SV_whiff,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-08-09,744900,Strikeout,strikeout,True,671732,621244,Lawrence Butler,José Berríos,0,42e09755-2a8b-467c-bfd7-4fb27e4c5294,621244.0,joseberrios,Berríos,Right,José Berríos,TOR,3.72,5.07,164.1,103.0,92.0,99.0,0.814,7.06,2.52,8.0,1.53,1.14,0.258,0.412,0.153,0.348,0.414,88.0,105.0,103.0,109.0,102.0,106.0,83.0,99.0,92.0,86.0,103.0,95.0,82.0,106.0,97.0,0.335,0.185,0.032,0.287,0.161,-1.7,-1.18,0.68,0.44,1.22,94.2,91.6,84.8,93.5,83.2,0.282,0.388,0.123,0.184,0.385,0.302,0.167,0.377,0.253,0.318,0.591,0.2,0.333,0.381,0.087,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-08-09,744900,Pop Out,field_out,True,609280,621244,Miguel Andujar,José Berríos,0,91643717-8cad-49d6-80ab-39b4ad02419f,621244.0,joseberrios,Berríos,Right,José Berríos,TOR,3.72,5.07,164.1,103.0,92.0,99.0,0.814,7.06,2.52,8.0,1.53,1.14,0.258,0.412,0.153,0.348,0.414,88.0,105.0,103.0,109.0,102.0,106.0,83.0,99.0,92.0,86.0,103.0,95.0,82.0,106.0,97.0,0.335,0.185,0.032,0.287,0.161,-1.7,-1.18,0.68,0.44,1.22,94.2,91.6,84.8,93.5,83.2,0.282,0.388,0.123,0.184,0.385,0.302,0.167,0.377,0.253,0.318,0.591,0.2,0.333,0.381,0.087,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-08-09,744900,Double,double,False,668709,621244,JJ Bleday,José Berríos,0,79e47a10-9fa0-408e-b837-6a976b53550e,621244.0,joseberrios,Berríos,Right,José Berríos,TOR,3.72,5.07,164.1,103.0,92.0,99.0,0.814,7.06,2.52,8.0,1.53,1.14,0.258,0.412,0.153,0.348,0.414,88.0,105.0,103.0,109.0,102.0,106.0,83.0,99.0,92.0,86.0,103.0,95.0,82.0,106.0,97.0,0.335,0.185,0.032,0.287,0.161,-1.7,-1.18,0.68,0.44,1.22,94.2,91.6,84.8,93.5,83.2,0.282,0.388,0.123,0.184,0.385,0.302,0.167,0.377,0.253,0.318,0.591,0.2,0.333,0.381,0.087,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-08-09,744900,Strikeout,strikeout,True,667670,621244,Brent Rooker,José Berríos,0,335cb6f4-6bee-4334-ab79-c1f6e7d2ac67,621244.0,joseberrios,Berríos,Right,José Berríos,TOR,3.72,5.07,164.1,103.0,92.0,99.0,0.814,7.06,2.52,8.0,1.53,1.14,0.258,0.412,0.153,0.348,0.414,88.0,105.0,103.0,109.0,102.0,106.0,83.0,99.0,92.0,86.0,103.0,95.0,82.0,106.0,97.0,0.335,0.185,0.032,0.287,0.161,-1.7,-1.18,0.68,0.44,1.22,94.2,91.6,84.8,93.5,83.2,0.282,0.388,0.123,0.184,0.385,0.302,0.167,0.377,0.253,0.318,0.591,0.2,0.333,0.381,0.087,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-08-09,744900,Home Run,home_run,False,543807,687765,George Springer,Mitch Spence,0,700a4325-9e4e-461d-8295-6dce2ec671b7,687765.0,mitchspence,Spence,Right,Mitch Spence,OAK,4.54,3.84,121.0,103.0,100.0,101.0,0.79,7.44,2.83,9.22,1.19,1.36,0.18,0.448,0.139,0.3,0.408,72.0,86.0,83.0,109.0,116.0,115.0,,,,38.0,97.0,86.0,99.0,100.0,96.0,0.14,,0.395,0.109,0.015,,-0.24,-0.5,-0.39,-8.95,,90.8,88.5,92.0,80.1,0.29,0.339,0.156,,,,0.625,0.875,0.0,,,,0.265,0.464,0.183,124.0,104.0,109.0,0.341,0.02,84.3,0.265,0.482,0.275,0.185,0.292,0.319,,,,,,,,,,,,
5,2024-08-09,744900,Single,single,False,662139,687765,Daulton Varsho,Mitch Spence,0,97424e4c-7b34-4646-88d1-5c6b5562a53e,687765.0,mitchspence,Spence,Right,Mitch Spence,OAK,4.54,3.84,121.0,103.0,100.0,101.0,0.79,7.44,2.83,9.22,1.19,1.36,0.18,0.448,0.139,0.3,0.408,72.0,86.0,83.0,109.0,116.0,115.0,,,,38.0,97.0,86.0,99.0,100.0,96.0,0.14,,0.395,0.109,0.015,,-0.24,-0.5,-0.39,-8.95,,90.8,88.5,92.0,80.1,0.29,0.339,0.156,,,,0.625,0.875,0.0,,,,0.265,0.464,0.183,124.0,104.0,109.0,0.341,0.02,84.3,0.265,0.482,0.275,0.185,0.292,0.319,,,,,,,,,,,,
6,2024-08-09,744900,Single,single,True,665489,687765,Vladimir Guerrero Jr.,Mitch Spence,1,fbdb28d7-e687-424b-ad3f-8bb0ad1f6b37,687765.0,mitchspence,Spence,Right,Mitch Spence,OAK,4.54,3.84,121.0,103.0,100.0,101.0,0.79,7.44,2.83,9.22,1.19,1.36,0.18,0.448,0.139,0.3,0.408,72.0,86.0,83.0,109.0,116.0,115.0,,,,38.0,97.0,86.0,99.0,100.0,96.0,0.14,,0.395,0.109,0.015,,-0.24,-0.5,-0.39,-8.95,,90.8,88.5,92.0,80.1,0.29,0.339,0.156,,,,0.625,0.875,0.0,,,,0.265,0.464,0.183,124.0,104.0,109.0,0.341,0.02,84.3,0.265,0.482,0.275,0.185,0.292,0.319,,,,,,,,,,,,
7,2024-08-09,744900,Flyout,field_out,True,687462,687765,Spencer Horwitz,Mitch Spence,0,299882e6-1a7a-4d09-a504-6d44a4db5f34,687765.0,mitchspence,Spence,Right,Mitch Spence,OAK,4.54,3.84,121.0,103.0,100.0,101.0,0.79,7.44,2.83,9.22,1.19,1.36,0.18,0.448,0.139,0.3,0.408,72.0,86.0,83.0,109.0,116.0,115.0,,,,38.0,97.0,86.0,99.0,100.0,96.0,0.14,,0.395,0.109,0.015,,-0.24,-0.5,-0.39,-8.95,,90.8,88.5,92.0,80.1,0.29,0.339,0.156,,,,0.625,0.875,0.0,,,,0.265,0.464,0.183,124.0,104.0,109.0,0.341,0.02,84.3,0.265,0.482,0.275,0.185,0.292,0.319,,,,,,,,,,,,
8,2024-08-09,744900,Groundout,field_out,True,672386,687765,Alejandro Kirk,Mitch Spence,0,0b083c5c-5a27-42e1-8710-0f47caf4a44d,687765.0,mitchspence,Spence,Right,Mitch Spence,OAK,4.54,3.84,121.0,103.0,100.0,101.0,0.79,7.44,2.83,9.22,1.19,1.36,0.18,0.448,0.139,0.3,0.408,72.0,86.0,83.0,109.0,116.0,115.0,,,,38.0,97.0,86.0,99.0,100.0,96.0,0.14,,0.395,0.109,0.015,,-0.24,-0.5,-0.39,-8.95,,90.8,88.5,92.0,80.1,0.29,0.339,0.156,,,,0.625,0.875,0.0,,,,0.265,0.464,0.183,124.0,104.0,109.0,0.341,0.02,84.3,0.265,0.482,0.275,0.185,0.292,0.319,,,,,,,,,,,,
9,2024-08-09,744900,Flyout,field_out,True,669127,621244,Shea Langeliers,José Berríos,0,7db8552b-9291-4ef3-b7c0-9e6ad59f1df0,621244.0,joseberrios,Berríos,Right,José Berríos,TOR,3.72,5.07,164.1,103.0,92.0,99.0,0.814,7.06,2.52,8.0,1.53,1.14,0.258,0.412,0.153,0.348,0.414,88.0,105.0,103.0,109.0,102.0,106.0,83.0,99.0,92.0,86.0,103.0,95.0,82.0,106.0,97.0,0.335,0.185,0.032,0.287,0.161,-1.7,-1.18,0.68,0.44,1.22,94.2,91.6,84.8,93.5,83.2,0.282,0.388,0.123,0.184,0.385,0.302,0.167,0.377,0.253,0.318,0.591,0.2,0.333,0.381,0.087,,,,,,,,,,,,,,,,,,,,,,,,
