,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CH%,wFA/C,wSL/C,wCH/C,vFA,vCH,vSL,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CU%,wFC/C,wCU/C,vFC,vCU,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-09-26,745853,Walk,walk,False,669364,701581,Xavier Edwards,David Festa,0,94e7a5de-f528-43d9-bf7f-bcb46a4c96bc,701581.0,davidfesta,"Festa, D",Right,David Festa,MIN,4.9,4.05,64.1,101.0,100.0,103.0,0.735,10.77,3.22,8.67,1.26,0.9,0.229,0.451,0.166,0.331,0.405,72.0,105.0,105.0,107.0,96.0,99.0,118.0,103.0,105.0,0.402,0.318,0.28,-0.79,1.48,-1.14,94.7,88.4,86.1,0.207,0.315,0.291,0.304,0.544,0.189,0.237,0.463,0.394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-09-26,745853,Strikeout,strikeout,True,681393,701581,Connor Norby,David Festa,0,eb5566fe-2650-4847-9ae9-86b9bbf993c2,701581.0,davidfesta,"Festa, D",Right,David Festa,MIN,4.9,4.05,64.1,101.0,100.0,103.0,0.735,10.77,3.22,8.67,1.26,0.9,0.229,0.451,0.166,0.331,0.405,72.0,105.0,105.0,107.0,96.0,99.0,118.0,103.0,105.0,0.402,0.318,0.28,-0.79,1.48,-1.14,94.7,88.4,86.1,0.207,0.315,0.291,0.304,0.544,0.189,0.237,0.463,0.394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-09-26,745853,Double,double,False,669394,701581,Jake Burger,David Festa,1,9f897c94-afad-4432-b849-90ca2105cec4,701581.0,davidfesta,"Festa, D",Right,David Festa,MIN,4.9,4.05,64.1,101.0,100.0,103.0,0.735,10.77,3.22,8.67,1.26,0.9,0.229,0.451,0.166,0.331,0.405,72.0,105.0,105.0,107.0,96.0,99.0,118.0,103.0,105.0,0.402,0.318,0.28,-0.79,1.48,-1.14,94.7,88.4,86.1,0.207,0.315,0.291,0.304,0.544,0.189,0.237,0.463,0.394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-09-26,745853,Strikeout,strikeout,True,660821,701581,Jesús Sánchez,David Festa,0,b4810429-c697-497e-a0ce-7b1b37f92a23,701581.0,davidfesta,"Festa, D",Right,David Festa,MIN,4.9,4.05,64.1,101.0,100.0,103.0,0.735,10.77,3.22,8.67,1.26,0.9,0.229,0.451,0.166,0.331,0.405,72.0,105.0,105.0,107.0,96.0,99.0,118.0,103.0,105.0,0.402,0.318,0.28,-0.79,1.48,-1.14,94.7,88.4,86.1,0.207,0.315,0.291,0.304,0.544,0.189,0.237,0.463,0.394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-09-26,745853,Single,single,False,681146,701581,Jonah Bride,David Festa,1,f482adf9-852d-48b3-8888-511399b8247b,701581.0,davidfesta,"Festa, D",Right,David Festa,MIN,4.9,4.05,64.1,101.0,100.0,103.0,0.735,10.77,3.22,8.67,1.26,0.9,0.229,0.451,0.166,0.331,0.405,72.0,105.0,105.0,107.0,96.0,99.0,118.0,103.0,105.0,0.402,0.318,0.28,-0.79,1.48,-1.14,94.7,88.4,86.1,0.207,0.315,0.291,0.304,0.544,0.189,0.237,0.463,0.394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-09-26,745853,Groundout,field_out,True,669065,701581,Kyle Stowers,David Festa,0,87bcf227-69ae-4394-b4c3-932d190e8518,701581.0,davidfesta,"Festa, D",Right,David Festa,MIN,4.9,4.05,64.1,101.0,100.0,103.0,0.735,10.77,3.22,8.67,1.26,0.9,0.229,0.451,0.166,0.331,0.405,72.0,105.0,105.0,107.0,96.0,99.0,118.0,103.0,105.0,0.402,0.318,0.28,-0.79,1.48,-1.14,94.7,88.4,86.1,0.207,0.315,0.291,0.304,0.544,0.189,0.237,0.463,0.394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2024-09-26,745853,Strikeout,strikeout,True,621439,678368,Byron Buxton,Valente Bellozo,0,07c3ae57-7588-4a64-b479-5513955edfa9,678368.0,valentebellozo,Bellozo,Right,Valente Bellozo,MIA,3.67,5.17,68.2,99.0,73.0,91.0,0.818,5.77,2.75,9.04,1.97,0.58,0.281,0.404,0.184,0.368,0.427,99.0,95.0,96.0,54.0,102.0,84.0,100.0,105.0,104.0,0.374,0.103,0.144,-0.41,0.03,-3.12,89.2,81.1,77.7,,,,0.247,0.454,0.133,0.326,0.488,0.296,93.0,94.0,94.0,67.0,98.0,91.0,0.253,0.125,1.23,-3.5,82.8,73.7,0.205,0.438,0.163,0.233,0.433,0.286,0.333,0.741,0.283,,,,,,,,,,,,,,,,,,
7,2024-09-26,745853,Single,single,False,621043,678368,Carlos Correa,Valente Bellozo,0,e934cac8-7776-4507-9b56-624325d9598f,678368.0,valentebellozo,Bellozo,Right,Valente Bellozo,MIA,3.67,5.17,68.2,99.0,73.0,91.0,0.818,5.77,2.75,9.04,1.97,0.58,0.281,0.404,0.184,0.368,0.427,99.0,95.0,96.0,54.0,102.0,84.0,100.0,105.0,104.0,0.374,0.103,0.144,-0.41,0.03,-3.12,89.2,81.1,77.7,,,,0.247,0.454,0.133,0.326,0.488,0.296,93.0,94.0,94.0,67.0,98.0,91.0,0.253,0.125,1.23,-3.5,82.8,73.7,0.205,0.438,0.163,0.233,0.433,0.286,0.333,0.741,0.283,,,,,,,,,,,,,,,,,,
8,2024-09-26,745853,Double Play,double_play,True,663616,678368,Trevor Larnach,Valente Bellozo,1,e699a184-586a-451b-a46f-e1e4c94e465b,678368.0,valentebellozo,Bellozo,Right,Valente Bellozo,MIA,3.67,5.17,68.2,99.0,73.0,91.0,0.818,5.77,2.75,9.04,1.97,0.58,0.281,0.404,0.184,0.368,0.427,99.0,95.0,96.0,54.0,102.0,84.0,100.0,105.0,104.0,0.374,0.103,0.144,-0.41,0.03,-3.12,89.2,81.1,77.7,,,,0.247,0.454,0.133,0.326,0.488,0.296,93.0,94.0,94.0,67.0,98.0,91.0,0.253,0.125,1.23,-3.5,82.8,73.7,0.205,0.438,0.163,0.233,0.433,0.286,0.333,0.741,0.283,,,,,,,,,,,,,,,,,,
9,2024-09-26,745853,Strikeout,strikeout,True,656537,701581,Derek Hill,David Festa,0,7533bc85-2b00-438b-8c80-f99985fc7e06,701581.0,davidfesta,"Festa, D",Right,David Festa,MIN,4.9,4.05,64.1,101.0,100.0,103.0,0.735,10.77,3.22,8.67,1.26,0.9,0.229,0.451,0.166,0.331,0.405,72.0,105.0,105.0,107.0,96.0,99.0,118.0,103.0,105.0,0.402,0.318,0.28,-0.79,1.48,-1.14,94.7,88.4,86.1,0.207,0.315,0.291,0.304,0.544,0.189,0.237,0.463,0.394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
