,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FC%,FS%,CU%,CH%,wFC/C,wFS/C,wSI/C,wCU/C,wCH/C,vFC,vFS,vCH,vSI,vCU,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FA,Loc+ FA,Pit+ FA,FA%,wFA/C,vFA,FF_ba,FF_slg,FF_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,SL_slg,SL_whiff,ST_ba,ST_slg,ST_whiff
55,2024-09-15,746506,Home Run,home_run,False,683737,656234,Michael Busch,Jake Bird,0,09c882db-4ed6-4f3d-a974-6f1b9c10094f,656234.0,jakebird,Bird,Right,Jake Bird,COL,4.95,5.69,36.1,95.0,111.0,96.0,0.788,6.94,6.19,9.91,1.24,1.36,0.272,0.404,0.149,0.351,0.415,,,,141.0,101.0,109.0,82.0,90.0,84.0,115.0,94.0,99.0,,,,0.453,0.085,,0.166,,-5.02,,-0.55,-3.21,,91.3,,,95.4,81.7,0.293,0.387,0.134,,,,0.5,1.375,0.281,0.35,0.6,0.317,,,,48.0,90.0,88.0,0.01,-6.25,94.5,,,,138.0,99.0,106.0,0.287,0.3,85.3,0.171,0.314,0.323,,,
56,2024-09-15,746506,Groundout,field_out,True,663538,656234,Nico Hoerner,Jake Bird,0,25df230e-15ea-41de-9da1-04403ed8a2c3,656234.0,jakebird,Bird,Right,Jake Bird,COL,4.95,5.69,36.1,95.0,111.0,96.0,0.788,6.94,6.19,9.91,1.24,1.36,0.272,0.404,0.149,0.351,0.415,,,,141.0,101.0,109.0,82.0,90.0,84.0,115.0,94.0,99.0,,,,0.453,0.085,,0.166,,-5.02,,-0.55,-3.21,,91.3,,,95.4,81.7,0.293,0.387,0.134,,,,0.5,1.375,0.281,0.35,0.6,0.317,,,,48.0,90.0,88.0,0.01,-6.25,94.5,,,,138.0,99.0,106.0,0.287,0.3,85.3,0.171,0.314,0.323,,,
57,2024-09-15,746506,Flyout,field_out,True,691718,683409,Pete Crow-Armstrong,Angel Chivilli,0,7ee305fa-2371-4232-8432-0de671e87e58,683409.0,angelchivilli,Chivilli,Right,Angel Chivilli,COL,3.55,4.76,25.1,101.0,86.0,99.0,0.629,7.46,1.42,8.88,2.13,1.64,0.247,0.506,0.143,0.364,0.378,91.0,106.0,106.0,,,,77.0,99.0,90.0,,,,,,,0.435,,,,0.403,,,1.92,,-1.0,,,87.5,95.9,,0.209,0.395,0.129,,,,,,,,,,0.267,0.489,0.525,,,,,,,,,,104.0,100.0,110.0,0.162,-3.63,87.2,0.4,1.0,0.444,,,
58,2024-09-15,746506,Walk,walk,False,656541,681799,Sam Hilliard,Ethan Roberts,0,f47df60a-6835-4b76-9329-05b567b7b74e,681799.0,ethanroberts,Roberts,Right,Ethan Roberts,CHC,2.53,3.98,21.1,101.0,114.0,105.0,0.74,9.28,3.38,9.7,0.84,0.62,0.302,0.349,0.111,0.381,0.424,,,,,,,,,,90.0,96.0,94.0,,,,,0.341,,,,-0.42,,,,,89.8,,,,,,,,,,,0.357,0.357,0.226,,,,,,,42.0,101.0,93.0,0.07,4.65,91.6,0.0,0.0,0.455,136.0,104.0,113.0,0.588,0.24,81.4,,,,0.25,0.423,0.314
59,2024-09-15,746506,Flyout,field_out,True,607732,681799,Jacob Stallings,Ethan Roberts,0,9148e347-5b65-4510-bd73-2c1afd1f8d38,681799.0,ethanroberts,Roberts,Right,Ethan Roberts,CHC,2.53,3.98,21.1,101.0,114.0,105.0,0.74,9.28,3.38,9.7,0.84,0.62,0.302,0.349,0.111,0.381,0.424,,,,,,,,,,90.0,96.0,94.0,,,,,0.341,,,,-0.42,,,,,89.8,,,,,,,,,,,0.357,0.357,0.226,,,,,,,42.0,101.0,93.0,0.07,4.65,91.6,0.0,0.0,0.455,136.0,104.0,113.0,0.588,0.24,81.4,,,,0.25,0.423,0.314
60,2024-09-15,746506,Single,single,False,666134,681799,Nolan Jones,Ethan Roberts,1,f6a028fd-eceb-46b6-b987-bc813e3a00d1,681799.0,ethanroberts,Roberts,Right,Ethan Roberts,CHC,2.53,3.98,21.1,101.0,114.0,105.0,0.74,9.28,3.38,9.7,0.84,0.62,0.302,0.349,0.111,0.381,0.424,,,,,,,,,,90.0,96.0,94.0,,,,,0.341,,,,-0.42,,,,,89.8,,,,,,,,,,,0.357,0.357,0.226,,,,,,,42.0,101.0,93.0,0.07,4.65,91.6,0.0,0.0,0.455,136.0,104.0,113.0,0.588,0.24,81.4,,,,0.25,0.423,0.314
61,2024-09-15,746506,Strikeout,strikeout,True,453568,681799,Charlie Blackmon,Ethan Roberts,0,c9778a2e-f138-4c0b-836c-62e0f6f5327a,681799.0,ethanroberts,Roberts,Right,Ethan Roberts,CHC,2.53,3.98,21.1,101.0,114.0,105.0,0.74,9.28,3.38,9.7,0.84,0.62,0.302,0.349,0.111,0.381,0.424,,,,,,,,,,90.0,96.0,94.0,,,,,0.341,,,,-0.42,,,,,89.8,,,,,,,,,,,0.357,0.357,0.226,,,,,,,42.0,101.0,93.0,0.07,4.65,91.6,0.0,0.0,0.455,136.0,104.0,113.0,0.588,0.24,81.4,,,,0.25,0.423,0.314
62,2024-09-15,746506,Strikeout,strikeout,True,678662,681799,Ezequiel Tovar,Ethan Roberts,0,b76f08f7-9c9f-477d-b857-385dbe4bd13a,681799.0,ethanroberts,Roberts,Right,Ethan Roberts,CHC,2.53,3.98,21.1,101.0,114.0,105.0,0.74,9.28,3.38,9.7,0.84,0.62,0.302,0.349,0.111,0.381,0.424,,,,,,,,,,90.0,96.0,94.0,,,,,0.341,,,,-0.42,,,,,89.8,,,,,,,,,,,0.357,0.357,0.226,,,,,,,42.0,101.0,93.0,0.07,4.65,91.6,0.0,0.0,0.455,136.0,104.0,113.0,0.588,0.24,81.4,,,,0.25,0.423,0.314
63,2024-09-15,746506,Single,single,False,643565,683409,Mike Tauchman,Angel Chivilli,0,af188831-f4de-4b6d-a892-d528c0ed3ffc,683409.0,angelchivilli,Chivilli,Right,Angel Chivilli,COL,3.55,4.76,25.1,101.0,86.0,99.0,0.629,7.46,1.42,8.88,2.13,1.64,0.247,0.506,0.143,0.364,0.378,91.0,106.0,106.0,,,,77.0,99.0,90.0,,,,,,,0.435,,,,0.403,,,1.92,,-1.0,,,87.5,95.9,,0.209,0.395,0.129,,,,,,,,,,0.267,0.489,0.525,,,,,,,,,,104.0,100.0,110.0,0.162,-3.63,87.2,0.4,1.0,0.444,,,
64,2024-09-15,746506,Single,single,False,664023,683409,Ian Happ,Angel Chivilli,1,59286b9c-2b6c-4dec-8915-7df6248af233,683409.0,angelchivilli,Chivilli,Right,Angel Chivilli,COL,3.55,4.76,25.1,101.0,86.0,99.0,0.629,7.46,1.42,8.88,2.13,1.64,0.247,0.506,0.143,0.364,0.378,91.0,106.0,106.0,,,,77.0,99.0,90.0,,,,,,,0.435,,,,0.403,,,1.92,,-1.0,,,87.5,95.9,,0.209,0.395,0.129,,,,,,,,,,0.267,0.489,0.525,,,,,,,,,,104.0,100.0,110.0,0.162,-3.63,87.2,0.4,1.0,0.444,,,
65,2024-09-15,746506,Strikeout,strikeout,True,621020,683409,Dansby Swanson,Angel Chivilli,0,01f27c4f-a9d4-4cd5-872e-abcf634ea5c7,683409.0,angelchivilli,Chivilli,Right,Angel Chivilli,COL,3.55,4.76,25.1,101.0,86.0,99.0,0.629,7.46,1.42,8.88,2.13,1.64,0.247,0.506,0.143,0.364,0.378,91.0,106.0,106.0,,,,77.0,99.0,90.0,,,,,,,0.435,,,,0.403,,,1.92,,-1.0,,,87.5,95.9,,0.209,0.395,0.129,,,,,,,,,,0.267,0.489,0.525,,,,,,,,,,104.0,100.0,110.0,0.162,-3.63,87.2,0.4,1.0,0.444,,,
