,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,SI%,FA%,SL%,KC%,CH%,wFA/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vCH,vSI,vSL,vKC,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU
0,2024-07-12,746450,Groundout,field_out,True,660271,669373,Shohei Ohtani,Tarik Skubal,0,4e546016-c3e2-46c8-92b9-94f05ea7ffeb,669373.0,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.41,2.7,116.0,104.0,104.0,108.0,0.706,10.86,1.63,6.28,0.78,1.37,0.278,0.396,0.17,0.264,0.484,98.0,105.0,117.0,112.0,103.0,103.0,97.0,107.0,106.0,110.0,102.0,105.0,99.0,90.0,100.0,0.21,0.317,0.154,0.047,0.272,1.19,1.96,1.72,2.55,0.42,96.8,86.0,96.7,88.7,78.6,0.217,0.37,0.468,0.195,0.333,0.264,0.17,0.27,0.171,0.16,0.26,0.386,0.143,0.143,0.214,,,,,,,,,,,,,,,
1,2024-07-12,746450,Strikeout,strikeout,True,669257,669373,Will Smith,Tarik Skubal,0,f2d10d03-e64a-4f2a-a8f4-c9a5904ed3de,669373.0,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.41,2.7,116.0,104.0,104.0,108.0,0.706,10.86,1.63,6.28,0.78,1.37,0.278,0.396,0.17,0.264,0.484,98.0,105.0,117.0,112.0,103.0,103.0,97.0,107.0,106.0,110.0,102.0,105.0,99.0,90.0,100.0,0.21,0.317,0.154,0.047,0.272,1.19,1.96,1.72,2.55,0.42,96.8,86.0,96.7,88.7,78.6,0.217,0.37,0.468,0.195,0.333,0.264,0.17,0.27,0.171,0.16,0.26,0.386,0.143,0.143,0.214,,,,,,,,,,,,,,,
2,2024-07-12,746450,Groundout,field_out,True,518692,669373,Freddie Freeman,Tarik Skubal,0,4b1eac65-9977-47aa-8912-53c513a1f983,669373.0,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.41,2.7,116.0,104.0,104.0,108.0,0.706,10.86,1.63,6.28,0.78,1.37,0.278,0.396,0.17,0.264,0.484,98.0,105.0,117.0,112.0,103.0,103.0,97.0,107.0,106.0,110.0,102.0,105.0,99.0,90.0,100.0,0.21,0.317,0.154,0.047,0.272,1.19,1.96,1.72,2.55,0.42,96.8,86.0,96.7,88.7,78.6,0.217,0.37,0.468,0.195,0.333,0.264,0.17,0.27,0.171,0.16,0.26,0.386,0.143,0.143,0.214,,,,,,,,,,,,,,,
3,2024-07-12,746450,Pop Out,field_out,True,628451,572020,Andy Ibáñez,James Paxton,0,9c9c999d-5374-4e1d-905b-81e169f9c7b3,572020.0,jamespaxton,Paxton,Left,James Paxton,LAD,4.38,4.83,84.1,97.0,73.0,90.0,0.821,6.08,4.7,8.32,1.07,0.85,0.269,0.322,0.14,0.337,0.417,71.0,97.0,96.0,69.0,98.0,85.0,65.0,98.0,92.0,,,,79.0,96.0,96.0,0.032,0.577,,0.284,0.07,0.34,-4.92,,-0.23,-1.66,93.2,82.6,92.6,,80.8,0.217,0.348,0.31,0.243,0.381,0.138,0.462,0.692,0.095,,,,0.224,0.355,0.358,82.0,95.0,84.0,0.037,-3.42,84.0,0.308,0.769,0.13,,,,,,
4,2024-07-12,746450,Single,single,False,669234,572020,Justyn-Henry Malloy,James Paxton,0,63b59d57-a159-4515-86d6-a34ba39144a6,572020.0,jamespaxton,Paxton,Left,James Paxton,LAD,4.38,4.83,84.1,97.0,73.0,90.0,0.821,6.08,4.7,8.32,1.07,0.85,0.269,0.322,0.14,0.337,0.417,71.0,97.0,96.0,69.0,98.0,85.0,65.0,98.0,92.0,,,,79.0,96.0,96.0,0.032,0.577,,0.284,0.07,0.34,-4.92,,-0.23,-1.66,93.2,82.6,92.6,,80.8,0.217,0.348,0.31,0.243,0.381,0.138,0.462,0.692,0.095,,,,0.224,0.355,0.358,82.0,95.0,84.0,0.037,-3.42,84.0,0.308,0.769,0.13,,,,,,
5,2024-07-12,746450,Walk,walk,False,663837,572020,Matt Vierling,James Paxton,1,cf0ab8a2-7d77-4438-8518-9607ad14e122,572020.0,jamespaxton,Paxton,Left,James Paxton,LAD,4.38,4.83,84.1,97.0,73.0,90.0,0.821,6.08,4.7,8.32,1.07,0.85,0.269,0.322,0.14,0.337,0.417,71.0,97.0,96.0,69.0,98.0,85.0,65.0,98.0,92.0,,,,79.0,96.0,96.0,0.032,0.577,,0.284,0.07,0.34,-4.92,,-0.23,-1.66,93.2,82.6,92.6,,80.8,0.217,0.348,0.31,0.243,0.381,0.138,0.462,0.692,0.095,,,,0.224,0.355,0.358,82.0,95.0,84.0,0.037,-3.42,84.0,0.308,0.769,0.13,,,,,,
6,2024-07-12,746450,Double,double,False,682985,572020,Riley Greene,James Paxton,1,7fbe8493-67eb-4599-aa02-14fc753468d0,572020.0,jamespaxton,Paxton,Left,James Paxton,LAD,4.38,4.83,84.1,97.0,73.0,90.0,0.821,6.08,4.7,8.32,1.07,0.85,0.269,0.322,0.14,0.337,0.417,71.0,97.0,96.0,69.0,98.0,85.0,65.0,98.0,92.0,,,,79.0,96.0,96.0,0.032,0.577,,0.284,0.07,0.34,-4.92,,-0.23,-1.66,93.2,82.6,92.6,,80.8,0.217,0.348,0.31,0.243,0.381,0.138,0.462,0.692,0.095,,,,0.224,0.355,0.358,82.0,95.0,84.0,0.037,-3.42,84.0,0.308,0.769,0.13,,,,,,
7,2024-07-12,746450,Walk,walk,False,592192,572020,Mark Canha,James Paxton,0,3e64f78f-5f00-402e-92c3-3cd2b1f1feec,572020.0,jamespaxton,Paxton,Left,James Paxton,LAD,4.38,4.83,84.1,97.0,73.0,90.0,0.821,6.08,4.7,8.32,1.07,0.85,0.269,0.322,0.14,0.337,0.417,71.0,97.0,96.0,69.0,98.0,85.0,65.0,98.0,92.0,,,,79.0,96.0,96.0,0.032,0.577,,0.284,0.07,0.34,-4.92,,-0.23,-1.66,93.2,82.6,92.6,,80.8,0.217,0.348,0.31,0.243,0.381,0.138,0.462,0.692,0.095,,,,0.224,0.355,0.358,82.0,95.0,84.0,0.037,-3.42,84.0,0.308,0.769,0.13,,,,,,
8,2024-07-12,746450,Flyout,field_out,True,668670,572020,Jake Rogers,James Paxton,0,5cefddf9-3072-4841-ba88-e06b3f871aa0,572020.0,jamespaxton,Paxton,Left,James Paxton,LAD,4.38,4.83,84.1,97.0,73.0,90.0,0.821,6.08,4.7,8.32,1.07,0.85,0.269,0.322,0.14,0.337,0.417,71.0,97.0,96.0,69.0,98.0,85.0,65.0,98.0,92.0,,,,79.0,96.0,96.0,0.032,0.577,,0.284,0.07,0.34,-4.92,,-0.23,-1.66,93.2,82.6,92.6,,80.8,0.217,0.348,0.31,0.243,0.381,0.138,0.462,0.692,0.095,,,,0.224,0.355,0.358,82.0,95.0,84.0,0.037,-3.42,84.0,0.308,0.769,0.13,,,,,,
9,2024-07-12,746450,Strikeout,strikeout,True,595879,572020,Javier Báez,James Paxton,0,d7cb2ad5-b336-4df9-95f3-a17bb98e0c84,572020.0,jamespaxton,Paxton,Left,James Paxton,LAD,4.38,4.83,84.1,97.0,73.0,90.0,0.821,6.08,4.7,8.32,1.07,0.85,0.269,0.322,0.14,0.337,0.417,71.0,97.0,96.0,69.0,98.0,85.0,65.0,98.0,92.0,,,,79.0,96.0,96.0,0.032,0.577,,0.284,0.07,0.34,-4.92,,-0.23,-1.66,93.2,82.6,92.6,,80.8,0.217,0.348,0.31,0.243,0.381,0.138,0.462,0.692,0.095,,,,0.224,0.355,0.358,82.0,95.0,84.0,0.037,-3.42,84.0,0.308,0.769,0.13,,,,,,
