,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
0,2024-08-10,746112,Groundout,field_out,True,643396,689981,Isiah Kiner-Falefa,River Ryan,0,49f35c70-6fc4-4a27-a8ef-0da0af5b9aec,689981.0,riverryan,Ryan,Right,River Ryan,LAD,1.33,3.97,20.1,95.0,115.0,96.0,0.768,7.97,3.98,6.64,0.44,1.29,0.296,0.389,0.241,0.259,0.427,97.0,86.0,84.0,124.0,98.0,104.0,110.0,89.0,86.0,92.0,106.0,100.0,139.0,98.0,107.0,105.0,109.0,113.0,0.103,0.395,0.031,0.227,0.158,0.086,-0.16,5.77,6.79,1.0,0.91,0.37,96.3,94.0,89.6,94.7,89.9,83.2,0.227,0.409,0.118,0.208,0.25,0.306,0.25,0.25,0.375,0.125,0.125,0.2,0.25,0.25,0.3,,,,,,,,,,,,
1,2024-08-10,746112,Strikeout,strikeout,True,668804,689981,Bryan Reynolds,River Ryan,0,583f7e99-c167-49cd-a612-f21fe1ff7993,689981.0,riverryan,Ryan,Right,River Ryan,LAD,1.33,3.97,20.1,95.0,115.0,96.0,0.768,7.97,3.98,6.64,0.44,1.29,0.296,0.389,0.241,0.259,0.427,97.0,86.0,84.0,124.0,98.0,104.0,110.0,89.0,86.0,92.0,106.0,100.0,139.0,98.0,107.0,105.0,109.0,113.0,0.103,0.395,0.031,0.227,0.158,0.086,-0.16,5.77,6.79,1.0,0.91,0.37,96.3,94.0,89.6,94.7,89.9,83.2,0.227,0.409,0.118,0.208,0.25,0.306,0.25,0.25,0.375,0.125,0.125,0.2,0.25,0.25,0.3,,,,,,,,,,,,
2,2024-08-10,746112,Strikeout,strikeout,True,665833,689981,Oneil Cruz,River Ryan,0,339152c2-4979-4cba-8851-a160c3ff2fb0,689981.0,riverryan,Ryan,Right,River Ryan,LAD,1.33,3.97,20.1,95.0,115.0,96.0,0.768,7.97,3.98,6.64,0.44,1.29,0.296,0.389,0.241,0.259,0.427,97.0,86.0,84.0,124.0,98.0,104.0,110.0,89.0,86.0,92.0,106.0,100.0,139.0,98.0,107.0,105.0,109.0,113.0,0.103,0.395,0.031,0.227,0.158,0.086,-0.16,5.77,6.79,1.0,0.91,0.37,96.3,94.0,89.6,94.7,89.9,83.2,0.227,0.409,0.118,0.208,0.25,0.306,0.25,0.25,0.375,0.125,0.125,0.2,0.25,0.25,0.3,,,,,,,,,,,,
3,2024-08-10,746112,Groundout,field_out,True,660271,694973,Shohei Ohtani,Paul Skenes,0,6fa1dece-7f40-40ed-b729-191084b41327,694973.0,paulskenes,Skenes,Right,Paul Skenes,PIT,2.23,2.66,109.0,103.0,104.0,104.0,0.74,11.23,2.15,6.44,0.83,1.51,0.209,0.5,0.205,0.228,0.434,85.0,96.0,96.0,106.0,102.0,105.0,101.0,107.0,104.0,81.0,91.0,82.0,133.0,103.0,117.0,,,,0.294,0.392,,0.158,0.121,0.035,0.69,,3.41,0.64,-0.07,-0.02,98.8,,87.4,93.9,85.3,82.9,0.221,0.364,0.251,0.153,0.322,0.268,0.25,0.375,0.333,0.187,0.244,0.299,0.154,0.231,0.379,,,,,,,,,,,,
4,2024-08-10,746112,Double,double,False,606192,694973,Teoscar Hernández,Paul Skenes,0,1ecb873c-cf03-4097-9f41-d8b640de57b7,694973.0,paulskenes,Skenes,Right,Paul Skenes,PIT,2.23,2.66,109.0,103.0,104.0,104.0,0.74,11.23,2.15,6.44,0.83,1.51,0.209,0.5,0.205,0.228,0.434,85.0,96.0,96.0,106.0,102.0,105.0,101.0,107.0,104.0,81.0,91.0,82.0,133.0,103.0,117.0,,,,0.294,0.392,,0.158,0.121,0.035,0.69,,3.41,0.64,-0.07,-0.02,98.8,,87.4,93.9,85.3,82.9,0.221,0.364,0.251,0.153,0.322,0.268,0.25,0.375,0.333,0.187,0.244,0.299,0.154,0.231,0.379,,,,,,,,,,,,
5,2024-08-10,746112,Lineout,field_out,True,518692,694973,Freddie Freeman,Paul Skenes,0,3dad6ca0-dfc9-405e-b5f2-ca91631d62ae,694973.0,paulskenes,Skenes,Right,Paul Skenes,PIT,2.23,2.66,109.0,103.0,104.0,104.0,0.74,11.23,2.15,6.44,0.83,1.51,0.209,0.5,0.205,0.228,0.434,85.0,96.0,96.0,106.0,102.0,105.0,101.0,107.0,104.0,81.0,91.0,82.0,133.0,103.0,117.0,,,,0.294,0.392,,0.158,0.121,0.035,0.69,,3.41,0.64,-0.07,-0.02,98.8,,87.4,93.9,85.3,82.9,0.221,0.364,0.251,0.153,0.322,0.268,0.25,0.375,0.333,0.187,0.244,0.299,0.154,0.231,0.379,,,,,,,,,,,,
6,2024-08-10,746112,Double,double,False,666158,694973,Gavin Lux,Paul Skenes,1,297089d5-6888-4e11-a92e-c039939bc727,694973.0,paulskenes,Skenes,Right,Paul Skenes,PIT,2.23,2.66,109.0,103.0,104.0,104.0,0.74,11.23,2.15,6.44,0.83,1.51,0.209,0.5,0.205,0.228,0.434,85.0,96.0,96.0,106.0,102.0,105.0,101.0,107.0,104.0,81.0,91.0,82.0,133.0,103.0,117.0,,,,0.294,0.392,,0.158,0.121,0.035,0.69,,3.41,0.64,-0.07,-0.02,98.8,,87.4,93.9,85.3,82.9,0.221,0.364,0.251,0.153,0.322,0.268,0.25,0.375,0.333,0.187,0.244,0.299,0.154,0.231,0.379,,,,,,,,,,,,
7,2024-08-10,746112,Strikeout,strikeout,True,518792,694973,Jason Heyward,Paul Skenes,0,70dda778-c5f7-44e5-8238-a525da2f79b4,694973.0,paulskenes,Skenes,Right,Paul Skenes,PIT,2.23,2.66,109.0,103.0,104.0,104.0,0.74,11.23,2.15,6.44,0.83,1.51,0.209,0.5,0.205,0.228,0.434,85.0,96.0,96.0,106.0,102.0,105.0,101.0,107.0,104.0,81.0,91.0,82.0,133.0,103.0,117.0,,,,0.294,0.392,,0.158,0.121,0.035,0.69,,3.41,0.64,-0.07,-0.02,98.8,,87.4,93.9,85.3,82.9,0.221,0.364,0.251,0.153,0.322,0.268,0.25,0.375,0.333,0.187,0.244,0.299,0.154,0.231,0.379,,,,,,,,,,,,
8,2024-08-10,746112,Single,single,False,663698,689981,Joey Bart,River Ryan,0,2fd1e756-7d60-4fa3-81cd-3f539e5ffdf4,689981.0,riverryan,Ryan,Right,River Ryan,LAD,1.33,3.97,20.1,95.0,115.0,96.0,0.768,7.97,3.98,6.64,0.44,1.29,0.296,0.389,0.241,0.259,0.427,97.0,86.0,84.0,124.0,98.0,104.0,110.0,89.0,86.0,92.0,106.0,100.0,139.0,98.0,107.0,105.0,109.0,113.0,0.103,0.395,0.031,0.227,0.158,0.086,-0.16,5.77,6.79,1.0,0.91,0.37,96.3,94.0,89.6,94.7,89.9,83.2,0.227,0.409,0.118,0.208,0.25,0.306,0.25,0.25,0.375,0.125,0.125,0.2,0.25,0.25,0.3,,,,,,,,,,,,
9,2024-08-10,746112,Double Play,double_play,True,642133,689981,Rowdy Tellez,River Ryan,1,d3a8a97f-d3a9-43b7-97b0-35e2272e662b,689981.0,riverryan,Ryan,Right,River Ryan,LAD,1.33,3.97,20.1,95.0,115.0,96.0,0.768,7.97,3.98,6.64,0.44,1.29,0.296,0.389,0.241,0.259,0.427,97.0,86.0,84.0,124.0,98.0,104.0,110.0,89.0,86.0,92.0,106.0,100.0,139.0,98.0,107.0,105.0,109.0,113.0,0.103,0.395,0.031,0.227,0.158,0.086,-0.16,5.77,6.79,1.0,0.91,0.37,96.3,94.0,89.6,94.7,89.9,83.2,0.227,0.409,0.118,0.208,0.25,0.306,0.25,0.25,0.375,0.125,0.125,0.2,0.25,0.25,0.3,,,,,,,,,,,,
