,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,wFC/C,wSI/C,vFC,vSI,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
0,2024-05-18,746389,Strikeout,strikeout,True,668930,434378,Brice Turang,Justin Verlander,0,df0e47f3-8700-4930-95b7-15ff71ffc95d,434378.0,justinverlander,Verlander,Right,Justin Verlander,HOU,3.95,3.85,57.0,102.0,120.0,104.0,0.806,8.05,2.68,8.21,1.74,0.44,0.299,0.335,0.222,0.275,0.455,112.0,93.0,96.0,112.0,104.0,100.0,122.0,100.0,104.0,130.0,108.0,114.0,0.495,0.19,0.225,0.09,0.16,-0.8,-0.77,1.19,93.5,84.2,86.5,77.7,0.243,0.47,0.211,0.239,0.457,0.214,0.294,0.412,0.206,0.15,0.15,0.302,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-05-18,746389,Strikeout,strikeout,True,661388,434378,William Contreras,Justin Verlander,0,891318b6-2578-45cd-ab6e-d68e3ff9564b,434378.0,justinverlander,Verlander,Right,Justin Verlander,HOU,3.95,3.85,57.0,102.0,120.0,104.0,0.806,8.05,2.68,8.21,1.74,0.44,0.299,0.335,0.222,0.275,0.455,112.0,93.0,96.0,112.0,104.0,100.0,122.0,100.0,104.0,130.0,108.0,114.0,0.495,0.19,0.225,0.09,0.16,-0.8,-0.77,1.19,93.5,84.2,86.5,77.7,0.243,0.47,0.211,0.239,0.457,0.214,0.294,0.412,0.206,0.15,0.15,0.302,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-05-18,746389,Flyout,field_out,True,592885,434378,Christian Yelich,Justin Verlander,0,775f7846-6451-4e7e-afb4-4c84f3736f47,434378.0,justinverlander,Verlander,Right,Justin Verlander,HOU,3.95,3.85,57.0,102.0,120.0,104.0,0.806,8.05,2.68,8.21,1.74,0.44,0.299,0.335,0.222,0.275,0.455,112.0,93.0,96.0,112.0,104.0,100.0,122.0,100.0,104.0,130.0,108.0,114.0,0.495,0.19,0.225,0.09,0.16,-0.8,-0.77,1.19,93.5,84.2,86.5,77.7,0.243,0.47,0.211,0.239,0.457,0.214,0.294,0.412,0.206,0.15,0.15,0.302,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-05-18,746389,Strikeout,strikeout,True,514888,669060,Jose Altuve,Bryse Wilson,0,60c5a794-74ac-47ca-8fe9-be24c587e8aa,669060.0,brysewilson,"Wilson, B",Right,Bryse Wilson,MIL,4.12,5.12,83.0,103.0,93.0,98.0,0.817,7.16,3.04,8.35,1.63,0.93,0.269,0.36,0.154,0.387,0.455,56.0,94.0,83.0,107.0,108.0,107.0,88.0,111.0,105.0,,,,0.145,,0.154,0.046,-2.82,,-1.78,-1.63,93.6,88.1,,80.3,0.268,0.482,0.24,,,,0.261,0.587,0.245,0.25,0.375,0.15,90.0,106.0,96.0,97.0,97.0,93.0,0.317,0.338,0.87,1.33,88.9,93.2,0.228,0.36,0.159,0.234,0.372,0.248,,,,,,
4,2024-05-18,746389,Strikeout,strikeout,True,663656,669060,Kyle Tucker,Bryse Wilson,0,f0af1d04-8142-4a48-9b13-c10a9eb403f7,669060.0,brysewilson,"Wilson, B",Right,Bryse Wilson,MIL,4.12,5.12,83.0,103.0,93.0,98.0,0.817,7.16,3.04,8.35,1.63,0.93,0.269,0.36,0.154,0.387,0.455,56.0,94.0,83.0,107.0,108.0,107.0,88.0,111.0,105.0,,,,0.145,,0.154,0.046,-2.82,,-1.78,-1.63,93.6,88.1,,80.3,0.268,0.482,0.24,,,,0.261,0.587,0.245,0.25,0.375,0.15,90.0,106.0,96.0,97.0,97.0,93.0,0.317,0.338,0.87,1.33,88.9,93.2,0.228,0.36,0.159,0.234,0.372,0.248,,,,,,
5,2024-05-18,746389,Groundout,field_out,True,670541,669060,Yordan Alvarez,Bryse Wilson,0,6d161d73-1ffc-4ee3-892b-a2a4dcd5022a,669060.0,brysewilson,"Wilson, B",Right,Bryse Wilson,MIL,4.12,5.12,83.0,103.0,93.0,98.0,0.817,7.16,3.04,8.35,1.63,0.93,0.269,0.36,0.154,0.387,0.455,56.0,94.0,83.0,107.0,108.0,107.0,88.0,111.0,105.0,,,,0.145,,0.154,0.046,-2.82,,-1.78,-1.63,93.6,88.1,,80.3,0.268,0.482,0.24,,,,0.261,0.587,0.245,0.25,0.375,0.15,90.0,106.0,96.0,97.0,97.0,93.0,0.317,0.338,0.87,1.33,88.9,93.2,0.228,0.36,0.159,0.234,0.372,0.248,,,,,,
6,2024-05-18,746389,Flyout,field_out,True,642715,434378,Willy Adames,Justin Verlander,0,8fc7e296-d27b-49d2-bc9b-21902eb23411,434378.0,justinverlander,Verlander,Right,Justin Verlander,HOU,3.95,3.85,57.0,102.0,120.0,104.0,0.806,8.05,2.68,8.21,1.74,0.44,0.299,0.335,0.222,0.275,0.455,112.0,93.0,96.0,112.0,104.0,100.0,122.0,100.0,104.0,130.0,108.0,114.0,0.495,0.19,0.225,0.09,0.16,-0.8,-0.77,1.19,93.5,84.2,86.5,77.7,0.243,0.47,0.211,0.239,0.457,0.214,0.294,0.412,0.206,0.15,0.15,0.302,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-05-18,746389,Pop Out,field_out,True,641343,434378,Jake Bauers,Justin Verlander,0,f1798f14-0188-44a6-bde7-951c4ed2d7d0,434378.0,justinverlander,Verlander,Right,Justin Verlander,HOU,3.95,3.85,57.0,102.0,120.0,104.0,0.806,8.05,2.68,8.21,1.74,0.44,0.299,0.335,0.222,0.275,0.455,112.0,93.0,96.0,112.0,104.0,100.0,122.0,100.0,104.0,130.0,108.0,114.0,0.495,0.19,0.225,0.09,0.16,-0.8,-0.77,1.19,93.5,84.2,86.5,77.7,0.243,0.47,0.211,0.239,0.457,0.214,0.294,0.412,0.206,0.15,0.15,0.302,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-05-18,746389,Flyout,field_out,True,687401,434378,Joey Ortiz,Justin Verlander,0,9dbc5655-f858-4c81-9fa4-400a724b6ca1,434378.0,justinverlander,Verlander,Right,Justin Verlander,HOU,3.95,3.85,57.0,102.0,120.0,104.0,0.806,8.05,2.68,8.21,1.74,0.44,0.299,0.335,0.222,0.275,0.455,112.0,93.0,96.0,112.0,104.0,100.0,122.0,100.0,104.0,130.0,108.0,114.0,0.495,0.19,0.225,0.09,0.16,-0.8,-0.77,1.19,93.5,84.2,86.5,77.7,0.243,0.47,0.211,0.239,0.457,0.214,0.294,0.412,0.206,0.15,0.15,0.302,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-05-18,746389,Groundout,field_out,True,608324,669060,Alex Bregman,Bryse Wilson,0,dda921e9-b655-4467-845b-310e4e91af95,669060.0,brysewilson,"Wilson, B",Right,Bryse Wilson,MIL,4.12,5.12,83.0,103.0,93.0,98.0,0.817,7.16,3.04,8.35,1.63,0.93,0.269,0.36,0.154,0.387,0.455,56.0,94.0,83.0,107.0,108.0,107.0,88.0,111.0,105.0,,,,0.145,,0.154,0.046,-2.82,,-1.78,-1.63,93.6,88.1,,80.3,0.268,0.482,0.24,,,,0.261,0.587,0.245,0.25,0.375,0.15,90.0,106.0,96.0,97.0,97.0,93.0,0.317,0.338,0.87,1.33,88.9,93.2,0.228,0.36,0.159,0.234,0.372,0.248,,,,,,
