,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,ST_ba,ST_slg,ST_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CU%,wFC/C,wCU/C,vFC,vCU,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,wFS/C,wKC/C,vFS,vKC
18,2024-09-27,744797,Walk,walk,False,686611,624133,Dylan Crews,Ranger Suárez,0,544f8ac9-d808-4910-8422-439f804b73ca,624133.0,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,3.46,3.59,150.2,103.0,82.0,100.0,0.799,8.66,2.45,8.36,0.84,2.01,0.194,0.461,0.157,0.276,0.395,73.0,100.0,98.0,68.0,101.0,91.0,87.0,106.0,104.0,22.0,85.0,77.0,0.315,0.195,0.001,0.163,0.67,0.84,-4.62,-0.63,91.8,80.0,90.8,81.3,0.224,0.327,0.18,0.229,0.323,0.35,,,,,,,0.27,0.381,0.098,84.0,107.0,108.0,101.0,98.0,93.0,0.121,0.205,-1.68,1.02,86.5,74.4,0.189,0.342,0.335,0.302,0.642,0.162,,,,,,,,,,,,
19,2024-09-27,744797,Single,single,False,695578,624133,James Wood,Ranger Suárez,1,c3820e62-f2a7-468e-9680-40b9a4d7d85a,624133.0,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,3.46,3.59,150.2,103.0,82.0,100.0,0.799,8.66,2.45,8.36,0.84,2.01,0.194,0.461,0.157,0.276,0.395,73.0,100.0,98.0,68.0,101.0,91.0,87.0,106.0,104.0,22.0,85.0,77.0,0.315,0.195,0.001,0.163,0.67,0.84,-4.62,-0.63,91.8,80.0,90.8,81.3,0.224,0.327,0.18,0.229,0.323,0.35,,,,,,,0.27,0.381,0.098,84.0,107.0,108.0,101.0,98.0,93.0,0.121,0.205,-1.68,1.02,86.5,74.4,0.189,0.342,0.335,0.302,0.642,0.162,,,,,,,,,,,,
20,2024-09-27,744797,Sac Bunt,sac_bunt,True,660766,624133,Juan Yepez,Ranger Suárez,1,3754c832-f865-473d-a4ed-1ca7e5d1afc9,624133.0,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,3.46,3.59,150.2,103.0,82.0,100.0,0.799,8.66,2.45,8.36,0.84,2.01,0.194,0.461,0.157,0.276,0.395,73.0,100.0,98.0,68.0,101.0,91.0,87.0,106.0,104.0,22.0,85.0,77.0,0.315,0.195,0.001,0.163,0.67,0.84,-4.62,-0.63,91.8,80.0,90.8,81.3,0.224,0.327,0.18,0.229,0.323,0.35,,,,,,,0.27,0.381,0.098,84.0,107.0,108.0,101.0,98.0,93.0,0.121,0.205,-1.68,1.02,86.5,74.4,0.189,0.342,0.335,0.302,0.642,0.162,,,,,,,,,,,,
21,2024-09-27,744797,Single,single,False,660688,624133,Keibert Ruiz,Ranger Suárez,1,e96d4cf1-862b-4532-ae34-21de29bf157c,624133.0,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,3.46,3.59,150.2,103.0,82.0,100.0,0.799,8.66,2.45,8.36,0.84,2.01,0.194,0.461,0.157,0.276,0.395,73.0,100.0,98.0,68.0,101.0,91.0,87.0,106.0,104.0,22.0,85.0,77.0,0.315,0.195,0.001,0.163,0.67,0.84,-4.62,-0.63,91.8,80.0,90.8,81.3,0.224,0.327,0.18,0.229,0.323,0.35,,,,,,,0.27,0.381,0.098,84.0,107.0,108.0,101.0,98.0,93.0,0.121,0.205,-1.68,1.02,86.5,74.4,0.189,0.342,0.335,0.302,0.642,0.162,,,,,,,,,,,,
22,2024-09-27,744797,Forceout,force_out,True,656448,624133,Stone Garrett,Ranger Suárez,1,b71c8685-e18c-48c1-8485-2755f62b64e7,624133.0,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,3.46,3.59,150.2,103.0,82.0,100.0,0.799,8.66,2.45,8.36,0.84,2.01,0.194,0.461,0.157,0.276,0.395,73.0,100.0,98.0,68.0,101.0,91.0,87.0,106.0,104.0,22.0,85.0,77.0,0.315,0.195,0.001,0.163,0.67,0.84,-4.62,-0.63,91.8,80.0,90.8,81.3,0.224,0.327,0.18,0.229,0.323,0.35,,,,,,,0.27,0.381,0.098,84.0,107.0,108.0,101.0,98.0,93.0,0.121,0.205,-1.68,1.02,86.5,74.4,0.189,0.342,0.335,0.302,0.642,0.162,,,,,,,,,,,,
23,2024-09-27,744797,Strikeout,strikeout,True,671277,624133,Luis García Jr.,Ranger Suárez,0,9e6897db-2110-415d-8226-9ebba3553a85,624133.0,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,3.46,3.59,150.2,103.0,82.0,100.0,0.799,8.66,2.45,8.36,0.84,2.01,0.194,0.461,0.157,0.276,0.395,73.0,100.0,98.0,68.0,101.0,91.0,87.0,106.0,104.0,22.0,85.0,77.0,0.315,0.195,0.001,0.163,0.67,0.84,-4.62,-0.63,91.8,80.0,90.8,81.3,0.224,0.327,0.18,0.229,0.323,0.35,,,,,,,0.27,0.381,0.098,84.0,107.0,108.0,101.0,98.0,93.0,0.121,0.205,-1.68,1.02,86.5,74.4,0.189,0.342,0.335,0.302,0.642,0.162,,,,,,,,,,,,
24,2024-09-27,744797,Single,single,False,669720,592866,Austin Hays,Trevor Williams,1,307ba41f-cb25-4a6c-959e-1d618792bf30,592866.0,trevorwilliams,Williams,Right,Trevor Williams,WSN,2.03,3.13,66.2,104.0,81.0,94.0,0.796,7.97,2.43,6.89,0.41,1.17,0.279,0.41,0.148,0.311,0.382,70.0,102.0,91.0,63.0,110.0,96.0,90.0,101.0,94.0,100.0,99.0,93.0,0.121,0.364,0.347,0.168,2.46,1.1,0.78,-0.36,88.9,82.8,87.7,78.7,0.196,0.271,0.178,0.25,0.341,0.213,0.135,0.162,0.459,0.296,0.407,0.059,0.261,0.391,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2024-09-27,744797,Walk,walk,False,656941,592866,Kyle Schwarber,Trevor Williams,0,579d7918-a725-4e83-9af6-02a9fc599053,592866.0,trevorwilliams,Williams,Right,Trevor Williams,WSN,2.03,3.13,66.2,104.0,81.0,94.0,0.796,7.97,2.43,6.89,0.41,1.17,0.279,0.41,0.148,0.311,0.382,70.0,102.0,91.0,63.0,110.0,96.0,90.0,101.0,94.0,100.0,99.0,93.0,0.121,0.364,0.347,0.168,2.46,1.1,0.78,-0.36,88.9,82.8,87.7,78.7,0.196,0.271,0.178,0.25,0.341,0.213,0.135,0.162,0.459,0.296,0.407,0.059,0.261,0.391,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2024-09-27,744797,Forceout,force_out,True,607208,592866,Trea Turner,Trevor Williams,1,3e0d7152-92b1-41d4-8c62-937470697914,592866.0,trevorwilliams,Williams,Right,Trevor Williams,WSN,2.03,3.13,66.2,104.0,81.0,94.0,0.796,7.97,2.43,6.89,0.41,1.17,0.279,0.41,0.148,0.311,0.382,70.0,102.0,91.0,63.0,110.0,96.0,90.0,101.0,94.0,100.0,99.0,93.0,0.121,0.364,0.347,0.168,2.46,1.1,0.78,-0.36,88.9,82.8,87.7,78.7,0.196,0.271,0.178,0.25,0.341,0.213,0.135,0.162,0.459,0.296,0.407,0.059,0.261,0.391,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2024-09-27,744797,Strikeout,strikeout,True,547180,592866,Bryce Harper,Trevor Williams,0,de154c58-83ee-46ae-980e-d049a9abbd2a,592866.0,trevorwilliams,Williams,Right,Trevor Williams,WSN,2.03,3.13,66.2,104.0,81.0,94.0,0.796,7.97,2.43,6.89,0.41,1.17,0.279,0.41,0.148,0.311,0.382,70.0,102.0,91.0,63.0,110.0,96.0,90.0,101.0,94.0,100.0,99.0,93.0,0.121,0.364,0.347,0.168,2.46,1.1,0.78,-0.36,88.9,82.8,87.7,78.7,0.196,0.271,0.178,0.25,0.341,0.213,0.135,0.162,0.459,0.296,0.407,0.059,0.261,0.391,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
