,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,vSC (sc),SC%,wSC/C
0,2024-08-04,745468,Single,single,False,682998,694973,Corbin Carroll,Paul Skenes,0,15d8836c-e6e1-4177-9918-2551e8645561,694973.0,paulskenes,Skenes,Right,Paul Skenes,PIT,2.23,2.66,109.0,103.0,104.0,104.0,0.74,11.23,2.15,6.44,0.83,1.51,0.209,0.5,0.205,0.228,0.434,85.0,96.0,96.0,106.0,102.0,105.0,101.0,107.0,104.0,81.0,91.0,82.0,133.0,103.0,117.0,0.294,0.392,0.158,0.121,0.035,0.69,3.41,0.64,-0.07,-0.02,98.8,87.4,93.9,85.3,82.9,0.221,0.364,0.251,0.187,0.244,0.299,0.153,0.322,0.268,0.25,0.375,0.333,0.154,0.231,0.379,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-08-04,745468,Grounded Into DP,grounded_into_double_play,True,606466,694973,Ketel Marte,Paul Skenes,1,d8f39635-9077-469d-b21f-2865ae44003f,694973.0,paulskenes,Skenes,Right,Paul Skenes,PIT,2.23,2.66,109.0,103.0,104.0,104.0,0.74,11.23,2.15,6.44,0.83,1.51,0.209,0.5,0.205,0.228,0.434,85.0,96.0,96.0,106.0,102.0,105.0,101.0,107.0,104.0,81.0,91.0,82.0,133.0,103.0,117.0,0.294,0.392,0.158,0.121,0.035,0.69,3.41,0.64,-0.07,-0.02,98.8,87.4,93.9,85.3,82.9,0.221,0.364,0.251,0.187,0.244,0.299,0.153,0.322,0.268,0.25,0.375,0.333,0.154,0.231,0.379,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-08-04,745468,Flyout,field_out,True,592626,694973,Joc Pederson,Paul Skenes,0,8416b0b7-9f16-4c72-b165-86e0b83361b8,694973.0,paulskenes,Skenes,Right,Paul Skenes,PIT,2.23,2.66,109.0,103.0,104.0,104.0,0.74,11.23,2.15,6.44,0.83,1.51,0.209,0.5,0.205,0.228,0.434,85.0,96.0,96.0,106.0,102.0,105.0,101.0,107.0,104.0,81.0,91.0,82.0,133.0,103.0,117.0,0.294,0.392,0.158,0.121,0.035,0.69,3.41,0.64,-0.07,-0.02,98.8,87.4,93.9,85.3,82.9,0.221,0.364,0.251,0.187,0.244,0.299,0.153,0.322,0.268,0.25,0.375,0.333,0.154,0.231,0.379,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-08-04,745468,Double,double,False,643396,669194,Isiah Kiner-Falefa,Ryne Nelson,0,830275ef-28e7-44c3-aaeb-8c2e33181f8c,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.22,4.23,136.1,105.0,99.0,104.0,0.842,7.39,1.98,9.51,0.99,1.13,0.278,0.386,0.144,0.36,0.467,109.0,99.0,108.0,89.0,95.0,94.0,104.0,107.0,106.0,,,,111.0,112.0,110.0,,0.553,0.101,0.063,0.1,0.65,,-0.98,1.49,-2.62,95.1,83.0,,84.3,78.0,0.254,0.42,0.195,,,,0.245,0.367,0.153,0.161,0.226,0.14,0.322,0.627,0.195,77.0,105.0,95.0,0.184,-0.58,91.3,0.307,0.491,0.143,0.4,0.733,0.167,,,,,,,,,,,,
4,2024-08-04,745468,Strikeout,strikeout,True,668804,669194,Bryan Reynolds,Ryne Nelson,0,7ba29191-90cf-4d16-bdd1-da9ac59e5de8,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.22,4.23,136.1,105.0,99.0,104.0,0.842,7.39,1.98,9.51,0.99,1.13,0.278,0.386,0.144,0.36,0.467,109.0,99.0,108.0,89.0,95.0,94.0,104.0,107.0,106.0,,,,111.0,112.0,110.0,,0.553,0.101,0.063,0.1,0.65,,-0.98,1.49,-2.62,95.1,83.0,,84.3,78.0,0.254,0.42,0.195,,,,0.245,0.367,0.153,0.161,0.226,0.14,0.322,0.627,0.195,77.0,105.0,95.0,0.184,-0.58,91.3,0.307,0.491,0.143,0.4,0.733,0.167,,,,,,,,,,,,
5,2024-08-04,745468,Lineout,field_out,True,665833,669194,Oneil Cruz,Ryne Nelson,0,a069e5d9-5404-4912-b2fb-67d879e90e04,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.22,4.23,136.1,105.0,99.0,104.0,0.842,7.39,1.98,9.51,0.99,1.13,0.278,0.386,0.144,0.36,0.467,109.0,99.0,108.0,89.0,95.0,94.0,104.0,107.0,106.0,,,,111.0,112.0,110.0,,0.553,0.101,0.063,0.1,0.65,,-0.98,1.49,-2.62,95.1,83.0,,84.3,78.0,0.254,0.42,0.195,,,,0.245,0.367,0.153,0.161,0.226,0.14,0.322,0.627,0.195,77.0,105.0,95.0,0.184,-0.58,91.3,0.307,0.491,0.143,0.4,0.733,0.167,,,,,,,,,,,,
6,2024-08-04,745468,Single,single,False,650559,669194,Bryan De La Cruz,Ryne Nelson,1,3e514a97-131c-4ca1-81ad-2459bc09565e,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.22,4.23,136.1,105.0,99.0,104.0,0.842,7.39,1.98,9.51,0.99,1.13,0.278,0.386,0.144,0.36,0.467,109.0,99.0,108.0,89.0,95.0,94.0,104.0,107.0,106.0,,,,111.0,112.0,110.0,,0.553,0.101,0.063,0.1,0.65,,-0.98,1.49,-2.62,95.1,83.0,,84.3,78.0,0.254,0.42,0.195,,,,0.245,0.367,0.153,0.161,0.226,0.14,0.322,0.627,0.195,77.0,105.0,95.0,0.184,-0.58,91.3,0.307,0.491,0.143,0.4,0.733,0.167,,,,,,,,,,,,
7,2024-08-04,745468,Strikeout,strikeout,True,642133,669194,Rowdy Tellez,Ryne Nelson,0,612bac3f-3701-47fb-a408-39b2f15ee7bc,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.22,4.23,136.1,105.0,99.0,104.0,0.842,7.39,1.98,9.51,0.99,1.13,0.278,0.386,0.144,0.36,0.467,109.0,99.0,108.0,89.0,95.0,94.0,104.0,107.0,106.0,,,,111.0,112.0,110.0,,0.553,0.101,0.063,0.1,0.65,,-0.98,1.49,-2.62,95.1,83.0,,84.3,78.0,0.254,0.42,0.195,,,,0.245,0.367,0.153,0.161,0.226,0.14,0.322,0.627,0.195,77.0,105.0,95.0,0.184,-0.58,91.3,0.307,0.491,0.143,0.4,0.733,0.167,,,,,,,,,,,,
8,2024-08-04,745468,Strikeout,strikeout,True,605137,694973,Josh Bell,Paul Skenes,0,00d0e835-948c-4362-947d-e91c921462b8,694973.0,paulskenes,Skenes,Right,Paul Skenes,PIT,2.23,2.66,109.0,103.0,104.0,104.0,0.74,11.23,2.15,6.44,0.83,1.51,0.209,0.5,0.205,0.228,0.434,85.0,96.0,96.0,106.0,102.0,105.0,101.0,107.0,104.0,81.0,91.0,82.0,133.0,103.0,117.0,0.294,0.392,0.158,0.121,0.035,0.69,3.41,0.64,-0.07,-0.02,98.8,87.4,93.9,85.3,82.9,0.221,0.364,0.251,0.187,0.244,0.299,0.153,0.322,0.268,0.25,0.375,0.333,0.154,0.231,0.379,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-08-04,745468,Single,single,False,664983,694973,Jake McCarthy,Paul Skenes,0,d74f6adf-db96-4fb1-b64d-d846e848b216,694973.0,paulskenes,Skenes,Right,Paul Skenes,PIT,2.23,2.66,109.0,103.0,104.0,104.0,0.74,11.23,2.15,6.44,0.83,1.51,0.209,0.5,0.205,0.228,0.434,85.0,96.0,96.0,106.0,102.0,105.0,101.0,107.0,104.0,81.0,91.0,82.0,133.0,103.0,117.0,0.294,0.392,0.158,0.121,0.035,0.69,3.41,0.64,-0.07,-0.02,98.8,87.4,93.9,85.3,82.9,0.221,0.364,0.251,0.187,0.244,0.299,0.153,0.322,0.268,0.25,0.375,0.333,0.154,0.231,0.379,,,,,,,,,,,,,,,,,,,,,,,,
