,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,KC%,wFA/C,wFS/C,wSI/C,wSL/C,wKC/C,vFA,vFS,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,FS_ba,FS_slg,FS_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,CU%,CH%,wCU/C,wCH/C,vCH,vCU,CH_ba,CH_slg,CH_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff
47,2024-06-08,746461,Walk,walk,False,656555,663554,Rhys Hoskins,Casey Mize,0,102258ed-e6d9-4cea-8c60-54007ee51161,663554.0,caseymize,Mize,Right,Casey Mize,DET,4.23,4.39,78.2,104.0,108.0,103.0,0.815,6.64,2.4,10.64,0.8,1.64,0.23,0.396,0.162,0.298,0.434,108.0,106.0,104.0,93.0,107.0,105.0,108.0,103.0,102.0,100.0,91.0,94.0,112.0,102.0,104.0,0.076,0.393,0.172,0.282,0.077,-0.14,-1.78,-0.36,0.58,-2.77,95.6,85.7,95.6,85.7,79.6,0.292,0.401,0.201,0.239,0.366,0.189,0.323,0.452,0.321,0.345,0.414,0.111,0.286,0.571,0.172,,,,,,,,,,,,,,,,,,,,,,,,
48,2024-06-08,746461,Lineout,field_out,True,686217,663554,Sal Frelick,Casey Mize,0,5bb401d0-3923-4f82-b143-2a5e62e60957,663554.0,caseymize,Mize,Right,Casey Mize,DET,4.23,4.39,78.2,104.0,108.0,103.0,0.815,6.64,2.4,10.64,0.8,1.64,0.23,0.396,0.162,0.298,0.434,108.0,106.0,104.0,93.0,107.0,105.0,108.0,103.0,102.0,100.0,91.0,94.0,112.0,102.0,104.0,0.076,0.393,0.172,0.282,0.077,-0.14,-1.78,-0.36,0.58,-2.77,95.6,85.7,95.6,85.7,79.6,0.292,0.401,0.201,0.239,0.366,0.189,0.323,0.452,0.321,0.345,0.414,0.111,0.286,0.571,0.172,,,,,,,,,,,,,,,,,,,,,,,,
49,2024-06-08,746461,Single,single,False,687401,663554,Joey Ortiz,Casey Mize,1,0acb6f06-1341-4d0b-b5a0-3a305cb2c3db,663554.0,caseymize,Mize,Right,Casey Mize,DET,4.23,4.39,78.2,104.0,108.0,103.0,0.815,6.64,2.4,10.64,0.8,1.64,0.23,0.396,0.162,0.298,0.434,108.0,106.0,104.0,93.0,107.0,105.0,108.0,103.0,102.0,100.0,91.0,94.0,112.0,102.0,104.0,0.076,0.393,0.172,0.282,0.077,-0.14,-1.78,-0.36,0.58,-2.77,95.6,85.7,95.6,85.7,79.6,0.292,0.401,0.201,0.239,0.366,0.189,0.323,0.452,0.321,0.345,0.414,0.111,0.286,0.571,0.172,,,,,,,,,,,,,,,,,,,,,,,,
50,2024-06-08,746461,Forceout,force_out,True,663368,571946,Blake Perkins,Shelby Miller,1,20bb2ac6-007f-49b5-8f0e-2a7f58bafd26,571946.0,shelbymiller,"Miller, S",Right,Shelby Miller,DET,5.23,4.13,32.2,96.0,105.0,98.0,0.766,8.27,1.93,6.34,1.65,0.82,0.261,0.435,0.109,0.348,0.459,109.0,97.0,97.0,,,,87.0,102.0,96.0,,,,100.0,99.0,107.0,,0.607,0.216,0.177,,1.32,-0.28,,-1.7,,93.2,86.6,,88.3,,0.156,0.344,0.257,0.25,0.583,0.238,0.233,0.4,0.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2024-06-08,746461,Double,double,False,694192,571946,Jackson Chourio,Shelby Miller,1,bc6ece68-89c9-4e67-81c3-eab00d7d1ae7,571946.0,shelbymiller,"Miller, S",Right,Shelby Miller,DET,5.23,4.13,32.2,96.0,105.0,98.0,0.766,8.27,1.93,6.34,1.65,0.82,0.261,0.435,0.109,0.348,0.459,109.0,97.0,97.0,,,,87.0,102.0,96.0,,,,100.0,99.0,107.0,,0.607,0.216,0.177,,1.32,-0.28,,-1.7,,93.2,86.6,,88.3,,0.156,0.344,0.257,0.25,0.583,0.238,0.233,0.4,0.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2024-06-08,746461,Flyout,field_out,True,668930,571946,Brice Turang,Shelby Miller,0,3ca0b007-0abc-4217-9c1a-679471b44701,571946.0,shelbymiller,"Miller, S",Right,Shelby Miller,DET,5.23,4.13,32.2,96.0,105.0,98.0,0.766,8.27,1.93,6.34,1.65,0.82,0.261,0.435,0.109,0.348,0.459,109.0,97.0,97.0,,,,87.0,102.0,96.0,,,,100.0,99.0,107.0,,0.607,0.216,0.177,,1.32,-0.28,,-1.7,,93.2,86.6,,88.3,,0.156,0.344,0.257,0.25,0.583,0.238,0.233,0.4,0.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2024-06-08,746461,Strikeout,strikeout,True,595879,660600,Javier Báez,Enoli Paredes,0,6e6c6147-fe18-4492-88d2-a1a8b6bd303f,660600.0,enoliparedes,"Paredes, E",Right,Enoli Paredes,MIL,1.08,4.22,16.2,91.0,97.0,97.0,0.738,6.48,4.32,4.86,0.0,1.4,0.273,0.295,0.182,0.364,0.376,118.0,96.0,101.0,49.0,86.0,83.0,96.0,88.0,100.0,,,,,,,0.218,0.423,,0.359,,1.54,,0.94,2.33,,94.2,,94.1,85.5,,0.136,0.227,0.333,0.192,0.231,0.214,,,,0.125,0.125,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2024-06-08,746461,Single,single,False,608348,660600,Carson Kelly,Enoli Paredes,0,49256507-349c-4c61-bb79-1136b1ae80be,660600.0,enoliparedes,"Paredes, E",Right,Enoli Paredes,MIL,1.08,4.22,16.2,91.0,97.0,97.0,0.738,6.48,4.32,4.86,0.0,1.4,0.273,0.295,0.182,0.364,0.376,118.0,96.0,101.0,49.0,86.0,83.0,96.0,88.0,100.0,,,,,,,0.218,0.423,,0.359,,1.54,,0.94,2.33,,94.2,,94.1,85.5,,0.136,0.227,0.333,0.192,0.231,0.214,,,,0.125,0.125,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2024-06-08,746461,Forceout,force_out,True,663837,660600,Matt Vierling,Enoli Paredes,1,8794c578-202d-48a5-9de0-717629ca1e04,660600.0,enoliparedes,"Paredes, E",Right,Enoli Paredes,MIL,1.08,4.22,16.2,91.0,97.0,97.0,0.738,6.48,4.32,4.86,0.0,1.4,0.273,0.295,0.182,0.364,0.376,118.0,96.0,101.0,49.0,86.0,83.0,96.0,88.0,100.0,,,,,,,0.218,0.423,,0.359,,1.54,,0.94,2.33,,94.2,,94.1,85.5,,0.136,0.227,0.333,0.192,0.231,0.214,,,,0.125,0.125,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2024-06-08,746461,Catcher Interference,catcher_interf,False,682985,663542,Riley Greene,Bryan Hudson,1,c56eab2d-3d53-4f74-be54-c7a9b4736ec5,663542.0,bryanhudson,"Hudson, B",Left,Bryan Hudson,MIL,1.49,2.94,48.1,104.0,84.0,103.0,0.781,9.87,2.23,4.47,1.12,1.14,0.286,0.321,0.205,0.241,0.481,84.0,106.0,103.0,,,,113.0,105.0,107.0,,,,,,,,0.526,,0.253,,1.88,,,2.78,,91.7,,,81.9,,0.185,0.346,0.197,0.039,0.078,0.359,,,,,,,,,,,,,,,,,,,,,,,,,50.0,97.0,98.0,0.221,-0.05,86.7,0.219,0.531,0.187
57,2024-06-08,746461,Strikeout,strikeout,True,592192,663542,Mark Canha,Bryan Hudson,0,99060de9-221a-44d1-9c65-f5dbb1f84159,663542.0,bryanhudson,"Hudson, B",Left,Bryan Hudson,MIL,1.49,2.94,48.1,104.0,84.0,103.0,0.781,9.87,2.23,4.47,1.12,1.14,0.286,0.321,0.205,0.241,0.481,84.0,106.0,103.0,,,,113.0,105.0,107.0,,,,,,,,0.526,,0.253,,1.88,,,2.78,,91.7,,,81.9,,0.185,0.346,0.197,0.039,0.078,0.359,,,,,,,,,,,,,,,,,,,,,,,,,50.0,97.0,98.0,0.221,-0.05,86.7,0.219,0.531,0.187
58,2024-06-08,746461,Pop Out,field_out,True,661388,571946,William Contreras,Shelby Miller,0,33b8edb2-6ee3-4dad-ab6e-f39162597a18,571946.0,shelbymiller,"Miller, S",Right,Shelby Miller,DET,5.23,4.13,32.2,96.0,105.0,98.0,0.766,8.27,1.93,6.34,1.65,0.82,0.261,0.435,0.109,0.348,0.459,109.0,97.0,97.0,,,,87.0,102.0,96.0,,,,100.0,99.0,107.0,,0.607,0.216,0.177,,1.32,-0.28,,-1.7,,93.2,86.6,,88.3,,0.156,0.344,0.257,0.25,0.583,0.238,0.233,0.4,0.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2024-06-08,746461,Strikeout,strikeout,True,592885,571946,Christian Yelich,Shelby Miller,0,7d5f2601-8fb6-417c-a941-656864b92e99,571946.0,shelbymiller,"Miller, S",Right,Shelby Miller,DET,5.23,4.13,32.2,96.0,105.0,98.0,0.766,8.27,1.93,6.34,1.65,0.82,0.261,0.435,0.109,0.348,0.459,109.0,97.0,97.0,,,,87.0,102.0,96.0,,,,100.0,99.0,107.0,,0.607,0.216,0.177,,1.32,-0.28,,-1.7,,93.2,86.6,,88.3,,0.156,0.344,0.257,0.25,0.583,0.238,0.233,0.4,0.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2024-06-08,746461,Strikeout,strikeout,True,642715,571946,Willy Adames,Shelby Miller,0,0f1ca9c6-4900-404f-af0f-4b80221035b1,571946.0,shelbymiller,"Miller, S",Right,Shelby Miller,DET,5.23,4.13,32.2,96.0,105.0,98.0,0.766,8.27,1.93,6.34,1.65,0.82,0.261,0.435,0.109,0.348,0.459,109.0,97.0,97.0,,,,87.0,102.0,96.0,,,,100.0,99.0,107.0,,0.607,0.216,0.177,,1.32,-0.28,,-1.7,,93.2,86.6,,88.3,,0.156,0.344,0.257,0.25,0.583,0.238,0.233,0.4,0.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2024-06-08,746461,Groundout,field_out,True,570482,663542,Gio Urshela,Bryan Hudson,0,f5bd2b6b-aab1-473b-994d-c5f02c90ae66,663542.0,bryanhudson,"Hudson, B",Left,Bryan Hudson,MIL,1.49,2.94,48.1,104.0,84.0,103.0,0.781,9.87,2.23,4.47,1.12,1.14,0.286,0.321,0.205,0.241,0.481,84.0,106.0,103.0,,,,113.0,105.0,107.0,,,,,,,,0.526,,0.253,,1.88,,,2.78,,91.7,,,81.9,,0.185,0.346,0.197,0.039,0.078,0.359,,,,,,,,,,,,,,,,,,,,,,,,,50.0,97.0,98.0,0.221,-0.05,86.7,0.219,0.531,0.187
62,2024-06-08,746461,Strikeout,strikeout,True,656716,663542,Zach McKinstry,Bryan Hudson,0,0a414ebe-daf3-43e4-bb81-88ad67ab9f00,663542.0,bryanhudson,"Hudson, B",Left,Bryan Hudson,MIL,1.49,2.94,48.1,104.0,84.0,103.0,0.781,9.87,2.23,4.47,1.12,1.14,0.286,0.321,0.205,0.241,0.481,84.0,106.0,103.0,,,,113.0,105.0,107.0,,,,,,,,0.526,,0.253,,1.88,,,2.78,,91.7,,,81.9,,0.185,0.346,0.197,0.039,0.078,0.359,,,,,,,,,,,,,,,,,,,,,,,,,50.0,97.0,98.0,0.221,-0.05,86.7,0.219,0.531,0.187
63,2024-06-08,746461,Strikeout,strikeout,True,669234,663542,Justyn-Henry Malloy,Bryan Hudson,0,12c9b22e-681c-4b52-92be-98f35a06a648,663542.0,bryanhudson,"Hudson, B",Left,Bryan Hudson,MIL,1.49,2.94,48.1,104.0,84.0,103.0,0.781,9.87,2.23,4.47,1.12,1.14,0.286,0.321,0.205,0.241,0.481,84.0,106.0,103.0,,,,113.0,105.0,107.0,,,,,,,,0.526,,0.253,,1.88,,,2.78,,91.7,,,81.9,,0.185,0.346,0.197,0.039,0.078,0.359,,,,,,,,,,,,,,,,,,,,,,,,,50.0,97.0,98.0,0.221,-0.05,86.7,0.219,0.531,0.187
64,2024-06-08,746461,Groundout,field_out,True,656555,671345,Rhys Hoskins,Jason Foley,0,79659320-34d6-43ce-8c18-fbc62f60e26b,671345.0,jasonfoley,Foley,Right,Jason Foley,DET,3.41,3.96,34.1,103.0,102.0,106.0,0.808,6.55,3.15,8.91,1.05,1.87,0.248,0.303,0.138,0.367,0.49,89.0,110.0,102.0,95.0,99.0,100.0,120.0,108.0,115.0,,,,,,,0.587,0.067,,0.323,,1.49,,-1.35,3.31,,97.5,,96.8,88.4,,0.111,0.444,0.333,0.088,0.088,0.337,,,,0.333,0.476,0.103,,,,78.0,111.0,111.0,,,,,0.023,,-1.57,90.9,,0.4,0.4,0.222,,,,,,,,,
65,2024-06-08,746461,Flyout,field_out,True,686217,671345,Sal Frelick,Jason Foley,0,e5bce0ba-ef04-43bc-b597-7193bca138b7,671345.0,jasonfoley,Foley,Right,Jason Foley,DET,3.41,3.96,34.1,103.0,102.0,106.0,0.808,6.55,3.15,8.91,1.05,1.87,0.248,0.303,0.138,0.367,0.49,89.0,110.0,102.0,95.0,99.0,100.0,120.0,108.0,115.0,,,,,,,0.587,0.067,,0.323,,1.49,,-1.35,3.31,,97.5,,96.8,88.4,,0.111,0.444,0.333,0.088,0.088,0.337,,,,0.333,0.476,0.103,,,,78.0,111.0,111.0,,,,,0.023,,-1.57,90.9,,0.4,0.4,0.222,,,,,,,,,
66,2024-06-08,746461,Groundout,field_out,True,687401,671345,Joey Ortiz,Jason Foley,0,038421a4-13c5-4183-a63b-9f1d557fce69,671345.0,jasonfoley,Foley,Right,Jason Foley,DET,3.41,3.96,34.1,103.0,102.0,106.0,0.808,6.55,3.15,8.91,1.05,1.87,0.248,0.303,0.138,0.367,0.49,89.0,110.0,102.0,95.0,99.0,100.0,120.0,108.0,115.0,,,,,,,0.587,0.067,,0.323,,1.49,,-1.35,3.31,,97.5,,96.8,88.4,,0.111,0.444,0.333,0.088,0.088,0.337,,,,0.333,0.476,0.103,,,,78.0,111.0,111.0,,,,,0.023,,-1.57,90.9,,0.4,0.4,0.222,,,,,,,,,
67,2024-06-08,746461,Strikeout,strikeout,True,672761,606303,Wenceel Pérez,Joel Payamps,0,9923fe82-966e-44f0-b526-caa9403aee4b,606303.0,joelpayamps,Payamps,Right,Joel Payamps,MIL,4.41,5.58,34.2,101.0,104.0,102.0,0.767,8.05,2.86,7.79,1.56,0.95,0.155,0.466,0.146,0.33,0.445,99.0,102.0,98.0,95.0,99.0,97.0,113.0,104.0,110.0,,,,,,,0.205,0.303,,0.386,,0.1,,0.86,-0.5,,94.7,,94.7,83.7,,0.176,0.471,0.365,0.245,0.415,0.275,,,,0.207,0.414,0.123,,,,104.0,92.0,92.0,,,,,0.106,,-0.89,89.6,,0.313,0.375,0.219,,,,,,,,,
68,2024-06-08,746461,Pop Out,field_out,True,595879,606303,Javier Báez,Joel Payamps,0,6985e54c-ec1c-4708-8283-e0e1b5d74722,606303.0,joelpayamps,Payamps,Right,Joel Payamps,MIL,4.41,5.58,34.2,101.0,104.0,102.0,0.767,8.05,2.86,7.79,1.56,0.95,0.155,0.466,0.146,0.33,0.445,99.0,102.0,98.0,95.0,99.0,97.0,113.0,104.0,110.0,,,,,,,0.205,0.303,,0.386,,0.1,,0.86,-0.5,,94.7,,94.7,83.7,,0.176,0.471,0.365,0.245,0.415,0.275,,,,0.207,0.414,0.123,,,,104.0,92.0,92.0,,,,,0.106,,-0.89,89.6,,0.313,0.375,0.219,,,,,,,,,
69,2024-06-08,746461,Strikeout,strikeout,True,608348,606303,Carson Kelly,Joel Payamps,0,dd0486c7-4d7c-46be-a540-c71026d85e02,606303.0,joelpayamps,Payamps,Right,Joel Payamps,MIL,4.41,5.58,34.2,101.0,104.0,102.0,0.767,8.05,2.86,7.79,1.56,0.95,0.155,0.466,0.146,0.33,0.445,99.0,102.0,98.0,95.0,99.0,97.0,113.0,104.0,110.0,,,,,,,0.205,0.303,,0.386,,0.1,,0.86,-0.5,,94.7,,94.7,83.7,,0.176,0.471,0.365,0.245,0.415,0.275,,,,0.207,0.414,0.123,,,,104.0,92.0,92.0,,,,,0.106,,-0.89,89.6,,0.313,0.375,0.219,,,,,,,,,
70,2024-06-08,746461,Walk,walk,False,663368,605177,Blake Perkins,Andrew Chafin,0,8d7356c7-d1d0-4e0d-a814-f2d2dd909cad,605177.0,andrewchafin,Chafin,Left,Andrew Chafin,DET,3.55,3.03,33.0,93.0,85.0,95.0,0.677,11.45,4.09,9.27,0.55,0.8,0.275,0.308,0.11,0.264,0.316,72.0,95.0,84.0,77.0,95.0,87.0,98.0,89.0,105.0,,,,,,,0.388,0.156,,0.456,,4.95,,-2.43,1.36,,91.9,,92.0,82.1,,0.125,0.125,0.244,0.131,0.164,0.52,,,,0.5,0.674,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2024-06-08,746461,Flyout,field_out,True,694192,605177,Jackson Chourio,Andrew Chafin,0,22f0aac4-7201-46cd-bb59-29f5e61a2247,605177.0,andrewchafin,Chafin,Left,Andrew Chafin,DET,3.55,3.03,33.0,93.0,85.0,95.0,0.677,11.45,4.09,9.27,0.55,0.8,0.275,0.308,0.11,0.264,0.316,72.0,95.0,84.0,77.0,95.0,87.0,98.0,89.0,105.0,,,,,,,0.388,0.156,,0.456,,4.95,,-2.43,1.36,,91.9,,92.0,82.1,,0.125,0.125,0.244,0.131,0.164,0.52,,,,0.5,0.674,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2024-06-08,746461,Forceout,force_out,True,668930,605177,Brice Turang,Andrew Chafin,1,4e939319-4d11-44dd-b608-bbf8c6879578,605177.0,andrewchafin,Chafin,Left,Andrew Chafin,DET,3.55,3.03,33.0,93.0,85.0,95.0,0.677,11.45,4.09,9.27,0.55,0.8,0.275,0.308,0.11,0.264,0.316,72.0,95.0,84.0,77.0,95.0,87.0,98.0,89.0,105.0,,,,,,,0.388,0.156,,0.456,,4.95,,-2.43,1.36,,91.9,,92.0,82.1,,0.125,0.125,0.244,0.131,0.164,0.52,,,,0.5,0.674,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,
