,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,wFA/C,wSL/C,wCU/C,vFA,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,wFC/C,wFS/C,vFC,vFS,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff
0,2024-08-19,745620,Walk,walk,False,650490,671212,Yandy Díaz,Joe Boyle,0,9219a78d-9935-4290-989b-f375330c6444,671212.0,joeboyle,Boyle,Right,Joe Boyle,OAK,7.12,4.47,43.0,90.0,120.0,94.0,0.746,10.26,7.53,8.16,0.84,0.87,0.256,0.282,0.154,0.265,0.404,110.0,75.0,87.0,104.0,86.0,86.0,139.0,106.0,120.0,0.574,0.385,0.041,-0.97,0.17,0.56,97.5,87.6,80.4,0.279,0.419,0.222,0.169,0.231,0.355,0.4,0.8,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-08-19,745620,Strikeout,strikeout,True,664040,671212,Brandon Lowe,Joe Boyle,0,142a938c-9b6f-48f5-9e3e-f91fd92ca97d,671212.0,joeboyle,Boyle,Right,Joe Boyle,OAK,7.12,4.47,43.0,90.0,120.0,94.0,0.746,10.26,7.53,8.16,0.84,0.87,0.256,0.282,0.154,0.265,0.404,110.0,75.0,87.0,104.0,86.0,86.0,139.0,106.0,120.0,0.574,0.385,0.041,-0.97,0.17,0.56,97.5,87.6,80.4,0.279,0.419,0.222,0.169,0.231,0.355,0.4,0.8,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-08-19,745620,Walk,walk,False,676609,671212,José Caballero,Joe Boyle,1,6b1e1af3-6a45-4325-9e25-0e43856bd532,671212.0,joeboyle,Boyle,Right,Joe Boyle,OAK,7.12,4.47,43.0,90.0,120.0,94.0,0.746,10.26,7.53,8.16,0.84,0.87,0.256,0.282,0.154,0.265,0.404,110.0,75.0,87.0,104.0,86.0,86.0,139.0,106.0,120.0,0.574,0.385,0.041,-0.97,0.17,0.56,97.5,87.6,80.4,0.279,0.419,0.222,0.169,0.231,0.355,0.4,0.8,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-08-19,745620,Groundout,field_out,True,666139,671212,Josh Lowe,Joe Boyle,1,c4bf0ca2-cfcf-4b7e-ad6c-a0fa91123d4f,671212.0,joeboyle,Boyle,Right,Joe Boyle,OAK,7.12,4.47,43.0,90.0,120.0,94.0,0.746,10.26,7.53,8.16,0.84,0.87,0.256,0.282,0.154,0.265,0.404,110.0,75.0,87.0,104.0,86.0,86.0,139.0,106.0,120.0,0.574,0.385,0.041,-0.97,0.17,0.56,97.5,87.6,80.4,0.279,0.419,0.222,0.169,0.231,0.355,0.4,0.8,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-08-19,745620,Groundout,field_out,True,691406,671212,Junior Caminero,Joe Boyle,0,ee88ec7a-4eb7-4f12-b0e6-d91f0276f683,671212.0,joeboyle,Boyle,Right,Joe Boyle,OAK,7.12,4.47,43.0,90.0,120.0,94.0,0.746,10.26,7.53,8.16,0.84,0.87,0.256,0.282,0.154,0.265,0.404,110.0,75.0,87.0,104.0,86.0,86.0,139.0,106.0,120.0,0.574,0.385,0.041,-0.97,0.17,0.56,97.5,87.6,80.4,0.279,0.419,0.222,0.169,0.231,0.355,0.4,0.8,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-08-19,745620,Single,single,False,671732,671737,Lawrence Butler,Taj Bradley,0,0c3566ec-122b-4acf-ae19-8fa7f926f6d4,671737.0,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,3.77,3.97,107.1,97.0,116.0,102.0,0.75,9.98,3.02,7.38,1.43,1.03,0.239,0.405,0.099,0.401,0.424,101.0,89.0,92.0,127.0,97.0,101.0,,,,0.419,,0.096,0.4,,-1.48,96.3,,79.0,0.261,0.461,0.205,,,,,,,90.0,97.0,96.0,122.0,100.0,112.0,0.203,0.282,1.07,0.83,90.7,90.7,0.188,0.293,0.331,0.197,0.395,0.314,0.227,0.545,0.341,,,,,,,,,,,,,,,,,,
6,2024-08-19,745620,Strikeout,strikeout,True,667670,671737,Brent Rooker,Taj Bradley,0,7cc1e1b7-c58e-4baf-88ae-3eb50a47e37d,671737.0,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,3.77,3.97,107.1,97.0,116.0,102.0,0.75,9.98,3.02,7.38,1.43,1.03,0.239,0.405,0.099,0.401,0.424,101.0,89.0,92.0,127.0,97.0,101.0,,,,0.419,,0.096,0.4,,-1.48,96.3,,79.0,0.261,0.461,0.205,,,,,,,90.0,97.0,96.0,122.0,100.0,112.0,0.203,0.282,1.07,0.83,90.7,90.7,0.188,0.293,0.331,0.197,0.395,0.314,0.227,0.545,0.341,,,,,,,,,,,,,,,,,,
7,2024-08-19,745620,Home Run,home_run,False,668709,671737,JJ Bleday,Taj Bradley,1,d125f299-7294-49b3-b53a-5649d6a55252,671737.0,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,3.77,3.97,107.1,97.0,116.0,102.0,0.75,9.98,3.02,7.38,1.43,1.03,0.239,0.405,0.099,0.401,0.424,101.0,89.0,92.0,127.0,97.0,101.0,,,,0.419,,0.096,0.4,,-1.48,96.3,,79.0,0.261,0.461,0.205,,,,,,,90.0,97.0,96.0,122.0,100.0,112.0,0.203,0.282,1.07,0.83,90.7,90.7,0.188,0.293,0.331,0.197,0.395,0.314,0.227,0.545,0.341,,,,,,,,,,,,,,,,,,
8,2024-08-19,745620,Groundout,field_out,True,609280,671737,Miguel Andujar,Taj Bradley,0,7fe34700-d635-4005-94c6-9609aad4bf38,671737.0,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,3.77,3.97,107.1,97.0,116.0,102.0,0.75,9.98,3.02,7.38,1.43,1.03,0.239,0.405,0.099,0.401,0.424,101.0,89.0,92.0,127.0,97.0,101.0,,,,0.419,,0.096,0.4,,-1.48,96.3,,79.0,0.261,0.461,0.205,,,,,,,90.0,97.0,96.0,122.0,100.0,112.0,0.203,0.282,1.07,0.83,90.7,90.7,0.188,0.293,0.331,0.197,0.395,0.314,0.227,0.545,0.341,,,,,,,,,,,,,,,,,,
9,2024-08-19,745620,Groundout,field_out,True,669127,671737,Shea Langeliers,Taj Bradley,0,34f53581-b4ba-4f0c-9fd7-f95b7497af53,671737.0,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,3.77,3.97,107.1,97.0,116.0,102.0,0.75,9.98,3.02,7.38,1.43,1.03,0.239,0.405,0.099,0.401,0.424,101.0,89.0,92.0,127.0,97.0,101.0,,,,0.419,,0.096,0.4,,-1.48,96.3,,79.0,0.261,0.461,0.205,,,,,,,90.0,97.0,96.0,122.0,100.0,112.0,0.203,0.282,1.07,0.83,90.7,90.7,0.188,0.293,0.331,0.197,0.395,0.314,0.227,0.545,0.341,,,,,,,,,,,,,,,,,,
