,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wSI/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vCU,SI_ba,SI_slg,SI_whiff,SV_ba,SV_slg,SV_whiff,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,SL_slg,SL_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,CU_ba,CU_slg,CU_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-07-23,744904,Strikeout,strikeout,True,680700,621244,Richie Palacios,José Berríos,0,1eb10c07-c37f-4b99-9980-8998ef3f905f,621244.0,joseberrios,Berríos,Right,José Berríos,TOR,4.08,5.12,123.2,101.0,91.0,98.0,0.828,6.7,2.84,8.08,1.6,1.12,0.253,0.417,0.158,0.349,0.405,88.0,104.0,101.0,107.0,101.0,104.0,82.0,99.0,92.0,85.0,102.0,94.0,81.0,99.0,93.0,0.327,0.181,0.031,0.301,0.159,-1.73,-3.32,0.71,-0.08,1.16,94.1,91.5,84.5,93.5,83.1,0.28,0.366,0.125,0.201,0.418,0.283,0.167,0.389,0.241,0.321,0.625,0.181,0.4,0.467,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-07-23,744904,Strikeout,strikeout,True,670623,621244,Isaac Paredes,José Berríos,0,a898323a-d273-43e3-9120-a074dcbbe8e8,621244.0,joseberrios,Berríos,Right,José Berríos,TOR,4.08,5.12,123.2,101.0,91.0,98.0,0.828,6.7,2.84,8.08,1.6,1.12,0.253,0.417,0.158,0.349,0.405,88.0,104.0,101.0,107.0,101.0,104.0,82.0,99.0,92.0,85.0,102.0,94.0,81.0,99.0,93.0,0.327,0.181,0.031,0.301,0.159,-1.73,-3.32,0.71,-0.08,1.16,94.1,91.5,84.5,93.5,83.1,0.28,0.366,0.125,0.201,0.418,0.283,0.167,0.389,0.241,0.321,0.625,0.181,0.4,0.467,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-07-23,744904,Groundout,field_out,True,664040,621244,Brandon Lowe,José Berríos,0,f715f38a-ae59-443f-b239-87eb26379f33,621244.0,joseberrios,Berríos,Right,José Berríos,TOR,4.08,5.12,123.2,101.0,91.0,98.0,0.828,6.7,2.84,8.08,1.6,1.12,0.253,0.417,0.158,0.349,0.405,88.0,104.0,101.0,107.0,101.0,104.0,82.0,99.0,92.0,85.0,102.0,94.0,81.0,99.0,93.0,0.327,0.181,0.031,0.301,0.159,-1.73,-3.32,0.71,-0.08,1.16,94.1,91.5,84.5,93.5,83.1,0.28,0.366,0.125,0.201,0.418,0.283,0.167,0.389,0.241,0.321,0.625,0.181,0.4,0.467,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-07-23,744904,Strikeout,strikeout,True,543807,542888,George Springer,Shawn Armstrong,0,0a7d1456-b8cd-4b61-8664-3489a271e589,542888.0,shawnarmstrong,Armstrong,Right,Shawn Armstrong,TBR,5.64,5.58,44.2,106.0,97.0,103.0,0.817,9.87,3.83,10.68,1.01,0.81,0.319,0.326,0.193,0.378,0.463,,,,,,,86.0,112.0,107.0,96.0,99.0,96.0,105.0,104.0,102.0,0.28,0.354,0.302,,,1.0,-0.74,-2.66,,,93.2,90.1,,93.6,,0.429,0.508,0.087,,,,,,,0.194,0.358,0.333,0.25,0.5,0.211,123.0,110.0,114.0,0.064,-2.05,83.6,0.333,0.667,0.222,,,,,,,,,,,,,,,,,,
4,2024-07-23,744904,Strikeout,strikeout,True,687462,542888,Spencer Horwitz,Shawn Armstrong,0,c0eb080c-4d71-4ceb-a2f6-a1870a0b35dd,542888.0,shawnarmstrong,Armstrong,Right,Shawn Armstrong,TBR,5.64,5.58,44.2,106.0,97.0,103.0,0.817,9.87,3.83,10.68,1.01,0.81,0.319,0.326,0.193,0.378,0.463,,,,,,,86.0,112.0,107.0,96.0,99.0,96.0,105.0,104.0,102.0,0.28,0.354,0.302,,,1.0,-0.74,-2.66,,,93.2,90.1,,93.6,,0.429,0.508,0.087,,,,,,,0.194,0.358,0.333,0.25,0.5,0.211,123.0,110.0,114.0,0.064,-2.05,83.6,0.333,0.667,0.222,,,,,,,,,,,,,,,,,,
5,2024-07-23,744904,Walk,walk,False,665489,542888,Vladimir Guerrero Jr.,Shawn Armstrong,0,3021dbd2-c77b-436a-87d7-1a2521e19ae6,542888.0,shawnarmstrong,Armstrong,Right,Shawn Armstrong,TBR,5.64,5.58,44.2,106.0,97.0,103.0,0.817,9.87,3.83,10.68,1.01,0.81,0.319,0.326,0.193,0.378,0.463,,,,,,,86.0,112.0,107.0,96.0,99.0,96.0,105.0,104.0,102.0,0.28,0.354,0.302,,,1.0,-0.74,-2.66,,,93.2,90.1,,93.6,,0.429,0.508,0.087,,,,,,,0.194,0.358,0.333,0.25,0.5,0.211,123.0,110.0,114.0,0.064,-2.05,83.6,0.333,0.667,0.222,,,,,,,,,,,,,,,,,,
6,2024-07-23,744904,Single,single,False,457759,542888,Justin Turner,Shawn Armstrong,1,223d23d0-f89e-4aa5-88f2-5742dca41220,542888.0,shawnarmstrong,Armstrong,Right,Shawn Armstrong,TBR,5.64,5.58,44.2,106.0,97.0,103.0,0.817,9.87,3.83,10.68,1.01,0.81,0.319,0.326,0.193,0.378,0.463,,,,,,,86.0,112.0,107.0,96.0,99.0,96.0,105.0,104.0,102.0,0.28,0.354,0.302,,,1.0,-0.74,-2.66,,,93.2,90.1,,93.6,,0.429,0.508,0.087,,,,,,,0.194,0.358,0.333,0.25,0.5,0.211,123.0,110.0,114.0,0.064,-2.05,83.6,0.333,0.667,0.222,,,,,,,,,,,,,,,,,,
7,2024-07-23,744904,Strikeout,strikeout,True,676914,542888,Davis Schneider,Shawn Armstrong,0,cb8c7784-6536-427c-9728-21d01c1a41c3,542888.0,shawnarmstrong,Armstrong,Right,Shawn Armstrong,TBR,5.64,5.58,44.2,106.0,97.0,103.0,0.817,9.87,3.83,10.68,1.01,0.81,0.319,0.326,0.193,0.378,0.463,,,,,,,86.0,112.0,107.0,96.0,99.0,96.0,105.0,104.0,102.0,0.28,0.354,0.302,,,1.0,-0.74,-2.66,,,93.2,90.1,,93.6,,0.429,0.508,0.087,,,,,,,0.194,0.358,0.333,0.25,0.5,0.211,123.0,110.0,114.0,0.064,-2.05,83.6,0.333,0.667,0.222,,,,,,,,,,,,,,,,,,
8,2024-07-23,744904,Walk,walk,False,668227,621244,Randy Arozarena,José Berríos,0,6594b49d-1ffc-4dc3-9bdd-066523d4a867,621244.0,joseberrios,Berríos,Right,José Berríos,TOR,4.08,5.12,123.2,101.0,91.0,98.0,0.828,6.7,2.84,8.08,1.6,1.12,0.253,0.417,0.158,0.349,0.405,88.0,104.0,101.0,107.0,101.0,104.0,82.0,99.0,92.0,85.0,102.0,94.0,81.0,99.0,93.0,0.327,0.181,0.031,0.301,0.159,-1.73,-3.32,0.71,-0.08,1.16,94.1,91.5,84.5,93.5,83.1,0.28,0.366,0.125,0.201,0.418,0.283,0.167,0.389,0.241,0.321,0.625,0.181,0.4,0.467,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-07-23,744904,Single,single,False,666139,621244,Josh Lowe,José Berríos,1,7919d06b-b387-46a7-b660-a70887c9ad16,621244.0,joseberrios,Berríos,Right,José Berríos,TOR,4.08,5.12,123.2,101.0,91.0,98.0,0.828,6.7,2.84,8.08,1.6,1.12,0.253,0.417,0.158,0.349,0.405,88.0,104.0,101.0,107.0,101.0,104.0,82.0,99.0,92.0,85.0,102.0,94.0,81.0,99.0,93.0,0.327,0.181,0.031,0.301,0.159,-1.73,-3.32,0.71,-0.08,1.16,94.1,91.5,84.5,93.5,83.1,0.28,0.366,0.125,0.201,0.418,0.283,0.167,0.389,0.241,0.321,0.625,0.181,0.4,0.467,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,
