,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff
42,2024-04-17,746807,Walk,walk,False,669004,673929,MJ Melendez,Jordan Leasure,0,f381e379-c597-4c08-8421-482229a3926a,673929.0,jordanleasure,Leasure,Right,Jordan Leasure,CHW,6.32,4.86,31.1,96.0,113.0,98.0,0.76,7.47,5.17,9.19,1.72,0.77,0.309,0.402,0.216,0.33,0.441,,,,120.0,93.0,94.0,,,,109.0,100.0,104.0,,,,,0.598,,0.288,,0.95,,,-5.4,,96.1,,,,88.2,,,,,,,0.419,0.744,0.28,,,,0.169,0.308,0.257,96.0,98.0,100.0,0.114,-1.88,78.6,0.25,0.583,0.273
43,2024-04-17,746807,Flyout,field_out,True,676369,673929,Nelson Velázquez,Jordan Leasure,0,6f3c7cd5-71d2-4a9b-befe-61bfd0c8acf7,673929.0,jordanleasure,Leasure,Right,Jordan Leasure,CHW,6.32,4.86,31.1,96.0,113.0,98.0,0.76,7.47,5.17,9.19,1.72,0.77,0.309,0.402,0.216,0.33,0.441,,,,120.0,93.0,94.0,,,,109.0,100.0,104.0,,,,,0.598,,0.288,,0.95,,,-5.4,,96.1,,,,88.2,,,,,,,0.419,0.744,0.28,,,,0.169,0.308,0.257,96.0,98.0,100.0,0.114,-1.88,78.6,0.25,0.583,0.273
44,2024-04-17,746807,Strikeout,strikeout,True,657757,519293,Gavin Sheets,Will Smith,0,30fdb2f3-ddb0-45be-9253-24c6a798a009,519293.0,willsmith,"Smith, W",Left,Will Smith,KCR,4.85,5.47,29.2,98.0,87.0,96.0,0.764,5.76,3.34,9.1,1.21,0.55,0.242,0.434,0.192,0.293,0.428,80.0,101.0,92.0,62.0,97.0,87.0,,,,113.0,100.0,105.0,,,,,0.322,,0.445,0.136,-1.31,,,0.85,-0.65,91.3,,85.8,,80.5,,,,,,,0.196,0.304,0.32,0.222,0.444,0.355,0.341,0.523,0.091,71.0,93.0,98.0,0.097,-0.01,76.2,0.25,0.25,0.308
45,2024-04-17,746807,Lineout,field_out,True,650391,519293,Eloy Jiménez,Will Smith,0,47842ea5-a280-4c26-9c46-22b10b165244,519293.0,willsmith,"Smith, W",Left,Will Smith,KCR,4.85,5.47,29.2,98.0,87.0,96.0,0.764,5.76,3.34,9.1,1.21,0.55,0.242,0.434,0.192,0.293,0.428,80.0,101.0,92.0,62.0,97.0,87.0,,,,113.0,100.0,105.0,,,,,0.322,,0.445,0.136,-1.31,,,0.85,-0.65,91.3,,85.8,,80.5,,,,,,,0.196,0.304,0.32,0.222,0.444,0.355,0.341,0.523,0.091,71.0,93.0,98.0,0.097,-0.01,76.2,0.25,0.25,0.308
46,2024-04-17,746807,Flyout,field_out,True,643217,519293,Andrew Benintendi,Will Smith,0,e9dacd2e-c721-4409-845d-e62f585cff29,519293.0,willsmith,"Smith, W",Left,Will Smith,KCR,4.85,5.47,29.2,98.0,87.0,96.0,0.764,5.76,3.34,9.1,1.21,0.55,0.242,0.434,0.192,0.293,0.428,80.0,101.0,92.0,62.0,97.0,87.0,,,,113.0,100.0,105.0,,,,,0.322,,0.445,0.136,-1.31,,,0.85,-0.65,91.3,,85.8,,80.5,,,,,,,0.196,0.304,0.32,0.222,0.444,0.355,0.341,0.523,0.091,71.0,93.0,98.0,0.097,-0.01,76.2,0.25,0.25,0.308
47,2024-04-17,746807,Lineout,field_out,True,624428,621051,Adam Frazier,Steven Wilson,0,76d82f26-2ae2-41ae-98fb-5333efa70f87,621051.0,stevenwilson,"Wilson, S",Right,Steven Wilson,CHW,3.46,4.42,26.0,93.0,114.0,98.0,0.79,9.0,5.88,6.23,1.38,0.51,0.282,0.493,0.31,0.268,0.415,108.0,83.0,95.0,104.0,91.0,92.0,,,,126.0,96.0,103.0,43.0,69.0,67.0,,0.411,0.013,0.472,0.104,-0.48,-1.41,,-0.09,-0.37,93.4,86.6,81.5,,82.7,,,,,,,0.196,0.413,0.327,0.143,0.143,0.267,0.205,0.385,0.147,,,,,,,,,
48,2024-04-17,746807,Groundout,field_out,True,592669,621051,Hunter Renfroe,Steven Wilson,0,b8c3e849-02da-43ed-9edf-befc1c13c4c5,621051.0,stevenwilson,"Wilson, S",Right,Steven Wilson,CHW,3.46,4.42,26.0,93.0,114.0,98.0,0.79,9.0,5.88,6.23,1.38,0.51,0.282,0.493,0.31,0.268,0.415,108.0,83.0,95.0,104.0,91.0,92.0,,,,126.0,96.0,103.0,43.0,69.0,67.0,,0.411,0.013,0.472,0.104,-0.48,-1.41,,-0.09,-0.37,93.4,86.6,81.5,,82.7,,,,,,,0.196,0.413,0.327,0.143,0.143,0.267,0.205,0.385,0.147,,,,,,,,,
49,2024-04-17,746807,Pop Out,field_out,True,664728,621051,Kyle Isbel,Steven Wilson,0,19d765a5-e9fd-4dd5-8294-eae2387df9e7,621051.0,stevenwilson,"Wilson, S",Right,Steven Wilson,CHW,3.46,4.42,26.0,93.0,114.0,98.0,0.79,9.0,5.88,6.23,1.38,0.51,0.282,0.493,0.31,0.268,0.415,108.0,83.0,95.0,104.0,91.0,92.0,,,,126.0,96.0,103.0,43.0,69.0,67.0,,0.411,0.013,0.472,0.104,-0.48,-1.41,,-0.09,-0.37,93.4,86.6,81.5,,82.7,,,,,,,0.196,0.413,0.327,0.143,0.143,0.267,0.205,0.385,0.147,,,,,,,,,
50,2024-04-17,746807,Single,single,False,657557,623433,Paul DeJong,Nick Anderson,0,3370360c-0ec6-40f9-8dc9-1b4ba8d85fe8,623433.0,nickanderson,"Anderson, N",Right,Nick Anderson,KCR,4.04,5.06,35.2,100.0,88.0,97.0,0.78,7.32,3.79,8.83,1.51,0.98,0.324,0.361,0.102,0.324,0.478,79.0,80.0,86.0,61.0,96.0,87.0,70.0,102.0,95.0,,,,,,,0.269,0.223,,,0.052,-4.03,,0.61,,-0.82,94.7,,87.9,94.8,,0.245,0.429,0.191,,,,,,,,,,0.4,0.8,0.19,113.0,102.0,105.0,0.455,0.15,81.7,0.204,0.352,0.286
51,2024-04-17,746807,Flyout,field_out,True,669699,623433,Braden Shewmake,Nick Anderson,0,715601f5-21fb-456f-9825-9cb6c8ebe11f,623433.0,nickanderson,"Anderson, N",Right,Nick Anderson,KCR,4.04,5.06,35.2,100.0,88.0,97.0,0.78,7.32,3.79,8.83,1.51,0.98,0.324,0.361,0.102,0.324,0.478,79.0,80.0,86.0,61.0,96.0,87.0,70.0,102.0,95.0,,,,,,,0.269,0.223,,,0.052,-4.03,,0.61,,-0.82,94.7,,87.9,94.8,,0.245,0.429,0.191,,,,,,,,,,0.4,0.8,0.19,113.0,102.0,105.0,0.455,0.15,81.7,0.204,0.352,0.286
