,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,ST_ba,ST_slg,ST_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,FS_ba,FS_slg,FS_whiff
0,2024-08-10,746761,Walk,walk,False,664023,623167,Ian Happ,Chris Flexen,0,f38c65f0-5e54-4687-ad25-1d3ddb2cdc70,623167.0,chrisflexen,Flexen,Right,Chris Flexen,CHW,5.29,4.75,134.1,97.0,52.0,91.0,0.803,6.3,3.68,9.92,1.27,0.79,0.255,0.401,0.164,0.315,0.374,126.0,98.0,104.0,82.0,99.0,100.0,-4.0,92.0,81.0,87.0,119.0,94.0,149.0,102.0,102.0,45.0,102.0,92.0,0.002,0.373,0.271,0.087,0.119,0.149,-0.85,-0.4,2.93,-1.74,0.16,-1.46,91.3,87.4,81.3,91.3,80.1,72.1,0.266,0.488,0.117,0.303,0.497,0.21,0.259,0.42,0.362,0.26,0.42,0.309,0.319,0.447,0.253,,,,,,,,,,,,,,,,,,,,,
1,2024-08-10,746761,Flyout,field_out,True,683737,623167,Michael Busch,Chris Flexen,0,e5fa5012-c541-42ef-91ac-65d56354cf16,623167.0,chrisflexen,Flexen,Right,Chris Flexen,CHW,5.29,4.75,134.1,97.0,52.0,91.0,0.803,6.3,3.68,9.92,1.27,0.79,0.255,0.401,0.164,0.315,0.374,126.0,98.0,104.0,82.0,99.0,100.0,-4.0,92.0,81.0,87.0,119.0,94.0,149.0,102.0,102.0,45.0,102.0,92.0,0.002,0.373,0.271,0.087,0.119,0.149,-0.85,-0.4,2.93,-1.74,0.16,-1.46,91.3,87.4,81.3,91.3,80.1,72.1,0.266,0.488,0.117,0.303,0.497,0.21,0.259,0.42,0.362,0.26,0.42,0.309,0.319,0.447,0.253,,,,,,,,,,,,,,,,,,,,,
2,2024-08-10,746761,Pop Out,field_out,True,673548,623167,Seiya Suzuki,Chris Flexen,0,6b92dd26-2798-4968-add4-b02404e323ec,623167.0,chrisflexen,Flexen,Right,Chris Flexen,CHW,5.29,4.75,134.1,97.0,52.0,91.0,0.803,6.3,3.68,9.92,1.27,0.79,0.255,0.401,0.164,0.315,0.374,126.0,98.0,104.0,82.0,99.0,100.0,-4.0,92.0,81.0,87.0,119.0,94.0,149.0,102.0,102.0,45.0,102.0,92.0,0.002,0.373,0.271,0.087,0.119,0.149,-0.85,-0.4,2.93,-1.74,0.16,-1.46,91.3,87.4,81.3,91.3,80.1,72.1,0.266,0.488,0.117,0.303,0.497,0.21,0.259,0.42,0.362,0.26,0.42,0.309,0.319,0.447,0.253,,,,,,,,,,,,,,,,,,,,,
3,2024-08-10,746761,Walk,walk,False,641355,623167,Cody Bellinger,Chris Flexen,1,9dfd859f-63bd-4ff9-a5f1-4e8ad2556bf5,623167.0,chrisflexen,Flexen,Right,Chris Flexen,CHW,5.29,4.75,134.1,97.0,52.0,91.0,0.803,6.3,3.68,9.92,1.27,0.79,0.255,0.401,0.164,0.315,0.374,126.0,98.0,104.0,82.0,99.0,100.0,-4.0,92.0,81.0,87.0,119.0,94.0,149.0,102.0,102.0,45.0,102.0,92.0,0.002,0.373,0.271,0.087,0.119,0.149,-0.85,-0.4,2.93,-1.74,0.16,-1.46,91.3,87.4,81.3,91.3,80.1,72.1,0.266,0.488,0.117,0.303,0.497,0.21,0.259,0.42,0.362,0.26,0.42,0.309,0.319,0.447,0.253,,,,,,,,,,,,,,,,,,,,,
4,2024-08-10,746761,Flyout,field_out,True,670623,623167,Isaac Paredes,Chris Flexen,0,df37718d-98aa-4786-af93-31ba52e377c6,623167.0,chrisflexen,Flexen,Right,Chris Flexen,CHW,5.29,4.75,134.1,97.0,52.0,91.0,0.803,6.3,3.68,9.92,1.27,0.79,0.255,0.401,0.164,0.315,0.374,126.0,98.0,104.0,82.0,99.0,100.0,-4.0,92.0,81.0,87.0,119.0,94.0,149.0,102.0,102.0,45.0,102.0,92.0,0.002,0.373,0.271,0.087,0.119,0.149,-0.85,-0.4,2.93,-1.74,0.16,-1.46,91.3,87.4,81.3,91.3,80.1,72.1,0.266,0.488,0.117,0.303,0.497,0.21,0.259,0.42,0.362,0.26,0.42,0.309,0.319,0.447,0.253,,,,,,,,,,,,,,,,,,,,,
5,2024-08-10,746761,Single,single,False,672820,657006,Lenyn Sosa,Justin Steele,0,232116f2-69f5-4b0c-b5ec-19173ff58355,657006.0,justinsteele,Steele,Left,Justin Steele,CHC,3.09,2.77,128.0,103.0,100.0,102.0,0.791,9.21,2.39,7.38,0.77,1.15,0.288,0.385,0.173,0.271,0.512,70.0,93.0,95.0,92.0,120.0,109.0,89.0,101.0,99.0,62.0,104.0,96.0,131.0,105.0,110.0,,,,0.053,0.596,,0.297,0.022,0.032,0.35,,2.29,1.79,2.93,0.23,91.6,,86.4,91.7,83.2,79.9,0.257,0.406,0.221,,,,0.235,0.235,0.154,0.0,0.0,0.2,0.157,0.239,0.285,0.227,0.273,0.176,,,,,,,,,,,,,,,,,,
6,2024-08-10,746761,Strikeout,strikeout,True,673357,657006,Luis Robert Jr.,Justin Steele,0,f9700462-5520-4e5c-9bb9-ff10a1dfb31a,657006.0,justinsteele,Steele,Left,Justin Steele,CHC,3.09,2.77,128.0,103.0,100.0,102.0,0.791,9.21,2.39,7.38,0.77,1.15,0.288,0.385,0.173,0.271,0.512,70.0,93.0,95.0,92.0,120.0,109.0,89.0,101.0,99.0,62.0,104.0,96.0,131.0,105.0,110.0,,,,0.053,0.596,,0.297,0.022,0.032,0.35,,2.29,1.79,2.93,0.23,91.6,,86.4,91.7,83.2,79.9,0.257,0.406,0.221,,,,0.235,0.235,0.154,0.0,0.0,0.2,0.157,0.239,0.285,0.227,0.273,0.176,,,,,,,,,,,,,,,,,,
7,2024-08-10,746761,Strikeout,strikeout,True,643217,657006,Andrew Benintendi,Justin Steele,0,e7fedcf4-6dda-4940-a51f-a1ac8225c437,657006.0,justinsteele,Steele,Left,Justin Steele,CHC,3.09,2.77,128.0,103.0,100.0,102.0,0.791,9.21,2.39,7.38,0.77,1.15,0.288,0.385,0.173,0.271,0.512,70.0,93.0,95.0,92.0,120.0,109.0,89.0,101.0,99.0,62.0,104.0,96.0,131.0,105.0,110.0,,,,0.053,0.596,,0.297,0.022,0.032,0.35,,2.29,1.79,2.93,0.23,91.6,,86.4,91.7,83.2,79.9,0.257,0.406,0.221,,,,0.235,0.235,0.154,0.0,0.0,0.2,0.157,0.239,0.285,0.227,0.273,0.176,,,,,,,,,,,,,,,,,,
8,2024-08-10,746761,Walk,walk,False,683734,657006,Andrew Vaughn,Justin Steele,1,b1a336ac-70b6-4dde-aae5-1b40549b0677,657006.0,justinsteele,Steele,Left,Justin Steele,CHC,3.09,2.77,128.0,103.0,100.0,102.0,0.791,9.21,2.39,7.38,0.77,1.15,0.288,0.385,0.173,0.271,0.512,70.0,93.0,95.0,92.0,120.0,109.0,89.0,101.0,99.0,62.0,104.0,96.0,131.0,105.0,110.0,,,,0.053,0.596,,0.297,0.022,0.032,0.35,,2.29,1.79,2.93,0.23,91.6,,86.4,91.7,83.2,79.9,0.257,0.406,0.221,,,,0.235,0.235,0.154,0.0,0.0,0.2,0.157,0.239,0.285,0.227,0.273,0.176,,,,,,,,,,,,,,,,,,
9,2024-08-10,746761,Strikeout,strikeout,True,657757,657006,Gavin Sheets,Justin Steele,0,520a4ac3-d328-4024-bbf8-7f82c688a0a6,657006.0,justinsteele,Steele,Left,Justin Steele,CHC,3.09,2.77,128.0,103.0,100.0,102.0,0.791,9.21,2.39,7.38,0.77,1.15,0.288,0.385,0.173,0.271,0.512,70.0,93.0,95.0,92.0,120.0,109.0,89.0,101.0,99.0,62.0,104.0,96.0,131.0,105.0,110.0,,,,0.053,0.596,,0.297,0.022,0.032,0.35,,2.29,1.79,2.93,0.23,91.6,,86.4,91.7,83.2,79.9,0.257,0.406,0.221,,,,0.235,0.235,0.154,0.0,0.0,0.2,0.157,0.239,0.285,0.227,0.273,0.176,,,,,,,,,,,,,,,,,,
