,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,KC%,CH%,wFA/C,wFC/C,wSI/C,wKC/C,wCH/C,vFA,vFC,vCH,vSI,vKC,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SL,Loc+ SL,Pit+ SL,SL%,CU%,wSL/C,wCU/C,vSL,vCU,SL_ba,SL_slg,SL_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-08-16,745542,Flyout,field_out,True,669743,605400,Alex Call,Aaron Nola,0,776ecd4d-58ac-47b3-87c1-df716fc2a25d,605400.0,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.3,3.86,166.1,105.0,104.0,104.0,0.789,8.28,2.27,8.17,1.24,1.29,0.203,0.474,0.161,0.303,0.407,79.0,102.0,90.0,90.0,103.0,99.0,100.0,109.0,106.0,134.0,107.0,114.0,69.0,99.0,92.0,0.208,0.267,0.094,0.328,0.103,0.99,-2.84,-0.37,1.49,-1.74,92.4,87.4,85.6,91.5,79.1,0.204,0.333,0.338,0.155,0.303,0.212,0.312,0.482,0.136,0.293,0.448,0.143,0.404,0.83,0.162,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-08-16,745542,Hit By Pitch,hit_by_pitch,False,682928,605400,CJ Abrams,Aaron Nola,0,5e003366-5d84-4dd8-a5d8-c0e8ff0127ae,605400.0,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.3,3.86,166.1,105.0,104.0,104.0,0.789,8.28,2.27,8.17,1.24,1.29,0.203,0.474,0.161,0.303,0.407,79.0,102.0,90.0,90.0,103.0,99.0,100.0,109.0,106.0,134.0,107.0,114.0,69.0,99.0,92.0,0.208,0.267,0.094,0.328,0.103,0.99,-2.84,-0.37,1.49,-1.74,92.4,87.4,85.6,91.5,79.1,0.204,0.333,0.338,0.155,0.303,0.212,0.312,0.482,0.136,0.293,0.448,0.143,0.404,0.83,0.162,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-08-16,745542,Single,single,False,695578,605400,James Wood,Aaron Nola,1,2d73cb83-feb9-4e2f-9dfa-eca211ec7b1a,605400.0,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.3,3.86,166.1,105.0,104.0,104.0,0.789,8.28,2.27,8.17,1.24,1.29,0.203,0.474,0.161,0.303,0.407,79.0,102.0,90.0,90.0,103.0,99.0,100.0,109.0,106.0,134.0,107.0,114.0,69.0,99.0,92.0,0.208,0.267,0.094,0.328,0.103,0.99,-2.84,-0.37,1.49,-1.74,92.4,87.4,85.6,91.5,79.1,0.204,0.333,0.338,0.155,0.303,0.212,0.312,0.482,0.136,0.293,0.448,0.143,0.404,0.83,0.162,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-08-16,745542,Grounded Into DP,grounded_into_double_play,True,665953,605400,Andrés Chaparro,Aaron Nola,1,71c10dde-5b3d-4501-bc01-3559127c8ce7,605400.0,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.3,3.86,166.1,105.0,104.0,104.0,0.789,8.28,2.27,8.17,1.24,1.29,0.203,0.474,0.161,0.303,0.407,79.0,102.0,90.0,90.0,103.0,99.0,100.0,109.0,106.0,134.0,107.0,114.0,69.0,99.0,92.0,0.208,0.267,0.094,0.328,0.103,0.99,-2.84,-0.37,1.49,-1.74,92.4,87.4,85.6,91.5,79.1,0.204,0.333,0.338,0.155,0.303,0.212,0.312,0.482,0.136,0.293,0.448,0.143,0.404,0.83,0.162,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-08-16,745542,Groundout,field_out,True,656941,571578,Kyle Schwarber,Patrick Corbin,0,037e80de-4f16-4730-bda0-88b52c242680,571578.0,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.5,5.75,147.1,101.0,76.0,95.0,0.797,6.9,2.93,10.63,1.22,1.5,0.218,0.37,0.14,0.341,0.395,88.0,96.0,96.0,55.0,98.0,84.0,71.0,104.0,92.0,,,,77.0,106.0,99.0,0.346,0.086,0.179,0.001,0.04,-1.45,-0.37,-1.43,4.69,-5.52,91.3,85.2,81.0,91.5,63.2,0.5,2.0,0.545,0.318,0.591,0.135,0.333,0.54,0.09,0.409,0.773,0.279,0.29,0.439,0.225,65.0,90.0,85.0,87.0,97.0,96.0,0.338,0.012,0.28,-3.46,79.9,70.1,0.227,0.344,0.344,,,,,,,,,
5,2024-08-16,745542,Single,single,False,607208,571578,Trea Turner,Patrick Corbin,0,b897ac1e-13ab-44cb-a55a-74e9bfbdade1,571578.0,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.5,5.75,147.1,101.0,76.0,95.0,0.797,6.9,2.93,10.63,1.22,1.5,0.218,0.37,0.14,0.341,0.395,88.0,96.0,96.0,55.0,98.0,84.0,71.0,104.0,92.0,,,,77.0,106.0,99.0,0.346,0.086,0.179,0.001,0.04,-1.45,-0.37,-1.43,4.69,-5.52,91.3,85.2,81.0,91.5,63.2,0.5,2.0,0.545,0.318,0.591,0.135,0.333,0.54,0.09,0.409,0.773,0.279,0.29,0.439,0.225,65.0,90.0,85.0,87.0,97.0,96.0,0.338,0.012,0.28,-3.46,79.9,70.1,0.227,0.344,0.344,,,,,,,,,
6,2024-08-16,745542,Flyout,field_out,True,547180,571578,Bryce Harper,Patrick Corbin,0,79c7d7d6-cc53-4fd0-ac9f-0ce7a6c6e992,571578.0,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.5,5.75,147.1,101.0,76.0,95.0,0.797,6.9,2.93,10.63,1.22,1.5,0.218,0.37,0.14,0.341,0.395,88.0,96.0,96.0,55.0,98.0,84.0,71.0,104.0,92.0,,,,77.0,106.0,99.0,0.346,0.086,0.179,0.001,0.04,-1.45,-0.37,-1.43,4.69,-5.52,91.3,85.2,81.0,91.5,63.2,0.5,2.0,0.545,0.318,0.591,0.135,0.333,0.54,0.09,0.409,0.773,0.279,0.29,0.439,0.225,65.0,90.0,85.0,87.0,97.0,96.0,0.338,0.012,0.28,-3.46,79.9,70.1,0.227,0.344,0.344,,,,,,,,,
7,2024-08-16,745542,Single,single,False,664761,571578,Alec Bohm,Patrick Corbin,1,2df51492-524c-4c26-a65f-79620b2c543a,571578.0,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.5,5.75,147.1,101.0,76.0,95.0,0.797,6.9,2.93,10.63,1.22,1.5,0.218,0.37,0.14,0.341,0.395,88.0,96.0,96.0,55.0,98.0,84.0,71.0,104.0,92.0,,,,77.0,106.0,99.0,0.346,0.086,0.179,0.001,0.04,-1.45,-0.37,-1.43,4.69,-5.52,91.3,85.2,81.0,91.5,63.2,0.5,2.0,0.545,0.318,0.591,0.135,0.333,0.54,0.09,0.409,0.773,0.279,0.29,0.439,0.225,65.0,90.0,85.0,87.0,97.0,96.0,0.338,0.012,0.28,-3.46,79.9,70.1,0.227,0.344,0.344,,,,,,,,,
8,2024-08-16,745542,Flyout,field_out,True,592206,571578,Nick Castellanos,Patrick Corbin,0,7f30ec4a-e2a9-439e-be78-cb75e37928a0,571578.0,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.5,5.75,147.1,101.0,76.0,95.0,0.797,6.9,2.93,10.63,1.22,1.5,0.218,0.37,0.14,0.341,0.395,88.0,96.0,96.0,55.0,98.0,84.0,71.0,104.0,92.0,,,,77.0,106.0,99.0,0.346,0.086,0.179,0.001,0.04,-1.45,-0.37,-1.43,4.69,-5.52,91.3,85.2,81.0,91.5,63.2,0.5,2.0,0.545,0.318,0.591,0.135,0.333,0.54,0.09,0.409,0.773,0.279,0.29,0.439,0.225,65.0,90.0,85.0,87.0,97.0,96.0,0.338,0.012,0.28,-3.46,79.9,70.1,0.227,0.344,0.344,,,,,,,,,
9,2024-08-16,745542,Flyout,field_out,True,660688,605400,Keibert Ruiz,Aaron Nola,0,29db68ee-0f38-427b-8021-99a6ac25b19c,605400.0,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.3,3.86,166.1,105.0,104.0,104.0,0.789,8.28,2.27,8.17,1.24,1.29,0.203,0.474,0.161,0.303,0.407,79.0,102.0,90.0,90.0,103.0,99.0,100.0,109.0,106.0,134.0,107.0,114.0,69.0,99.0,92.0,0.208,0.267,0.094,0.328,0.103,0.99,-2.84,-0.37,1.49,-1.74,92.4,87.4,85.6,91.5,79.1,0.204,0.333,0.338,0.155,0.303,0.212,0.312,0.482,0.136,0.293,0.448,0.143,0.404,0.83,0.162,,,,,,,,,,,,,,,,,,,,,,,,
