,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,SL%,CU%,CH%,wSI/C,wSL/C,wCU/C,wCH/C,vCH,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FA,Loc+ FA,Pit+ FA,FA%,wFA/C,vFA,FF_ba,FF_slg,FF_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff
0,2024-08-29,746670,Groundout,field_out,True,671732,687924,Lawrence Butler,Julian Aguiar,0,a47b79e3-f8f3-4029-990e-61b7de795eb1,687924.0,julianaguiar,Aguiar,Right,Julian Aguiar,CIN,6.43,7.88,14.0,100.0,88.0,102.0,0.796,4.5,2.57,10.93,3.21,0.79,0.196,0.451,0.137,0.314,0.465,101.0,99.0,96.0,81.0,90.0,96.0,87.0,100.0,100.0,81.0,112.0,119.0,0.522,0.177,0.097,0.204,-0.9,1.52,-17.48,-0.1,83.5,94.0,79.3,78.2,0.303,0.667,0.145,0.231,0.308,0.391,0.143,0.143,0.25,0.6,1.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-08-29,746670,Single,single,False,667670,687924,Brent Rooker,Julian Aguiar,0,2ac9a82d-e813-4ba7-8005-8cda7b6a5d8e,687924.0,julianaguiar,Aguiar,Right,Julian Aguiar,CIN,6.43,7.88,14.0,100.0,88.0,102.0,0.796,4.5,2.57,10.93,3.21,0.79,0.196,0.451,0.137,0.314,0.465,101.0,99.0,96.0,81.0,90.0,96.0,87.0,100.0,100.0,81.0,112.0,119.0,0.522,0.177,0.097,0.204,-0.9,1.52,-17.48,-0.1,83.5,94.0,79.3,78.2,0.303,0.667,0.145,0.231,0.308,0.391,0.143,0.143,0.25,0.6,1.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-08-29,746670,Single,single,False,668709,687924,JJ Bleday,Julian Aguiar,1,c87cda0b-a722-41a5-b932-bfe6a915c993,687924.0,julianaguiar,Aguiar,Right,Julian Aguiar,CIN,6.43,7.88,14.0,100.0,88.0,102.0,0.796,4.5,2.57,10.93,3.21,0.79,0.196,0.451,0.137,0.314,0.465,101.0,99.0,96.0,81.0,90.0,96.0,87.0,100.0,100.0,81.0,112.0,119.0,0.522,0.177,0.097,0.204,-0.9,1.52,-17.48,-0.1,83.5,94.0,79.3,78.2,0.303,0.667,0.145,0.231,0.308,0.391,0.143,0.143,0.25,0.6,1.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-08-29,746670,Single,single,False,664913,687924,Seth Brown,Julian Aguiar,1,e7e98c43-3784-4102-b4e1-4fba995fa252,687924.0,julianaguiar,Aguiar,Right,Julian Aguiar,CIN,6.43,7.88,14.0,100.0,88.0,102.0,0.796,4.5,2.57,10.93,3.21,0.79,0.196,0.451,0.137,0.314,0.465,101.0,99.0,96.0,81.0,90.0,96.0,87.0,100.0,100.0,81.0,112.0,119.0,0.522,0.177,0.097,0.204,-0.9,1.52,-17.48,-0.1,83.5,94.0,79.3,78.2,0.303,0.667,0.145,0.231,0.308,0.391,0.143,0.143,0.25,0.6,1.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-08-29,746670,Forceout,force_out,True,663662,687924,Daz Cameron,Julian Aguiar,1,755c3615-5462-48d2-92ef-3a597f0ba817,687924.0,julianaguiar,Aguiar,Right,Julian Aguiar,CIN,6.43,7.88,14.0,100.0,88.0,102.0,0.796,4.5,2.57,10.93,3.21,0.79,0.196,0.451,0.137,0.314,0.465,101.0,99.0,96.0,81.0,90.0,96.0,87.0,100.0,100.0,81.0,112.0,119.0,0.522,0.177,0.097,0.204,-0.9,1.52,-17.48,-0.1,83.5,94.0,79.3,78.2,0.303,0.667,0.145,0.231,0.308,0.391,0.143,0.143,0.25,0.6,1.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-08-29,746670,Forceout,force_out,True,680869,687924,Zack Gelof,Julian Aguiar,1,d9095981-bf94-4ff3-9be8-323b515df333,687924.0,julianaguiar,Aguiar,Right,Julian Aguiar,CIN,6.43,7.88,14.0,100.0,88.0,102.0,0.796,4.5,2.57,10.93,3.21,0.79,0.196,0.451,0.137,0.314,0.465,101.0,99.0,96.0,81.0,90.0,96.0,87.0,100.0,100.0,81.0,112.0,119.0,0.522,0.177,0.097,0.204,-0.9,1.52,-17.48,-0.1,83.5,94.0,79.3,78.2,0.303,0.667,0.145,0.231,0.308,0.391,0.143,0.143,0.25,0.6,1.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2024-08-29,746670,Groundout,field_out,True,663697,669372,Jonathan India,J.T. Ginn,0,611fb380-7517-456f-aa5b-c56f706e465c,669372.0,jtginn,Ginn,Right,J.T. Ginn,OAK,5.19,3.08,8.2,98.0,112.0,96.0,0.679,8.31,4.15,5.19,2.08,2.33,0.348,0.478,0.304,0.304,0.409,117.0,76.0,82.0,,,,110.0,99.0,92.0,121.0,108.0,111.0,0.535,0.276,,0.157,-2.03,4.75,,1.69,86.8,93.6,86.6,,0.211,0.579,0.286,,,,0.1,0.1,0.389,,,,74.0,95.0,92.0,0.031,-2.34,92.8,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-08-29,746670,Groundout,field_out,True,682829,669372,Elly De La Cruz,J.T. Ginn,0,54624bbe-bf3d-4060-82e4-acdd76b6a1e0,669372.0,jtginn,Ginn,Right,J.T. Ginn,OAK,5.19,3.08,8.2,98.0,112.0,96.0,0.679,8.31,4.15,5.19,2.08,2.33,0.348,0.478,0.304,0.304,0.409,117.0,76.0,82.0,,,,110.0,99.0,92.0,121.0,108.0,111.0,0.535,0.276,,0.157,-2.03,4.75,,1.69,86.8,93.6,86.6,,0.211,0.579,0.286,,,,0.1,0.1,0.389,,,,74.0,95.0,92.0,0.031,-2.34,92.8,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-08-29,746670,Strikeout,strikeout,True,663886,669372,Tyler Stephenson,J.T. Ginn,0,f0522b17-ca17-4211-aac5-62d6713acf04,669372.0,jtginn,Ginn,Right,J.T. Ginn,OAK,5.19,3.08,8.2,98.0,112.0,96.0,0.679,8.31,4.15,5.19,2.08,2.33,0.348,0.478,0.304,0.304,0.409,117.0,76.0,82.0,,,,110.0,99.0,92.0,121.0,108.0,111.0,0.535,0.276,,0.157,-2.03,4.75,,1.69,86.8,93.6,86.6,,0.211,0.579,0.286,,,,0.1,0.1,0.389,,,,74.0,95.0,92.0,0.031,-2.34,92.8,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-08-29,746670,Single,single,False,668832,687924,Kyle McCann,Julian Aguiar,0,dbee11e2-ced6-4e8c-9021-3be3f36c70f0,687924.0,julianaguiar,Aguiar,Right,Julian Aguiar,CIN,6.43,7.88,14.0,100.0,88.0,102.0,0.796,4.5,2.57,10.93,3.21,0.79,0.196,0.451,0.137,0.314,0.465,101.0,99.0,96.0,81.0,90.0,96.0,87.0,100.0,100.0,81.0,112.0,119.0,0.522,0.177,0.097,0.204,-0.9,1.52,-17.48,-0.1,83.5,94.0,79.3,78.2,0.303,0.667,0.145,0.231,0.308,0.391,0.143,0.143,0.25,0.6,1.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
