,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,CU%,wFA/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFS,vSI,vSL,vCU,SL_ba,SL_slg,SL_whiff,FS_ba,FS_slg,FS_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CH%,wFC/C,wCH/C,vFC,vCH,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
67,2024-04-18,746485,Flyout,field_out,True,570482,570632,Gio Urshela,José Ureña,0,c23f8af6-51d7-4b71-a5bd-8d585c7e287d,570632.0,joseurena,Ureña,Right,José Ureña,TEX,3.13,3.67,69.0,98.0,88.0,96.0,0.775,6.13,2.87,7.96,1.04,1.66,0.237,0.437,0.144,0.298,0.382,,,,87.0,97.0,93.0,93.0,99.0,97.0,87.0,99.0,98.0,,,,0.394,0.067,,0.365,,-2.63,,1.6,-0.1,,96.2,,95.9,86.7,,0.226,0.333,0.363,,,,0.429,1.0,0.229,0.234,0.298,0.101,,,,75.0,96.0,89.0,,,,,0.174,,-0.43,,88.7,0.238,0.548,0.336,,,,,,,,,
68,2024-04-18,746485,Groundout,field_out,True,595879,600917,Javier Báez,José Leclerc,0,e554d857-75d2-4ede-9fc5-0dbbd4a87f93,600917.0,joseleclerc,Leclerc,Right,José Leclerc,TEX,3.95,3.8,41.0,95.0,110.0,98.0,0.628,11.85,5.27,5.49,0.88,0.85,0.217,0.457,0.152,0.348,0.368,,,,107.0,89.0,97.0,78.0,88.0,81.0,119.0,103.0,104.0,,,,0.046,0.352,,0.33,,0.85,,2.9,1.16,,95.1,,94.8,81.9,,0.193,0.298,0.504,,,,0.128,0.277,0.311,0.2,0.2,0.143,,,,66.0,99.0,89.0,134.0,94.0,99.0,0.167,0.105,-0.6,-0.04,90.0,88.1,0.111,0.111,0.556,0.227,0.364,0.259,,,,,,
69,2024-04-18,746485,Groundout,field_out,True,677649,571946,Ezequiel Duran,Shelby Miller,0,f0014e0e-1dc4-424f-bb37-ddb02208c189,571946.0,shelbymiller,"Miller, S",Right,Shelby Miller,DET,5.23,4.13,32.2,96.0,105.0,98.0,0.766,8.27,1.93,6.34,1.65,0.82,0.261,0.435,0.109,0.348,0.459,,,,109.0,97.0,97.0,,,,87.0,102.0,96.0,100.0,99.0,107.0,,0.607,0.216,0.177,,1.32,-0.28,,-1.7,,93.2,86.6,,88.3,,0.25,0.583,0.238,0.233,0.4,0.236,0.156,0.344,0.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,2024-04-18,746485,Double,double,False,665750,571946,Leody Taveras,Shelby Miller,0,74bbd6ca-0c03-4fdf-82a3-730819109013,571946.0,shelbymiller,"Miller, S",Right,Shelby Miller,DET,5.23,4.13,32.2,96.0,105.0,98.0,0.766,8.27,1.93,6.34,1.65,0.82,0.261,0.435,0.109,0.348,0.459,,,,109.0,97.0,97.0,,,,87.0,102.0,96.0,100.0,99.0,107.0,,0.607,0.216,0.177,,1.32,-0.28,,-1.7,,93.2,86.6,,88.3,,0.25,0.583,0.238,0.233,0.4,0.236,0.156,0.344,0.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2024-04-18,746485,Fielders Choice,fielders_choice,False,543760,571946,Marcus Semien,Shelby Miller,1,118d584c-6a52-4cd3-a60d-e9e70b72c308,571946.0,shelbymiller,"Miller, S",Right,Shelby Miller,DET,5.23,4.13,32.2,96.0,105.0,98.0,0.766,8.27,1.93,6.34,1.65,0.82,0.261,0.435,0.109,0.348,0.459,,,,109.0,97.0,97.0,,,,87.0,102.0,96.0,100.0,99.0,107.0,,0.607,0.216,0.177,,1.32,-0.28,,-1.7,,93.2,86.6,,88.3,,0.25,0.583,0.238,0.233,0.4,0.236,0.156,0.344,0.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2024-04-18,746485,Fielders Choice,fielders_choice,False,608369,571946,Corey Seager,Shelby Miller,1,a9c029d3-7802-4520-9d12-28714e15204d,571946.0,shelbymiller,"Miller, S",Right,Shelby Miller,DET,5.23,4.13,32.2,96.0,105.0,98.0,0.766,8.27,1.93,6.34,1.65,0.82,0.261,0.435,0.109,0.348,0.459,,,,109.0,97.0,97.0,,,,87.0,102.0,96.0,100.0,99.0,107.0,,0.607,0.216,0.177,,1.32,-0.28,,-1.7,,93.2,86.6,,88.3,,0.25,0.583,0.238,0.233,0.4,0.236,0.156,0.344,0.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,2024-04-18,746485,Strikeout,strikeout,True,694497,571946,Evan Carter,Shelby Miller,0,c8d85a5e-7857-46be-b3fe-b6b5739914b8,571946.0,shelbymiller,"Miller, S",Right,Shelby Miller,DET,5.23,4.13,32.2,96.0,105.0,98.0,0.766,8.27,1.93,6.34,1.65,0.82,0.261,0.435,0.109,0.348,0.459,,,,109.0,97.0,97.0,,,,87.0,102.0,96.0,100.0,99.0,107.0,,0.607,0.216,0.177,,1.32,-0.28,,-1.7,,93.2,86.6,,88.3,,0.25,0.583,0.238,0.233,0.4,0.236,0.156,0.344,0.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2024-04-18,746485,Groundout,field_out,True,666969,571946,Adolis García,Shelby Miller,0,f301fd46-0b14-4d1d-8293-f4004ccfac24,571946.0,shelbymiller,"Miller, S",Right,Shelby Miller,DET,5.23,4.13,32.2,96.0,105.0,98.0,0.766,8.27,1.93,6.34,1.65,0.82,0.261,0.435,0.109,0.348,0.459,,,,109.0,97.0,97.0,,,,87.0,102.0,96.0,100.0,99.0,107.0,,0.607,0.216,0.177,,1.32,-0.28,,-1.7,,93.2,86.6,,88.3,,0.25,0.583,0.238,0.233,0.4,0.236,0.156,0.344,0.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2024-04-18,746485,Strikeout,strikeout,True,656716,600917,Zach McKinstry,José Leclerc,0,0dea4049-4291-45f8-b2f0-73ad92c9b4de,600917.0,joseleclerc,Leclerc,Right,José Leclerc,TEX,3.95,3.8,41.0,95.0,110.0,98.0,0.628,11.85,5.27,5.49,0.88,0.85,0.217,0.457,0.152,0.348,0.368,,,,107.0,89.0,97.0,78.0,88.0,81.0,119.0,103.0,104.0,,,,0.046,0.352,,0.33,,0.85,,2.9,1.16,,95.1,,94.8,81.9,,0.193,0.298,0.504,,,,0.128,0.277,0.311,0.2,0.2,0.143,,,,66.0,99.0,89.0,134.0,94.0,99.0,0.167,0.105,-0.6,-0.04,90.0,88.1,0.111,0.111,0.556,0.227,0.364,0.259,,,,,,
76,2024-04-18,746485,Walk,walk,False,682985,600917,Riley Greene,José Leclerc,0,f6edf8c3-c218-4e2d-99f0-cb081efd1472,600917.0,joseleclerc,Leclerc,Right,José Leclerc,TEX,3.95,3.8,41.0,95.0,110.0,98.0,0.628,11.85,5.27,5.49,0.88,0.85,0.217,0.457,0.152,0.348,0.368,,,,107.0,89.0,97.0,78.0,88.0,81.0,119.0,103.0,104.0,,,,0.046,0.352,,0.33,,0.85,,2.9,1.16,,95.1,,94.8,81.9,,0.193,0.298,0.504,,,,0.128,0.277,0.311,0.2,0.2,0.143,,,,66.0,99.0,89.0,134.0,94.0,99.0,0.167,0.105,-0.6,-0.04,90.0,88.1,0.111,0.111,0.556,0.227,0.364,0.259,,,,,,
