,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vCH,vSL,vKC,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-07-07,745391,Home Run,home_run,False,682998,656302,Corbin Carroll,Dylan Cease,0,5acccead-225a-4544-abdb-cf2f6439fd51,656302.0,dylancease,Cease,Right,Dylan Cease,SDP,3.99,3.51,115.0,101.0,124.0,108.0,0.691,11.66,2.82,6.89,1.17,0.74,0.205,0.428,0.155,0.32,0.399,55.0,72.0,68.0,124.0,97.0,104.0,113.0,101.0,105.0,108.0,99.0,104.0,113.0,89.0,90.0,0.435,0.01,0.462,0.081,0.013,-0.1,-5.15,1.62,-0.64,-4.3,96.8,91.8,69.5,87.1,82.7,0.182,0.273,0.379,0.244,0.445,0.225,0.242,0.455,0.333,0.25,1.0,0.0,0.25,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-07-07,745391,Groundout,field_out,True,672515,656302,Gabriel Moreno,Dylan Cease,0,8b70710d-228f-4bf6-8f31-380ef31f5d1d,656302.0,dylancease,Cease,Right,Dylan Cease,SDP,3.99,3.51,115.0,101.0,124.0,108.0,0.691,11.66,2.82,6.89,1.17,0.74,0.205,0.428,0.155,0.32,0.399,55.0,72.0,68.0,124.0,97.0,104.0,113.0,101.0,105.0,108.0,99.0,104.0,113.0,89.0,90.0,0.435,0.01,0.462,0.081,0.013,-0.1,-5.15,1.62,-0.64,-4.3,96.8,91.8,69.5,87.1,82.7,0.182,0.273,0.379,0.244,0.445,0.225,0.242,0.455,0.333,0.25,1.0,0.0,0.25,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-07-07,745391,Flyout,field_out,True,592626,656302,Joc Pederson,Dylan Cease,0,42d00b67-e893-4e63-8bbd-a641e09ea079,656302.0,dylancease,Cease,Right,Dylan Cease,SDP,3.99,3.51,115.0,101.0,124.0,108.0,0.691,11.66,2.82,6.89,1.17,0.74,0.205,0.428,0.155,0.32,0.399,55.0,72.0,68.0,124.0,97.0,104.0,113.0,101.0,105.0,108.0,99.0,104.0,113.0,89.0,90.0,0.435,0.01,0.462,0.081,0.013,-0.1,-5.15,1.62,-0.64,-4.3,96.8,91.8,69.5,87.1,82.7,0.182,0.273,0.379,0.244,0.445,0.225,0.242,0.455,0.333,0.25,1.0,0.0,0.25,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-07-07,745391,Strikeout,strikeout,True,572233,656302,Christian Walker,Dylan Cease,0,63dd0390-b45d-4312-ac08-070bf567769d,656302.0,dylancease,Cease,Right,Dylan Cease,SDP,3.99,3.51,115.0,101.0,124.0,108.0,0.691,11.66,2.82,6.89,1.17,0.74,0.205,0.428,0.155,0.32,0.399,55.0,72.0,68.0,124.0,97.0,104.0,113.0,101.0,105.0,108.0,99.0,104.0,113.0,89.0,90.0,0.435,0.01,0.462,0.081,0.013,-0.1,-5.15,1.62,-0.64,-4.3,96.8,91.8,69.5,87.1,82.7,0.182,0.273,0.379,0.244,0.445,0.225,0.242,0.455,0.333,0.25,1.0,0.0,0.25,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-07-07,745391,Groundout,field_out,True,650333,669194,Luis Arraez,Ryne Nelson,0,1409c31a-8a41-4828-a2f4-06c40bc22989,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.78,4.39,92.1,105.0,97.0,103.0,0.842,6.63,2.14,10.33,0.97,1.13,0.27,0.375,0.14,0.358,0.471,105.0,100.0,109.0,101.0,107.0,105.0,108.0,112.0,110.0,,,,76.0,103.0,92.0,0.531,0.203,0.107,,0.094,0.45,-1.15,-1.78,,-4.16,95.0,91.4,83.4,84.5,,0.4,0.733,0.167,0.261,0.415,0.217,0.16,0.24,0.116,0.341,0.518,0.124,0.368,0.737,0.208,91.0,98.0,96.0,0.064,2.02,77.5,,,,,,,,,,,,,,,,,,
5,2024-07-07,745391,Home Run,home_run,False,595777,669194,Jurickson Profar,Ryne Nelson,0,d0eb7599-ddc5-4e98-95a1-6688131da877,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.78,4.39,92.1,105.0,97.0,103.0,0.842,6.63,2.14,10.33,0.97,1.13,0.27,0.375,0.14,0.358,0.471,105.0,100.0,109.0,101.0,107.0,105.0,108.0,112.0,110.0,,,,76.0,103.0,92.0,0.531,0.203,0.107,,0.094,0.45,-1.15,-1.78,,-4.16,95.0,91.4,83.4,84.5,,0.4,0.733,0.167,0.261,0.415,0.217,0.16,0.24,0.116,0.341,0.518,0.124,0.368,0.737,0.208,91.0,98.0,96.0,0.064,2.02,77.5,,,,,,,,,,,,,,,,,,
6,2024-07-07,745391,Strikeout,strikeout,True,630105,669194,Jake Cronenworth,Ryne Nelson,0,de3ceb70-9c1f-454f-a776-bfaec0fab48e,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.78,4.39,92.1,105.0,97.0,103.0,0.842,6.63,2.14,10.33,0.97,1.13,0.27,0.375,0.14,0.358,0.471,105.0,100.0,109.0,101.0,107.0,105.0,108.0,112.0,110.0,,,,76.0,103.0,92.0,0.531,0.203,0.107,,0.094,0.45,-1.15,-1.78,,-4.16,95.0,91.4,83.4,84.5,,0.4,0.733,0.167,0.261,0.415,0.217,0.16,0.24,0.116,0.341,0.518,0.124,0.368,0.737,0.208,91.0,98.0,96.0,0.064,2.02,77.5,,,,,,,,,,,,,,,,,,
7,2024-07-07,745391,Pop Out,field_out,True,592518,669194,Manny Machado,Ryne Nelson,0,5098b724-873b-456c-b67c-00551cb64076,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.78,4.39,92.1,105.0,97.0,103.0,0.842,6.63,2.14,10.33,0.97,1.13,0.27,0.375,0.14,0.358,0.471,105.0,100.0,109.0,101.0,107.0,105.0,108.0,112.0,110.0,,,,76.0,103.0,92.0,0.531,0.203,0.107,,0.094,0.45,-1.15,-1.78,,-4.16,95.0,91.4,83.4,84.5,,0.4,0.733,0.167,0.261,0.415,0.217,0.16,0.24,0.116,0.341,0.518,0.124,0.368,0.737,0.208,91.0,98.0,96.0,0.064,2.02,77.5,,,,,,,,,,,,,,,,,,
8,2024-07-07,745391,Single,single,False,664983,656302,Jake McCarthy,Dylan Cease,0,c4e8572b-5951-4181-8c3e-049acca0f0dc,656302.0,dylancease,Cease,Right,Dylan Cease,SDP,3.99,3.51,115.0,101.0,124.0,108.0,0.691,11.66,2.82,6.89,1.17,0.74,0.205,0.428,0.155,0.32,0.399,55.0,72.0,68.0,124.0,97.0,104.0,113.0,101.0,105.0,108.0,99.0,104.0,113.0,89.0,90.0,0.435,0.01,0.462,0.081,0.013,-0.1,-5.15,1.62,-0.64,-4.3,96.8,91.8,69.5,87.1,82.7,0.182,0.273,0.379,0.244,0.445,0.225,0.242,0.455,0.333,0.25,1.0,0.0,0.25,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-07-07,745391,Grounded Into DP,grounded_into_double_play,True,672695,656302,Geraldo Perdomo,Dylan Cease,1,c0311bd5-b77b-47eb-8a5d-fef4c6aee572,656302.0,dylancease,Cease,Right,Dylan Cease,SDP,3.99,3.51,115.0,101.0,124.0,108.0,0.691,11.66,2.82,6.89,1.17,0.74,0.205,0.428,0.155,0.32,0.399,55.0,72.0,68.0,124.0,97.0,104.0,113.0,101.0,105.0,108.0,99.0,104.0,113.0,89.0,90.0,0.435,0.01,0.462,0.081,0.013,-0.1,-5.15,1.62,-0.64,-4.3,96.8,91.8,69.5,87.1,82.7,0.182,0.273,0.379,0.244,0.445,0.225,0.242,0.455,0.333,0.25,1.0,0.0,0.25,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,
