,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,SI%,FA%,CU%,CH%,wFA/C,wSI/C,wCU/C,wCH/C,vFA,vCH,vSI,vCU,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,SV_ba,SV_slg,SV_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,SL_slg,SL_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-06-15,745805,Groundout,field_out,True,650333,500779,Luis Arraez,Jose Quintana,0,0b08f8ce-b0b9-4683-be10-34a96d7d6b06,500779.0,josequintana,Quintana,Left,Jose Quintana,NYM,4.13,5.19,102.1,98.0,82.0,93.0,0.809,6.95,2.99,8.36,1.5,1.36,0.216,0.422,0.152,0.368,0.351,71.0,101.0,97.0,108.0,104.0,101.0,69.0,93.0,86.0,75.0,97.0,91.0,0.318,0.207,0.277,0.199,-1.6,-0.01,0.72,0.78,90.5,85.8,90.7,77.8,0.271,0.504,0.137,0.255,0.415,0.247,0.188,0.263,0.314,0.281,0.579,0.149,0.154,0.269,0.327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-06-15,745805,Double,double,False,665487,500779,Fernando Tatis Jr.,Jose Quintana,0,c89724d7-87a9-4b81-b32d-8cfc07b76f71,500779.0,josequintana,Quintana,Left,Jose Quintana,NYM,4.13,5.19,102.1,98.0,82.0,93.0,0.809,6.95,2.99,8.36,1.5,1.36,0.216,0.422,0.152,0.368,0.351,71.0,101.0,97.0,108.0,104.0,101.0,69.0,93.0,86.0,75.0,97.0,91.0,0.318,0.207,0.277,0.199,-1.6,-0.01,0.72,0.78,90.5,85.8,90.7,77.8,0.271,0.504,0.137,0.255,0.415,0.247,0.188,0.263,0.314,0.281,0.579,0.149,0.154,0.269,0.327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-06-15,745805,Pop Out,field_out,True,595777,500779,Jurickson Profar,Jose Quintana,0,0fae98e6-dfaa-406c-9392-7883e6f4c9d1,500779.0,josequintana,Quintana,Left,Jose Quintana,NYM,4.13,5.19,102.1,98.0,82.0,93.0,0.809,6.95,2.99,8.36,1.5,1.36,0.216,0.422,0.152,0.368,0.351,71.0,101.0,97.0,108.0,104.0,101.0,69.0,93.0,86.0,75.0,97.0,91.0,0.318,0.207,0.277,0.199,-1.6,-0.01,0.72,0.78,90.5,85.8,90.7,77.8,0.271,0.504,0.137,0.255,0.415,0.247,0.188,0.263,0.314,0.281,0.579,0.149,0.154,0.269,0.327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-06-15,745805,Flyout,field_out,True,592518,500779,Manny Machado,Jose Quintana,0,afe2f6d8-d7e8-444d-97d1-ead8ebf95e41,500779.0,josequintana,Quintana,Left,Jose Quintana,NYM,4.13,5.19,102.1,98.0,82.0,93.0,0.809,6.95,2.99,8.36,1.5,1.36,0.216,0.422,0.152,0.368,0.351,71.0,101.0,97.0,108.0,104.0,101.0,69.0,93.0,86.0,75.0,97.0,91.0,0.318,0.207,0.277,0.199,-1.6,-0.01,0.72,0.78,90.5,85.8,90.7,77.8,0.271,0.504,0.137,0.255,0.415,0.247,0.188,0.263,0.314,0.281,0.579,0.149,0.154,0.269,0.327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-06-15,745805,Walk,walk,False,596019,800049,Francisco Lindor,Adam Mazur,0,e39a88eb-5c7a-460f-9ed7-68148160580a,800049.0,adammazur,Mazur,Right,Adam Mazur,SDP,7.84,5.26,31.0,95.0,99.0,97.0,0.845,6.1,5.52,11.03,1.45,0.78,0.219,0.39,0.133,0.333,0.415,81.0,84.0,86.0,113.0,104.0,109.0,78.0,95.0,89.0,91.0,90.0,79.0,0.04,0.382,0.132,0.099,-3.09,-4.98,-2.61,-2.66,94.7,90.0,93.9,80.7,0.429,0.429,0.083,0.364,0.818,0.083,0.429,0.571,0.316,0.34,0.64,0.131,,,,124.0,98.0,108.0,0.347,1.08,86.8,0.224,0.347,0.244,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-06-15,745805,Strikeout,strikeout,True,607043,800049,Brandon Nimmo,Adam Mazur,1,5ad7706a-cb45-4deb-bc91-b6fed147c8be,800049.0,adammazur,Mazur,Right,Adam Mazur,SDP,7.84,5.26,31.0,95.0,99.0,97.0,0.845,6.1,5.52,11.03,1.45,0.78,0.219,0.39,0.133,0.333,0.415,81.0,84.0,86.0,113.0,104.0,109.0,78.0,95.0,89.0,91.0,90.0,79.0,0.04,0.382,0.132,0.099,-3.09,-4.98,-2.61,-2.66,94.7,90.0,93.9,80.7,0.429,0.429,0.083,0.364,0.818,0.083,0.429,0.571,0.316,0.34,0.64,0.131,,,,124.0,98.0,108.0,0.347,1.08,86.8,0.224,0.347,0.244,,,,,,,,,,,,,,,,,,,,,,,,
6,2024-06-15,745805,Walk,walk,False,502110,800049,J.D. Martinez,Adam Mazur,0,6a44e021-225c-4fce-b586-e01496b6c999,800049.0,adammazur,Mazur,Right,Adam Mazur,SDP,7.84,5.26,31.0,95.0,99.0,97.0,0.845,6.1,5.52,11.03,1.45,0.78,0.219,0.39,0.133,0.333,0.415,81.0,84.0,86.0,113.0,104.0,109.0,78.0,95.0,89.0,91.0,90.0,79.0,0.04,0.382,0.132,0.099,-3.09,-4.98,-2.61,-2.66,94.7,90.0,93.9,80.7,0.429,0.429,0.083,0.364,0.818,0.083,0.429,0.571,0.316,0.34,0.64,0.131,,,,124.0,98.0,108.0,0.347,1.08,86.8,0.224,0.347,0.244,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-06-15,745805,Strikeout,strikeout,True,624413,800049,Pete Alonso,Adam Mazur,0,73a2f6aa-712a-4eaf-b82b-d6349e0a3aca,800049.0,adammazur,Mazur,Right,Adam Mazur,SDP,7.84,5.26,31.0,95.0,99.0,97.0,0.845,6.1,5.52,11.03,1.45,0.78,0.219,0.39,0.133,0.333,0.415,81.0,84.0,86.0,113.0,104.0,109.0,78.0,95.0,89.0,91.0,90.0,79.0,0.04,0.382,0.132,0.099,-3.09,-4.98,-2.61,-2.66,94.7,90.0,93.9,80.7,0.429,0.429,0.083,0.364,0.818,0.083,0.429,0.571,0.316,0.34,0.64,0.131,,,,124.0,98.0,108.0,0.347,1.08,86.8,0.224,0.347,0.244,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-06-15,745805,Lineout,field_out,True,621466,800049,DJ Stewart,Adam Mazur,0,19eb60c6-afd1-4bc4-b0e5-4743ee4b1514,800049.0,adammazur,Mazur,Right,Adam Mazur,SDP,7.84,5.26,31.0,95.0,99.0,97.0,0.845,6.1,5.52,11.03,1.45,0.78,0.219,0.39,0.133,0.333,0.415,81.0,84.0,86.0,113.0,104.0,109.0,78.0,95.0,89.0,91.0,90.0,79.0,0.04,0.382,0.132,0.099,-3.09,-4.98,-2.61,-2.66,94.7,90.0,93.9,80.7,0.429,0.429,0.083,0.364,0.818,0.083,0.429,0.571,0.316,0.34,0.64,0.131,,,,124.0,98.0,108.0,0.347,1.08,86.8,0.224,0.347,0.244,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-06-15,745805,Strikeout,strikeout,True,456781,500779,Donovan Solano,Jose Quintana,0,46336243-b36b-4103-adc4-b762cf761219,500779.0,josequintana,Quintana,Left,Jose Quintana,NYM,4.13,5.19,102.1,98.0,82.0,93.0,0.809,6.95,2.99,8.36,1.5,1.36,0.216,0.422,0.152,0.368,0.351,71.0,101.0,97.0,108.0,104.0,101.0,69.0,93.0,86.0,75.0,97.0,91.0,0.318,0.207,0.277,0.199,-1.6,-0.01,0.72,0.78,90.5,85.8,90.7,77.8,0.271,0.504,0.137,0.255,0.415,0.247,0.188,0.263,0.314,0.281,0.579,0.149,0.154,0.269,0.327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2024-06-15,745805,Strikeout,strikeout,True,630105,500779,Jake Cronenworth,Jose Quintana,0,3b4bd6f9-b1c7-43a1-bff1-ec847212c011,500779.0,josequintana,Quintana,Left,Jose Quintana,NYM,4.13,5.19,102.1,98.0,82.0,93.0,0.809,6.95,2.99,8.36,1.5,1.36,0.216,0.422,0.152,0.368,0.351,71.0,101.0,97.0,108.0,104.0,101.0,69.0,93.0,86.0,75.0,97.0,91.0,0.318,0.207,0.277,0.199,-1.6,-0.01,0.72,0.78,90.5,85.8,90.7,77.8,0.271,0.504,0.137,0.255,0.415,0.247,0.188,0.263,0.314,0.281,0.579,0.149,0.154,0.269,0.327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2024-06-15,745805,Pop Out,field_out,True,701538,500779,Jackson Merrill,Jose Quintana,0,bc2ed135-a18b-4066-b616-cc2af0e8bd02,500779.0,josequintana,Quintana,Left,Jose Quintana,NYM,4.13,5.19,102.1,98.0,82.0,93.0,0.809,6.95,2.99,8.36,1.5,1.36,0.216,0.422,0.152,0.368,0.351,71.0,101.0,97.0,108.0,104.0,101.0,69.0,93.0,86.0,75.0,97.0,91.0,0.318,0.207,0.277,0.199,-1.6,-0.01,0.72,0.78,90.5,85.8,90.7,77.8,0.271,0.504,0.137,0.255,0.415,0.247,0.188,0.263,0.314,0.281,0.579,0.149,0.154,0.269,0.327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2024-06-15,745805,Walk,walk,False,668901,800049,Mark Vientos,Adam Mazur,0,e68df8bb-d87c-4b25-a29f-9fa4441f47aa,800049.0,adammazur,Mazur,Right,Adam Mazur,SDP,7.84,5.26,31.0,95.0,99.0,97.0,0.845,6.1,5.52,11.03,1.45,0.78,0.219,0.39,0.133,0.333,0.415,81.0,84.0,86.0,113.0,104.0,109.0,78.0,95.0,89.0,91.0,90.0,79.0,0.04,0.382,0.132,0.099,-3.09,-4.98,-2.61,-2.66,94.7,90.0,93.9,80.7,0.429,0.429,0.083,0.364,0.818,0.083,0.429,0.571,0.316,0.34,0.64,0.131,,,,124.0,98.0,108.0,0.347,1.08,86.8,0.224,0.347,0.244,,,,,,,,,,,,,,,,,,,,,,,,
13,2024-06-15,745805,Flyout,field_out,True,682626,800049,Francisco Alvarez,Adam Mazur,0,cf3f9035-6b13-46a0-ae0c-29c88ca2c081,800049.0,adammazur,Mazur,Right,Adam Mazur,SDP,7.84,5.26,31.0,95.0,99.0,97.0,0.845,6.1,5.52,11.03,1.45,0.78,0.219,0.39,0.133,0.333,0.415,81.0,84.0,86.0,113.0,104.0,109.0,78.0,95.0,89.0,91.0,90.0,79.0,0.04,0.382,0.132,0.099,-3.09,-4.98,-2.61,-2.66,94.7,90.0,93.9,80.7,0.429,0.429,0.083,0.364,0.818,0.083,0.429,0.571,0.316,0.34,0.64,0.131,,,,124.0,98.0,108.0,0.347,1.08,86.8,0.224,0.347,0.244,,,,,,,,,,,,,,,,,,,,,,,,
14,2024-06-15,745805,Flyout,field_out,True,643446,800049,Jeff McNeil,Adam Mazur,0,317d76a6-23cc-4ee8-ad88-c0b2f6d2795f,800049.0,adammazur,Mazur,Right,Adam Mazur,SDP,7.84,5.26,31.0,95.0,99.0,97.0,0.845,6.1,5.52,11.03,1.45,0.78,0.219,0.39,0.133,0.333,0.415,81.0,84.0,86.0,113.0,104.0,109.0,78.0,95.0,89.0,91.0,90.0,79.0,0.04,0.382,0.132,0.099,-3.09,-4.98,-2.61,-2.66,94.7,90.0,93.9,80.7,0.429,0.429,0.083,0.364,0.818,0.083,0.429,0.571,0.316,0.34,0.64,0.131,,,,124.0,98.0,108.0,0.347,1.08,86.8,0.224,0.347,0.244,,,,,,,,,,,,,,,,,,,,,,,,
15,2024-06-15,745805,Single,single,False,664056,800049,Harrison Bader,Adam Mazur,1,869034a2-95ea-4113-a314-80e5283f58db,800049.0,adammazur,Mazur,Right,Adam Mazur,SDP,7.84,5.26,31.0,95.0,99.0,97.0,0.845,6.1,5.52,11.03,1.45,0.78,0.219,0.39,0.133,0.333,0.415,81.0,84.0,86.0,113.0,104.0,109.0,78.0,95.0,89.0,91.0,90.0,79.0,0.04,0.382,0.132,0.099,-3.09,-4.98,-2.61,-2.66,94.7,90.0,93.9,80.7,0.429,0.429,0.083,0.364,0.818,0.083,0.429,0.571,0.316,0.34,0.64,0.131,,,,124.0,98.0,108.0,0.347,1.08,86.8,0.224,0.347,0.244,,,,,,,,,,,,,,,,,,,,,,,,
16,2024-06-15,745805,Walk,walk,False,596019,800049,Francisco Lindor,Adam Mazur,1,11ea3973-2f9e-4ed6-aa13-91f9138674ed,800049.0,adammazur,Mazur,Right,Adam Mazur,SDP,7.84,5.26,31.0,95.0,99.0,97.0,0.845,6.1,5.52,11.03,1.45,0.78,0.219,0.39,0.133,0.333,0.415,81.0,84.0,86.0,113.0,104.0,109.0,78.0,95.0,89.0,91.0,90.0,79.0,0.04,0.382,0.132,0.099,-3.09,-4.98,-2.61,-2.66,94.7,90.0,93.9,80.7,0.429,0.429,0.083,0.364,0.818,0.083,0.429,0.571,0.316,0.34,0.64,0.131,,,,124.0,98.0,108.0,0.347,1.08,86.8,0.224,0.347,0.244,,,,,,,,,,,,,,,,,,,,,,,,
17,2024-06-15,745805,Pop Out,field_out,True,607043,800049,Brandon Nimmo,Adam Mazur,0,c657fbef-aafe-4552-8f1b-06865c1467ad,800049.0,adammazur,Mazur,Right,Adam Mazur,SDP,7.84,5.26,31.0,95.0,99.0,97.0,0.845,6.1,5.52,11.03,1.45,0.78,0.219,0.39,0.133,0.333,0.415,81.0,84.0,86.0,113.0,104.0,109.0,78.0,95.0,89.0,91.0,90.0,79.0,0.04,0.382,0.132,0.099,-3.09,-4.98,-2.61,-2.66,94.7,90.0,93.9,80.7,0.429,0.429,0.083,0.364,0.818,0.083,0.429,0.571,0.316,0.34,0.64,0.131,,,,124.0,98.0,108.0,0.347,1.08,86.8,0.224,0.347,0.244,,,,,,,,,,,,,,,,,,,,,,,,
