,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CH%,wFA/C,wSL/C,wCH/C,vFA,vCH,vSL,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CU%,wSI/C,wCU/C,vSI,vCU,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,KC%,wFC/C,wKC/C,vFC,vKC,FC_ba,FC_slg,FC_whiff,SV_ba,SV_slg,SV_whiff
0,2024-06-12,746294,Single,single,False,683011,656186,Anthony Volpe,Dan Altavilla,0,9507a02b-830f-43ed-b961-858ec8285d37,656186.0,danaltavilla,Altavilla,Right,Dan Altavilla,KCR,14.73,5.87,3.2,97.0,111.0,98.0,0.714,12.27,7.36,12.27,2.45,2.0,0.182,0.364,0.182,0.182,0.47,129.0,112.0,121.0,118.0,97.0,93.0,98.0,96.0,102.0,0.578,0.373,0.048,-4.14,-3.05,10.44,96.8,91.1,90.4,0.333,0.583,0.304,0.5,1.0,0.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-06-12,746294,Walk,walk,False,665742,656186,Juan Soto,Dan Altavilla,1,b83525c5-ad96-4088-bc8a-f0a4865f78fc,656186.0,danaltavilla,Altavilla,Right,Dan Altavilla,KCR,14.73,5.87,3.2,97.0,111.0,98.0,0.714,12.27,7.36,12.27,2.45,2.0,0.182,0.364,0.182,0.182,0.47,129.0,112.0,121.0,118.0,97.0,93.0,98.0,96.0,102.0,0.578,0.373,0.048,-4.14,-3.05,10.44,96.8,91.1,90.4,0.333,0.583,0.304,0.5,1.0,0.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-06-12,746294,Single,single,False,592450,656186,Aaron Judge,Dan Altavilla,1,2b00aa2f-38db-49ea-bd06-72c26506c151,656186.0,danaltavilla,Altavilla,Right,Dan Altavilla,KCR,14.73,5.87,3.2,97.0,111.0,98.0,0.714,12.27,7.36,12.27,2.45,2.0,0.182,0.364,0.182,0.182,0.47,129.0,112.0,121.0,118.0,97.0,93.0,98.0,96.0,102.0,0.578,0.373,0.048,-4.14,-3.05,10.44,96.8,91.1,90.4,0.333,0.583,0.304,0.5,1.0,0.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-06-12,746294,Strikeout,strikeout,True,519317,656186,Giancarlo Stanton,Dan Altavilla,0,a61e2daf-6f52-4e6a-aa94-f59697c671a8,656186.0,danaltavilla,Altavilla,Right,Dan Altavilla,KCR,14.73,5.87,3.2,97.0,111.0,98.0,0.714,12.27,7.36,12.27,2.45,2.0,0.182,0.364,0.182,0.182,0.47,129.0,112.0,121.0,118.0,97.0,93.0,98.0,96.0,102.0,0.578,0.373,0.048,-4.14,-3.05,10.44,96.8,91.1,90.4,0.333,0.583,0.304,0.5,1.0,0.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-06-12,746294,Single,single,False,657077,656186,Alex Verdugo,Dan Altavilla,1,c6eca5ac-5e3b-4a58-9ab2-637509124cc8,656186.0,danaltavilla,Altavilla,Right,Dan Altavilla,KCR,14.73,5.87,3.2,97.0,111.0,98.0,0.714,12.27,7.36,12.27,2.45,2.0,0.182,0.364,0.182,0.182,0.47,129.0,112.0,121.0,118.0,97.0,93.0,98.0,96.0,102.0,0.578,0.373,0.048,-4.14,-3.05,10.44,96.8,91.1,90.4,0.333,0.583,0.304,0.5,1.0,0.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-06-12,746294,Walk,walk,False,650402,656186,Gleyber Torres,Dan Altavilla,1,1efb27c0-9530-4715-a285-a34b517152be,656186.0,danaltavilla,Altavilla,Right,Dan Altavilla,KCR,14.73,5.87,3.2,97.0,111.0,98.0,0.714,12.27,7.36,12.27,2.45,2.0,0.182,0.364,0.182,0.182,0.47,129.0,112.0,121.0,118.0,97.0,93.0,98.0,96.0,102.0,0.578,0.373,0.048,-4.14,-3.05,10.44,96.8,91.1,90.4,0.333,0.583,0.304,0.5,1.0,0.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2024-06-12,746294,Sac Fly,sac_fly,True,519203,663738,Anthony Rizzo,Daniel Lynch IV,1,9538bf7d-7e16-4ef4-9660-602d64e7a27a,663738.0,daniellynchiv,Lynch IV,Left,Daniel Lynch IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209,0.535,0.082,0.077,0.308,0.433,0.381,0.524,0.256,0.2,0.2,0.0,0.333,0.667,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-06-12,746294,Home Run,home_run,False,624431,663738,Jose Trevino,Daniel Lynch IV,1,2d2979f2-b5e2-4c49-94ff-49040618bc7f,663738.0,daniellynchiv,Lynch IV,Left,Daniel Lynch IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209,0.535,0.082,0.077,0.308,0.433,0.381,0.524,0.256,0.2,0.2,0.0,0.333,0.667,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-06-12,746294,Groundout,field_out,True,518934,663738,DJ LeMahieu,Daniel Lynch IV,0,f499b401-ea1e-4dc9-95fd-c18080b907d3,663738.0,daniellynchiv,Lynch IV,Left,Daniel Lynch IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209,0.535,0.082,0.077,0.308,0.433,0.381,0.524,0.256,0.2,0.2,0.0,0.333,0.667,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-06-12,746294,Groundout,field_out,True,672580,547001,Maikel Garcia,Cody Poteet,0,12c202ae-4018-4254-9298-d0765185223b,547001.0,codypoteet,Poteet,Right,Cody Poteet,NYY,2.14,5.02,21.0,103.0,93.0,100.0,0.858,5.57,3.0,6.43,0.86,1.42,0.213,0.459,0.082,0.197,0.379,108.0,103.0,105.0,77.0,96.0,92.0,133.0,94.0,102.0,0.291,0.165,0.205,0.74,0.66,2.39,93.3,86.9,80.7,0.143,0.143,0.176,0.25,0.25,0.19,0.2,0.2,0.206,0.16,0.36,0.05,0.375,0.75,0.167,104.0,106.0,101.0,79.0,105.0,95.0,0.242,0.098,3.05,-2.58,92.6,78.1,,,,,,,,,,,,,,,,,,
