,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff
0,2024-06-23,745727,Strikeout,strikeout,True,672284,641482,Jarred Kelenic,Nestor Cortes,0,0482d405-fce5-4c30-a06c-781b0e99c3d2,641482.0,nestorcortes,Cortes,Left,Nestor Cortes,NYY,3.67,3.46,115.1,102.0,98.0,101.0,0.784,8.58,1.72,8.35,1.25,0.61,0.264,0.357,0.162,0.3,0.445,84.0,106.0,98.0,95.0,104.0,101.0,91.0,119.0,117.0,91.0,103.0,103.0,109.0,100.0,103.0,0.009,0.455,0.298,0.163,0.075,-0.19,1.48,2.16,0.14,-2.51,91.9,87.2,83.2,89.9,78.1,0.247,0.489,0.219,0.236,0.333,0.264,0.3,0.4,0.182,0.255,0.489,0.338,0.143,0.143,0.286,,,,,,,,,
1,2024-06-23,745727,Strikeout,strikeout,True,645277,641482,Ozzie Albies,Nestor Cortes,0,b33945a5-0fcf-4182-bb88-d2ac3a630334,641482.0,nestorcortes,Cortes,Left,Nestor Cortes,NYY,3.67,3.46,115.1,102.0,98.0,101.0,0.784,8.58,1.72,8.35,1.25,0.61,0.264,0.357,0.162,0.3,0.445,84.0,106.0,98.0,95.0,104.0,101.0,91.0,119.0,117.0,91.0,103.0,103.0,109.0,100.0,103.0,0.009,0.455,0.298,0.163,0.075,-0.19,1.48,2.16,0.14,-2.51,91.9,87.2,83.2,89.9,78.1,0.247,0.489,0.219,0.236,0.333,0.264,0.3,0.4,0.182,0.255,0.489,0.338,0.143,0.143,0.286,,,,,,,,,
2,2024-06-23,745727,Strikeout,strikeout,True,542303,641482,Marcell Ozuna,Nestor Cortes,0,2f08280f-ab67-40be-a530-209a29212f12,641482.0,nestorcortes,Cortes,Left,Nestor Cortes,NYY,3.67,3.46,115.1,102.0,98.0,101.0,0.784,8.58,1.72,8.35,1.25,0.61,0.264,0.357,0.162,0.3,0.445,84.0,106.0,98.0,95.0,104.0,101.0,91.0,119.0,117.0,91.0,103.0,103.0,109.0,100.0,103.0,0.009,0.455,0.298,0.163,0.075,-0.19,1.48,2.16,0.14,-2.51,91.9,87.2,83.2,89.9,78.1,0.247,0.489,0.219,0.236,0.333,0.264,0.3,0.4,0.182,0.255,0.489,0.338,0.143,0.143,0.286,,,,,,,,,
3,2024-06-23,745727,Groundout,field_out,True,683011,608331,Anthony Volpe,Max Fried,0,8ef84af0-becd-4c67-9e82-32b22d8cc37b,608331.0,maxfried,Fried,Left,Max Fried,ATL,3.08,3.72,108.0,98.0,96.0,99.0,0.781,7.92,2.83,7.58,0.75,2.57,0.267,0.397,0.176,0.241,0.414,95.0,102.0,103.0,83.0,94.0,94.0,97.0,98.0,97.0,97.0,96.0,95.0,88.0,93.0,92.0,0.162,0.311,0.055,0.119,0.145,0.76,-0.23,1.8,0.7,1.72,93.8,89.3,86.1,93.7,82.7,0.287,0.369,0.2,0.308,0.308,0.313,0.25,0.25,0.296,0.186,0.271,0.24,0.231,0.256,0.165,110.0,102.0,106.0,0.208,0.93,74.4,0.158,0.329,0.313
4,2024-06-23,745727,Single,single,False,665742,608331,Juan Soto,Max Fried,0,20e89c68-9135-4651-a8a0-e00a3288a2b0,608331.0,maxfried,Fried,Left,Max Fried,ATL,3.08,3.72,108.0,98.0,96.0,99.0,0.781,7.92,2.83,7.58,0.75,2.57,0.267,0.397,0.176,0.241,0.414,95.0,102.0,103.0,83.0,94.0,94.0,97.0,98.0,97.0,97.0,96.0,95.0,88.0,93.0,92.0,0.162,0.311,0.055,0.119,0.145,0.76,-0.23,1.8,0.7,1.72,93.8,89.3,86.1,93.7,82.7,0.287,0.369,0.2,0.308,0.308,0.313,0.25,0.25,0.296,0.186,0.271,0.24,0.231,0.256,0.165,110.0,102.0,106.0,0.208,0.93,74.4,0.158,0.329,0.313
5,2024-06-23,745727,Strikeout,strikeout,True,592450,608331,Aaron Judge,Max Fried,0,4636eb5c-6916-4891-9623-b989e88bc71d,608331.0,maxfried,Fried,Left,Max Fried,ATL,3.08,3.72,108.0,98.0,96.0,99.0,0.781,7.92,2.83,7.58,0.75,2.57,0.267,0.397,0.176,0.241,0.414,95.0,102.0,103.0,83.0,94.0,94.0,97.0,98.0,97.0,97.0,96.0,95.0,88.0,93.0,92.0,0.162,0.311,0.055,0.119,0.145,0.76,-0.23,1.8,0.7,1.72,93.8,89.3,86.1,93.7,82.7,0.287,0.369,0.2,0.308,0.308,0.313,0.25,0.25,0.296,0.186,0.271,0.24,0.231,0.256,0.165,110.0,102.0,106.0,0.208,0.93,74.4,0.158,0.329,0.313
6,2024-06-23,745727,Groundout,field_out,True,657077,608331,Alex Verdugo,Max Fried,0,53837ea7-24ec-44c7-ad72-f9efd827497f,608331.0,maxfried,Fried,Left,Max Fried,ATL,3.08,3.72,108.0,98.0,96.0,99.0,0.781,7.92,2.83,7.58,0.75,2.57,0.267,0.397,0.176,0.241,0.414,95.0,102.0,103.0,83.0,94.0,94.0,97.0,98.0,97.0,97.0,96.0,95.0,88.0,93.0,92.0,0.162,0.311,0.055,0.119,0.145,0.76,-0.23,1.8,0.7,1.72,93.8,89.3,86.1,93.7,82.7,0.287,0.369,0.2,0.308,0.308,0.313,0.25,0.25,0.296,0.186,0.271,0.24,0.231,0.256,0.165,110.0,102.0,106.0,0.208,0.93,74.4,0.158,0.329,0.313
7,2024-06-23,745727,Flyout,field_out,True,621566,641482,Matt Olson,Nestor Cortes,0,314a5563-cc1d-48eb-9e91-7b0380b704d0,641482.0,nestorcortes,Cortes,Left,Nestor Cortes,NYY,3.67,3.46,115.1,102.0,98.0,101.0,0.784,8.58,1.72,8.35,1.25,0.61,0.264,0.357,0.162,0.3,0.445,84.0,106.0,98.0,95.0,104.0,101.0,91.0,119.0,117.0,91.0,103.0,103.0,109.0,100.0,103.0,0.009,0.455,0.298,0.163,0.075,-0.19,1.48,2.16,0.14,-2.51,91.9,87.2,83.2,89.9,78.1,0.247,0.489,0.219,0.236,0.333,0.264,0.3,0.4,0.182,0.255,0.489,0.338,0.143,0.143,0.286,,,,,,,,,
8,2024-06-23,745727,Groundout,field_out,True,663586,641482,Austin Riley,Nestor Cortes,0,0c7b54e1-7402-4d6c-b5b0-fdc9c7a1c4eb,641482.0,nestorcortes,Cortes,Left,Nestor Cortes,NYY,3.67,3.46,115.1,102.0,98.0,101.0,0.784,8.58,1.72,8.35,1.25,0.61,0.264,0.357,0.162,0.3,0.445,84.0,106.0,98.0,95.0,104.0,101.0,91.0,119.0,117.0,91.0,103.0,103.0,109.0,100.0,103.0,0.009,0.455,0.298,0.163,0.075,-0.19,1.48,2.16,0.14,-2.51,91.9,87.2,83.2,89.9,78.1,0.247,0.489,0.219,0.236,0.333,0.264,0.3,0.4,0.182,0.255,0.489,0.338,0.143,0.143,0.286,,,,,,,,,
9,2024-06-23,745727,Hit By Pitch,hit_by_pitch,False,669221,641482,Sean Murphy,Nestor Cortes,0,4b963abb-7590-4aa2-a60b-af8a97d8bbac,641482.0,nestorcortes,Cortes,Left,Nestor Cortes,NYY,3.67,3.46,115.1,102.0,98.0,101.0,0.784,8.58,1.72,8.35,1.25,0.61,0.264,0.357,0.162,0.3,0.445,84.0,106.0,98.0,95.0,104.0,101.0,91.0,119.0,117.0,91.0,103.0,103.0,109.0,100.0,103.0,0.009,0.455,0.298,0.163,0.075,-0.19,1.48,2.16,0.14,-2.51,91.9,87.2,83.2,89.9,78.1,0.247,0.489,0.219,0.236,0.333,0.264,0.3,0.4,0.182,0.255,0.489,0.338,0.143,0.143,0.286,,,,,,,,,
