,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU
0,2024-07-23,745632,Strikeout,strikeout,True,514888,674370,Jose Altuve,Osvaldo Bido,0,7b68f361-9e5d-445b-9ed3-c95de9d9f526,674370.0,osvaldobido,Bido,Right,Osvaldo Bido,OAK,3.09,2.9,23.1,92.0,105.0,91.0,0.769,8.49,4.24,6.17,0.39,0.48,0.217,0.317,0.25,0.3,0.409,77.0,93.0,95.0,102.0,91.0,88.0,105.0,77.0,75.0,129.0,105.0,108.0,99.0,88.0,82.0,0.121,0.341,0.156,0.274,0.108,-0.46,2.95,-1.19,2.37,-0.96,94.6,87.2,89.2,94.9,85.8,0.194,0.258,0.239,0.2,0.36,0.264,0.0,0.0,0.2,0.375,0.5,0.222,0.25,0.375,0.25,,,,,,,,,
1,2024-07-23,745632,Double,double,False,608324,674370,Alex Bregman,Osvaldo Bido,0,e37abb19-df76-4015-9ef6-771555732b92,674370.0,osvaldobido,Bido,Right,Osvaldo Bido,OAK,3.09,2.9,23.1,92.0,105.0,91.0,0.769,8.49,4.24,6.17,0.39,0.48,0.217,0.317,0.25,0.3,0.409,77.0,93.0,95.0,102.0,91.0,88.0,105.0,77.0,75.0,129.0,105.0,108.0,99.0,88.0,82.0,0.121,0.341,0.156,0.274,0.108,-0.46,2.95,-1.19,2.37,-0.96,94.6,87.2,89.2,94.9,85.8,0.194,0.258,0.239,0.2,0.36,0.264,0.0,0.0,0.2,0.375,0.5,0.222,0.25,0.375,0.25,,,,,,,,,
2,2024-07-23,745632,Single,single,False,670541,674370,Yordan Alvarez,Osvaldo Bido,1,87bec36f-9d34-4fac-b2e1-71bc75d43862,674370.0,osvaldobido,Bido,Right,Osvaldo Bido,OAK,3.09,2.9,23.1,92.0,105.0,91.0,0.769,8.49,4.24,6.17,0.39,0.48,0.217,0.317,0.25,0.3,0.409,77.0,93.0,95.0,102.0,91.0,88.0,105.0,77.0,75.0,129.0,105.0,108.0,99.0,88.0,82.0,0.121,0.341,0.156,0.274,0.108,-0.46,2.95,-1.19,2.37,-0.96,94.6,87.2,89.2,94.9,85.8,0.194,0.258,0.239,0.2,0.36,0.264,0.0,0.0,0.2,0.375,0.5,0.222,0.25,0.375,0.25,,,,,,,,,
3,2024-07-23,745632,Double Play,double_play,True,673237,674370,Yainer Diaz,Osvaldo Bido,1,320d5c97-da64-4f67-ac2f-6b3228a0c9fe,674370.0,osvaldobido,Bido,Right,Osvaldo Bido,OAK,3.09,2.9,23.1,92.0,105.0,91.0,0.769,8.49,4.24,6.17,0.39,0.48,0.217,0.317,0.25,0.3,0.409,77.0,93.0,95.0,102.0,91.0,88.0,105.0,77.0,75.0,129.0,105.0,108.0,99.0,88.0,82.0,0.121,0.341,0.156,0.274,0.108,-0.46,2.95,-1.19,2.37,-0.96,94.6,87.2,89.2,94.9,85.8,0.194,0.258,0.239,0.2,0.36,0.264,0.0,0.0,0.2,0.375,0.5,0.222,0.25,0.375,0.25,,,,,,,,,
4,2024-07-23,745632,Triple,triple,False,671732,814005,Lawrence Butler,Jake Bloss,0,56dbe39f-a6d0-40d2-8e20-b34a6f94ba4c,814005.0,jakebloss,Bloss,Right,Jake Bloss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333,0.333,0.444,0.4,0.75,0.127,,,,,,,0.333,0.833,0.25,0.286,0.571,0.389,,,,,,
5,2024-07-23,745632,Flyout,field_out,True,609280,814005,Miguel Andujar,Jake Bloss,0,1a3f4c93-8611-4943-85ca-3a2c82758a9b,814005.0,jakebloss,Bloss,Right,Jake Bloss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333,0.333,0.444,0.4,0.75,0.127,,,,,,,0.333,0.833,0.25,0.286,0.571,0.389,,,,,,
6,2024-07-23,745632,Strikeout,strikeout,True,668709,814005,JJ Bleday,Jake Bloss,0,e85637fe-a136-40cb-aca7-c03c9080c1c7,814005.0,jakebloss,Bloss,Right,Jake Bloss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333,0.333,0.444,0.4,0.75,0.127,,,,,,,0.333,0.833,0.25,0.286,0.571,0.389,,,,,,
7,2024-07-23,745632,Home Run,home_run,False,667670,814005,Brent Rooker,Jake Bloss,1,c85b8eeb-b21a-43c5-8d1b-f68c9af56cb6,814005.0,jakebloss,Bloss,Right,Jake Bloss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333,0.333,0.444,0.4,0.75,0.127,,,,,,,0.333,0.833,0.25,0.286,0.571,0.389,,,,,,
8,2024-07-23,745632,Strikeout,strikeout,True,669127,814005,Shea Langeliers,Jake Bloss,0,995aba4f-666d-4bf2-a713-bd20b03354a8,814005.0,jakebloss,Bloss,Right,Jake Bloss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333,0.333,0.444,0.4,0.75,0.127,,,,,,,0.333,0.833,0.25,0.286,0.571,0.389,,,,,,
9,2024-07-23,745632,Strikeout,strikeout,True,572138,674370,Jon Singleton,Osvaldo Bido,0,78eb4954-374f-47e2-a31f-4b3863b3af30,674370.0,osvaldobido,Bido,Right,Osvaldo Bido,OAK,3.09,2.9,23.1,92.0,105.0,91.0,0.769,8.49,4.24,6.17,0.39,0.48,0.217,0.317,0.25,0.3,0.409,77.0,93.0,95.0,102.0,91.0,88.0,105.0,77.0,75.0,129.0,105.0,108.0,99.0,88.0,82.0,0.121,0.341,0.156,0.274,0.108,-0.46,2.95,-1.19,2.37,-0.96,94.6,87.2,89.2,94.9,85.8,0.194,0.258,0.239,0.2,0.36,0.264,0.0,0.0,0.2,0.375,0.5,0.222,0.25,0.375,0.25,,,,,,,,,
