,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,CH%,wFA/C,wFC/C,wSI/C,wCH/C,vFA,vFC,vCH,vSI,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,SL_slg,SL_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff
0,2024-05-31,746059,Single,single,False,543760,664350,Marcus Semien,Sixto Sánchez,0,adc5b06d-d1cb-4fd7-8f0f-3e1842428392,664350.0,sixtosanchez,"Sánchez, S",Right,Sixto Sánchez,MIA,6.06,5.02,35.2,101.0,82.0,97.0,0.878,4.29,3.53,10.85,0.76,1.56,0.305,0.414,0.102,0.313,0.464,94.0,100.0,100.0,77.0,98.0,88.0,84.0,110.0,106.0,58.0,108.0,100.0,0.048,0.298,0.34,0.314,-1.21,-1.59,-4.74,1.59,93.8,83.6,85.4,92.7,0.375,0.518,0.114,0.22,0.22,0.17,0.267,0.433,0.104,0.5,1.333,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-05-31,746059,Grounded Into DP,grounded_into_double_play,True,608369,664350,Corey Seager,Sixto Sánchez,1,eb61db34-26a2-4302-9ed1-e88a238651de,664350.0,sixtosanchez,"Sánchez, S",Right,Sixto Sánchez,MIA,6.06,5.02,35.2,101.0,82.0,97.0,0.878,4.29,3.53,10.85,0.76,1.56,0.305,0.414,0.102,0.313,0.464,94.0,100.0,100.0,77.0,98.0,88.0,84.0,110.0,106.0,58.0,108.0,100.0,0.048,0.298,0.34,0.314,-1.21,-1.59,-4.74,1.59,93.8,83.6,85.4,92.7,0.375,0.518,0.114,0.22,0.22,0.17,0.267,0.433,0.104,0.5,1.333,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-05-31,746059,Flyout,field_out,True,669701,664350,Josh Smith,Sixto Sánchez,0,16277271-d55b-419d-babe-9de07cf0fe54,664350.0,sixtosanchez,"Sánchez, S",Right,Sixto Sánchez,MIA,6.06,5.02,35.2,101.0,82.0,97.0,0.878,4.29,3.53,10.85,0.76,1.56,0.305,0.414,0.102,0.313,0.464,94.0,100.0,100.0,77.0,98.0,88.0,84.0,110.0,106.0,58.0,108.0,100.0,0.048,0.298,0.34,0.314,-1.21,-1.59,-4.74,1.59,93.8,83.6,85.4,92.7,0.375,0.518,0.114,0.22,0.22,0.17,0.267,0.433,0.104,0.5,1.333,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-05-31,746059,Flyout,field_out,True,665862,570632,Jazz Chisholm Jr.,José Ureña,0,0e7136d4-f27d-41c0-96a0-d9e19285a135,570632.0,joseurena,Ureña,Right,José Ureña,TEX,3.13,3.67,69.0,98.0,88.0,96.0,0.775,6.13,2.87,7.96,1.04,1.66,0.237,0.437,0.144,0.298,0.382,75.0,96.0,89.0,87.0,97.0,93.0,93.0,99.0,97.0,,,,0.394,0.067,,0.174,-2.63,,1.6,-0.43,96.2,,88.7,95.9,,,,0.238,0.548,0.336,0.429,1.0,0.229,0.234,0.298,0.101,87.0,99.0,98.0,0.365,-0.1,86.7,0.226,0.333,0.363,,,,,,,,,,,,,,,,,,
4,2024-05-31,746059,Pop Out,field_out,True,669394,570632,Jake Burger,José Ureña,0,ef2eda38-f13f-43ba-acee-958464ea8f1f,570632.0,joseurena,Ureña,Right,José Ureña,TEX,3.13,3.67,69.0,98.0,88.0,96.0,0.775,6.13,2.87,7.96,1.04,1.66,0.237,0.437,0.144,0.298,0.382,75.0,96.0,89.0,87.0,97.0,93.0,93.0,99.0,97.0,,,,0.394,0.067,,0.174,-2.63,,1.6,-0.43,96.2,,88.7,95.9,,,,0.238,0.548,0.336,0.429,1.0,0.229,0.234,0.298,0.101,87.0,99.0,98.0,0.365,-0.1,86.7,0.226,0.333,0.363,,,,,,,,,,,,,,,,,,
5,2024-05-31,746059,Flyout,field_out,True,605137,570632,Josh Bell,José Ureña,0,d5015a89-a82c-44f3-b6e6-378b1e45a6b8,570632.0,joseurena,Ureña,Right,José Ureña,TEX,3.13,3.67,69.0,98.0,88.0,96.0,0.775,6.13,2.87,7.96,1.04,1.66,0.237,0.437,0.144,0.298,0.382,75.0,96.0,89.0,87.0,97.0,93.0,93.0,99.0,97.0,,,,0.394,0.067,,0.174,-2.63,,1.6,-0.43,96.2,,88.7,95.9,,,,0.238,0.548,0.336,0.429,1.0,0.229,0.234,0.298,0.101,87.0,99.0,98.0,0.365,-0.1,86.7,0.226,0.333,0.363,,,,,,,,,,,,,,,,,,
6,2024-05-31,746059,Groundout,field_out,True,666969,664350,Adolis García,Sixto Sánchez,0,eafac360-7f48-4f17-93d0-fe9a3487473e,664350.0,sixtosanchez,"Sánchez, S",Right,Sixto Sánchez,MIA,6.06,5.02,35.2,101.0,82.0,97.0,0.878,4.29,3.53,10.85,0.76,1.56,0.305,0.414,0.102,0.313,0.464,94.0,100.0,100.0,77.0,98.0,88.0,84.0,110.0,106.0,58.0,108.0,100.0,0.048,0.298,0.34,0.314,-1.21,-1.59,-4.74,1.59,93.8,83.6,85.4,92.7,0.375,0.518,0.114,0.22,0.22,0.17,0.267,0.433,0.104,0.5,1.333,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-05-31,746059,Walk,walk,False,665750,664350,Leody Taveras,Sixto Sánchez,0,9bb3f7e6-29d3-4140-884b-4dcd0fe03250,664350.0,sixtosanchez,"Sánchez, S",Right,Sixto Sánchez,MIA,6.06,5.02,35.2,101.0,82.0,97.0,0.878,4.29,3.53,10.85,0.76,1.56,0.305,0.414,0.102,0.313,0.464,94.0,100.0,100.0,77.0,98.0,88.0,84.0,110.0,106.0,58.0,108.0,100.0,0.048,0.298,0.34,0.314,-1.21,-1.59,-4.74,1.59,93.8,83.6,85.4,92.7,0.375,0.518,0.114,0.22,0.22,0.17,0.267,0.433,0.104,0.5,1.333,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-05-31,746059,Grounded Into DP,grounded_into_double_play,True,663993,664350,Nathaniel Lowe,Sixto Sánchez,1,18fd62f8-ff73-4810-a1d5-77109738955d,664350.0,sixtosanchez,"Sánchez, S",Right,Sixto Sánchez,MIA,6.06,5.02,35.2,101.0,82.0,97.0,0.878,4.29,3.53,10.85,0.76,1.56,0.305,0.414,0.102,0.313,0.464,94.0,100.0,100.0,77.0,98.0,88.0,84.0,110.0,106.0,58.0,108.0,100.0,0.048,0.298,0.34,0.314,-1.21,-1.59,-4.74,1.59,93.8,83.6,85.4,92.7,0.375,0.518,0.114,0.22,0.22,0.17,0.267,0.433,0.104,0.5,1.333,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-05-31,746059,Double,double,False,660821,570632,Jesús Sánchez,José Ureña,0,3a4e9de9-c460-4530-be6a-ffcb55f302c1,570632.0,joseurena,Ureña,Right,José Ureña,TEX,3.13,3.67,69.0,98.0,88.0,96.0,0.775,6.13,2.87,7.96,1.04,1.66,0.237,0.437,0.144,0.298,0.382,75.0,96.0,89.0,87.0,97.0,93.0,93.0,99.0,97.0,,,,0.394,0.067,,0.174,-2.63,,1.6,-0.43,96.2,,88.7,95.9,,,,0.238,0.548,0.336,0.429,1.0,0.229,0.234,0.298,0.101,87.0,99.0,98.0,0.365,-0.1,86.7,0.226,0.333,0.363,,,,,,,,,,,,,,,,,,
