,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wSI/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vCU,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,ST_ba,ST_slg,ST_whiff,SL_ba,SL_slg,SL_whiff
0,2024-08-24,747077,Strikeout,strikeout,True,682928,450203,CJ Abrams,Charlie Morton,0,9319a4e4-876b-44f0-8d2a-f2c5e99496e1,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.26,4.59,137.1,98.0,95.0,97.0,0.757,9.17,3.41,8.39,1.38,1.41,0.227,0.425,0.147,0.324,0.413,87.0,95.0,93.0,122.0,99.0,108.0,70.0,100.0,89.0,78.0,98.0,89.0,74.0,93.0,88.0,0.097,0.282,0.08,0.425,0.116,-1.49,-1.21,-0.05,0.67,-0.49,94.0,88.5,84.9,93.4,81.5,0.203,0.32,0.338,0.279,0.529,0.181,0.241,0.5,0.336,0.353,0.471,0.074,0.333,0.667,0.145,,,,,,,,,,,,
1,2024-08-24,747077,Strikeout,strikeout,True,695578,450203,James Wood,Charlie Morton,0,6553f2b1-8b3d-46f5-9751-af8458974a15,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.26,4.59,137.1,98.0,95.0,97.0,0.757,9.17,3.41,8.39,1.38,1.41,0.227,0.425,0.147,0.324,0.413,87.0,95.0,93.0,122.0,99.0,108.0,70.0,100.0,89.0,78.0,98.0,89.0,74.0,93.0,88.0,0.097,0.282,0.08,0.425,0.116,-1.49,-1.21,-0.05,0.67,-0.49,94.0,88.5,84.9,93.4,81.5,0.203,0.32,0.338,0.279,0.529,0.181,0.241,0.5,0.336,0.353,0.471,0.074,0.333,0.667,0.145,,,,,,,,,,,,
2,2024-08-24,747077,Groundout,field_out,True,660766,450203,Juan Yepez,Charlie Morton,0,b9817e58-5684-4314-bd4c-5b6b904724c1,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.26,4.59,137.1,98.0,95.0,97.0,0.757,9.17,3.41,8.39,1.38,1.41,0.227,0.425,0.147,0.324,0.413,87.0,95.0,93.0,122.0,99.0,108.0,70.0,100.0,89.0,78.0,98.0,89.0,74.0,93.0,88.0,0.097,0.282,0.08,0.425,0.116,-1.49,-1.21,-0.05,0.67,-0.49,94.0,88.5,84.9,93.4,81.5,0.203,0.32,0.338,0.279,0.529,0.181,0.241,0.5,0.336,0.353,0.471,0.074,0.333,0.667,0.145,,,,,,,,,,,,
3,2024-08-24,747077,Single,single,False,671739,663623,Michael Harris II,Jake Irvin,0,b92b77ee-c166-4ac9-8f55-2c8c7240f1df,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,3.8,4.17,156.1,105.0,94.0,102.0,0.803,7.48,2.19,8.23,1.44,1.13,0.238,0.41,0.173,0.333,0.473,100.0,94.0,97.0,111.0,105.0,106.0,82.0,106.0,99.0,94.0,105.0,105.0,78.0,103.0,93.0,0.184,0.375,0.076,0.328,0.033,0.61,-0.21,-0.78,0.43,0.77,94.0,89.9,88.4,93.2,81.1,0.215,0.419,0.249,0.204,0.376,0.243,0.182,0.182,0.303,0.333,0.492,0.124,0.295,0.545,0.202,110.0,116.0,118.0,0.004,-14.36,85.9,,,,,,
4,2024-08-24,747077,Walk,walk,False,593160,663623,Whit Merrifield,Jake Irvin,1,5c6f4362-b218-4f45-86a9-518e1f94b2db,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,3.8,4.17,156.1,105.0,94.0,102.0,0.803,7.48,2.19,8.23,1.44,1.13,0.238,0.41,0.173,0.333,0.473,100.0,94.0,97.0,111.0,105.0,106.0,82.0,106.0,99.0,94.0,105.0,105.0,78.0,103.0,93.0,0.184,0.375,0.076,0.328,0.033,0.61,-0.21,-0.78,0.43,0.77,94.0,89.9,88.4,93.2,81.1,0.215,0.419,0.249,0.204,0.376,0.243,0.182,0.182,0.303,0.333,0.492,0.124,0.295,0.545,0.202,110.0,116.0,118.0,0.004,-14.36,85.9,,,,,,
5,2024-08-24,747077,Grounded Into DP,grounded_into_double_play,True,542303,663623,Marcell Ozuna,Jake Irvin,1,2e44c116-92e8-41fd-aff4-517997e7760b,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,3.8,4.17,156.1,105.0,94.0,102.0,0.803,7.48,2.19,8.23,1.44,1.13,0.238,0.41,0.173,0.333,0.473,100.0,94.0,97.0,111.0,105.0,106.0,82.0,106.0,99.0,94.0,105.0,105.0,78.0,103.0,93.0,0.184,0.375,0.076,0.328,0.033,0.61,-0.21,-0.78,0.43,0.77,94.0,89.9,88.4,93.2,81.1,0.215,0.419,0.249,0.204,0.376,0.243,0.182,0.182,0.303,0.333,0.492,0.124,0.295,0.545,0.202,110.0,116.0,118.0,0.004,-14.36,85.9,,,,,,
6,2024-08-24,747077,Walk,walk,False,621566,663623,Matt Olson,Jake Irvin,0,fc23a221-8fd4-4d58-a179-efd57df35f47,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,3.8,4.17,156.1,105.0,94.0,102.0,0.803,7.48,2.19,8.23,1.44,1.13,0.238,0.41,0.173,0.333,0.473,100.0,94.0,97.0,111.0,105.0,106.0,82.0,106.0,99.0,94.0,105.0,105.0,78.0,103.0,93.0,0.184,0.375,0.076,0.328,0.033,0.61,-0.21,-0.78,0.43,0.77,94.0,89.9,88.4,93.2,81.1,0.215,0.419,0.249,0.204,0.376,0.243,0.182,0.182,0.303,0.333,0.492,0.124,0.295,0.545,0.202,110.0,116.0,118.0,0.004,-14.36,85.9,,,,,,
7,2024-08-24,747077,Strikeout,strikeout,True,518595,663623,Travis d'Arnaud,Jake Irvin,0,74a13d72-b322-4a48-814f-1cd22f5bf3ce,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,3.8,4.17,156.1,105.0,94.0,102.0,0.803,7.48,2.19,8.23,1.44,1.13,0.238,0.41,0.173,0.333,0.473,100.0,94.0,97.0,111.0,105.0,106.0,82.0,106.0,99.0,94.0,105.0,105.0,78.0,103.0,93.0,0.184,0.375,0.076,0.328,0.033,0.61,-0.21,-0.78,0.43,0.77,94.0,89.9,88.4,93.2,81.1,0.215,0.419,0.249,0.204,0.376,0.243,0.182,0.182,0.303,0.333,0.492,0.124,0.295,0.545,0.202,110.0,116.0,118.0,0.004,-14.36,85.9,,,,,,
8,2024-08-24,747077,Groundout,field_out,True,671277,450203,Luis García Jr.,Charlie Morton,0,0c570f0b-22e4-43b9-9236-edffb1eeec0a,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.26,4.59,137.1,98.0,95.0,97.0,0.757,9.17,3.41,8.39,1.38,1.41,0.227,0.425,0.147,0.324,0.413,87.0,95.0,93.0,122.0,99.0,108.0,70.0,100.0,89.0,78.0,98.0,89.0,74.0,93.0,88.0,0.097,0.282,0.08,0.425,0.116,-1.49,-1.21,-0.05,0.67,-0.49,94.0,88.5,84.9,93.4,81.5,0.203,0.32,0.338,0.279,0.529,0.181,0.241,0.5,0.336,0.353,0.471,0.074,0.333,0.667,0.145,,,,,,,,,,,,
9,2024-08-24,747077,Walk,walk,False,660688,450203,Keibert Ruiz,Charlie Morton,0,58091897-d9d4-436c-8f47-fdba0cbd064f,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.26,4.59,137.1,98.0,95.0,97.0,0.757,9.17,3.41,8.39,1.38,1.41,0.227,0.425,0.147,0.324,0.413,87.0,95.0,93.0,122.0,99.0,108.0,70.0,100.0,89.0,78.0,98.0,89.0,74.0,93.0,88.0,0.097,0.282,0.08,0.425,0.116,-1.49,-1.21,-0.05,0.67,-0.49,94.0,88.5,84.9,93.4,81.5,0.203,0.32,0.338,0.279,0.529,0.181,0.241,0.5,0.336,0.353,0.471,0.074,0.333,0.667,0.145,,,,,,,,,,,,
