,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vKN (sc),Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,KN%,wFA/C,wFC/C,wSI/C,wSL/C,wKN/C,vFA,vFC,vSI,vSL,KC_ba,KC_slg,KC_whiff,FF_ba,FF_slg,FF_whiff,ST_ba,ST_slg,ST_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,CU%,CH%,wFS/C,wCU/C,wCH/C,vFS,vCH,vCU,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,KC%,wKC/C,vKC,vSC (sc),SC%,wSC/C,SC_ba,SC_slg,SC_whiff
0,2024-08-04,745384,Pop Out,field_out,True,678662,663362,Ezequiel Tovar,Matt Waldron,0,473a442c-5eeb-4f7a-8734-9109021092f5,663362.0,mattwaldron,Waldron,Right,Matt Waldron,SDP,4.79,4.0,142.2,104.0,83.0,99.0,0.804,8.2,2.52,8.64,1.2,0.91,0.208,0.4,0.165,0.305,0.439,77.6,57.0,107.0,91.0,73.0,108.0,102.0,115.0,101.0,106.0,83.0,98.0,90.0,0.144,0.191,0.084,0.199,0.382,0.17,1.46,0.98,0.46,-1.08,90.6,87.0,90.0,79.2,0.25,0.403,0.273,0.241,0.42,0.232,0.229,0.458,0.198,0.284,0.389,0.064,0.245,0.408,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-08-04,745384,Strikeout,strikeout,True,595909,663362,Jake Cave,Matt Waldron,0,4db96be8-e2ec-496d-895d-0e22f83c4329,663362.0,mattwaldron,Waldron,Right,Matt Waldron,SDP,4.79,4.0,142.2,104.0,83.0,99.0,0.804,8.2,2.52,8.64,1.2,0.91,0.208,0.4,0.165,0.305,0.439,77.6,57.0,107.0,91.0,73.0,108.0,102.0,115.0,101.0,106.0,83.0,98.0,90.0,0.144,0.191,0.084,0.199,0.382,0.17,1.46,0.98,0.46,-1.08,90.6,87.0,90.0,79.2,0.25,0.403,0.273,0.241,0.42,0.232,0.229,0.458,0.198,0.284,0.389,0.064,0.245,0.408,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-08-04,745384,Strikeout,strikeout,True,686668,663362,Brenton Doyle,Matt Waldron,0,730d12f8-8d98-4495-a574-06cb0bae3abf,663362.0,mattwaldron,Waldron,Right,Matt Waldron,SDP,4.79,4.0,142.2,104.0,83.0,99.0,0.804,8.2,2.52,8.64,1.2,0.91,0.208,0.4,0.165,0.305,0.439,77.6,57.0,107.0,91.0,73.0,108.0,102.0,115.0,101.0,106.0,83.0,98.0,90.0,0.144,0.191,0.084,0.199,0.382,0.17,1.46,0.98,0.46,-1.08,90.6,87.0,90.0,79.2,0.25,0.403,0.273,0.241,0.42,0.232,0.229,0.458,0.198,0.284,0.389,0.064,0.245,0.408,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-08-04,745384,Flyout,field_out,True,650333,615698,Luis Arraez,Cal Quantrill,0,4bb80296-240b-45e5-b544-e850d9349959,615698.0,calquantrill,Quantrill,Right,Cal Quantrill,COL,4.63,5.01,138.0,97.0,92.0,95.0,0.802,6.72,3.72,9.07,1.3,1.3,0.221,0.43,0.129,0.354,0.409,,,,,79.0,97.0,90.0,,,,78.0,98.0,95.0,0.397,,0.135,,,,-0.4,-1.94,,,,87.8,93.9,,,,,,,,,,,0.344,0.606,0.187,0.303,0.53,0.211,88.0,97.0,103.0,97.0,102.0,104.0,113.0,96.0,98.0,0.326,0.123,0.02,0.72,-0.12,1.84,86.4,84.9,79.6,0.198,0.311,0.242,0.232,0.446,0.295,0.222,0.222,0.167,,,,,,,,,,,,
4,2024-08-04,745384,Strikeout,strikeout,True,595777,615698,Jurickson Profar,Cal Quantrill,0,b94d58de-8833-47a4-9524-b464f9a3093d,615698.0,calquantrill,Quantrill,Right,Cal Quantrill,COL,4.63,5.01,138.0,97.0,92.0,95.0,0.802,6.72,3.72,9.07,1.3,1.3,0.221,0.43,0.129,0.354,0.409,,,,,79.0,97.0,90.0,,,,78.0,98.0,95.0,0.397,,0.135,,,,-0.4,-1.94,,,,87.8,93.9,,,,,,,,,,,0.344,0.606,0.187,0.303,0.53,0.211,88.0,97.0,103.0,97.0,102.0,104.0,113.0,96.0,98.0,0.326,0.123,0.02,0.72,-0.12,1.84,86.4,84.9,79.6,0.198,0.311,0.242,0.232,0.446,0.295,0.222,0.222,0.167,,,,,,,,,,,,
5,2024-08-04,745384,Double,double,False,630105,615698,Jake Cronenworth,Cal Quantrill,0,a2afc700-f841-43b6-80e7-0061e211d5cf,615698.0,calquantrill,Quantrill,Right,Cal Quantrill,COL,4.63,5.01,138.0,97.0,92.0,95.0,0.802,6.72,3.72,9.07,1.3,1.3,0.221,0.43,0.129,0.354,0.409,,,,,79.0,97.0,90.0,,,,78.0,98.0,95.0,0.397,,0.135,,,,-0.4,-1.94,,,,87.8,93.9,,,,,,,,,,,0.344,0.606,0.187,0.303,0.53,0.211,88.0,97.0,103.0,97.0,102.0,104.0,113.0,96.0,98.0,0.326,0.123,0.02,0.72,-0.12,1.84,86.4,84.9,79.6,0.198,0.311,0.242,0.232,0.446,0.295,0.222,0.222,0.167,,,,,,,,,,,,
6,2024-08-04,745384,Lineout,field_out,True,592518,615698,Manny Machado,Cal Quantrill,0,7b27bdbe-bbdc-4edd-9b40-eee278138f20,615698.0,calquantrill,Quantrill,Right,Cal Quantrill,COL,4.63,5.01,138.0,97.0,92.0,95.0,0.802,6.72,3.72,9.07,1.3,1.3,0.221,0.43,0.129,0.354,0.409,,,,,79.0,97.0,90.0,,,,78.0,98.0,95.0,0.397,,0.135,,,,-0.4,-1.94,,,,87.8,93.9,,,,,,,,,,,0.344,0.606,0.187,0.303,0.53,0.211,88.0,97.0,103.0,97.0,102.0,104.0,113.0,96.0,98.0,0.326,0.123,0.02,0.72,-0.12,1.84,86.4,84.9,79.6,0.198,0.311,0.242,0.232,0.446,0.295,0.222,0.222,0.167,,,,,,,,,,,,
7,2024-08-04,745384,Hit By Pitch,hit_by_pitch,False,641857,663362,Ryan McMahon,Matt Waldron,0,03e49710-45d2-4315-8ce6-6c261752cf48,663362.0,mattwaldron,Waldron,Right,Matt Waldron,SDP,4.79,4.0,142.2,104.0,83.0,99.0,0.804,8.2,2.52,8.64,1.2,0.91,0.208,0.4,0.165,0.305,0.439,77.6,57.0,107.0,91.0,73.0,108.0,102.0,115.0,101.0,106.0,83.0,98.0,90.0,0.144,0.191,0.084,0.199,0.382,0.17,1.46,0.98,0.46,-1.08,90.6,87.0,90.0,79.2,0.25,0.403,0.273,0.241,0.42,0.232,0.229,0.458,0.198,0.284,0.389,0.064,0.245,0.408,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-08-04,745384,Flyout,field_out,True,607732,663362,Jacob Stallings,Matt Waldron,0,b531f3cc-52a3-493e-bacf-70d610ac421c,663362.0,mattwaldron,Waldron,Right,Matt Waldron,SDP,4.79,4.0,142.2,104.0,83.0,99.0,0.804,8.2,2.52,8.64,1.2,0.91,0.208,0.4,0.165,0.305,0.439,77.6,57.0,107.0,91.0,73.0,108.0,102.0,115.0,101.0,106.0,83.0,98.0,90.0,0.144,0.191,0.084,0.199,0.382,0.17,1.46,0.98,0.46,-1.08,90.6,87.0,90.0,79.2,0.25,0.403,0.273,0.241,0.42,0.232,0.229,0.458,0.198,0.284,0.389,0.064,0.245,0.408,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-08-04,745384,Walk,walk,False,669911,663362,Michael Toglia,Matt Waldron,1,019816cf-0e4e-47b5-ae0e-53b29ed4c4d1,663362.0,mattwaldron,Waldron,Right,Matt Waldron,SDP,4.79,4.0,142.2,104.0,83.0,99.0,0.804,8.2,2.52,8.64,1.2,0.91,0.208,0.4,0.165,0.305,0.439,77.6,57.0,107.0,91.0,73.0,108.0,102.0,115.0,101.0,106.0,83.0,98.0,90.0,0.144,0.191,0.084,0.199,0.382,0.17,1.46,0.98,0.46,-1.08,90.6,87.0,90.0,79.2,0.25,0.403,0.273,0.241,0.42,0.232,0.229,0.458,0.198,0.284,0.389,0.064,0.245,0.408,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
