,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,KC%,CH%,wFA/C,wFC/C,wSI/C,wKC/C,wCH/C,vFA,vFC,vCH,vSI,vKC,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,SL_slg,SL_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU
12,2024-06-29,745559,Strikeout,strikeout,True,663743,605400,Nick Fortes,Aaron Nola,0,ae8c89f9-cd3b-47bd-aea3-cd0ee8d27af7,605400.0,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.54,3.39,124.2,106.0,103.0,105.0,0.78,8.66,2.02,7.36,1.23,1.37,0.191,0.483,0.162,0.286,0.421,80.0,103.0,90.0,90.0,105.0,100.0,100.0,109.0,106.0,133.0,109.0,116.0,68.0,100.0,93.0,0.212,0.259,0.102,0.324,0.103,1.43,-2.53,-0.12,2.0,-2.18,92.3,87.4,85.4,91.4,79.2,0.194,0.306,0.35,0.117,0.252,0.226,0.29,0.47,0.137,0.289,0.5,0.154,0.389,0.75,0.143,,,,,,,,,,,,,,,,,,,,,,,,
13,2024-06-29,745559,Flyout,field_out,True,592206,682610,Nick Castellanos,Roddery Muñoz,0,8c5211a8-5ede-47f6-a144-ceed75facd5f,682610.0,rodderymunoz,"Muñoz, Rod",Right,Roddery Muñoz,MIA,5.47,5.87,51.0,97.0,92.0,94.0,0.788,7.41,4.59,8.12,2.65,0.59,0.277,0.355,0.135,0.348,0.405,52.0,96.0,89.0,96.0,99.0,92.0,91.0,95.0,93.0,,,,91.0,96.0,90.0,0.229,0.257,0.247,,0.094,-2.9,1.93,-1.48,,-4.22,95.7,89.8,89.5,95.1,,,,,0.286,0.738,0.173,0.273,0.614,0.141,0.318,0.727,0.356,0.14,0.28,0.262,108.0,99.0,104.0,0.173,-0.77,85.8,0.222,0.361,0.328,,,,,,,,,,,,,,,
14,2024-06-29,745559,Flyout,field_out,True,665019,682610,Kody Clemens,Roddery Muñoz,0,e5f1142a-e8e9-4136-8dbe-4bb6410c3439,682610.0,rodderymunoz,"Muñoz, Rod",Right,Roddery Muñoz,MIA,5.47,5.87,51.0,97.0,92.0,94.0,0.788,7.41,4.59,8.12,2.65,0.59,0.277,0.355,0.135,0.348,0.405,52.0,96.0,89.0,96.0,99.0,92.0,91.0,95.0,93.0,,,,91.0,96.0,90.0,0.229,0.257,0.247,,0.094,-2.9,1.93,-1.48,,-4.22,95.7,89.8,89.5,95.1,,,,,0.286,0.738,0.173,0.273,0.614,0.141,0.318,0.727,0.356,0.14,0.28,0.262,108.0,99.0,104.0,0.173,-0.77,85.8,0.222,0.361,0.328,,,,,,,,,,,,,,,
15,2024-06-29,745559,Strikeout,strikeout,True,624641,682610,Edmundo Sosa,Roddery Muñoz,0,0b37debf-1469-4d6d-8e04-d5b85376df77,682610.0,rodderymunoz,"Muñoz, Rod",Right,Roddery Muñoz,MIA,5.47,5.87,51.0,97.0,92.0,94.0,0.788,7.41,4.59,8.12,2.65,0.59,0.277,0.355,0.135,0.348,0.405,52.0,96.0,89.0,96.0,99.0,92.0,91.0,95.0,93.0,,,,91.0,96.0,90.0,0.229,0.257,0.247,,0.094,-2.9,1.93,-1.48,,-4.22,95.7,89.8,89.5,95.1,,,,,0.286,0.738,0.173,0.273,0.614,0.141,0.318,0.727,0.356,0.14,0.28,0.262,108.0,99.0,104.0,0.173,-0.77,85.8,0.222,0.361,0.328,,,,,,,,,,,,,,,
16,2024-06-29,745559,Strikeout,strikeout,True,665862,605400,Jazz Chisholm Jr.,Aaron Nola,0,9b24cc81-1fe5-43b8-a379-a456c1240fff,605400.0,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.54,3.39,124.2,106.0,103.0,105.0,0.78,8.66,2.02,7.36,1.23,1.37,0.191,0.483,0.162,0.286,0.421,80.0,103.0,90.0,90.0,105.0,100.0,100.0,109.0,106.0,133.0,109.0,116.0,68.0,100.0,93.0,0.212,0.259,0.102,0.324,0.103,1.43,-2.53,-0.12,2.0,-2.18,92.3,87.4,85.4,91.4,79.2,0.194,0.306,0.35,0.117,0.252,0.226,0.29,0.47,0.137,0.289,0.5,0.154,0.389,0.75,0.143,,,,,,,,,,,,,,,,,,,,,,,,
17,2024-06-29,745559,Flyout,field_out,True,650559,605400,Bryan De La Cruz,Aaron Nola,0,b01c5725-dc54-4180-9e71-128ba0667471,605400.0,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.54,3.39,124.2,106.0,103.0,105.0,0.78,8.66,2.02,7.36,1.23,1.37,0.191,0.483,0.162,0.286,0.421,80.0,103.0,90.0,90.0,105.0,100.0,100.0,109.0,106.0,133.0,109.0,116.0,68.0,100.0,93.0,0.212,0.259,0.102,0.324,0.103,1.43,-2.53,-0.12,2.0,-2.18,92.3,87.4,85.4,91.4,79.2,0.194,0.306,0.35,0.117,0.252,0.226,0.29,0.47,0.137,0.289,0.5,0.154,0.389,0.75,0.143,,,,,,,,,,,,,,,,,,,,,,,,
18,2024-06-29,745559,Single,single,False,605137,605400,Josh Bell,Aaron Nola,0,19433eb6-debe-4e6c-a586-2a54e7fa6346,605400.0,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.54,3.39,124.2,106.0,103.0,105.0,0.78,8.66,2.02,7.36,1.23,1.37,0.191,0.483,0.162,0.286,0.421,80.0,103.0,90.0,90.0,105.0,100.0,100.0,109.0,106.0,133.0,109.0,116.0,68.0,100.0,93.0,0.212,0.259,0.102,0.324,0.103,1.43,-2.53,-0.12,2.0,-2.18,92.3,87.4,85.4,91.4,79.2,0.194,0.306,0.35,0.117,0.252,0.226,0.29,0.47,0.137,0.289,0.5,0.154,0.389,0.75,0.143,,,,,,,,,,,,,,,,,,,,,,,,
19,2024-06-29,745559,Flyout,field_out,True,660821,605400,Jesús Sánchez,Aaron Nola,0,9d1a8403-ae50-49ef-9c88-06f3bf7290eb,605400.0,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.54,3.39,124.2,106.0,103.0,105.0,0.78,8.66,2.02,7.36,1.23,1.37,0.191,0.483,0.162,0.286,0.421,80.0,103.0,90.0,90.0,105.0,100.0,100.0,109.0,106.0,133.0,109.0,116.0,68.0,100.0,93.0,0.212,0.259,0.102,0.324,0.103,1.43,-2.53,-0.12,2.0,-2.18,92.3,87.4,85.4,91.4,79.2,0.194,0.306,0.35,0.117,0.252,0.226,0.29,0.47,0.137,0.289,0.5,0.154,0.389,0.75,0.143,,,,,,,,,,,,,,,,,,,,,,,,
20,2024-06-29,745559,Home Run,home_run,False,596117,682610,Garrett Stubbs,Roddery Muñoz,0,e047e2db-5dff-4af1-b375-f4a5959ac6dc,682610.0,rodderymunoz,"Muñoz, Rod",Right,Roddery Muñoz,MIA,5.47,5.87,51.0,97.0,92.0,94.0,0.788,7.41,4.59,8.12,2.65,0.59,0.277,0.355,0.135,0.348,0.405,52.0,96.0,89.0,96.0,99.0,92.0,91.0,95.0,93.0,,,,91.0,96.0,90.0,0.229,0.257,0.247,,0.094,-2.9,1.93,-1.48,,-4.22,95.7,89.8,89.5,95.1,,,,,0.286,0.738,0.173,0.273,0.614,0.141,0.318,0.727,0.356,0.14,0.28,0.262,108.0,99.0,104.0,0.173,-0.77,85.8,0.222,0.361,0.328,,,,,,,,,,,,,,,
21,2024-06-29,745559,Strikeout,strikeout,True,679032,682610,Johan Rojas,Roddery Muñoz,0,fc2c5dea-9c34-4750-a34a-8faec33d502b,682610.0,rodderymunoz,"Muñoz, Rod",Right,Roddery Muñoz,MIA,5.47,5.87,51.0,97.0,92.0,94.0,0.788,7.41,4.59,8.12,2.65,0.59,0.277,0.355,0.135,0.348,0.405,52.0,96.0,89.0,96.0,99.0,92.0,91.0,95.0,93.0,,,,91.0,96.0,90.0,0.229,0.257,0.247,,0.094,-2.9,1.93,-1.48,,-4.22,95.7,89.8,89.5,95.1,,,,,0.286,0.738,0.173,0.273,0.614,0.141,0.318,0.727,0.356,0.14,0.28,0.262,108.0,99.0,104.0,0.173,-0.77,85.8,0.222,0.361,0.328,,,,,,,,,,,,,,,
