,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,KC%,CH%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,wKC/C,wCH/C,vFA,vFC,vFS,vCH,vSI,vSL,vCU,vKC,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,Stf+ KC,Loc+ KC,Pit+ KC,SL_ba,SL_slg,SL_whiff
0,2024-08-01,746849,Strikeout,strikeout,True,691026,684007,Masyn Winn,Shota Imanaga,0,1fab1c70-fb8c-42f6-91f4-9bc246ddc14a,684007.0,shotaimanaga,Imanaga,Left,Shota Imanaga,CHC,3.08,3.55,140.1,105.0,90.0,103.0,0.746,8.98,1.41,8.14,1.41,0.75,0.218,0.437,0.169,0.293,0.439,88.0,99.0,100.0,71.0,95.0,95.0,95.0,105.0,105.0,74.0,108.0,92.0,106.0,107.0,106.0,51.0,107.0,96.0,80.0,106.0,100.0,0.01,0.535,0.006,0.307,0.072,0.038,0.0,0.032,0.52,-6.3,0.93,2.36,-0.49,-0.73,-76.62,0.13,91.7,89.8,83.0,81.7,88.5,81.8,72.7,53.9,0.23,0.452,0.177,0.228,0.317,0.42,0.278,0.306,0.36,0.19,0.238,0.257,0.444,0.556,0.0,0.333,1.333,0.143,,,,,,,,,
1,2024-08-01,746849,Flyout,field_out,True,575929,684007,Willson Contreras,Shota Imanaga,0,10320b38-6079-4bc0-93d3-103f63b14e67,684007.0,shotaimanaga,Imanaga,Left,Shota Imanaga,CHC,3.08,3.55,140.1,105.0,90.0,103.0,0.746,8.98,1.41,8.14,1.41,0.75,0.218,0.437,0.169,0.293,0.439,88.0,99.0,100.0,71.0,95.0,95.0,95.0,105.0,105.0,74.0,108.0,92.0,106.0,107.0,106.0,51.0,107.0,96.0,80.0,106.0,100.0,0.01,0.535,0.006,0.307,0.072,0.038,0.0,0.032,0.52,-6.3,0.93,2.36,-0.49,-0.73,-76.62,0.13,91.7,89.8,83.0,81.7,88.5,81.8,72.7,53.9,0.23,0.452,0.177,0.228,0.317,0.42,0.278,0.306,0.36,0.19,0.238,0.257,0.444,0.556,0.0,0.333,1.333,0.143,,,,,,,,,
2,2024-08-01,746849,Home Run,home_run,False,502671,684007,Paul Goldschmidt,Shota Imanaga,0,b6f2896b-28c3-435f-8dae-5c3354ef1082,684007.0,shotaimanaga,Imanaga,Left,Shota Imanaga,CHC,3.08,3.55,140.1,105.0,90.0,103.0,0.746,8.98,1.41,8.14,1.41,0.75,0.218,0.437,0.169,0.293,0.439,88.0,99.0,100.0,71.0,95.0,95.0,95.0,105.0,105.0,74.0,108.0,92.0,106.0,107.0,106.0,51.0,107.0,96.0,80.0,106.0,100.0,0.01,0.535,0.006,0.307,0.072,0.038,0.0,0.032,0.52,-6.3,0.93,2.36,-0.49,-0.73,-76.62,0.13,91.7,89.8,83.0,81.7,88.5,81.8,72.7,53.9,0.23,0.452,0.177,0.228,0.317,0.42,0.278,0.306,0.36,0.19,0.238,0.257,0.444,0.556,0.0,0.333,1.333,0.143,,,,,,,,,
3,2024-08-01,746849,Groundout,field_out,True,571448,684007,Nolan Arenado,Shota Imanaga,0,5316d981-2768-4d9e-b75a-4a30000708fd,684007.0,shotaimanaga,Imanaga,Left,Shota Imanaga,CHC,3.08,3.55,140.1,105.0,90.0,103.0,0.746,8.98,1.41,8.14,1.41,0.75,0.218,0.437,0.169,0.293,0.439,88.0,99.0,100.0,71.0,95.0,95.0,95.0,105.0,105.0,74.0,108.0,92.0,106.0,107.0,106.0,51.0,107.0,96.0,80.0,106.0,100.0,0.01,0.535,0.006,0.307,0.072,0.038,0.0,0.032,0.52,-6.3,0.93,2.36,-0.49,-0.73,-76.62,0.13,91.7,89.8,83.0,81.7,88.5,81.8,72.7,53.9,0.23,0.452,0.177,0.228,0.317,0.42,0.278,0.306,0.36,0.19,0.238,0.257,0.444,0.556,0.0,0.333,1.333,0.143,,,,,,,,,
4,2024-08-01,746849,Flyout,field_out,True,664023,543243,Ian Happ,Sonny Gray,0,51b5fbc1-a52b-47fb-a9ef-9cbc8442339c,543243.0,sonnygray,"Gray, S",Right,Sonny Gray,STL,3.96,3.92,147.2,103.0,110.0,105.0,0.732,10.91,2.19,7.74,1.28,1.27,0.193,0.433,0.15,0.356,0.433,70.0,91.0,86.0,119.0,96.0,97.0,106.0,96.0,101.0,95.0,115.0,112.0,152.0,116.0,127.0,91.0,98.0,96.0,,,,0.164,0.238,0.183,,0.198,0.148,0.0,0.068,0.26,0.26,,1.13,0.75,0.63,-2.43,-1.98,92.4,87.8,,88.3,92.9,84.8,80.0,75.4,0.317,0.564,0.187,,,,0.152,0.222,0.424,0.36,0.68,0.321,0.213,0.459,0.321,0.289,0.506,0.284,0.205,0.411,0.201,,,,,,
5,2024-08-01,746849,Lineout,field_out,True,683737,543243,Michael Busch,Sonny Gray,0,a896e91a-0045-424a-9fa6-f3e704ee355f,543243.0,sonnygray,"Gray, S",Right,Sonny Gray,STL,3.96,3.92,147.2,103.0,110.0,105.0,0.732,10.91,2.19,7.74,1.28,1.27,0.193,0.433,0.15,0.356,0.433,70.0,91.0,86.0,119.0,96.0,97.0,106.0,96.0,101.0,95.0,115.0,112.0,152.0,116.0,127.0,91.0,98.0,96.0,,,,0.164,0.238,0.183,,0.198,0.148,0.0,0.068,0.26,0.26,,1.13,0.75,0.63,-2.43,-1.98,92.4,87.8,,88.3,92.9,84.8,80.0,75.4,0.317,0.564,0.187,,,,0.152,0.222,0.424,0.36,0.68,0.321,0.213,0.459,0.321,0.289,0.506,0.284,0.205,0.411,0.201,,,,,,
6,2024-08-01,746849,Strikeout,strikeout,True,673548,543243,Seiya Suzuki,Sonny Gray,0,39609209-6a98-4eff-aead-14aa23d3a765,543243.0,sonnygray,"Gray, S",Right,Sonny Gray,STL,3.96,3.92,147.2,103.0,110.0,105.0,0.732,10.91,2.19,7.74,1.28,1.27,0.193,0.433,0.15,0.356,0.433,70.0,91.0,86.0,119.0,96.0,97.0,106.0,96.0,101.0,95.0,115.0,112.0,152.0,116.0,127.0,91.0,98.0,96.0,,,,0.164,0.238,0.183,,0.198,0.148,0.0,0.068,0.26,0.26,,1.13,0.75,0.63,-2.43,-1.98,92.4,87.8,,88.3,92.9,84.8,80.0,75.4,0.317,0.564,0.187,,,,0.152,0.222,0.424,0.36,0.68,0.321,0.213,0.459,0.321,0.289,0.506,0.284,0.205,0.411,0.201,,,,,,
7,2024-08-01,746849,Single,single,False,502054,684007,Tommy Pham,Shota Imanaga,0,a456847d-db82-444e-8cea-19a0535fc55a,684007.0,shotaimanaga,Imanaga,Left,Shota Imanaga,CHC,3.08,3.55,140.1,105.0,90.0,103.0,0.746,8.98,1.41,8.14,1.41,0.75,0.218,0.437,0.169,0.293,0.439,88.0,99.0,100.0,71.0,95.0,95.0,95.0,105.0,105.0,74.0,108.0,92.0,106.0,107.0,106.0,51.0,107.0,96.0,80.0,106.0,100.0,0.01,0.535,0.006,0.307,0.072,0.038,0.0,0.032,0.52,-6.3,0.93,2.36,-0.49,-0.73,-76.62,0.13,91.7,89.8,83.0,81.7,88.5,81.8,72.7,53.9,0.23,0.452,0.177,0.228,0.317,0.42,0.278,0.306,0.36,0.19,0.238,0.257,0.444,0.556,0.0,0.333,1.333,0.143,,,,,,,,,
8,2024-08-01,746849,Pop Out,field_out,True,680977,684007,Brendan Donovan,Shota Imanaga,0,78e049a0-1645-47fa-a5f5-53038461727b,684007.0,shotaimanaga,Imanaga,Left,Shota Imanaga,CHC,3.08,3.55,140.1,105.0,90.0,103.0,0.746,8.98,1.41,8.14,1.41,0.75,0.218,0.437,0.169,0.293,0.439,88.0,99.0,100.0,71.0,95.0,95.0,95.0,105.0,105.0,74.0,108.0,92.0,106.0,107.0,106.0,51.0,107.0,96.0,80.0,106.0,100.0,0.01,0.535,0.006,0.307,0.072,0.038,0.0,0.032,0.52,-6.3,0.93,2.36,-0.49,-0.73,-76.62,0.13,91.7,89.8,83.0,81.7,88.5,81.8,72.7,53.9,0.23,0.452,0.177,0.228,0.317,0.42,0.278,0.306,0.36,0.19,0.238,0.257,0.444,0.556,0.0,0.333,1.333,0.143,,,,,,,,,
9,2024-08-01,746849,Single,single,False,663457,684007,Lars Nootbaar,Shota Imanaga,1,d6b5f037-0fd1-4f75-832a-aecdfd009e28,684007.0,shotaimanaga,Imanaga,Left,Shota Imanaga,CHC,3.08,3.55,140.1,105.0,90.0,103.0,0.746,8.98,1.41,8.14,1.41,0.75,0.218,0.437,0.169,0.293,0.439,88.0,99.0,100.0,71.0,95.0,95.0,95.0,105.0,105.0,74.0,108.0,92.0,106.0,107.0,106.0,51.0,107.0,96.0,80.0,106.0,100.0,0.01,0.535,0.006,0.307,0.072,0.038,0.0,0.032,0.52,-6.3,0.93,2.36,-0.49,-0.73,-76.62,0.13,91.7,89.8,83.0,81.7,88.5,81.8,72.7,53.9,0.23,0.452,0.177,0.228,0.317,0.42,0.278,0.306,0.36,0.19,0.238,0.257,0.444,0.556,0.0,0.333,1.333,0.143,,,,,,,,,
