,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CU%,wFC/C,wCU/C,vFC,vCU,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,FS%,wFS/C,vFS
0,2024-05-25,745658,Hit By Pitch,hit_by_pitch,False,514888,676664,Jose Altuve,JP Sears,0,eeec6b5b-f68e-49d1-b791-259804e4f305,676664.0,jpsears,Sears,Left,JP Sears,OAK,4.49,4.67,106.1,99.0,98.0,96.0,0.796,6.77,2.71,8.8,1.35,0.81,0.241,0.413,0.157,0.346,0.454,91.0,95.0,85.0,81.0,100.0,95.0,95.0,99.0,85.0,119.0,101.0,107.0,0.116,0.321,0.382,0.182,-1.73,0.67,0.08,0.69,92.2,84.3,90.1,78.9,0.25,0.556,0.258,0.242,0.636,0.257,0.304,0.354,0.219,0.298,0.447,0.132,,,,,,,,,,,,,,,,,,,,,
1,2024-05-25,745658,Grounded Into DP,grounded_into_double_play,True,663656,676664,Kyle Tucker,JP Sears,1,14f5c9a4-5abe-4ba4-9bc5-a18d032a8fd0,676664.0,jpsears,Sears,Left,JP Sears,OAK,4.49,4.67,106.1,99.0,98.0,96.0,0.796,6.77,2.71,8.8,1.35,0.81,0.241,0.413,0.157,0.346,0.454,91.0,95.0,85.0,81.0,100.0,95.0,95.0,99.0,85.0,119.0,101.0,107.0,0.116,0.321,0.382,0.182,-1.73,0.67,0.08,0.69,92.2,84.3,90.1,78.9,0.25,0.556,0.258,0.242,0.636,0.257,0.304,0.354,0.219,0.298,0.447,0.132,,,,,,,,,,,,,,,,,,,,,
2,2024-05-25,745658,Groundout,field_out,True,670541,676664,Yordan Alvarez,JP Sears,0,9adb69f5-2826-448d-8bea-479195b8f34a,676664.0,jpsears,Sears,Left,JP Sears,OAK,4.49,4.67,106.1,99.0,98.0,96.0,0.796,6.77,2.71,8.8,1.35,0.81,0.241,0.413,0.157,0.346,0.454,91.0,95.0,85.0,81.0,100.0,95.0,95.0,99.0,85.0,119.0,101.0,107.0,0.116,0.321,0.382,0.182,-1.73,0.67,0.08,0.69,92.2,84.3,90.1,78.9,0.25,0.556,0.258,0.242,0.636,0.257,0.304,0.354,0.219,0.298,0.447,0.132,,,,,,,,,,,,,,,,,,,,,
3,2024-05-25,745658,Single,single,False,647351,681293,Abraham Toro,Spencer Arrighetti,0,d69d7053-5c21-476f-af48-7653301efd57,681293.0,spencerarrighetti,Arrighetti,Right,Spencer Arrighetti,HOU,5.63,4.19,80.0,99.0,91.0,98.0,0.747,10.46,4.95,9.45,1.24,0.97,0.278,0.404,0.161,0.283,0.447,98.0,98.0,88.0,83.0,99.0,97.0,,,,111.0,93.0,100.0,,0.414,0.113,0.074,-1.89,,0.49,-4.75,94.0,85.0,,81.2,0.325,0.553,0.183,0.143,0.229,0.392,0.55,0.75,0.302,,,,113.0,98.0,103.0,62.0,100.0,100.0,0.197,0.202,1.2,0.32,87.8,78.4,0.25,0.382,0.24,0.162,0.294,0.408,,,
4,2024-05-25,745658,Walk,walk,False,668709,681293,JJ Bleday,Spencer Arrighetti,1,01fa7d95-c369-49e6-8e41-f9e7d2691e87,681293.0,spencerarrighetti,Arrighetti,Right,Spencer Arrighetti,HOU,5.63,4.19,80.0,99.0,91.0,98.0,0.747,10.46,4.95,9.45,1.24,0.97,0.278,0.404,0.161,0.283,0.447,98.0,98.0,88.0,83.0,99.0,97.0,,,,111.0,93.0,100.0,,0.414,0.113,0.074,-1.89,,0.49,-4.75,94.0,85.0,,81.2,0.325,0.553,0.183,0.143,0.229,0.392,0.55,0.75,0.302,,,,113.0,98.0,103.0,62.0,100.0,100.0,0.197,0.202,1.2,0.32,87.8,78.4,0.25,0.382,0.24,0.162,0.294,0.408,,,
5,2024-05-25,745658,Double,double,False,667670,681293,Brent Rooker,Spencer Arrighetti,1,c054b553-18ef-47cd-b8c4-3ae565551b42,681293.0,spencerarrighetti,Arrighetti,Right,Spencer Arrighetti,HOU,5.63,4.19,80.0,99.0,91.0,98.0,0.747,10.46,4.95,9.45,1.24,0.97,0.278,0.404,0.161,0.283,0.447,98.0,98.0,88.0,83.0,99.0,97.0,,,,111.0,93.0,100.0,,0.414,0.113,0.074,-1.89,,0.49,-4.75,94.0,85.0,,81.2,0.325,0.553,0.183,0.143,0.229,0.392,0.55,0.75,0.302,,,,113.0,98.0,103.0,62.0,100.0,100.0,0.197,0.202,1.2,0.32,87.8,78.4,0.25,0.382,0.24,0.162,0.294,0.408,,,
6,2024-05-25,745658,Flyout,field_out,True,664913,681293,Seth Brown,Spencer Arrighetti,0,c2848566-603c-4b56-acf5-9f0c3d8fad57,681293.0,spencerarrighetti,Arrighetti,Right,Spencer Arrighetti,HOU,5.63,4.19,80.0,99.0,91.0,98.0,0.747,10.46,4.95,9.45,1.24,0.97,0.278,0.404,0.161,0.283,0.447,98.0,98.0,88.0,83.0,99.0,97.0,,,,111.0,93.0,100.0,,0.414,0.113,0.074,-1.89,,0.49,-4.75,94.0,85.0,,81.2,0.325,0.553,0.183,0.143,0.229,0.392,0.55,0.75,0.302,,,,113.0,98.0,103.0,62.0,100.0,100.0,0.197,0.202,1.2,0.32,87.8,78.4,0.25,0.382,0.24,0.162,0.294,0.408,,,
7,2024-05-25,745658,Strikeout,strikeout,True,668832,681293,Kyle McCann,Spencer Arrighetti,0,51d9217f-2979-4830-bd94-9272e27cb1df,681293.0,spencerarrighetti,Arrighetti,Right,Spencer Arrighetti,HOU,5.63,4.19,80.0,99.0,91.0,98.0,0.747,10.46,4.95,9.45,1.24,0.97,0.278,0.404,0.161,0.283,0.447,98.0,98.0,88.0,83.0,99.0,97.0,,,,111.0,93.0,100.0,,0.414,0.113,0.074,-1.89,,0.49,-4.75,94.0,85.0,,81.2,0.325,0.553,0.183,0.143,0.229,0.392,0.55,0.75,0.302,,,,113.0,98.0,103.0,62.0,100.0,100.0,0.197,0.202,1.2,0.32,87.8,78.4,0.25,0.382,0.24,0.162,0.294,0.408,,,
8,2024-05-25,745658,Flyout,field_out,True,691016,681293,Tyler Soderstrom,Spencer Arrighetti,0,4fa0ec9a-4f3c-4cac-ad93-97b8ff8e2df8,681293.0,spencerarrighetti,Arrighetti,Right,Spencer Arrighetti,HOU,5.63,4.19,80.0,99.0,91.0,98.0,0.747,10.46,4.95,9.45,1.24,0.97,0.278,0.404,0.161,0.283,0.447,98.0,98.0,88.0,83.0,99.0,97.0,,,,111.0,93.0,100.0,,0.414,0.113,0.074,-1.89,,0.49,-4.75,94.0,85.0,,81.2,0.325,0.553,0.183,0.143,0.229,0.392,0.55,0.75,0.302,,,,113.0,98.0,103.0,62.0,100.0,100.0,0.197,0.202,1.2,0.32,87.8,78.4,0.25,0.382,0.24,0.162,0.294,0.408,,,
9,2024-05-25,745658,Strikeout,strikeout,True,608324,676664,Alex Bregman,JP Sears,0,7be02f3e-cf17-49f7-b525-f17a74855db5,676664.0,jpsears,Sears,Left,JP Sears,OAK,4.49,4.67,106.1,99.0,98.0,96.0,0.796,6.77,2.71,8.8,1.35,0.81,0.241,0.413,0.157,0.346,0.454,91.0,95.0,85.0,81.0,100.0,95.0,95.0,99.0,85.0,119.0,101.0,107.0,0.116,0.321,0.382,0.182,-1.73,0.67,0.08,0.69,92.2,84.3,90.1,78.9,0.25,0.556,0.258,0.242,0.636,0.257,0.304,0.354,0.219,0.298,0.447,0.132,,,,,,,,,,,,,,,,,,,,,
