,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,CU%,wFA/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFS,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff
0,2024-09-24,744876,Strikeout,strikeout,True,680776,670102,Jarren Duran,Bowden Francis,0,088e7617-6ab4-405e-a731-4ceb357ad093,670102.0,bowdenfrancis,Francis,Right,Bowden Francis,TOR,3.3,3.44,103.2,102.0,97.0,104.0,0.8,7.99,1.91,6.42,1.48,0.74,0.247,0.498,0.171,0.341,0.465,99.0,94.0,100.0,94.0,106.0,107.0,79.0,96.0,85.0,96.0,92.0,92.0,109.0,105.0,110.0,0.029,0.513,0.184,0.092,0.182,2.21,1.44,1.45,-1.47,-1.71,92.9,83.8,90.3,81.7,73.5,0.174,0.371,0.185,0.169,0.169,0.225,0.308,0.558,0.243,0.25,0.583,0.436,0.182,0.455,0.067,,,,,,,,,,,,,,,,,,,,,
1,2024-09-24,744876,Strikeout,strikeout,True,663853,670102,Romy Gonzalez,Bowden Francis,0,f10e29d5-7de5-4a41-8bc4-4e7d16e7dd0f,670102.0,bowdenfrancis,Francis,Right,Bowden Francis,TOR,3.3,3.44,103.2,102.0,97.0,104.0,0.8,7.99,1.91,6.42,1.48,0.74,0.247,0.498,0.171,0.341,0.465,99.0,94.0,100.0,94.0,106.0,107.0,79.0,96.0,85.0,96.0,92.0,92.0,109.0,105.0,110.0,0.029,0.513,0.184,0.092,0.182,2.21,1.44,1.45,-1.47,-1.71,92.9,83.8,90.3,81.7,73.5,0.174,0.371,0.185,0.169,0.169,0.225,0.308,0.558,0.243,0.25,0.583,0.436,0.182,0.455,0.067,,,,,,,,,,,,,,,,,,,,,
2,2024-09-24,744876,Flyout,field_out,True,671213,670102,Triston Casas,Bowden Francis,0,a16ff988-007d-4ad9-b01e-3537dc6385f9,670102.0,bowdenfrancis,Francis,Right,Bowden Francis,TOR,3.3,3.44,103.2,102.0,97.0,104.0,0.8,7.99,1.91,6.42,1.48,0.74,0.247,0.498,0.171,0.341,0.465,99.0,94.0,100.0,94.0,106.0,107.0,79.0,96.0,85.0,96.0,92.0,92.0,109.0,105.0,110.0,0.029,0.513,0.184,0.092,0.182,2.21,1.44,1.45,-1.47,-1.71,92.9,83.8,90.3,81.7,73.5,0.174,0.371,0.185,0.169,0.169,0.225,0.308,0.558,0.243,0.25,0.583,0.436,0.182,0.455,0.067,,,,,,,,,,,,,,,,,,,,,
3,2024-09-24,744876,Groundout,field_out,True,543807,678394,George Springer,Brayan Bello,0,d24ef29d-ad2e-4693-80cc-1807558bd017,678394.0,brayanbello,Bello,Right,Brayan Bello,BOS,4.49,4.46,162.1,99.0,101.0,102.0,0.753,8.48,3.55,8.7,1.05,1.86,0.219,0.384,0.152,0.31,0.404,,,,74.0,108.0,101.0,103.0,100.0,101.0,114.0,98.0,110.0,,,,0.403,0.048,,0.28,,0.25,,-0.24,-0.58,,95.6,,95.7,86.8,,0.12,0.16,0.218,,,,,,,0.268,0.401,0.343,0.309,0.44,0.111,88.0,99.0,97.0,0.269,0.15,87.6,0.177,0.354,0.369,,,,,,,,,,,,
4,2024-09-24,744876,Flyout,field_out,True,664770,678394,Nathan Lukes,Brayan Bello,0,bc57ad6d-8e90-4180-8417-5a97388cb2bf,678394.0,brayanbello,Bello,Right,Brayan Bello,BOS,4.49,4.46,162.1,99.0,101.0,102.0,0.753,8.48,3.55,8.7,1.05,1.86,0.219,0.384,0.152,0.31,0.404,,,,74.0,108.0,101.0,103.0,100.0,101.0,114.0,98.0,110.0,,,,0.403,0.048,,0.28,,0.25,,-0.24,-0.58,,95.6,,95.7,86.8,,0.12,0.16,0.218,,,,,,,0.268,0.401,0.343,0.309,0.44,0.111,88.0,99.0,97.0,0.269,0.15,87.6,0.177,0.354,0.369,,,,,,,,,,,,
5,2024-09-24,744876,Groundout,field_out,True,665489,678394,Vladimir Guerrero Jr.,Brayan Bello,0,1758bbd7-7861-4467-b4dc-089e38cc4bc2,678394.0,brayanbello,Bello,Right,Brayan Bello,BOS,4.49,4.46,162.1,99.0,101.0,102.0,0.753,8.48,3.55,8.7,1.05,1.86,0.219,0.384,0.152,0.31,0.404,,,,74.0,108.0,101.0,103.0,100.0,101.0,114.0,98.0,110.0,,,,0.403,0.048,,0.28,,0.25,,-0.24,-0.58,,95.6,,95.7,86.8,,0.12,0.16,0.218,,,,,,,0.268,0.401,0.343,0.309,0.44,0.111,88.0,99.0,97.0,0.269,0.15,87.6,0.177,0.354,0.369,,,,,,,,,,,,
6,2024-09-24,744876,Double,double,False,596115,670102,Trevor Story,Bowden Francis,0,9812ff15-69a1-4167-a7c5-b7cea600294d,670102.0,bowdenfrancis,Francis,Right,Bowden Francis,TOR,3.3,3.44,103.2,102.0,97.0,104.0,0.8,7.99,1.91,6.42,1.48,0.74,0.247,0.498,0.171,0.341,0.465,99.0,94.0,100.0,94.0,106.0,107.0,79.0,96.0,85.0,96.0,92.0,92.0,109.0,105.0,110.0,0.029,0.513,0.184,0.092,0.182,2.21,1.44,1.45,-1.47,-1.71,92.9,83.8,90.3,81.7,73.5,0.174,0.371,0.185,0.169,0.169,0.225,0.308,0.558,0.243,0.25,0.583,0.436,0.182,0.455,0.067,,,,,,,,,,,,,,,,,,,,,
7,2024-09-24,744876,Groundout,field_out,True,807799,670102,Masataka Yoshida,Bowden Francis,1,ba7d2942-f7c3-4472-90a9-a3cc8df647dd,670102.0,bowdenfrancis,Francis,Right,Bowden Francis,TOR,3.3,3.44,103.2,102.0,97.0,104.0,0.8,7.99,1.91,6.42,1.48,0.74,0.247,0.498,0.171,0.341,0.465,99.0,94.0,100.0,94.0,106.0,107.0,79.0,96.0,85.0,96.0,92.0,92.0,109.0,105.0,110.0,0.029,0.513,0.184,0.092,0.182,2.21,1.44,1.45,-1.47,-1.71,92.9,83.8,90.3,81.7,73.5,0.174,0.371,0.185,0.169,0.169,0.225,0.308,0.558,0.243,0.25,0.583,0.436,0.182,0.455,0.067,,,,,,,,,,,,,,,,,,,,,
8,2024-09-24,744876,Pop Out,field_out,True,687093,670102,Vaughn Grissom,Bowden Francis,0,21c4bfba-8aed-4f93-a469-47ae47312b8a,670102.0,bowdenfrancis,Francis,Right,Bowden Francis,TOR,3.3,3.44,103.2,102.0,97.0,104.0,0.8,7.99,1.91,6.42,1.48,0.74,0.247,0.498,0.171,0.341,0.465,99.0,94.0,100.0,94.0,106.0,107.0,79.0,96.0,85.0,96.0,92.0,92.0,109.0,105.0,110.0,0.029,0.513,0.184,0.092,0.182,2.21,1.44,1.45,-1.47,-1.71,92.9,83.8,90.3,81.7,73.5,0.174,0.371,0.185,0.169,0.169,0.225,0.308,0.558,0.243,0.25,0.583,0.436,0.182,0.455,0.067,,,,,,,,,,,,,,,,,,,,,
9,2024-09-24,744876,Flyout,field_out,True,677800,670102,Wilyer Abreu,Bowden Francis,0,44fb0fb4-51d8-4707-89b5-f3a574a66144,670102.0,bowdenfrancis,Francis,Right,Bowden Francis,TOR,3.3,3.44,103.2,102.0,97.0,104.0,0.8,7.99,1.91,6.42,1.48,0.74,0.247,0.498,0.171,0.341,0.465,99.0,94.0,100.0,94.0,106.0,107.0,79.0,96.0,85.0,96.0,92.0,92.0,109.0,105.0,110.0,0.029,0.513,0.184,0.092,0.182,2.21,1.44,1.45,-1.47,-1.71,92.9,83.8,90.3,81.7,73.5,0.174,0.371,0.185,0.169,0.169,0.225,0.308,0.558,0.243,0.25,0.583,0.436,0.182,0.455,0.067,,,,,,,,,,,,,,,,,,,,,
