,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff
0,2024-09-24,746504,Strikeout,strikeout,True,691026,663372,Masyn Winn,Ryan Feltner,0,4d041c1c-3133-42e0-9716-e96b9eb150bd,663372.0,ryanfeltner,Feltner,Right,Ryan Feltner,COL,4.49,4.28,162.1,100.0,97.0,99.0,0.781,7.65,2.88,9.15,1.11,1.28,0.226,0.394,0.158,0.327,0.452,117.0,95.0,102.0,108.0,107.0,113.0,81.0,102.0,96.0,93.0,93.0,89.0,109.0,99.0,104.0,0.128,0.37,0.254,0.101,0.147,0.63,-0.45,-0.87,1.28,-1.02,94.6,85.2,94.2,87.4,79.2,0.24,0.376,0.177,0.355,0.523,0.226,0.299,0.485,0.39,0.299,0.403,0.159,0.164,0.26,0.248,0.156,0.375,0.35,,,,,,,,,
1,2024-09-24,746504,Groundout,field_out,True,676475,663372,Alec Burleson,Ryan Feltner,0,cb973380-b6ab-4e22-a287-a475f0e57247,663372.0,ryanfeltner,Feltner,Right,Ryan Feltner,COL,4.49,4.28,162.1,100.0,97.0,99.0,0.781,7.65,2.88,9.15,1.11,1.28,0.226,0.394,0.158,0.327,0.452,117.0,95.0,102.0,108.0,107.0,113.0,81.0,102.0,96.0,93.0,93.0,89.0,109.0,99.0,104.0,0.128,0.37,0.254,0.101,0.147,0.63,-0.45,-0.87,1.28,-1.02,94.6,85.2,94.2,87.4,79.2,0.24,0.376,0.177,0.355,0.523,0.226,0.299,0.485,0.39,0.299,0.403,0.159,0.164,0.26,0.248,0.156,0.375,0.35,,,,,,,,,
2,2024-09-24,746504,Groundout,field_out,True,502671,663372,Paul Goldschmidt,Ryan Feltner,0,4aacb882-2abc-41b6-a078-d1cd3508fa1f,663372.0,ryanfeltner,Feltner,Right,Ryan Feltner,COL,4.49,4.28,162.1,100.0,97.0,99.0,0.781,7.65,2.88,9.15,1.11,1.28,0.226,0.394,0.158,0.327,0.452,117.0,95.0,102.0,108.0,107.0,113.0,81.0,102.0,96.0,93.0,93.0,89.0,109.0,99.0,104.0,0.128,0.37,0.254,0.101,0.147,0.63,-0.45,-0.87,1.28,-1.02,94.6,85.2,94.2,87.4,79.2,0.24,0.376,0.177,0.355,0.523,0.226,0.299,0.485,0.39,0.299,0.403,0.159,0.164,0.26,0.248,0.156,0.375,0.35,,,,,,,,,
3,2024-09-24,746504,Hit By Pitch,hit_by_pitch,False,453568,700241,Charlie Blackmon,Michael McGreevy,0,53b2bc6d-e232-4517-877d-8d8151031c1a,700241.0,michaelmcgreevy,McGreevy,Right,Michael McGreevy,STL,1.96,3.44,23.0,107.0,82.0,101.0,0.783,7.04,0.78,6.26,0.39,3.64,0.138,0.523,0.2,0.277,0.447,46.0,110.0,100.0,88.0,96.0,98.0,67.0,117.0,105.0,87.0,105.0,99.0,117.0,107.0,113.0,0.35,0.196,0.19,0.061,0.093,2.76,3.74,0.41,-0.51,-0.49,93.0,87.3,91.9,84.3,79.8,0.083,0.25,0.31,0.222,0.444,0.345,0.333,0.333,0.182,0.184,0.211,0.06,0.25,0.25,0.5,,,,63.0,97.0,84.0,0.109,2.29,88.9,0.2,0.4,0.294
4,2024-09-24,746504,Forceout,force_out,True,678662,700241,Ezequiel Tovar,Michael McGreevy,1,f1f48dd1-a630-4f07-b04b-8f3cc50a5fc1,700241.0,michaelmcgreevy,McGreevy,Right,Michael McGreevy,STL,1.96,3.44,23.0,107.0,82.0,101.0,0.783,7.04,0.78,6.26,0.39,3.64,0.138,0.523,0.2,0.277,0.447,46.0,110.0,100.0,88.0,96.0,98.0,67.0,117.0,105.0,87.0,105.0,99.0,117.0,107.0,113.0,0.35,0.196,0.19,0.061,0.093,2.76,3.74,0.41,-0.51,-0.49,93.0,87.3,91.9,84.3,79.8,0.083,0.25,0.31,0.222,0.444,0.345,0.333,0.333,0.182,0.184,0.211,0.06,0.25,0.25,0.5,,,,63.0,97.0,84.0,0.109,2.29,88.9,0.2,0.4,0.294
5,2024-09-24,746504,Forceout,force_out,True,686668,700241,Brenton Doyle,Michael McGreevy,1,92eba9f1-383b-4642-90bd-5e529c1fcb5c,700241.0,michaelmcgreevy,McGreevy,Right,Michael McGreevy,STL,1.96,3.44,23.0,107.0,82.0,101.0,0.783,7.04,0.78,6.26,0.39,3.64,0.138,0.523,0.2,0.277,0.447,46.0,110.0,100.0,88.0,96.0,98.0,67.0,117.0,105.0,87.0,105.0,99.0,117.0,107.0,113.0,0.35,0.196,0.19,0.061,0.093,2.76,3.74,0.41,-0.51,-0.49,93.0,87.3,91.9,84.3,79.8,0.083,0.25,0.31,0.222,0.444,0.345,0.333,0.333,0.182,0.184,0.211,0.06,0.25,0.25,0.5,,,,63.0,97.0,84.0,0.109,2.29,88.9,0.2,0.4,0.294
6,2024-09-24,746504,Strikeout,strikeout,True,641857,700241,Ryan McMahon,Michael McGreevy,0,ab20956e-5d60-4fbc-a891-539bbdab304b,700241.0,michaelmcgreevy,McGreevy,Right,Michael McGreevy,STL,1.96,3.44,23.0,107.0,82.0,101.0,0.783,7.04,0.78,6.26,0.39,3.64,0.138,0.523,0.2,0.277,0.447,46.0,110.0,100.0,88.0,96.0,98.0,67.0,117.0,105.0,87.0,105.0,99.0,117.0,107.0,113.0,0.35,0.196,0.19,0.061,0.093,2.76,3.74,0.41,-0.51,-0.49,93.0,87.3,91.9,84.3,79.8,0.083,0.25,0.31,0.222,0.444,0.345,0.333,0.333,0.182,0.184,0.211,0.06,0.25,0.25,0.5,,,,63.0,97.0,84.0,0.109,2.29,88.9,0.2,0.4,0.294
7,2024-09-24,746504,Strikeout,strikeout,True,571448,663372,Nolan Arenado,Ryan Feltner,0,7521d4ae-547d-4428-820d-13834bb5e657,663372.0,ryanfeltner,Feltner,Right,Ryan Feltner,COL,4.49,4.28,162.1,100.0,97.0,99.0,0.781,7.65,2.88,9.15,1.11,1.28,0.226,0.394,0.158,0.327,0.452,117.0,95.0,102.0,108.0,107.0,113.0,81.0,102.0,96.0,93.0,93.0,89.0,109.0,99.0,104.0,0.128,0.37,0.254,0.101,0.147,0.63,-0.45,-0.87,1.28,-1.02,94.6,85.2,94.2,87.4,79.2,0.24,0.376,0.177,0.355,0.523,0.226,0.299,0.485,0.39,0.299,0.403,0.159,0.164,0.26,0.248,0.156,0.375,0.35,,,,,,,,,
8,2024-09-24,746504,Strikeout,strikeout,True,680977,663372,Brendan Donovan,Ryan Feltner,0,e81fbbea-8736-4f61-80e8-0826a6dfc90e,663372.0,ryanfeltner,Feltner,Right,Ryan Feltner,COL,4.49,4.28,162.1,100.0,97.0,99.0,0.781,7.65,2.88,9.15,1.11,1.28,0.226,0.394,0.158,0.327,0.452,117.0,95.0,102.0,108.0,107.0,113.0,81.0,102.0,96.0,93.0,93.0,89.0,109.0,99.0,104.0,0.128,0.37,0.254,0.101,0.147,0.63,-0.45,-0.87,1.28,-1.02,94.6,85.2,94.2,87.4,79.2,0.24,0.376,0.177,0.355,0.523,0.226,0.299,0.485,0.39,0.299,0.403,0.159,0.164,0.26,0.248,0.156,0.375,0.35,,,,,,,,,
9,2024-09-24,746504,Single,single,False,671056,663372,Iván Herrera,Ryan Feltner,0,a1f2cfdc-df75-4844-8c90-12bb11fd1ea1,663372.0,ryanfeltner,Feltner,Right,Ryan Feltner,COL,4.49,4.28,162.1,100.0,97.0,99.0,0.781,7.65,2.88,9.15,1.11,1.28,0.226,0.394,0.158,0.327,0.452,117.0,95.0,102.0,108.0,107.0,113.0,81.0,102.0,96.0,93.0,93.0,89.0,109.0,99.0,104.0,0.128,0.37,0.254,0.101,0.147,0.63,-0.45,-0.87,1.28,-1.02,94.6,85.2,94.2,87.4,79.2,0.24,0.376,0.177,0.355,0.523,0.226,0.299,0.485,0.39,0.299,0.403,0.159,0.164,0.26,0.248,0.156,0.375,0.35,,,,,,,,,
