,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,ST_ba,ST_slg,ST_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,KC%,wKC/C,vKC,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,SI_ba,SI_slg,SI_whiff
0,2024-08-17,745049,Groundout,field_out,True,606466,605488,Ketel Marte,Jeffrey Springs,0,2068e2c5-2426-4938-8173-6a5ff4640c18,605488.0,jeffreysprings,Springs,Left,Jeffrey Springs,TBR,3.67,3.73,27.0,99.0,88.0,95.0,0.719,11.0,3.0,10.0,1.33,0.84,0.24,0.44,0.16,0.347,0.361,105.0,100.0,98.0,75.0,98.0,91.0,48.0,55.0,53.0,95.0,107.0,107.0,0.002,0.42,0.019,0.24,0.319,-1.0,-2.47,-3.49,3.59,-2.5,89.8,85.1,79.5,89.8,82.3,0.375,0.5,0.466,0.244,0.512,0.18,0.133,0.133,0.255,0.0,0.0,0.571,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-08-17,745049,Strikeout,strikeout,True,664983,605488,Jake McCarthy,Jeffrey Springs,0,791a9efe-d6d2-4cad-a0bd-942890f82cba,605488.0,jeffreysprings,Springs,Left,Jeffrey Springs,TBR,3.67,3.73,27.0,99.0,88.0,95.0,0.719,11.0,3.0,10.0,1.33,0.84,0.24,0.44,0.16,0.347,0.361,105.0,100.0,98.0,75.0,98.0,91.0,48.0,55.0,53.0,95.0,107.0,107.0,0.002,0.42,0.019,0.24,0.319,-1.0,-2.47,-3.49,3.59,-2.5,89.8,85.1,79.5,89.8,82.3,0.375,0.5,0.466,0.244,0.512,0.18,0.133,0.133,0.255,0.0,0.0,0.571,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-08-17,745049,Pop Out,field_out,True,666971,605488,Lourdes Gurriel Jr.,Jeffrey Springs,0,ba568e7b-96fe-49b6-b558-913ae6e99ab5,605488.0,jeffreysprings,Springs,Left,Jeffrey Springs,TBR,3.67,3.73,27.0,99.0,88.0,95.0,0.719,11.0,3.0,10.0,1.33,0.84,0.24,0.44,0.16,0.347,0.361,105.0,100.0,98.0,75.0,98.0,91.0,48.0,55.0,53.0,95.0,107.0,107.0,0.002,0.42,0.019,0.24,0.319,-1.0,-2.47,-3.49,3.59,-2.5,89.8,85.1,79.5,89.8,82.3,0.375,0.5,0.466,0.244,0.512,0.18,0.133,0.133,0.255,0.0,0.0,0.571,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-08-17,745049,Flyout,field_out,True,650490,668678,Yandy Díaz,Zac Gallen,0,a3e44b6b-0802-4a3b-9673-386f65fc1ffd,668678.0,zacgallen,Gallen,Right,Zac Gallen,ARI,3.65,4.03,116.0,100.0,99.0,99.0,0.768,8.61,3.18,8.53,0.62,1.44,0.231,0.407,0.135,0.344,0.349,85.0,106.0,96.0,100.0,94.0,95.0,132.0,80.0,80.0,106.0,100.0,100.0,0.002,0.462,0.034,0.087,0.141,-1.04,-1.72,-1.01,0.24,0.77,93.5,90.3,86.6,94.7,86.8,0.269,0.372,0.252,0.317,0.494,0.131,0.258,0.387,0.299,,,,105.0,109.0,112.0,88.0,88.0,83.0,0.274,2.72,80.7,0.148,0.228,0.374,0.333,0.833,0.318,,,,,,,,,
4,2024-08-17,745049,Walk,walk,False,664040,668678,Brandon Lowe,Zac Gallen,0,909a5a68-ac71-405e-9f9b-8c818483f59f,668678.0,zacgallen,Gallen,Right,Zac Gallen,ARI,3.65,4.03,116.0,100.0,99.0,99.0,0.768,8.61,3.18,8.53,0.62,1.44,0.231,0.407,0.135,0.344,0.349,85.0,106.0,96.0,100.0,94.0,95.0,132.0,80.0,80.0,106.0,100.0,100.0,0.002,0.462,0.034,0.087,0.141,-1.04,-1.72,-1.01,0.24,0.77,93.5,90.3,86.6,94.7,86.8,0.269,0.372,0.252,0.317,0.494,0.131,0.258,0.387,0.299,,,,105.0,109.0,112.0,88.0,88.0,83.0,0.274,2.72,80.7,0.148,0.228,0.374,0.333,0.833,0.318,,,,,,,,,
5,2024-08-17,745049,Strikeout,strikeout,True,666624,668678,Christopher Morel,Zac Gallen,0,51b5d0a9-1213-48f7-846d-89a351b4ad8c,668678.0,zacgallen,Gallen,Right,Zac Gallen,ARI,3.65,4.03,116.0,100.0,99.0,99.0,0.768,8.61,3.18,8.53,0.62,1.44,0.231,0.407,0.135,0.344,0.349,85.0,106.0,96.0,100.0,94.0,95.0,132.0,80.0,80.0,106.0,100.0,100.0,0.002,0.462,0.034,0.087,0.141,-1.04,-1.72,-1.01,0.24,0.77,93.5,90.3,86.6,94.7,86.8,0.269,0.372,0.252,0.317,0.494,0.131,0.258,0.387,0.299,,,,105.0,109.0,112.0,88.0,88.0,83.0,0.274,2.72,80.7,0.148,0.228,0.374,0.333,0.833,0.318,,,,,,,,,
6,2024-08-17,745049,Triple,triple,False,666139,668678,Josh Lowe,Zac Gallen,1,b47565ee-e3d8-4bc7-a127-504f33dc8a34,668678.0,zacgallen,Gallen,Right,Zac Gallen,ARI,3.65,4.03,116.0,100.0,99.0,99.0,0.768,8.61,3.18,8.53,0.62,1.44,0.231,0.407,0.135,0.344,0.349,85.0,106.0,96.0,100.0,94.0,95.0,132.0,80.0,80.0,106.0,100.0,100.0,0.002,0.462,0.034,0.087,0.141,-1.04,-1.72,-1.01,0.24,0.77,93.5,90.3,86.6,94.7,86.8,0.269,0.372,0.252,0.317,0.494,0.131,0.258,0.387,0.299,,,,105.0,109.0,112.0,88.0,88.0,83.0,0.274,2.72,80.7,0.148,0.228,0.374,0.333,0.833,0.318,,,,,,,,,
7,2024-08-17,745049,Walk,walk,False,691406,668678,Junior Caminero,Zac Gallen,0,65dd7641-ff1a-4044-9e7f-cadaf822287a,668678.0,zacgallen,Gallen,Right,Zac Gallen,ARI,3.65,4.03,116.0,100.0,99.0,99.0,0.768,8.61,3.18,8.53,0.62,1.44,0.231,0.407,0.135,0.344,0.349,85.0,106.0,96.0,100.0,94.0,95.0,132.0,80.0,80.0,106.0,100.0,100.0,0.002,0.462,0.034,0.087,0.141,-1.04,-1.72,-1.01,0.24,0.77,93.5,90.3,86.6,94.7,86.8,0.269,0.372,0.252,0.317,0.494,0.131,0.258,0.387,0.299,,,,105.0,109.0,112.0,88.0,88.0,83.0,0.274,2.72,80.7,0.148,0.228,0.374,0.333,0.833,0.318,,,,,,,,,
8,2024-08-17,745049,Groundout,field_out,True,666185,668678,Dylan Carlson,Zac Gallen,1,b00b537b-4de5-439e-b67d-592d4ec24f63,668678.0,zacgallen,Gallen,Right,Zac Gallen,ARI,3.65,4.03,116.0,100.0,99.0,99.0,0.768,8.61,3.18,8.53,0.62,1.44,0.231,0.407,0.135,0.344,0.349,85.0,106.0,96.0,100.0,94.0,95.0,132.0,80.0,80.0,106.0,100.0,100.0,0.002,0.462,0.034,0.087,0.141,-1.04,-1.72,-1.01,0.24,0.77,93.5,90.3,86.6,94.7,86.8,0.269,0.372,0.252,0.317,0.494,0.131,0.258,0.387,0.299,,,,105.0,109.0,112.0,88.0,88.0,83.0,0.274,2.72,80.7,0.148,0.228,0.374,0.333,0.833,0.318,,,,,,,,,
9,2024-08-17,745049,Strikeout,strikeout,True,605137,605488,Josh Bell,Jeffrey Springs,0,08f7d58e-21f7-4d83-acb8-5e950438d2fe,605488.0,jeffreysprings,Springs,Left,Jeffrey Springs,TBR,3.67,3.73,27.0,99.0,88.0,95.0,0.719,11.0,3.0,10.0,1.33,0.84,0.24,0.44,0.16,0.347,0.361,105.0,100.0,98.0,75.0,98.0,91.0,48.0,55.0,53.0,95.0,107.0,107.0,0.002,0.42,0.019,0.24,0.319,-1.0,-2.47,-3.49,3.59,-2.5,89.8,85.1,79.5,89.8,82.3,0.375,0.5,0.466,0.244,0.512,0.18,0.133,0.133,0.255,0.0,0.0,0.571,,,,,,,,,,,,,,,,,,,,,,,,
10,2024-08-17,745049,Strikeout,strikeout,True,545341,605488,Randal Grichuk,Jeffrey Springs,0,7645da2c-7707-4470-97cf-ad2cbe236347,605488.0,jeffreysprings,Springs,Left,Jeffrey Springs,TBR,3.67,3.73,27.0,99.0,88.0,95.0,0.719,11.0,3.0,10.0,1.33,0.84,0.24,0.44,0.16,0.347,0.361,105.0,100.0,98.0,75.0,98.0,91.0,48.0,55.0,53.0,95.0,107.0,107.0,0.002,0.42,0.019,0.24,0.319,-1.0,-2.47,-3.49,3.59,-2.5,89.8,85.1,79.5,89.8,82.3,0.375,0.5,0.466,0.244,0.512,0.18,0.133,0.133,0.255,0.0,0.0,0.571,,,,,,,,,,,,,,,,,,,,,,,,
11,2024-08-17,745049,Groundout,field_out,True,553993,605488,Eugenio Suárez,Jeffrey Springs,0,e59f1b8c-56ad-4f56-a872-8a69e36a4e11,605488.0,jeffreysprings,Springs,Left,Jeffrey Springs,TBR,3.67,3.73,27.0,99.0,88.0,95.0,0.719,11.0,3.0,10.0,1.33,0.84,0.24,0.44,0.16,0.347,0.361,105.0,100.0,98.0,75.0,98.0,91.0,48.0,55.0,53.0,95.0,107.0,107.0,0.002,0.42,0.019,0.24,0.319,-1.0,-2.47,-3.49,3.59,-2.5,89.8,85.1,79.5,89.8,82.3,0.375,0.5,0.466,0.244,0.512,0.18,0.133,0.133,0.255,0.0,0.0,0.571,,,,,,,,,,,,,,,,,,,,,,,,
12,2024-08-17,745049,Flyout,field_out,True,676356,668678,Jonny DeLuca,Zac Gallen,0,179e75ec-ca4e-4c7d-b724-78f1bb320a59,668678.0,zacgallen,Gallen,Right,Zac Gallen,ARI,3.65,4.03,116.0,100.0,99.0,99.0,0.768,8.61,3.18,8.53,0.62,1.44,0.231,0.407,0.135,0.344,0.349,85.0,106.0,96.0,100.0,94.0,95.0,132.0,80.0,80.0,106.0,100.0,100.0,0.002,0.462,0.034,0.087,0.141,-1.04,-1.72,-1.01,0.24,0.77,93.5,90.3,86.6,94.7,86.8,0.269,0.372,0.252,0.317,0.494,0.131,0.258,0.387,0.299,,,,105.0,109.0,112.0,88.0,88.0,83.0,0.274,2.72,80.7,0.148,0.228,0.374,0.333,0.833,0.318,,,,,,,,,
13,2024-08-17,745049,Single,single,False,670764,668678,Taylor Walls,Zac Gallen,0,3865f21b-8169-4c06-bd78-91a98ba0d641,668678.0,zacgallen,Gallen,Right,Zac Gallen,ARI,3.65,4.03,116.0,100.0,99.0,99.0,0.768,8.61,3.18,8.53,0.62,1.44,0.231,0.407,0.135,0.344,0.349,85.0,106.0,96.0,100.0,94.0,95.0,132.0,80.0,80.0,106.0,100.0,100.0,0.002,0.462,0.034,0.087,0.141,-1.04,-1.72,-1.01,0.24,0.77,93.5,90.3,86.6,94.7,86.8,0.269,0.372,0.252,0.317,0.494,0.131,0.258,0.387,0.299,,,,105.0,109.0,112.0,88.0,88.0,83.0,0.274,2.72,80.7,0.148,0.228,0.374,0.333,0.833,0.318,,,,,,,,,
14,2024-08-17,745049,Single,single,False,656577,668678,Alex Jackson,Zac Gallen,1,3ba28f3a-89a1-4172-89e9-512e6be6e834,668678.0,zacgallen,Gallen,Right,Zac Gallen,ARI,3.65,4.03,116.0,100.0,99.0,99.0,0.768,8.61,3.18,8.53,0.62,1.44,0.231,0.407,0.135,0.344,0.349,85.0,106.0,96.0,100.0,94.0,95.0,132.0,80.0,80.0,106.0,100.0,100.0,0.002,0.462,0.034,0.087,0.141,-1.04,-1.72,-1.01,0.24,0.77,93.5,90.3,86.6,94.7,86.8,0.269,0.372,0.252,0.317,0.494,0.131,0.258,0.387,0.299,,,,105.0,109.0,112.0,88.0,88.0,83.0,0.274,2.72,80.7,0.148,0.228,0.374,0.333,0.833,0.318,,,,,,,,,
15,2024-08-17,745049,Single,single,False,650490,668678,Yandy Díaz,Zac Gallen,1,be379b3e-4440-4ba8-b366-08564ed3d02d,668678.0,zacgallen,Gallen,Right,Zac Gallen,ARI,3.65,4.03,116.0,100.0,99.0,99.0,0.768,8.61,3.18,8.53,0.62,1.44,0.231,0.407,0.135,0.344,0.349,85.0,106.0,96.0,100.0,94.0,95.0,132.0,80.0,80.0,106.0,100.0,100.0,0.002,0.462,0.034,0.087,0.141,-1.04,-1.72,-1.01,0.24,0.77,93.5,90.3,86.6,94.7,86.8,0.269,0.372,0.252,0.317,0.494,0.131,0.258,0.387,0.299,,,,105.0,109.0,112.0,88.0,88.0,83.0,0.274,2.72,80.7,0.148,0.228,0.374,0.333,0.833,0.318,,,,,,,,,
