,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,KC%,wFC/C,wKC/C,vFC,vKC,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff
0,2024-08-16,746438,Single,single,False,650402,689225,Gleyber Torres,Beau Brieske,1,44454874-82e5-43b1-91b3-9f42c9e82aca,689225.0,beaubrieske,Brieske,Right,Beau Brieske,DET,4.44,3.57,50.2,103.0,108.0,103.0,0.779,9.59,3.38,8.7,0.53,0.98,0.191,0.348,0.156,0.333,0.409,101.0,108.0,112.0,115.0,101.0,100.0,86.0,106.0,98.0,124.0,96.0,102.0,0.17,0.369,0.197,0.264,0.67,1.62,-1.81,0.06,95.9,88.4,95.5,86.1,0.254,0.317,0.204,0.242,0.403,0.324,0.262,0.333,0.149,0.269,0.615,0.258,,,,,,,,,,,,,,,,,,,,,
1,2024-08-16,746438,Walk,walk,False,665742,689225,Juan Soto,Beau Brieske,0,95b7684f-2c84-497e-83e8-e30f21bf0070,689225.0,beaubrieske,Brieske,Right,Beau Brieske,DET,4.44,3.57,50.2,103.0,108.0,103.0,0.779,9.59,3.38,8.7,0.53,0.98,0.191,0.348,0.156,0.333,0.409,101.0,108.0,112.0,115.0,101.0,100.0,86.0,106.0,98.0,124.0,96.0,102.0,0.17,0.369,0.197,0.264,0.67,1.62,-1.81,0.06,95.9,88.4,95.5,86.1,0.254,0.317,0.204,0.242,0.403,0.324,0.262,0.333,0.149,0.269,0.615,0.258,,,,,,,,,,,,,,,,,,,,,
2,2024-08-16,746438,Lineout,field_out,True,592450,689225,Aaron Judge,Beau Brieske,0,ad8edf3b-f205-4a6c-97d1-87a6a3da1faf,689225.0,beaubrieske,Brieske,Right,Beau Brieske,DET,4.44,3.57,50.2,103.0,108.0,103.0,0.779,9.59,3.38,8.7,0.53,0.98,0.191,0.348,0.156,0.333,0.409,101.0,108.0,112.0,115.0,101.0,100.0,86.0,106.0,98.0,124.0,96.0,102.0,0.17,0.369,0.197,0.264,0.67,1.62,-1.81,0.06,95.9,88.4,95.5,86.1,0.254,0.317,0.204,0.242,0.403,0.324,0.262,0.333,0.149,0.269,0.615,0.258,,,,,,,,,,,,,,,,,,,,,
3,2024-08-16,746438,Walk,walk,False,519317,689225,Giancarlo Stanton,Beau Brieske,1,692796ba-662c-4882-a895-10172cd43eb1,689225.0,beaubrieske,Brieske,Right,Beau Brieske,DET,4.44,3.57,50.2,103.0,108.0,103.0,0.779,9.59,3.38,8.7,0.53,0.98,0.191,0.348,0.156,0.333,0.409,101.0,108.0,112.0,115.0,101.0,100.0,86.0,106.0,98.0,124.0,96.0,102.0,0.17,0.369,0.197,0.264,0.67,1.62,-1.81,0.06,95.9,88.4,95.5,86.1,0.254,0.317,0.204,0.242,0.403,0.324,0.262,0.333,0.149,0.269,0.615,0.258,,,,,,,,,,,,,,,,,,,,,
4,2024-08-16,746438,Sac Fly,sac_fly,True,657077,689225,Alex Verdugo,Beau Brieske,1,e7eecf29-9821-4d34-8df2-e0353b774971,689225.0,beaubrieske,Brieske,Right,Beau Brieske,DET,4.44,3.57,50.2,103.0,108.0,103.0,0.779,9.59,3.38,8.7,0.53,0.98,0.191,0.348,0.156,0.333,0.409,101.0,108.0,112.0,115.0,101.0,100.0,86.0,106.0,98.0,124.0,96.0,102.0,0.17,0.369,0.197,0.264,0.67,1.62,-1.81,0.06,95.9,88.4,95.5,86.1,0.254,0.317,0.204,0.242,0.403,0.324,0.262,0.333,0.149,0.269,0.615,0.258,,,,,,,,,,,,,,,,,,,,,
5,2024-08-16,746438,Strikeout,strikeout,True,683011,689225,Anthony Volpe,Beau Brieske,0,b2d4d57a-9716-4eda-8f82-33b510e7f70d,689225.0,beaubrieske,Brieske,Right,Beau Brieske,DET,4.44,3.57,50.2,103.0,108.0,103.0,0.779,9.59,3.38,8.7,0.53,0.98,0.191,0.348,0.156,0.333,0.409,101.0,108.0,112.0,115.0,101.0,100.0,86.0,106.0,98.0,124.0,96.0,102.0,0.17,0.369,0.197,0.264,0.67,1.62,-1.81,0.06,95.9,88.4,95.5,86.1,0.254,0.317,0.204,0.242,0.403,0.324,0.262,0.333,0.149,0.269,0.615,0.258,,,,,,,,,,,,,,,,,,,,,
6,2024-08-16,746438,Pop Out,field_out,True,678009,543037,Parker Meadows,Gerrit Cole,0,420ad477-e064-4f57-84c7-23cfb1e2daae,543037.0,gerritcole,Cole,Right,Gerrit Cole,NYY,3.86,4.26,63.0,101.0,112.0,105.0,0.771,9.86,3.14,8.86,1.57,0.88,0.256,0.386,0.17,0.318,0.418,74.0,93.0,92.0,118.0,97.0,103.0,,,,127.0,107.0,112.0,,0.457,0.147,0.038,-0.79,,0.58,-5.03,96.0,88.3,,88.3,0.239,0.478,0.217,0.4,0.8,0.158,,,,0.238,0.286,0.301,103.0,99.0,106.0,100.0,105.0,105.0,0.169,0.19,-1.7,2.48,91.2,82.9,0.163,0.186,0.366,0.378,0.703,0.233,,,
7,2024-08-16,746438,Flyout,field_out,True,681481,543037,Kerry Carpenter,Gerrit Cole,0,93251d9a-5111-44e4-979e-3fc97748f923,543037.0,gerritcole,Cole,Right,Gerrit Cole,NYY,3.86,4.26,63.0,101.0,112.0,105.0,0.771,9.86,3.14,8.86,1.57,0.88,0.256,0.386,0.17,0.318,0.418,74.0,93.0,92.0,118.0,97.0,103.0,,,,127.0,107.0,112.0,,0.457,0.147,0.038,-0.79,,0.58,-5.03,96.0,88.3,,88.3,0.239,0.478,0.217,0.4,0.8,0.158,,,,0.238,0.286,0.301,103.0,99.0,106.0,100.0,105.0,105.0,0.169,0.19,-1.7,2.48,91.2,82.9,0.163,0.186,0.366,0.378,0.703,0.233,,,
8,2024-08-16,746438,Groundout,field_out,True,663837,543037,Matt Vierling,Gerrit Cole,0,0db6ef3a-d508-40c9-b3ff-956e253b7e6b,543037.0,gerritcole,Cole,Right,Gerrit Cole,NYY,3.86,4.26,63.0,101.0,112.0,105.0,0.771,9.86,3.14,8.86,1.57,0.88,0.256,0.386,0.17,0.318,0.418,74.0,93.0,92.0,118.0,97.0,103.0,,,,127.0,107.0,112.0,,0.457,0.147,0.038,-0.79,,0.58,-5.03,96.0,88.3,,88.3,0.239,0.478,0.217,0.4,0.8,0.158,,,,0.238,0.286,0.301,103.0,99.0,106.0,100.0,105.0,105.0,0.169,0.19,-1.7,2.48,91.2,82.9,0.163,0.186,0.366,0.378,0.703,0.233,,,
9,2024-08-16,746438,Walk,walk,False,624431,669724,Jose Trevino,Brenan Hanifee,0,da52ed58-44dc-4bce-aa24-10dbce87e657,669724.0,brenanhanifee,Hanifee,Right,Brenan Hanifee,DET,1.72,2.71,15.2,103.0,88.0,101.0,0.838,5.17,1.72,6.89,1.15,2.21,0.18,0.52,0.28,0.24,0.43,101.0,89.0,84.0,67.0,93.0,90.0,78.0,103.0,99.0,114.0,109.0,115.0,0.604,0.109,0.226,0.061,4.36,1.57,1.61,-12.33,95.5,88.8,95.0,87.5,0.0,0.0,0.643,0.5,1.25,0.167,0.205,0.282,0.077,0.182,0.364,0.192,,,,,,,,,,,,,,,,,,,,,
10,2024-08-16,746438,Strikeout,strikeout,True,518934,669724,DJ LeMahieu,Brenan Hanifee,1,09b9d255-8d54-49d1-955b-035129d39c57,669724.0,brenanhanifee,Hanifee,Right,Brenan Hanifee,DET,1.72,2.71,15.2,103.0,88.0,101.0,0.838,5.17,1.72,6.89,1.15,2.21,0.18,0.52,0.28,0.24,0.43,101.0,89.0,84.0,67.0,93.0,90.0,78.0,103.0,99.0,114.0,109.0,115.0,0.604,0.109,0.226,0.061,4.36,1.57,1.61,-12.33,95.5,88.8,95.0,87.5,0.0,0.0,0.643,0.5,1.25,0.167,0.205,0.282,0.077,0.182,0.364,0.192,,,,,,,,,,,,,,,,,,,,,
