,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,FS_ba,FS_slg,FS_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU
0,2024-07-14,746932,Home Run,home_run,False,624428,678394,Adam Frazier,Brayan Bello,0,1245750f-97a2-4a9a-9058-3e25200f1bd3,678394.0,brayanbello,Bello,Right,Brayan Bello,BOS,5.32,4.64,89.2,100.0,103.0,104.0,0.754,8.53,3.31,9.94,1.41,2.03,0.216,0.363,0.165,0.275,0.404,90.0,101.0,100.0,73.0,108.0,97.0,104.0,102.0,104.0,117.0,98.0,111.0,0.402,0.023,0.285,0.29,6.0,-1.35,-1.46,0.33,96.3,87.3,95.8,86.9,0.364,0.536,0.12,0.168,0.345,0.363,0.291,0.465,0.352,0.0,0.0,0.15,,,,,,,,,,,,,,,,,,,,,
1,2024-07-14,746932,Flyout,field_out,True,677951,678394,Bobby Witt Jr.,Brayan Bello,0,ad75cd79-4ab4-4bb3-a821-04cd01cc3285,678394.0,brayanbello,Bello,Right,Brayan Bello,BOS,5.32,4.64,89.2,100.0,103.0,104.0,0.754,8.53,3.31,9.94,1.41,2.03,0.216,0.363,0.165,0.275,0.404,90.0,101.0,100.0,73.0,108.0,97.0,104.0,102.0,104.0,117.0,98.0,111.0,0.402,0.023,0.285,0.29,6.0,-1.35,-1.46,0.33,96.3,87.3,95.8,86.9,0.364,0.536,0.12,0.168,0.345,0.363,0.291,0.465,0.352,0.0,0.0,0.15,,,,,,,,,,,,,,,,,,,,,
2,2024-07-14,746932,Groundout,field_out,True,686469,678394,Vinnie Pasquantino,Brayan Bello,0,ca1e0ad3-ab38-47df-9ea1-3bcf13551145,678394.0,brayanbello,Bello,Right,Brayan Bello,BOS,5.32,4.64,89.2,100.0,103.0,104.0,0.754,8.53,3.31,9.94,1.41,2.03,0.216,0.363,0.165,0.275,0.404,90.0,101.0,100.0,73.0,108.0,97.0,104.0,102.0,104.0,117.0,98.0,111.0,0.402,0.023,0.285,0.29,6.0,-1.35,-1.46,0.33,96.3,87.3,95.8,86.9,0.364,0.536,0.12,0.168,0.345,0.363,0.291,0.465,0.352,0.0,0.0,0.15,,,,,,,,,,,,,,,,,,,,,
3,2024-07-14,746932,Strikeout,strikeout,True,521692,678394,Salvador Perez,Brayan Bello,0,65f18e17-03b3-4f0c-8a60-3deeadb338d8,678394.0,brayanbello,Bello,Right,Brayan Bello,BOS,5.32,4.64,89.2,100.0,103.0,104.0,0.754,8.53,3.31,9.94,1.41,2.03,0.216,0.363,0.165,0.275,0.404,90.0,101.0,100.0,73.0,108.0,97.0,104.0,102.0,104.0,117.0,98.0,111.0,0.402,0.023,0.285,0.29,6.0,-1.35,-1.46,0.33,96.3,87.3,95.8,86.9,0.364,0.536,0.12,0.168,0.345,0.363,0.291,0.465,0.352,0.0,0.0,0.15,,,,,,,,,,,,,,,,,,,,,
4,2024-07-14,746932,Double,double,False,680776,663903,Jarren Duran,Brady Singer,0,0d5e1f4d-5cb3-4141-b58b-2608da989092,663903.0,bradysinger,Singer,Right,Brady Singer,KCR,3.2,4.89,104.0,101.0,86.0,94.0,0.768,8.57,2.77,8.31,1.13,1.71,0.173,0.392,0.146,0.349,0.413,80.0,78.0,69.0,58.0,97.0,86.0,79.0,102.0,92.0,104.0,101.0,100.0,0.382,0.137,0.453,0.028,-1.75,0.62,0.21,-3.58,91.6,88.0,92.1,82.8,0.278,0.418,0.103,0.3,0.4,0.143,0.333,1.0,0.267,0.297,0.541,0.184,,,,,,,,,,,,,,,,,,,,,
5,2024-07-14,746932,Lineout,field_out,True,666152,663903,David Hamilton,Brady Singer,0,6db38336-0e4e-4705-ab85-b6a2bf679a4b,663903.0,bradysinger,Singer,Right,Brady Singer,KCR,3.2,4.89,104.0,101.0,86.0,94.0,0.768,8.57,2.77,8.31,1.13,1.71,0.173,0.392,0.146,0.349,0.413,80.0,78.0,69.0,58.0,97.0,86.0,79.0,102.0,92.0,104.0,101.0,100.0,0.382,0.137,0.453,0.028,-1.75,0.62,0.21,-3.58,91.6,88.0,92.1,82.8,0.278,0.418,0.103,0.3,0.4,0.143,0.333,1.0,0.267,0.297,0.541,0.184,,,,,,,,,,,,,,,,,,,,,
6,2024-07-14,746932,Groundout,field_out,True,807799,663903,Masataka Yoshida,Brady Singer,1,0f825f4b-563a-4dcc-86fe-f18a6c87b408,663903.0,bradysinger,Singer,Right,Brady Singer,KCR,3.2,4.89,104.0,101.0,86.0,94.0,0.768,8.57,2.77,8.31,1.13,1.71,0.173,0.392,0.146,0.349,0.413,80.0,78.0,69.0,58.0,97.0,86.0,79.0,102.0,92.0,104.0,101.0,100.0,0.382,0.137,0.453,0.028,-1.75,0.62,0.21,-3.58,91.6,88.0,92.1,82.8,0.278,0.418,0.103,0.3,0.4,0.143,0.333,1.0,0.267,0.297,0.541,0.184,,,,,,,,,,,,,,,,,,,,,
7,2024-07-14,746932,Home Run,home_run,False,646240,663903,Rafael Devers,Brady Singer,1,df93b49e-1132-410e-8c7c-a17cfe1433c3,663903.0,bradysinger,Singer,Right,Brady Singer,KCR,3.2,4.89,104.0,101.0,86.0,94.0,0.768,8.57,2.77,8.31,1.13,1.71,0.173,0.392,0.146,0.349,0.413,80.0,78.0,69.0,58.0,97.0,86.0,79.0,102.0,92.0,104.0,101.0,100.0,0.382,0.137,0.453,0.028,-1.75,0.62,0.21,-3.58,91.6,88.0,92.1,82.8,0.278,0.418,0.103,0.3,0.4,0.143,0.333,1.0,0.267,0.297,0.541,0.184,,,,,,,,,,,,,,,,,,,,,
8,2024-07-14,746932,Strikeout,strikeout,True,641933,663903,Tyler O'Neill,Brady Singer,0,90b4732f-b53a-4b1d-ae23-4fc72ffd4178,663903.0,bradysinger,Singer,Right,Brady Singer,KCR,3.2,4.89,104.0,101.0,86.0,94.0,0.768,8.57,2.77,8.31,1.13,1.71,0.173,0.392,0.146,0.349,0.413,80.0,78.0,69.0,58.0,97.0,86.0,79.0,102.0,92.0,104.0,101.0,100.0,0.382,0.137,0.453,0.028,-1.75,0.62,0.21,-3.58,91.6,88.0,92.1,82.8,0.278,0.418,0.103,0.3,0.4,0.143,0.333,1.0,0.267,0.297,0.541,0.184,,,,,,,,,,,,,,,,,,,,,
9,2024-07-14,746932,Groundout,field_out,True,686681,678394,Michael Massey,Brayan Bello,0,241a9337-c3c6-406f-9705-0a8fce4f2783,678394.0,brayanbello,Bello,Right,Brayan Bello,BOS,5.32,4.64,89.2,100.0,103.0,104.0,0.754,8.53,3.31,9.94,1.41,2.03,0.216,0.363,0.165,0.275,0.404,90.0,101.0,100.0,73.0,108.0,97.0,104.0,102.0,104.0,117.0,98.0,111.0,0.402,0.023,0.285,0.29,6.0,-1.35,-1.46,0.33,96.3,87.3,95.8,86.9,0.364,0.536,0.12,0.168,0.345,0.363,0.291,0.465,0.352,0.0,0.0,0.15,,,,,,,,,,,,,,,,,,,,,
