,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FC%,FS%,SL%,KC%,wFA/C,wFC/C,wFS/C,wSL/C,wKC/C,vFA,vFC,vFS,vSL,vKC,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CH%,wSI/C,wCH/C,vCH,vSI,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,SI_ba,SI_slg,SI_whiff
0,2024-08-24,746917,Flyout,field_out,True,682998,676710,Corbin Carroll,Kutter Crawford,0,96686e94-6973-443b-945c-dc8a150a960d,676710.0,kuttercrawford,"Crawford, K",Right,Kutter Crawford,BOS,4.12,3.86,155.0,105.0,106.0,107.0,0.771,8.19,2.44,7.43,1.63,0.65,0.256,0.417,0.17,0.303,0.449,109.0,110.0,112.0,98.0,100.0,101.0,92.0,93.0,97.0,112.0,106.0,105.0,90.0,100.0,105.0,0.348,0.306,0.085,0.195,0.066,-0.18,0.76,0.23,-0.67,0.16,92.6,87.5,82.5,80.8,77.1,0.245,0.474,0.194,0.203,0.417,0.268,0.227,0.445,0.259,0.186,0.271,0.42,0.19,0.238,0.171,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-08-24,746917,Groundout,field_out,True,664983,676710,Jake McCarthy,Kutter Crawford,0,16f1cb7d-fd71-482c-baeb-6a6fb2120891,676710.0,kuttercrawford,"Crawford, K",Right,Kutter Crawford,BOS,4.12,3.86,155.0,105.0,106.0,107.0,0.771,8.19,2.44,7.43,1.63,0.65,0.256,0.417,0.17,0.303,0.449,109.0,110.0,112.0,98.0,100.0,101.0,92.0,93.0,97.0,112.0,106.0,105.0,90.0,100.0,105.0,0.348,0.306,0.085,0.195,0.066,-0.18,0.76,0.23,-0.67,0.16,92.6,87.5,82.5,80.8,77.1,0.245,0.474,0.194,0.203,0.417,0.268,0.227,0.445,0.259,0.186,0.271,0.42,0.19,0.238,0.171,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-08-24,746917,Pop Out,field_out,True,592626,676710,Joc Pederson,Kutter Crawford,0,cb828c51-696b-4426-8faa-9aec4578b680,676710.0,kuttercrawford,"Crawford, K",Right,Kutter Crawford,BOS,4.12,3.86,155.0,105.0,106.0,107.0,0.771,8.19,2.44,7.43,1.63,0.65,0.256,0.417,0.17,0.303,0.449,109.0,110.0,112.0,98.0,100.0,101.0,92.0,93.0,97.0,112.0,106.0,105.0,90.0,100.0,105.0,0.348,0.306,0.085,0.195,0.066,-0.18,0.76,0.23,-0.67,0.16,92.6,87.5,82.5,80.8,77.1,0.245,0.474,0.194,0.203,0.417,0.268,0.227,0.445,0.259,0.186,0.271,0.42,0.19,0.238,0.171,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-08-24,746917,Groundout,field_out,True,680776,668678,Jarren Duran,Zac Gallen,0,420d0772-85d3-40b6-a670-82ac289918d3,668678.0,zacgallen,Gallen,Right,Zac Gallen,ARI,3.65,4.03,116.0,100.0,99.0,99.0,0.768,8.61,3.18,8.53,0.62,1.44,0.231,0.407,0.135,0.344,0.349,100.0,94.0,95.0,106.0,100.0,100.0,105.0,109.0,112.0,88.0,88.0,83.0,,,,0.462,0.034,,0.087,0.274,-1.04,-1.72,,0.24,2.72,93.5,90.3,,86.8,80.7,0.317,0.494,0.131,0.333,0.833,0.318,,,,,,,0.148,0.228,0.374,85.0,106.0,96.0,132.0,80.0,80.0,0.002,0.141,-1.01,0.77,86.6,94.7,0.269,0.372,0.252,0.258,0.387,0.299,,,,,,,,,
4,2024-08-24,746917,Walk,walk,False,677800,668678,Wilyer Abreu,Zac Gallen,0,6c5fdd86-3071-445a-bed2-d513855d35bb,668678.0,zacgallen,Gallen,Right,Zac Gallen,ARI,3.65,4.03,116.0,100.0,99.0,99.0,0.768,8.61,3.18,8.53,0.62,1.44,0.231,0.407,0.135,0.344,0.349,100.0,94.0,95.0,106.0,100.0,100.0,105.0,109.0,112.0,88.0,88.0,83.0,,,,0.462,0.034,,0.087,0.274,-1.04,-1.72,,0.24,2.72,93.5,90.3,,86.8,80.7,0.317,0.494,0.131,0.333,0.833,0.318,,,,,,,0.148,0.228,0.374,85.0,106.0,96.0,132.0,80.0,80.0,0.002,0.141,-1.01,0.77,86.6,94.7,0.269,0.372,0.252,0.258,0.387,0.299,,,,,,,,,
5,2024-08-24,746917,Strikeout,strikeout,True,671213,668678,Triston Casas,Zac Gallen,0,9c6c2529-061b-4f7f-8652-8961984cd15c,668678.0,zacgallen,Gallen,Right,Zac Gallen,ARI,3.65,4.03,116.0,100.0,99.0,99.0,0.768,8.61,3.18,8.53,0.62,1.44,0.231,0.407,0.135,0.344,0.349,100.0,94.0,95.0,106.0,100.0,100.0,105.0,109.0,112.0,88.0,88.0,83.0,,,,0.462,0.034,,0.087,0.274,-1.04,-1.72,,0.24,2.72,93.5,90.3,,86.8,80.7,0.317,0.494,0.131,0.333,0.833,0.318,,,,,,,0.148,0.228,0.374,85.0,106.0,96.0,132.0,80.0,80.0,0.002,0.141,-1.01,0.77,86.6,94.7,0.269,0.372,0.252,0.258,0.387,0.299,,,,,,,,,
6,2024-08-24,746917,Walk,walk,False,646240,668678,Rafael Devers,Zac Gallen,1,9dd89737-38f5-4d00-98b7-8fc54ab0d461,668678.0,zacgallen,Gallen,Right,Zac Gallen,ARI,3.65,4.03,116.0,100.0,99.0,99.0,0.768,8.61,3.18,8.53,0.62,1.44,0.231,0.407,0.135,0.344,0.349,100.0,94.0,95.0,106.0,100.0,100.0,105.0,109.0,112.0,88.0,88.0,83.0,,,,0.462,0.034,,0.087,0.274,-1.04,-1.72,,0.24,2.72,93.5,90.3,,86.8,80.7,0.317,0.494,0.131,0.333,0.833,0.318,,,,,,,0.148,0.228,0.374,85.0,106.0,96.0,132.0,80.0,80.0,0.002,0.141,-1.01,0.77,86.6,94.7,0.269,0.372,0.252,0.258,0.387,0.299,,,,,,,,,
7,2024-08-24,746917,Flyout,field_out,True,608701,668678,Rob Refsnyder,Zac Gallen,0,db800d44-69b2-413b-8f31-88e6b1c58ea9,668678.0,zacgallen,Gallen,Right,Zac Gallen,ARI,3.65,4.03,116.0,100.0,99.0,99.0,0.768,8.61,3.18,8.53,0.62,1.44,0.231,0.407,0.135,0.344,0.349,100.0,94.0,95.0,106.0,100.0,100.0,105.0,109.0,112.0,88.0,88.0,83.0,,,,0.462,0.034,,0.087,0.274,-1.04,-1.72,,0.24,2.72,93.5,90.3,,86.8,80.7,0.317,0.494,0.131,0.333,0.833,0.318,,,,,,,0.148,0.228,0.374,85.0,106.0,96.0,132.0,80.0,80.0,0.002,0.141,-1.01,0.77,86.6,94.7,0.269,0.372,0.252,0.258,0.387,0.299,,,,,,,,,
8,2024-08-24,746917,Groundout,field_out,True,605137,676710,Josh Bell,Kutter Crawford,0,aa2feb4f-8939-4f98-8c34-2d5548dbd3c6,676710.0,kuttercrawford,"Crawford, K",Right,Kutter Crawford,BOS,4.12,3.86,155.0,105.0,106.0,107.0,0.771,8.19,2.44,7.43,1.63,0.65,0.256,0.417,0.17,0.303,0.449,109.0,110.0,112.0,98.0,100.0,101.0,92.0,93.0,97.0,112.0,106.0,105.0,90.0,100.0,105.0,0.348,0.306,0.085,0.195,0.066,-0.18,0.76,0.23,-0.67,0.16,92.6,87.5,82.5,80.8,77.1,0.245,0.474,0.194,0.203,0.417,0.268,0.227,0.445,0.259,0.186,0.271,0.42,0.19,0.238,0.171,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-08-24,746917,Double,double,False,666971,676710,Lourdes Gurriel Jr.,Kutter Crawford,0,09316693-95f7-4107-9d43-3dedb1f6dc25,676710.0,kuttercrawford,"Crawford, K",Right,Kutter Crawford,BOS,4.12,3.86,155.0,105.0,106.0,107.0,0.771,8.19,2.44,7.43,1.63,0.65,0.256,0.417,0.17,0.303,0.449,109.0,110.0,112.0,98.0,100.0,101.0,92.0,93.0,97.0,112.0,106.0,105.0,90.0,100.0,105.0,0.348,0.306,0.085,0.195,0.066,-0.18,0.76,0.23,-0.67,0.16,92.6,87.5,82.5,80.8,77.1,0.245,0.474,0.194,0.203,0.417,0.268,0.227,0.445,0.259,0.186,0.271,0.42,0.19,0.238,0.171,,,,,,,,,,,,,,,,,,,,,,,,,,,
