,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,FA%,SL%,KC%,CH%,wFA/C,wSL/C,wKC/C,wCH/C,vFA,vCH,vSL,vKC,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,CU%,wFC/C,wSI/C,wCU/C,vFC,vSI,vCU,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff
0,2024-07-07,744832,Flyout,field_out,True,691026,687792,Masyn Winn,DJ Herz,0,35a0cd15-6c95-48f0-9ec9-3b67b382c716,687792.0,djherz,Herz,Left,DJ Herz,WSN,5.17,3.44,31.1,98.0,91.0,98.0,0.721,11.78,2.59,10.05,1.72,0.73,0.27,0.416,0.146,0.371,0.435,106.0,97.0,97.0,92.0,101.0,100.0,87.0,97.0,100.0,112.0,43.0,60.0,0.534,0.148,0.055,0.263,-0.31,-2.22,0.94,-0.53,93.3,82.9,86.3,80.9,0.308,0.446,0.323,0.231,0.436,0.288,0.238,0.571,0.237,0.25,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-07-07,744832,Groundout,field_out,True,676475,687792,Alec Burleson,DJ Herz,0,89815806-8f05-4239-94f9-35394deb2ce0,687792.0,djherz,Herz,Left,DJ Herz,WSN,5.17,3.44,31.1,98.0,91.0,98.0,0.721,11.78,2.59,10.05,1.72,0.73,0.27,0.416,0.146,0.371,0.435,106.0,97.0,97.0,92.0,101.0,100.0,87.0,97.0,100.0,112.0,43.0,60.0,0.534,0.148,0.055,0.263,-0.31,-2.22,0.94,-0.53,93.3,82.9,86.3,80.9,0.308,0.446,0.323,0.231,0.436,0.288,0.238,0.571,0.237,0.25,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-07-07,744832,Strikeout,strikeout,True,575929,687792,Willson Contreras,DJ Herz,0,d761bbfa-1c7f-45a6-a0aa-0f93b4854544,687792.0,djherz,Herz,Left,DJ Herz,WSN,5.17,3.44,31.1,98.0,91.0,98.0,0.721,11.78,2.59,10.05,1.72,0.73,0.27,0.416,0.146,0.371,0.435,106.0,97.0,97.0,92.0,101.0,100.0,87.0,97.0,100.0,112.0,43.0,60.0,0.534,0.148,0.055,0.263,-0.31,-2.22,0.94,-0.53,93.3,82.9,86.3,80.9,0.308,0.446,0.323,0.231,0.436,0.288,0.238,0.571,0.237,0.25,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-07-07,744832,Strikeout,strikeout,True,682928,502043,CJ Abrams,Kyle Gibson,0,ec3b5937-3f8f-48e3-91c1-1c0dacb59e48,502043.0,kylegibson,Gibson,Right,Kyle Gibson,STL,4.16,4.92,101.2,97.0,93.0,95.0,0.736,8.5,3.63,8.59,1.15,1.5,0.213,0.419,0.162,0.344,0.344,94.0,93.0,85.0,80.0,85.0,80.0,104.0,102.0,105.0,,,,0.127,0.221,,0.086,-2.35,0.35,,1.85,91.5,84.8,80.6,,0.293,0.683,0.076,0.167,0.194,0.342,0.222,0.306,0.454,0.304,0.739,0.493,105.0,105.0,106.0,84.0,101.0,96.0,94.0,94.0,89.0,0.279,0.205,0.082,0.34,0.83,-1.85,88.9,90.7,78.5,0.252,0.409,0.108,0.322,0.441,0.211
4,2024-07-07,744832,Single,single,False,657041,502043,Lane Thomas,Kyle Gibson,0,e8773468-20cf-4baa-89eb-2c3048e29431,502043.0,kylegibson,Gibson,Right,Kyle Gibson,STL,4.16,4.92,101.2,97.0,93.0,95.0,0.736,8.5,3.63,8.59,1.15,1.5,0.213,0.419,0.162,0.344,0.344,94.0,93.0,85.0,80.0,85.0,80.0,104.0,102.0,105.0,,,,0.127,0.221,,0.086,-2.35,0.35,,1.85,91.5,84.8,80.6,,0.293,0.683,0.076,0.167,0.194,0.342,0.222,0.306,0.454,0.304,0.739,0.493,105.0,105.0,106.0,84.0,101.0,96.0,94.0,94.0,89.0,0.279,0.205,0.082,0.34,0.83,-1.85,88.9,90.7,78.5,0.252,0.409,0.108,0.322,0.441,0.211
5,2024-07-07,744832,Strikeout,strikeout,True,695578,502043,James Wood,Kyle Gibson,1,5539f55a-de0a-498e-81c3-82041542b954,502043.0,kylegibson,Gibson,Right,Kyle Gibson,STL,4.16,4.92,101.2,97.0,93.0,95.0,0.736,8.5,3.63,8.59,1.15,1.5,0.213,0.419,0.162,0.344,0.344,94.0,93.0,85.0,80.0,85.0,80.0,104.0,102.0,105.0,,,,0.127,0.221,,0.086,-2.35,0.35,,1.85,91.5,84.8,80.6,,0.293,0.683,0.076,0.167,0.194,0.342,0.222,0.306,0.454,0.304,0.739,0.493,105.0,105.0,106.0,84.0,101.0,96.0,94.0,94.0,89.0,0.279,0.205,0.082,0.34,0.83,-1.85,88.9,90.7,78.5,0.252,0.409,0.108,0.322,0.441,0.211
6,2024-07-07,744832,Flyout,field_out,True,502671,687792,Paul Goldschmidt,DJ Herz,0,b54a6a9c-ba22-4529-92f4-c14f1fdc9999,687792.0,djherz,Herz,Left,DJ Herz,WSN,5.17,3.44,31.1,98.0,91.0,98.0,0.721,11.78,2.59,10.05,1.72,0.73,0.27,0.416,0.146,0.371,0.435,106.0,97.0,97.0,92.0,101.0,100.0,87.0,97.0,100.0,112.0,43.0,60.0,0.534,0.148,0.055,0.263,-0.31,-2.22,0.94,-0.53,93.3,82.9,86.3,80.9,0.308,0.446,0.323,0.231,0.436,0.288,0.238,0.571,0.237,0.25,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-07-07,744832,Strikeout,strikeout,True,571448,687792,Nolan Arenado,DJ Herz,0,dfbefc5e-3fc9-42cf-b8c1-914f88df1f9b,687792.0,djherz,Herz,Left,DJ Herz,WSN,5.17,3.44,31.1,98.0,91.0,98.0,0.721,11.78,2.59,10.05,1.72,0.73,0.27,0.416,0.146,0.371,0.435,106.0,97.0,97.0,92.0,101.0,100.0,87.0,97.0,100.0,112.0,43.0,60.0,0.534,0.148,0.055,0.263,-0.31,-2.22,0.94,-0.53,93.3,82.9,86.3,80.9,0.308,0.446,0.323,0.231,0.436,0.288,0.238,0.571,0.237,0.25,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-07-07,744832,Walk,walk,False,680977,687792,Brendan Donovan,DJ Herz,0,151acbce-ece5-4b27-984f-47f6da4ca0c3,687792.0,djherz,Herz,Left,DJ Herz,WSN,5.17,3.44,31.1,98.0,91.0,98.0,0.721,11.78,2.59,10.05,1.72,0.73,0.27,0.416,0.146,0.371,0.435,106.0,97.0,97.0,92.0,101.0,100.0,87.0,97.0,100.0,112.0,43.0,60.0,0.534,0.148,0.055,0.263,-0.31,-2.22,0.94,-0.53,93.3,82.9,86.3,80.9,0.308,0.446,0.323,0.231,0.436,0.288,0.238,0.571,0.237,0.25,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-07-07,744832,Double,double,False,669357,687792,Nolan Gorman,DJ Herz,1,dfe303c0-d0de-455f-a25c-88800a564c0e,687792.0,djherz,Herz,Left,DJ Herz,WSN,5.17,3.44,31.1,98.0,91.0,98.0,0.721,11.78,2.59,10.05,1.72,0.73,0.27,0.416,0.146,0.371,0.435,106.0,97.0,97.0,92.0,101.0,100.0,87.0,97.0,100.0,112.0,43.0,60.0,0.534,0.148,0.055,0.263,-0.31,-2.22,0.94,-0.53,93.3,82.9,86.3,80.9,0.308,0.446,0.323,0.231,0.436,0.288,0.238,0.571,0.237,0.25,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,
10,2024-07-07,744832,Single,single,False,666185,687792,Dylan Carlson,DJ Herz,1,b5c70fe6-b393-43a9-bf48-c5a0ccbec54b,687792.0,djherz,Herz,Left,DJ Herz,WSN,5.17,3.44,31.1,98.0,91.0,98.0,0.721,11.78,2.59,10.05,1.72,0.73,0.27,0.416,0.146,0.371,0.435,106.0,97.0,97.0,92.0,101.0,100.0,87.0,97.0,100.0,112.0,43.0,60.0,0.534,0.148,0.055,0.263,-0.31,-2.22,0.94,-0.53,93.3,82.9,86.3,80.9,0.308,0.446,0.323,0.231,0.436,0.288,0.238,0.571,0.237,0.25,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,
11,2024-07-07,744832,Flyout,field_out,True,686780,687792,Pedro Pagés,DJ Herz,0,7a391e99-8a4c-44e6-a3fa-87ba65feb13a,687792.0,djherz,Herz,Left,DJ Herz,WSN,5.17,3.44,31.1,98.0,91.0,98.0,0.721,11.78,2.59,10.05,1.72,0.73,0.27,0.416,0.146,0.371,0.435,106.0,97.0,97.0,92.0,101.0,100.0,87.0,97.0,100.0,112.0,43.0,60.0,0.534,0.148,0.055,0.263,-0.31,-2.22,0.94,-0.53,93.3,82.9,86.3,80.9,0.308,0.446,0.323,0.231,0.436,0.288,0.238,0.571,0.237,0.25,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,
12,2024-07-07,744832,Double,double,False,608385,502043,Jesse Winker,Kyle Gibson,0,bdc5478c-8195-483f-8b95-059f2d952b5f,502043.0,kylegibson,Gibson,Right,Kyle Gibson,STL,4.16,4.92,101.2,97.0,93.0,95.0,0.736,8.5,3.63,8.59,1.15,1.5,0.213,0.419,0.162,0.344,0.344,94.0,93.0,85.0,80.0,85.0,80.0,104.0,102.0,105.0,,,,0.127,0.221,,0.086,-2.35,0.35,,1.85,91.5,84.8,80.6,,0.293,0.683,0.076,0.167,0.194,0.342,0.222,0.306,0.454,0.304,0.739,0.493,105.0,105.0,106.0,84.0,101.0,96.0,94.0,94.0,89.0,0.279,0.205,0.082,0.34,0.83,-1.85,88.9,90.7,78.5,0.252,0.409,0.108,0.322,0.441,0.211
13,2024-07-07,744832,Strikeout,strikeout,True,671277,502043,Luis García Jr.,Kyle Gibson,0,eea50b1e-7de9-495b-a039-418a699764f7,502043.0,kylegibson,Gibson,Right,Kyle Gibson,STL,4.16,4.92,101.2,97.0,93.0,95.0,0.736,8.5,3.63,8.59,1.15,1.5,0.213,0.419,0.162,0.344,0.344,94.0,93.0,85.0,80.0,85.0,80.0,104.0,102.0,105.0,,,,0.127,0.221,,0.086,-2.35,0.35,,1.85,91.5,84.8,80.6,,0.293,0.683,0.076,0.167,0.194,0.342,0.222,0.306,0.454,0.304,0.739,0.493,105.0,105.0,106.0,84.0,101.0,96.0,94.0,94.0,89.0,0.279,0.205,0.082,0.34,0.83,-1.85,88.9,90.7,78.5,0.252,0.409,0.108,0.322,0.441,0.211
