,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,CU%,wFA/C,wFC/C,wFS/C,wSI/C,wCU/C,vFA,vFC,vFS,vSI,vCU,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SL,Loc+ SL,Pit+ SL,SL%,CH%,wSL/C,wCH/C,vCH,vSL,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
11,2024-04-13,747054,Home Run,home_run,False,656555,665152,Rhys Hoskins,Dean Kremer,0,f2bd85e0-3417-450f-ae95-52ec83568a9b,665152.0,deankremer,Kremer,Right,Dean Kremer,BAL,4.38,5.36,63.2,101.0,88.0,98.0,0.793,9.05,3.53,7.21,1.84,0.89,0.25,0.389,0.244,0.322,0.411,83.0,101.0,98.0,92.0,101.0,101.0,81.0,103.0,97.0,99.0,104.0,100.0,73.0,92.0,91.0,0.123,0.339,0.273,0.153,0.112,-0.75,0.88,0.0,0.94,-0.21,93.4,86.9,83.9,92.0,77.4,0.23,0.338,0.245,0.247,0.644,0.242,0.211,0.342,0.061,0.114,0.229,0.364,0.211,0.263,0.243,,,,,,,,,,,,,,,,,,,,,,,,
12,2024-04-13,747054,Single,single,False,668930,665152,Brice Turang,Dean Kremer,0,6e8af5fb-d832-4224-90bd-4b85437a8bb1,665152.0,deankremer,Kremer,Right,Dean Kremer,BAL,4.38,5.36,63.2,101.0,88.0,98.0,0.793,9.05,3.53,7.21,1.84,0.89,0.25,0.389,0.244,0.322,0.411,83.0,101.0,98.0,92.0,101.0,101.0,81.0,103.0,97.0,99.0,104.0,100.0,73.0,92.0,91.0,0.123,0.339,0.273,0.153,0.112,-0.75,0.88,0.0,0.94,-0.21,93.4,86.9,83.9,92.0,77.4,0.23,0.338,0.245,0.247,0.644,0.242,0.211,0.342,0.061,0.114,0.229,0.364,0.211,0.263,0.243,,,,,,,,,,,,,,,,,,,,,,,,
13,2024-04-13,747054,Single,single,False,694192,665152,Jackson Chourio,Dean Kremer,1,c30b8379-bcd7-491f-b54f-4be74c48e967,665152.0,deankremer,Kremer,Right,Dean Kremer,BAL,4.38,5.36,63.2,101.0,88.0,98.0,0.793,9.05,3.53,7.21,1.84,0.89,0.25,0.389,0.244,0.322,0.411,83.0,101.0,98.0,92.0,101.0,101.0,81.0,103.0,97.0,99.0,104.0,100.0,73.0,92.0,91.0,0.123,0.339,0.273,0.153,0.112,-0.75,0.88,0.0,0.94,-0.21,93.4,86.9,83.9,92.0,77.4,0.23,0.338,0.245,0.247,0.644,0.242,0.211,0.342,0.061,0.114,0.229,0.364,0.211,0.263,0.243,,,,,,,,,,,,,,,,,,,,,,,,
14,2024-04-13,747054,Walk,walk,False,663368,665152,Blake Perkins,Dean Kremer,1,2b7439b3-bfe6-4af7-ae79-b5ea41483a1f,665152.0,deankremer,Kremer,Right,Dean Kremer,BAL,4.38,5.36,63.2,101.0,88.0,98.0,0.793,9.05,3.53,7.21,1.84,0.89,0.25,0.389,0.244,0.322,0.411,83.0,101.0,98.0,92.0,101.0,101.0,81.0,103.0,97.0,99.0,104.0,100.0,73.0,92.0,91.0,0.123,0.339,0.273,0.153,0.112,-0.75,0.88,0.0,0.94,-0.21,93.4,86.9,83.9,92.0,77.4,0.23,0.338,0.245,0.247,0.644,0.242,0.211,0.342,0.061,0.114,0.229,0.364,0.211,0.263,0.243,,,,,,,,,,,,,,,,,,,,,,,,
15,2024-04-13,747054,Strikeout,strikeout,True,686554,665152,Oliver Dunn,Dean Kremer,0,6eb61b9b-7e19-44e9-b36e-ab8c011f774f,665152.0,deankremer,Kremer,Right,Dean Kremer,BAL,4.38,5.36,63.2,101.0,88.0,98.0,0.793,9.05,3.53,7.21,1.84,0.89,0.25,0.389,0.244,0.322,0.411,83.0,101.0,98.0,92.0,101.0,101.0,81.0,103.0,97.0,99.0,104.0,100.0,73.0,92.0,91.0,0.123,0.339,0.273,0.153,0.112,-0.75,0.88,0.0,0.94,-0.21,93.4,86.9,83.9,92.0,77.4,0.23,0.338,0.245,0.247,0.644,0.242,0.211,0.342,0.061,0.114,0.229,0.364,0.211,0.263,0.243,,,,,,,,,,,,,,,,,,,,,,,,
16,2024-04-13,747054,Single,single,False,681297,669084,Colton Cowser,DL Hall,0,326703a0-75d0-4357-810f-f4621adf14de,669084.0,dlhall,"Hall, DL",Left,DL Hall,MIL,7.71,7.05,16.1,99.0,72.0,92.0,0.806,7.16,5.51,14.88,2.2,1.15,0.186,0.39,0.136,0.305,0.427,88.0,106.0,104.0,55.0,101.0,91.0,,,,,,,,,,,0.497,,,0.186,-3.41,,,,-1.15,92.3,,,,79.0,,,,0.452,0.619,0.105,,,,,,,0.25,0.5,0.182,81.0,92.0,83.0,99.0,90.0,93.0,0.119,0.198,-3.94,-2.03,84.3,83.3,0.2,0.5,0.435,0.429,0.571,0.5,,,,,,
17,2024-04-13,747054,Strikeout,strikeout,True,543510,669084,James McCann,DL Hall,0,cc90f2da-407f-4e3e-ab16-16c3375ce0b2,669084.0,dlhall,"Hall, DL",Left,DL Hall,MIL,7.71,7.05,16.1,99.0,72.0,92.0,0.806,7.16,5.51,14.88,2.2,1.15,0.186,0.39,0.136,0.305,0.427,88.0,106.0,104.0,55.0,101.0,91.0,,,,,,,,,,,0.497,,,0.186,-3.41,,,,-1.15,92.3,,,,79.0,,,,0.452,0.619,0.105,,,,,,,0.25,0.5,0.182,81.0,92.0,83.0,99.0,90.0,93.0,0.119,0.198,-3.94,-2.03,84.3,83.3,0.2,0.5,0.435,0.429,0.571,0.5,,,,,,
18,2024-04-13,747054,Flyout,field_out,True,622761,669084,Jorge Mateo,DL Hall,1,feac502c-fd81-4d2c-af75-8a73bbbb5e6e,669084.0,dlhall,"Hall, DL",Left,DL Hall,MIL,7.71,7.05,16.1,99.0,72.0,92.0,0.806,7.16,5.51,14.88,2.2,1.15,0.186,0.39,0.136,0.305,0.427,88.0,106.0,104.0,55.0,101.0,91.0,,,,,,,,,,,0.497,,,0.186,-3.41,,,,-1.15,92.3,,,,79.0,,,,0.452,0.619,0.105,,,,,,,0.25,0.5,0.182,81.0,92.0,83.0,99.0,90.0,93.0,0.119,0.198,-3.94,-2.03,84.3,83.3,0.2,0.5,0.435,0.429,0.571,0.5,,,,,,
19,2024-04-13,747054,Single,single,False,683002,669084,Gunnar Henderson,DL Hall,1,d030f483-4769-4641-bcff-d52ea6caeadb,669084.0,dlhall,"Hall, DL",Left,DL Hall,MIL,7.71,7.05,16.1,99.0,72.0,92.0,0.806,7.16,5.51,14.88,2.2,1.15,0.186,0.39,0.136,0.305,0.427,88.0,106.0,104.0,55.0,101.0,91.0,,,,,,,,,,,0.497,,,0.186,-3.41,,,,-1.15,92.3,,,,79.0,,,,0.452,0.619,0.105,,,,,,,0.25,0.5,0.182,81.0,92.0,83.0,99.0,90.0,93.0,0.119,0.198,-3.94,-2.03,84.3,83.3,0.2,0.5,0.435,0.429,0.571,0.5,,,,,,
20,2024-04-13,747054,Pickoff 1B,pickoff_1b,True,668939,669084,Adley Rutschman,DL Hall,0,e3d3fdf5-05cf-42f2-93dd-859cf26839fd,669084.0,dlhall,"Hall, DL",Left,DL Hall,MIL,7.71,7.05,16.1,99.0,72.0,92.0,0.806,7.16,5.51,14.88,2.2,1.15,0.186,0.39,0.136,0.305,0.427,88.0,106.0,104.0,55.0,101.0,91.0,,,,,,,,,,,0.497,,,0.186,-3.41,,,,-1.15,92.3,,,,79.0,,,,0.452,0.619,0.105,,,,,,,0.25,0.5,0.182,81.0,92.0,83.0,99.0,90.0,93.0,0.119,0.198,-3.94,-2.03,84.3,83.3,0.2,0.5,0.435,0.429,0.571,0.5,,,,,,
