,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,wFA/C,wFS/C,wSI/C,wSL/C,vFA,vFS,vSI,vSL,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CH%,wFC/C,wCH/C,vFC,vCH,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff
0,2024-07-05,746046,Strikeout,strikeout,True,502054,663773,Tommy Pham,Bryan Hoeing,0,78e615d6-7bb6-482e-a1df-1e9aa061f1d0,663773.0,bryanhoeing,Hoeing,Right,Bryan Hoeing,MIA,3.16,5.99,25.2,102.0,100.0,102.0,0.825,7.36,2.45,9.12,0.7,1.89,0.241,0.43,0.152,0.278,0.45,64.0,98.0,78.0,99.0,107.0,104.0,109.0,103.0,103.0,114.0,98.0,108.0,0.523,0.068,0.117,0.291,3.27,2.04,-1.04,0.09,94.3,87.0,93.8,83.0,0.339,0.475,0.107,0.19,0.238,0.333,0.1,0.2,0.2,0.1,0.2,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-07-05,746046,Strikeout,strikeout,True,643217,663773,Andrew Benintendi,Bryan Hoeing,0,5d99c744-d895-458a-b038-654b6d29b22b,663773.0,bryanhoeing,Hoeing,Right,Bryan Hoeing,MIA,3.16,5.99,25.2,102.0,100.0,102.0,0.825,7.36,2.45,9.12,0.7,1.89,0.241,0.43,0.152,0.278,0.45,64.0,98.0,78.0,99.0,107.0,104.0,109.0,103.0,103.0,114.0,98.0,108.0,0.523,0.068,0.117,0.291,3.27,2.04,-1.04,0.09,94.3,87.0,93.8,83.0,0.339,0.475,0.107,0.19,0.238,0.333,0.1,0.2,0.2,0.1,0.2,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-07-05,746046,Single,single,False,673357,663773,Luis Robert Jr.,Bryan Hoeing,0,20b14cc3-2b70-4c00-8fa2-8a81889973be,663773.0,bryanhoeing,Hoeing,Right,Bryan Hoeing,MIA,3.16,5.99,25.2,102.0,100.0,102.0,0.825,7.36,2.45,9.12,0.7,1.89,0.241,0.43,0.152,0.278,0.45,64.0,98.0,78.0,99.0,107.0,104.0,109.0,103.0,103.0,114.0,98.0,108.0,0.523,0.068,0.117,0.291,3.27,2.04,-1.04,0.09,94.3,87.0,93.8,83.0,0.339,0.475,0.107,0.19,0.238,0.333,0.1,0.2,0.2,0.1,0.2,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-07-05,746046,Walk,walk,False,683734,663773,Andrew Vaughn,Bryan Hoeing,1,f32edd5d-7928-4010-9179-f7cd9109e9d5,663773.0,bryanhoeing,Hoeing,Right,Bryan Hoeing,MIA,3.16,5.99,25.2,102.0,100.0,102.0,0.825,7.36,2.45,9.12,0.7,1.89,0.241,0.43,0.152,0.278,0.45,64.0,98.0,78.0,99.0,107.0,104.0,109.0,103.0,103.0,114.0,98.0,108.0,0.523,0.068,0.117,0.291,3.27,2.04,-1.04,0.09,94.3,87.0,93.8,83.0,0.339,0.475,0.107,0.19,0.238,0.333,0.1,0.2,0.2,0.1,0.2,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-07-05,746046,Strikeout,strikeout,True,650391,663773,Eloy Jiménez,Bryan Hoeing,0,ab7f427c-7860-499a-90be-827a73c72492,663773.0,bryanhoeing,Hoeing,Right,Bryan Hoeing,MIA,3.16,5.99,25.2,102.0,100.0,102.0,0.825,7.36,2.45,9.12,0.7,1.89,0.241,0.43,0.152,0.278,0.45,64.0,98.0,78.0,99.0,107.0,104.0,109.0,103.0,103.0,114.0,98.0,108.0,0.523,0.068,0.117,0.291,3.27,2.04,-1.04,0.09,94.3,87.0,93.8,83.0,0.339,0.475,0.107,0.19,0.238,0.333,0.1,0.2,0.2,0.1,0.2,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-07-05,746046,Groundout,field_out,True,665862,689672,Jazz Chisholm Jr.,Drew Thorpe,0,f1bbc821-04cd-44a9-a89e-b35c1c92a98b,689672.0,drewthorpe,Thorpe,Right,Drew Thorpe,CHW,3.58,3.56,32.2,98.0,82.0,94.0,0.783,5.23,4.13,5.23,1.1,0.91,0.286,0.378,0.276,0.204,0.375,66.0,96.0,85.0,,,,97.0,97.0,101.0,,,,,0.344,,0.17,0.39,,,0.62,91.0,,,81.0,,,,0.0,0.0,0.167,0.184,0.368,0.076,,,,93.0,105.0,104.0,77.0,91.0,87.0,0.132,0.354,-1.24,1.57,85.6,81.5,0.156,0.333,0.379,0.214,0.571,0.074,,,,,,,,,
6,2024-07-05,746046,Flyout,field_out,True,650559,689672,Bryan De La Cruz,Drew Thorpe,0,32a6d48a-e58c-4694-9d8f-da2efae9dd5d,689672.0,drewthorpe,Thorpe,Right,Drew Thorpe,CHW,3.58,3.56,32.2,98.0,82.0,94.0,0.783,5.23,4.13,5.23,1.1,0.91,0.286,0.378,0.276,0.204,0.375,66.0,96.0,85.0,,,,97.0,97.0,101.0,,,,,0.344,,0.17,0.39,,,0.62,91.0,,,81.0,,,,0.0,0.0,0.167,0.184,0.368,0.076,,,,93.0,105.0,104.0,77.0,91.0,87.0,0.132,0.354,-1.24,1.57,85.6,81.5,0.156,0.333,0.379,0.214,0.571,0.074,,,,,,,,,
7,2024-07-05,746046,Groundout,field_out,True,605137,689672,Josh Bell,Drew Thorpe,0,1be369b6-3617-4acc-a886-8490bc91f3af,689672.0,drewthorpe,Thorpe,Right,Drew Thorpe,CHW,3.58,3.56,32.2,98.0,82.0,94.0,0.783,5.23,4.13,5.23,1.1,0.91,0.286,0.378,0.276,0.204,0.375,66.0,96.0,85.0,,,,97.0,97.0,101.0,,,,,0.344,,0.17,0.39,,,0.62,91.0,,,81.0,,,,0.0,0.0,0.167,0.184,0.368,0.076,,,,93.0,105.0,104.0,77.0,91.0,87.0,0.132,0.354,-1.24,1.57,85.6,81.5,0.156,0.333,0.379,0.214,0.571,0.074,,,,,,,,,
8,2024-07-05,746046,Single,single,False,657557,663773,Paul DeJong,Bryan Hoeing,0,ffb4e5b0-11ef-486a-8492-4f17784ac0c9,663773.0,bryanhoeing,Hoeing,Right,Bryan Hoeing,MIA,3.16,5.99,25.2,102.0,100.0,102.0,0.825,7.36,2.45,9.12,0.7,1.89,0.241,0.43,0.152,0.278,0.45,64.0,98.0,78.0,99.0,107.0,104.0,109.0,103.0,103.0,114.0,98.0,108.0,0.523,0.068,0.117,0.291,3.27,2.04,-1.04,0.09,94.3,87.0,93.8,83.0,0.339,0.475,0.107,0.19,0.238,0.333,0.1,0.2,0.2,0.1,0.2,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-07-05,746046,Single,single,True,672820,663773,Lenyn Sosa,Bryan Hoeing,1,5af07dc8-05e9-48ef-b174-83d571111c61,663773.0,bryanhoeing,Hoeing,Right,Bryan Hoeing,MIA,3.16,5.99,25.2,102.0,100.0,102.0,0.825,7.36,2.45,9.12,0.7,1.89,0.241,0.43,0.152,0.278,0.45,64.0,98.0,78.0,99.0,107.0,104.0,109.0,103.0,103.0,114.0,98.0,108.0,0.523,0.068,0.117,0.291,3.27,2.04,-1.04,0.09,94.3,87.0,93.8,83.0,0.339,0.475,0.107,0.19,0.238,0.333,0.1,0.2,0.2,0.1,0.2,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,
